disruption_type,n,urls,num_articles,confidence,source_title,location_name,publish_date,event_date,extras,duration_hours
unknown,1195,100.0,100.0,100.0,60.5,2.93,43.68,1.34,0.0,0.42
country_relations,736,100.0,100.0,100.0,75.82,57.07,46.2,22.55,52.04,0.41
protests,462,100.0,100.0,100.0,67.32,65.15,43.07,24.03,37.23,5.63
flood,214,100.0,100.0,100.0,70.56,65.89,46.26,23.83,40.65,3.74
cyclone_hurricane,196,100.0,100.0,100.0,76.53,26.53,58.67,7.65,10.2,2.55
tariffs,184,100.0,100.0,100.0,61.96,64.13,34.24,22.83,46.2,0.0
trade_embargo,179,100.0,100.0,100.0,76.54,81.01,48.6,25.14,27.37,0.56
labour_strike,128,100.0,100.0,100.0,75.0,71.09,50.78,26.56,25.78,20.31
extreme_heat,64,100.0,100.0,100.0,81.25,68.75,51.56,20.31,51.56,0.0
drought,39,100.0,100.0,100.0,76.92,71.79,48.72,20.51,48.72,0.0
earthquake,36,100.0,100.0,100.0,72.22,83.33,44.44,27.78,72.22,2.78
landslide,6,100.0,100.0,100.0,50.0,66.67,66.67,16.67,0.0,0.0
mine_accident,5,100.0,100.0,100.0,80.0,100.0,80.0,60.0,80.0,0.0
