url_normalized,title,meta_description,http_status,fetch_error
http://www.newsplex.com/content/news/Man-in-US-illegally-convicted-of-killing-California-deputies-473676423.html,,,404,bad_status_or_empty:404
https://www.msn.com/en-us/news/world/cambodia-dissident-in-jail-after-thailand-deportation/ar-BBIXY3t,MSN,,200,
https://www.nytimes.com/2018/02/10/us/politics/guantanamo-sept-11-rishikof.html,,,403,bad_status_or_empty:403
http://www.sundaymail.co.zw/history-beckons-as-ed-visits-botswana/,,,403,bad_status_or_empty:403
http://www.sundaymail.co.zw/mining-sector-briefs-from-cape-town-indigenisation-thresholds-explained-country-gets-africas-first-lead-battery-plant-zim-to-host-mining-indaba-on-february-28/,,,403,bad_status_or_empty:403
http://www.sundaymail.co.zw/dangote-revives-interest-in-zim/,,,403,bad_status_or_empty:403
http://www.sundaymail.co.zw/health-sector-sneezes/,,,403,bad_status_or_empty:403
http://www.sundaymail.co.zw/investors-smile-on-zimbabwe/,,,403,bad_status_or_empty:403
http://www.sundaymail.co.zw/chamisa-mudzuri-battle-escalates/,,,403,bad_status_or_empty:403
http://www.newsplex.com/content/news/UPDATE-Aug-12-assault-suspect-extradited-to-Charlottesville-471161853.html,,,404,bad_status_or_empty:404
https://www.enca.com/south-africa/traditional-healer-sentenced-to-life-behind-bars,,,404,bad_status_or_empty:404
http://www.armidaleexpress.com.au/story/5220760/the-old-laws-helping-cops-shut-down-bikie-clubhouses-in-nsw/,"The old laws helping cops shut down bikie clubhouses statewide | The Armidale Express | Armidale, NSW","""We have taken the power off them.""",200,
http://www.wtma.com/news/what-we-learned-in-the-waymo-v-uber-case/,,,404,bad_status_or_empty:404
http://www.newsplex.com/content/news/ACP-sues-Wintergreen-landowners-under-eminent-domain-473699543.html,,,404,bad_status_or_empty:404
http://www.bendbulletin.com/home/5993743-151/cambodia-leader-under-suspicion-of-facebook-misuse,,,404,bad_status_or_empty:404
http://www.newsoptimist.ca/news/local-news/justice-for-colten-boushie-rally-in-nb-1.23170745,,,403,bad_status_or_empty:403
http://kdwn.com/2018/02/10/boko-haram-releases-13-hostages-after-talks-with-nigeria/,,,403,bad_status_or_empty:403
http://torontosun.com/opinion/columnists/marin-ontario-pc-leader-candidates-have-their-work-cut-out-for-them,MARIN: Ontario PC leader candidates have their work cut out for them | Toronto Sun,All the Progressive Conservative leadership candidates show promise and give us hope for the future.,200,
http://fijisun.com.fj/2018/02/11/cop-23-star-badged-a-senior-prefect/,,,404,bad_status_or_empty:404
http://fijisun.com.fj/2018/02/11/strengthened-health-sector-for-fiji-tuvalu/,,,404,bad_status_or_empty:404
http://thestarphoenix.com/news/local-news/gerald-stanley-trial-premier-moe-acknowledges-the-pain-felt-by-the-boushie-family-after-acquittal,Gerald Stanley trial: Premier Moe acknowledges 'the pain felt by the Boushie family' after acquittal | The Star Phoenix,"As rallies were being held across Canada following the acquittal of Gerald Stanley in the shooting death of 22-year-old Colten Boushie, Premier Scott Moe said it is…",200,
https://www.gattonstar.com.au/news/the-true-cost-of-barnabys-actions-is-staggering/3332291/,,,403,bad_status_or_empty:403
https://www.nottinghampost.com/news/local-news/gps-nottingham-still-seeing-very-1196727,GPs in Nottingham are still seeing very high numbers of flu cases  - Nottinghamshire Live,New data which is based on GP consultation rates show that outbreaks of flu are continuing to rise,200,
http://m.philstar.com/breakingnews/show/b40163b5b27919833a92f986b1ff6705?t=k6k3pon5d9uug532sru7d572k3,,,404,bad_status_or_empty:404
http://www.daytondailynews.com/news/local/officer-killed-critical-condition-after-shooting-westerville/lXimlHlunYCNx7yg48T1wL/,GDPR Support,,200,
http://wam.ae/en/details/1395302666345,ÙÙØ§ÙØ© Ø£ÙØ¨Ø§Ø¡ Ø§ÙØ¥ÙØ§Ø±Ø§Øª,,200,
