globaleventid,sqldate,ingest_time,eventcode,eventbasecode,eventrootcode,quadclass,numentions,numsources,numarticles,avgtone,actiongeo_fullname,actiongeo_countrycode,actiongeo_adm1code,actiongeo_adm2code,actiongeo_lat,actiongeo_lon,actiongeo_featureid,dateadded,sourceurl
1149157552,20230101,20240101000000,060,060,06,2,10,1,10,-1.02974828375286,United States,US,US,,39.828175,-98.5795,US,20240101000000,https://www.theblaze.com/columns/opinion/roth-blame-government-for-the-reason-young-adults-are-still-living-with-their-parents
1149157553,20230101,20240101000000,050,050,05,1,2,1,2,-0.8,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20240101000000,https://news.yahoo.com/china-xi-vows-reunification-taiwan-220733099.html
1149157554,20230101,20240101000000,051,051,05,1,2,1,2,0,France,FR,FR,,46,2,FR,20240101000000,https://nichegamer.com/future-boy-conan-getting-stage-play/
1149157558,20230101,20240101000000,010,010,01,1,2,1,2,-5.71428571428572,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,28554,50.4333,30.5167,-1044367,20240101000000,https://www.channelnewsasia.com/world/ukraine-zelenskyy-vows-wrath-russia-2024-putin-4019246
1149157560,20230101,20240101000000,020,020,02,1,6,3,6,-1.88993609864597,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,28554,50.4333,30.5167,-1044367,20240101000000,https://www.devdiscourse.com/article/law-order/2762696-zelenskiy-says-ukraine-stronger-as-it-moves-toward-year-two-of-war
1149157562,20231225,20240101000000,112,112,11,3,3,1,3,-1.41242937853107,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,20240101000000,https://news.yahoo.com/venezuelan-president-nicolas-maduro-mobilizes-223927592.html
1149157568,20231225,20240101000000,043,043,04,1,10,1,10,-3.719723183391,"Iqrit, Ha?afon, Israel",IS,IS03,18314,33.0833,35.2667,-780263,20240101000000,https://www.ynetnews.com/article/s1cyvwkut
1149157574,20240101,20240101000000,042,042,04,1,10,1,10,-1.01010101010101,,,,,,,,20240101000000,https://www.reddeeradvocate.com/local-news/online-fundraisers-support-families-of-didsbury-teens-killed-in-collision-7291394
1149157575,20240101,20240101000000,042,042,04,1,10,1,10,1.78940123881625,Brazil,BR,BR,,-10,-55,BR,20240101000000,https://www.forbes.com/sites/daphneewingchow/2023/12/31/cop28-leaders-deliberate-the-way-forward-for-food-systems/
1149157576,20240101,20240101000000,020,020,02,1,18,2,18,-18.2808552375197,"Boonoke, New South Wales, Australia",AS,AS02,154621,-35.2833,145.117,-1560713,20240101000000,https://www.southcoastregister.com.au/story/8473412/police-raid-campbelltown-home-after-alleged-domestic-violence-attack/?cs=300
1149157577,20240101,20240101000000,036,036,03,1,2,1,2,-5.80357142857143,"Sydney, New South Wales, Australia",AS,AS02,154637,-33.8833,151.217,-1603135,20240101000000,https://www.watoday.com.au/topic/royalty-1myy
1149157579,20240101,20240101000000,060,060,06,2,2,1,2,-1.16666666666666,"Sydney, New South Wales, Australia",AS,AS02,154637,-33.8833,151.217,-1603135,20240101000000,https://www.watoday.com.au/traveller/reviews-and-advice/how-airport-slots-work-and-how-they-affect-us-especially-in-australia-20231228-p5eu2c.html
1149157580,20240101,20240101000000,057,057,05,1,8,1,8,-2.11132437619962,Azerbaijan,AJ,AJ,,40.5,47.5,AJ,20240101000000,https://www.eurasiareview.com/01012024-peace-in-south-caucasus-is-good-for-ukraine-and-the-west-and-bad-for-russia-oped/
1149157583,20240101,20240101000000,110,110,11,3,10,1,10,-6.65760869565217,"Red Sea, Djibouti (general), Djibouti",DJ,DJ00,25312,19,39.5,-2037160,20240101000000,https://www.aol.co.uk/uk-considering-air-strikes-houthi-221929886.html
1149157584,20240101,20240101000000,042,042,04,1,20,2,20,-1.23609394313968,Mexico,MX,MX,,23,-102,MX,20240101000000,https://www.timescolonist.com/animal-stories/wolves-sharks-and-bears-a-look-at-bcs-top-animal-stories-of-2023-8012753
1149157585,20240101,20240101000000,051,051,05,1,6,3,6,0,"Quebec, Quebec, Canada",CA,CA10,12750,47.5,-72,-571850,20240101000000,https://www.pentictonherald.ca/news/national_news/article_542f1c37-a9de-5b09-8111-36eb98f56486.html
1149157586,20240101,20240101000000,057,057,05,1,10,1,10,0.81632653061224,France,FR,FR,,46,2,FR,20240101000000,https://www.pentictonherald.ca/spare_news/article_65caef70-a997-5b9e-8a6b-a9128b39ee25.html
1149157588,20240101,20240101000000,042,042,04,1,40,1,40,-5.23255813953488,"Hangzhou, Zhejiang, China",CH,CH02,13319,30.2553,120.169,-1908366,20240101000000,https://590kqnt.iheart.com/content/2023-12-31-us-navy-sank-3-houthi-boats-attacking-merchant-vessel/
1149157589,20240101,20240101000000,043,043,04,1,10,1,10,1.58501440922191,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20240101000000,https://www.originalfm.com/news/headlines/new-year-celebrations-how-the-world-is-marking-the-start-of-2024/
1149157591,20240101,20240101000000,100,100,10,3,10,1,10,-1.67364016736401,United States,US,US,,39.828175,-98.5795,US,20240101000000,https://www.theblaze.com/columns/opinion/macintyre-you-gotta-serve-somebody
1149157593,20240101,20240101000000,042,042,04,1,2,1,2,1.30597014925373,Colombia,CO,CO,,4,-72,CO,20240101000000,https://www.wabi.tv:443/2023/12/31/folks-bangor-reflect-2023-before-ringing-2024/
1149157595,20240101,20240101000000,173,173,17,4,10,2,10,-7.03910869962812,"North Carolina, United States",US,USNC,,35.6411,-79.8431,NC,20240101000000,https://wacotrib.com/ap/national/off-duty-police-officer-is-killed-in-north-carolina-after-witnessing-a-crime/article_7802ec10-c370-54a3-826a-2c11f7610fb9.html
