event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
SEN1630,2023-01-04,1,Protests,Peaceful protest,Protesters (Senegal),,,,Senegal,Dakar,Dakar,Medina,14.685,-17.4494,1,International,0
SEN1631,2023-01-04,1,Protests,Peaceful protest,Protesters (Senegal),,,,Senegal,Fatick,Fatick,Diouroup,14.3672,-16.5251,2,National,0
SEN1633,2023-01-10,1,Protests,Peaceful protest,Protesters (Senegal),,,,Senegal,Kolda,Velingara,Kandiaye,12.9681,-14.0302,2,National,0
SEN1661,2023-02-21,1,Protests,Peaceful protest,Protesters (Senegal),Health Workers (Senegal); Labor Group (Senegal),,,Senegal,Dakar,Dakar,Grand Yoff,14.734,-17.4496,1,National,0
SEN1662,2023-02-22,1,Protests,Peaceful protest,Protesters (Senegal),Labor Group (Senegal),,,Senegal,Diourbel,Diourbel,Diourbel,14.75,-16.25,1,National,0
SEN1664,2023-02-19,1,Protests,Peaceful protest,Protesters (Senegal),,,,Senegal,Sedhiou,Sedhiou,Badiari,12.6288,-15.5636,1,National,0
SEN1665,2023-02-20,1,Riots,Violent demonstration,Rioters (Senegal),Students (Senegal),,,Senegal,Louga,Linguere,Dahra,15.3507,-15.4825,1,National,0
SEN1672,2023-03-01,1,Protests,Peaceful protest,Protesters (Senegal),Health Workers (Senegal),,,Senegal,Thies,Tivaoune,Tivaouane,14.9744,-16.9397,1,National,0
SEN1673,2023-02-25,1,Protests,Peaceful protest,Protesters (Senegal),"PASTEF: Patriots of Senegal for Work, Ethics and Fraternity",,,Senegal,Louga,Linguere,Linguere,15.3949,-15.1153,1,National,0
SEN1676,2023-03-05,1,Protests,Peaceful protest,Protesters (Senegal),"PASTEF: Patriots of Senegal for Work, Ethics and Fraternity",,,Senegal,Thies,Tivaoune,Tivaouane,14.9744,-16.9397,1,National,0
SEN1678,2023-03-05,1,Protests,Peaceful protest,Protesters (Senegal),,,,Senegal,Thies,Mbour,Ndayane,14.5669,-17.1261,1,National,0
SEN1683,2023-03-15,1,Protests,Peaceful protest,Protesters (Senegal),"PASTEF: Patriots of Senegal for Work, Ethics and Fraternity",,,Senegal,Diourbel,Mbacke,Mbacke,14.7903,-15.908,1,International,0
SEN1686,2023-03-14,1,Protests,Peaceful protest,Protesters (Senegal),"PASTEF: Patriots of Senegal for Work, Ethics and Fraternity",,,Senegal,Kaffrine,Birkelane,Kaffrine,14.1217,-15.6931,1,National,0
SEN1687,2023-03-15,1,Protests,Peaceful protest,Protesters (Senegal),"PASTEF: Patriots of Senegal for Work, Ethics and Fraternity; Yewwi Askan Wi",,,Senegal,Matam,Matam,Matam,15.6559,-13.2554,1,National,0
SEN1688,2023-03-13,1,Protests,Peaceful protest,Protesters (Senegal),,,,Senegal,Thies,Mbour,Mbour,14.422,-16.9638,1,National,0
SEN1695,2023-03-16,1,Riots,Violent demonstration,Rioters (Senegal),"PASTEF: Patriots of Senegal for Work, Ethics and Fraternity",,,Senegal,Sedhiou,Bounkiling,Diaroume,12.9847,-15.6141,1,National,0
SEN1697,2023-03-15,1,Protests,Peaceful protest,Protesters (Senegal),"PASTEF: Patriots of Senegal for Work, Ethics and Fraternity",,,Senegal,Saint Louis,Podor,Podor,16.6602,-14.9594,1,National,0
