event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
SWE105,2020-02-07,1,Protests,Peaceful protest,Protesters (Sweden),,,,Sweden,Stockholms,Stockholm,Hasselby,59.3767,17.815,1,Subnational-National,0
SWE175,2020-02-24,1,Protests,Peaceful protest,Protesters (Sweden),Women (Sweden),,,Sweden,Dalarnas,Avesta,Avesta,60.1467,16.1707,1,Subnational,0
SWE20,2020-01-15,1,Protests,Peaceful protest,Protesters (Sweden),,,,Sweden,Uppsala,Uppsala,Uppsala,59.8583,17.647,1,Other,0
SWE21,2020-01-15,1,Protests,Peaceful protest,Protesters (Sweden),,,,Sweden,Orebro,Orebro,Orebro,59.2754,15.2133,1,Other,0
SWE22,2020-01-15,1,Protests,Peaceful protest,Protesters (Sweden),,,,Sweden,Vasternorrlands,Sundsvall,Sundsvall,62.3907,17.3073,1,Other,0
SWE223,2020-03-12,1,Riots,Violent demonstration,Rioters (Sweden),Prisoners (Sweden),,,Sweden,Ostergotlands,Norrkoping,Norrkoping,58.5888,16.1868,2,National,0
SWE226,2020-03-12,1,Protests,Peaceful protest,Protesters (Palestine),Refugees/IDPs (Palestine); Women (Palestine),,,Sweden,Vastra Gotalands,Goteborg,Goteborg,57.7087,11.9728,1,New media,0
SWE227,2020-03-13,1,Violence against civilians,Attack,Unidentified Armed Group (Sweden),,Civilians (Sweden),Journalists (Sweden); Women (Sweden),Sweden,Norrbottens,Pitea,Pitea,65.3165,21.4961,1,National,0
SWE23,2020-01-15,1,Protests,Peaceful protest,Protesters (Sweden),,,,Sweden,Skane,Lund,Lund,55.7063,13.186,1,Other,0
SWE238,2020-03-16,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Sweden),,Civilians (Sweden),,Sweden,Skane,Orkelljunga,Orkelljunga,56.2844,13.2795,2,International,0
SWE24,2020-01-15,1,Protests,Peaceful protest,Protesters (Sweden),,,,Sweden,Norrbottens,Lulea,Lulea,65.583,22.1464,1,Other,0
SWE242,2020-03-19,1,Protests,Peaceful protest,Protesters (Palestine),Refugees/IDPs (Palestine),,,Sweden,Vastra Gotalands,Goteborg,Goteborg,57.7087,11.9728,1,New media,0
SWE247,2020-03-21,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Sweden),,Civilians (Sweden),,Sweden,Skane,Klippan,Klippan,56.1306,13.1295,1,International,0
SWE25,2020-01-15,1,Protests,Peaceful protest,Protesters (Sweden),,,,Sweden,Jonkopings,Jonkoping,Jonkoping,57.7843,14.1663,1,Other,0
SWE251,2020-03-25,1,Protests,Peaceful protest,Protesters (Palestine),Refugees/IDPs (Palestine),,,Sweden,Vastra Gotalands,Goteborg,Goteborg,57.7087,11.9728,1,New media,0
SWE26,2020-01-15,1,Protests,Peaceful protest,Protesters (Sweden),,,,Sweden,Kalmar,Kalmar,Kalmar,56.6643,16.3658,1,Other,0
SWE263,2020-04-06,1,Protests,Peaceful protest,Protesters (Sweden),Refugees/IDPs (Palestine),,,Sweden,Vastra Gotalands,Goteborg,Goteborg,57.7087,11.9728,1,New media,0
SWE264,2020-04-07,1,Protests,Peaceful protest,Protesters (Sweden),Refugees/IDPs (Palestine),,,Sweden,Vastra Gotalands,Goteborg,Goteborg,57.7087,11.9728,1,New media,0
SWE265,2020-04-08,1,Protests,Peaceful protest,Protesters (Sweden),Refugees/IDPs (Palestine),,,Sweden,Vastra Gotalands,Goteborg,Goteborg,57.7087,11.9728,1,New media,0
SWE270,2020-04-15,1,Protests,Peaceful protest,Protesters (Sweden),Refugees/IDPs (Palestine),,,Sweden,Vastra Gotalands,Goteborg,Goteborg,57.7087,11.9728,1,New media-National,0
SWE271,2020-04-15,1,Protests,Peaceful protest,Protesters (Sweden),Refugees/IDPs (Palestine),,,Sweden,Skane,Kristianstad,Kristianstad,56.0318,14.151,1,New media,0
SWE273,2020-04-16,1,Strategic developments,Disrupted weapons use,Police Forces of Sweden (2019-),,Unidentified Armed Group (Sweden),Unidentified Armed Group (Russia),Sweden,Skane,Malmo,Malmo,55.6053,12.9994,1,National,0
SWE274,2020-04-17,1,Protests,Peaceful protest,Protesters (Sweden),Refugees/IDPs (Palestine),,,Sweden,Vastra Gotalands,Molndal,Kallered,57.6104,12.0485,1,New media,0
SWE280,2020-04-20,1,Protests,Peaceful protest,Protesters (Palestine),Refugees/IDPs (Palestine),,,Sweden,Skane,Malmo,Malmo,55.6053,12.9994,1,New media,0
SWE281,2020-04-21,1,Protests,Peaceful protest,Protesters (Palestine),Refugees/IDPs (Palestine),,,Sweden,Vastra Gotalands,Goteborg,Goteborg,57.7087,11.9728,1,Other-New media,0
SWE282,2020-04-21,1,Protests,Peaceful protest,Protesters (Palestine),Refugees/IDPs (Palestine),,,Sweden,Skane,Malmo,Malmo,55.6053,12.9994,1,New media,0
SWE284,2020-04-22,1,Protests,Peaceful protest,Protesters (Palestine),Refugees/IDPs (Palestine),,,Sweden,Skane,Malmo,Malmo,55.6053,12.9994,1,New media,0
SWE285,2020-04-24,1,Protests,Peaceful protest,Protesters (Palestine),Refugees/IDPs (Palestine),,,Sweden,Vastra Gotalands,Goteborg,Goteborg,57.7087,11.9728,1,New media,0
