event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
MLI4830,2021-02-21,1,Violence against civilians,Attack,Unidentified Armed Group (Mali),,Civilians (Mali),Labor Group (Mali); Tuareg Ethnic Group (Mali),Mali,Kidal,Kidal,Kidal,18.44,1.41,1,New media-National,0
MLI4835,2021-02-22,1,Protests,Peaceful protest,Protesters (Mali),,,,Mali,Kidal,Kidal,Kidal,18.44,1.41,1,New media-National,0
MLI4861,2021-02-26,1,Protests,Peaceful protest,Protesters (Mali),,,,Mali,Tombouctou,Tombouctou,Timbuktu,16.7705,-3.0056,1,New media-National,0
MLI4952,2021-04-06,1,Battles,Armed clash,Unidentified Armed Group (Mali),,Forest Guards (Mali),,Mali,Tombouctou,Tombouctou,Timbuktu,16.7705,-3.0056,2,National,1
MLI4965,2021-04-12,1,Protests,Peaceful protest,Protesters (Mali),,,,Mali,Tombouctou,Tombouctou,Timbuktu,16.7705,-3.0056,1,New media,0
MLI5123,2021-05-21,1,Protests,Peaceful protest,Protesters (Mali),,,,Mali,Kidal,Tessalit,Aguelhok,19.4695,0.856,1,New media-Subnational,0
MLI5125,2021-05-21,1,Violence against civilians,Attack,Unidentified Armed Group (Mali),,Civilians (Mali),Dogon Ethnic Group (Mali),Mali,Mopti,Koro,Okoyeri-Dogon,14.82,-2.925,1,New media-National,4
MLI5121,2021-05-20,1,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Mali),,Civilians (Mali),,Mali,Gao,Gao,Boya Goundya,15.8672,0.2237,1,New media-National,0
MLI5118,2021-05-19,1,Violence against civilians,Attack,Private Security Forces (China),,Civilians (Mali),,Mali,Kayes,Kenieba,Hamdallaye,12.3591,-11.0449,1,New media,1
MLI5119,2021-05-19,1,Violence against civilians,Abduction/forced disappearance,Dan Na Ambassagou,,Civilians (Mali),Fulani Ethnic Group (Mali); Pastoralists (Mali),Mali,Mopti,Douentza,Noumboli,15.051,-3.1618,1,New media,0
MLI5113,2021-05-18,1,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Mali),,Civilians (Mali),,Mali,Kayes,Diema,Torodo,14.5113,-8.8428,1,New media,0
MLI5110,2021-05-18,1,Violence against civilians,Attack,Katiba Macina,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,Mali,Mopti,Mopti,Bogo,14.8716,-3.9374,1,New media,1
MLI5112,2021-05-18,1,Violence against civilians,Abduction/forced disappearance,Katiba Macina,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Labor Group (Mali),Mali,Sikasso,Koutiala,Sanguela,12.0022,-5.2863,1,New media-National,0
MLI5111,2021-05-18,1,Violence against civilians,Abduction/forced disappearance,Dan Na Ambassagou,,Civilians (Mali),,Mali,Mopti,Douentza,Douentza,14.9951,-2.9517,1,New media,0
MLI5105,2021-05-17,1,Explosions/Remote violence,Remote explosive/landmine/IED,Katiba Gourma,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,Mali,Tombouctou,Gourma-Rharous,Agoudoud,15.8899,-1.2054,2,New media-National,3
MLI5108,2021-05-17,1,Battles,Armed clash,Katiba Macina,JNIM: Group for Support of Islam and Muslims,Dan Na Ambassagou,,Mali,Mopti,Douentza,Noumboli,15.051,-3.1618,1,New media-National,3
