event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
LBY11402,2024-01-02,1,Protests,Peaceful protest,Protesters (Libya),Labor Group (Libya),,,Libya,South,Wadi al Hayat,El Sharara,26.4316,11.8495,1,National,0
LBY11403,2024-01-03,1,Protests,Peaceful protest,Protesters (Libya),Labor Group (Libya),,,Libya,South,Wadi al Hayat,El Sharara,26.4316,11.8495,1,National,0
LBY11404,2024-01-04,1,Protests,Peaceful protest,Protesters (Libya),Labor Group (Libya),,,Libya,South,Wadi al Hayat,El Sharara,26.4316,11.8495,1,National,0
LBY11405,2024-01-02,1,Violence against civilians,Attack,Unidentified Armed Group (Libya),,Civilians (Libya),,Libya,East,Benghazi,Benghazi,32.1177,20.1293,1,National,0
LBY11406,2024-01-05,1,Strategic developments,Other,Military Forces of Libya (2021-) Government of National Unity (GNU) - Border Guards,,,,Libya,West,Nalut,Ghadamis,30.1337,9.5007,3,National,0
LBY11407,2024-01-11,1,Protests,Peaceful protest,Protesters (Libya),,,,Libya,West,Al Jabal Al Gharbi,Zintan,31.9223,12.252,1,National,0
LBY11408,2024-01-09,1,Protests,Peaceful protest,Protesters (Libya),,,,Libya,West,An Nuqat al Khams,Mellitah,32.8535,12.2386,1,National,0
LBY11409,2024-01-10,1,Protests,Peaceful protest,Protesters (Libya),,,,Libya,West,An Nuqat al Khams,Mellitah,32.8535,12.2386,1,National,0
LBY11410,2024-01-08,1,Protests,Peaceful protest,Protesters (Libya),,,,Libya,West,An Nuqat al Khams,Mellitah,32.8535,12.2386,1,National,0
LBY11411,2024-01-07,1,Protests,Peaceful protest,Protesters (Libya),,,,Libya,South,Wadi al Hayat,El Sharara,26.4316,11.8495,1,National,0
LBY11412,2024-01-06,1,Protests,Peaceful protest,Protesters (Libya),,,,Libya,East,Al Wahat,Ajdabiya,30.7555,20.2263,2,National,0
LBY11413,2024-01-07,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Libya),,Civilians (Libya),,Libya,West,Tripoli,Tripoli - Ayn Zarah,32.8133,13.2697,1,National,0
LBY11414,2024-01-15,1,Protests,Peaceful protest,Protesters (Libya),,,,Libya,West,An Nuqat al Khams,Zaltan,32.947,11.8665,1,National,0
LBY11415,2024-01-16,1,Protests,Peaceful protest,Protesters (Libya),,,,Libya,West,An Nuqat al Khams,Zaltan,32.947,11.8665,1,National,0
LBY11416,2024-01-17,2,Protests,Peaceful protest,Protesters (Libya),Labor Group (Libya),,,Libya,West,Nalut,Wazin,31.9405,10.6618,1,National,0
LBY11417,2024-01-20,2,Protests,Peaceful protest,Protesters (Libya),Labor Group (Libya),,,Libya,West,An Nuqat al Khams,Sabratha,32.7934,12.4885,1,National,0
LBY11419,2024-01-17,1,Violence against civilians,Attack,Police Forces of Libya (2022-) Government of National Stability (GNS) - Internal Security Agency,,Civilians (Libya),,Libya,East,Benghazi,Benghazi,32.1177,20.1293,1,National,1
LBY11421,2024-02-06,1,Violence against civilians,Abduction/forced disappearance,Joint Operations Force (Libya),,Civilians (Libya),,Libya,West,Misratah,Misratah,32.3754,15.0925,1,National,0
LBY11422,2024-02-07,1,Protests,Peaceful protest,Protesters (Libya),,,,Libya,West,Misratah,Misratah,32.3754,15.0925,1,National,0
LBY11423,2024-02-03,1,Battles,Armed clash,Unidentified Clan Militia (Libya),,Unidentified Armed Group (Libya),Military Forces of Libya (2014-) Libyan National Army (LNA),Libya,East,Al Butnan,Al Jaghbub,29.743,24.5176,1,National,1
LBY11425,2024-02-08,1,Strategic developments,Non-violent transfer of territory,Radaa: Special Deterrence Forces,,Government of Libya (2021-) Government of National Unity (GNU),,Libya,West,Tripoli,Tripoli - Mitiga Airport,32.8941,13.276,1,National,0
LBY11426,2024-02-01,2,Strategic developments,Other,Misratah Leaders Movement (Libya),,Joint Operations Force (Libya),,Libya,West,Misratah,Misratah,32.3754,15.0925,1,National,0
LBY11427,2024-02-03,1,Protests,Peaceful protest,Protesters (Libya),,,,Libya,West,Misratah,Misratah,32.3754,15.0925,1,National,0
LBY11428,2024-02-01,2,Protests,Peaceful protest,Protesters (Libya),,,,Libya,West,Nalut,Ghadamis,30.1337,9.5007,1,National,0
LBY11429,2024-02-09,1,Battles,Armed clash,Stability Support Apparatus,22nd Battalion (Libya),Radaa: Special Deterrence Forces,,Libya,West,Al Jabal Al Gharbi,Gharyan,32.1722,13.0203,1,National,0
LBY11434,2024-02-19,1,Strategic developments,Other,Military Forces of Libya (2021-) Government of National Unity (GNU) - Border Guards,,,,Libya,West,Nalut,Dirj,30.165,10.458,2,National,0
LBY11435,2024-02-20,1,Protests,Peaceful protest,Protesters (Libya),Labor Group (Libya); PFG: Petroleum Facilities Guard,,,Libya,West,An Nuqat al Khams,Mellitah,32.8535,12.2386,1,National,0
LBY11436,2024-02-20,1,Battles,Armed clash,Unidentified Armed Group (Libya),,Unidentified Armed Group (Libya),,Libya,West,Az Zawiyah,Az Zawiyah,32.7571,12.7276,1,New media-National,0
LBY11437,2024-02-20,1,Protests,Peaceful protest,Protesters (Libya),Labor Group (Libya); PFG: Petroleum Facilities Guard,,,Libya,West,Az Zawiyah,Az Zawiyah,32.7571,12.7276,1,National,0
LBY11438,2024-02-20,1,Protests,Peaceful protest,Protesters (Libya),Labor Group (Libya); PFG: Petroleum Facilities Guard,,,Libya,West,Misratah,Misratah,32.3754,15.0925,1,National,0
LBY11439,2024-02-25,1,Protests,Peaceful protest,Protesters (Libya),Labor Group (Libya); PFG: Petroleum Facilities Guard,,,Libya,South,Murzuq,Elephant Oil Field,24.5,13.0,1,National,0
LBY11440,2024-02-25,1,Protests,Peaceful protest,Protesters (Libya),Labor Group (Libya); PFG: Petroleum Facilities Guard,,,Libya,West,An Nuqat al Khams,Mellitah,32.8535,12.2386,1,New media-National,0
LBY11441,2024-02-25,1,Protests,Peaceful protest,Protesters (Libya),Labor Group (Libya); PFG: Petroleum Facilities Guard,,,Libya,West,Az Zawiyah,Az Zawiyah,32.7571,12.7276,1,National,0
LBY11442,2024-02-25,1,Protests,Peaceful protest,Protesters (Libya),Labor Group (Libya); PFG: Petroleum Facilities Guard,,,Libya,West,Misratah,Misratah,32.3754,15.0925,1,National,0
LBY11443,2024-02-25,1,Protests,Peaceful protest,Protesters (Libya),Labor Group (Libya); PFG: Petroleum Facilities Guard,,,Libya,West,Nalut,Wafa Oil Field,28.8889,10.027,1,National,0
LBY11454,2024-02-18,1,Riots,Violent demonstration,Rioters (Libya),,,,Libya,West,Al Jabal Al Gharbi,Zintan,31.9223,12.252,1,New media,0
LBY11455,2024-03-13,1,Violence against civilians,Attack,Unidentified Armed Group (Libya),,Civilians (Libya),,Libya,West,Az Zawiyah,Surman,32.7567,12.5716,1,National,0
LBY11451,2024-02-15,1,Battles,Armed clash,Al Silaa Brigade (Libya),,Police Forces of Libya (2021-) Government of National Unity (GNU) - Criminal Investigations Department,,Libya,West,Az Zawiyah,Az Zawiyah,32.7571,12.7276,1,New media,2
LBY11456,2024-03-17,1,Protests,Peaceful protest,Protesters (Libya),,,,Libya,West,Tripoli,Tripoli - Noufliyin,32.8919,13.2161,1,National,0
LBY11458,2024-03-19,1,Protests,Peaceful protest,Protesters (Libya),,,,Libya,West,Misratah,Misratah,32.3754,15.0925,1,National,0
LBY11465,2024-03-30,1,Protests,Peaceful protest,Protesters (Libya),,,,Libya,West,Al Jabal Al Gharbi,Zintan,31.9223,12.252,1,National,0
