event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
SAU6080,2019-09-29,1,Battles,Armed clash,Humat al Tawhid,,Police Forces of Saudi Arabia (2015-),,Saudi Arabia,Mecca,Jiddah,Jeddah,21.5424,39.198,2,New media-International,1
SAU22898,2019-07-15,3,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Saudi Arabia (2015-),,Civilians (Saudi Arabia),,Saudi Arabia,Eastern,Al Qatif,Al Qatif,26.5208,50.0245,2,International,1
SAU22899,2019-12-25,1,Battles,Armed clash,Police Forces of Saudi Arabia (2015-),,Unidentified Armed Group (Saudi Arabia),,Saudi Arabia,Eastern,Ad Dammam,Dammam,26.4344,50.1033,1,International,2
SAU6081,2019-09-29,1,Violence against civilians,Attack,Humat al Tawhid,,Civilians (Saudi Arabia),Government of Saudi Arabia (2015-); Mutayr Tribal Group (Saudi Arabia); Private Security Forces (Saudi Arabia),Saudi Arabia,Mecca,Jiddah,Jeddah,21.5424,39.198,1,New media-International,1
SAU22786,2019-11-11,1,Violence against civilians,Attack,AQAP: Al Qaeda in the Arabian Peninsula,,Civilians (Spain),,Saudi Arabia,Ar Riyadh,Riyadh,Riyadh,24.6877,46.7219,1,International,0
SAU6082,2019-10-10,2,Strategic developments,Change to group/activity,Military Forces of the United States (2017-2021),,,,Saudi Arabia,Ar Riyadh,Riyadh,Riyadh,24.6877,46.7219,3,New media-International,0
SAU23172,2019-04-23,1,Strategic developments,Other,Government of Saudi Arabia (2015-),,Civilians (Saudi Arabia),Shiite Muslim Group (Saudi Arabia); Civilians (Yemen); Civilians (Syria),Saudi Arabia,Ar Riyadh,Riyadh,Riyadh,24.6877,46.7219,3,Other,37
SAU6091,2019-10-23,1,Riots,Violent demonstration,Rioters (Saudi Arabia),,Police Forces of Saudi Arabia (2015-),,Saudi Arabia,Eastern,Hafr Al Batin,Hafar Al Batin,28.4328,45.9708,1,New media,0
SAU5777,2019-07-01,1,Protests,Peaceful protest,Protesters (Sudan),Labor Group (Sudan),,,Saudi Arabia,Ar Riyadh,Riyadh,Riyadh,24.6877,46.7219,1,New media,0
SAU4923,2019-05-14,1,Explosions/Remote violence,Air/drone strike,Unidentified Military Forces,,,,Saudi Arabia,Ar Riyadh,Ad Dawadimi,Ad Dawadimi,24.5077,44.3924,1,Other-International,0
SAU4924,2019-05-14,1,Explosions/Remote violence,Air/drone strike,Unidentified Military Forces,,,,Saudi Arabia,Ar Riyadh,Afif,Afif,23.9065,42.9172,1,Other-International,0
SAU54238,2019-04-07,1,Battles,Armed clash,Police Forces of Saudi Arabia (2015-),,Unidentified Armed Group (Saudi Arabia),,Saudi Arabia,Eastern,Al Qatif,Al Qatif,26.5208,50.0245,2,Other,0
SAU4904,2019-05-11,1,Battles,Armed clash,Police Forces of Saudi Arabia (2015-),,Unidentified Armed Group (Saudi Arabia),,Saudi Arabia,Eastern,Al Qatif,Sanabis,26.5767,50.0817,1,International,8
SAU4420,2019-01-14,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Yemen (2017-) Houthi,,Military Forces of Saudi Arabia (2015-),Militia (Pro-Government),Saudi Arabia,Jizan,Jizan,Jizan,16.8892,42.5511,3,Local partner-Regional,0
SAU4429,2019-01-15,1,Explosions/Remote violence,Remote explosive/landmine/IED,Military Forces of Yemen (2017-) Houthi,,Military Forces of Saudi Arabia (2015-),,Saudi Arabia,Jizan,Jizan,Jizan,16.8892,42.5511,3,New media,0
