event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
MAA1300,2022-01-20,1,Protests,Peaceful protest,Protesters (Mauritania),,,,Mauritania,Hodh Ech Chargi,Amourj,Adel Bagrou,15.4975,-6.9506,1,National,0
MAA1302,2022-01-21,1,Protests,Peaceful protest,Protesters (Mauritania),,,,Mauritania,Hodh Ech Chargi,Amourj,Adel Bagrou,15.4975,-6.9506,1,National,0
MAA1305,2022-01-25,2,Protests,Peaceful protest,Protesters (Mauritania),Labor Group (Mauritania),,,Mauritania,Hodh Ech Chargi,Nema,Nema,16.6162,-7.2535,1,National,0
MAA1307,2022-01-31,1,Protests,Peaceful protest,Protesters (Mauritania),Labor Group (Mauritania),,,Mauritania,Adrar,Atar,Atar,20.5177,-13.0486,1,National,0
MAA1309,2022-02-03,1,Protests,Peaceful protest,Protesters (Mauritania),Pastoralists (Mauritania),,,Mauritania,Hodh Ech Chargi,Nema,Nema,16.6162,-7.2535,1,National,0
MAA1308,2022-02-02,1,Protests,Peaceful protest,Protesters (Mauritania),Miners (Mauritania),,,Mauritania,Tiris Zemmour,Bir Moghrein,Tighirt,25.861,-11.6913,1,National,0
MAA1314,2022-02-09,1,Protests,Peaceful protest,Protesters (Mauritania),Health Workers (Mauritania),,,Mauritania,Tiris Zemmour,Fderick,Zouerat,22.7354,-12.4713,1,National,0
MAA1317,2022-02-15,1,Protests,Peaceful protest,Protesters (Mauritania),Health Workers (Mauritania),,,Mauritania,Hodh El Gharbi,Tintane,Tintane,16.3954,-10.1673,1,National,0
MAA1318,2022-02-16,1,Protests,Peaceful protest,Protesters (Mauritania),Health Workers (Mauritania),,,Mauritania,Assaba,Kankossa,El Ayoun,15.5579,-11.18,1,National,0
MAA1315,2022-02-14,2,Protests,Peaceful protest,Protesters (Mauritania),Health Workers (Mauritania),,,Mauritania,Tiris Zemmour,Fderick,Zouerat,22.7354,-12.4713,1,Subnational,0
MAA1321,2022-02-22,1,Violence against civilians,Attack,Military Forces of Algeria (2019-) Border Guards,,Civilians (Mauritania),Miners (Mauritania),Mauritania,Tiris Zemmour,Bir Moghrein,Chegga,25.37,-5.79,2,National,0
MAA1324,2022-02-25,1,Protests,Peaceful protest,Protesters (Mauritania),Students (Mauritania),,,Mauritania,Trarza,Rosso,Rosso,16.5103,-15.8027,1,National,0
MAA1325,2022-02-21,1,Protests,Peaceful protest,Protesters (Mauritania),Teachers (Mauritania); SLEM: Free Union of Mauritanian Teachers; SIPES: Independent Union of Secondary Education Teachers; FGTE: General Federation of Education Workers; APM: Alliance of Mauritanian Professors; SNES: National Union of Secondary Education,,,Mauritania,Adrar,Atar,Adrar,20.7704,-13.0971,1,New media,0
MAA1328,2022-02-28,2,Protests,Peaceful protest,Protesters (Mauritania),Women (Mauritania),,,Mauritania,Guidimakha,Selibaby,Dafor,15.6569,-12.1498,1,National,0
MAA1326,2022-02-21,1,Protests,Peaceful protest,Protesters (Mauritania),Teachers (Mauritania); SLEM: Free Union of Mauritanian Teachers; SIPES: Independent Union of Secondary Education Teachers; FGTE: General Federation of Education Workers; APM: Alliance of Mauritanian Professors; SNES: National Union of Secondary Education,,,Mauritania,Tiris Zemmour,Fderick,Zouerat,22.7354,-12.4713,1,Subnational,0
MAA1327,2022-02-25,1,Protests,Peaceful protest,Protesters (Mauritania),Women (Mauritania),,,Mauritania,Tiris Zemmour,Fderick,Zouerat,22.7354,-12.4713,1,Subnational,0
MAA1330,2022-03-06,1,Protests,Peaceful protest,Protesters (Mauritania),,,,Mauritania,Hodh Ech Chargi,Bassikounou,Bassikounou,15.8656,-5.9468,1,National,0
MAA1339,2022-03-16,1,Protests,Peaceful protest,Protesters (Mauritania),,,,Mauritania,Brakna,Maghta Lahjar,Magta-Lahjar,17.506,-13.0927,2,National,0
MAA1338,2022-03-15,1,Protests,Peaceful protest,Protesters (Mauritania),Women (Mauritania),,,Mauritania,Dakhlet Nouadhibou,Dakhlet Nouadhibou,Nouadhibou,20.9434,-17.038,1,National,0
MAA1336,2022-03-12,1,Protests,Peaceful protest,Protesters (Mauritania),,,,Mauritania,Hodh Ech Chargi,Bassikounou,Bassikounou,15.8656,-5.9468,1,National,0
MAA1348,2022-03-23,1,Protests,Peaceful protest,Protesters (Mauritania),Students (Mauritania),,,Mauritania,Trarza,Rosso,Rosso,16.5103,-15.8027,1,National,0
MAA1349,2022-03-30,1,Protests,Peaceful protest,Protesters (Mauritania),,,,Mauritania,Assaba,Guerrou,Guerou,16.8177,-11.8359,1,National,0
MAA1353,2022-04-02,1,Protests,Peaceful protest,Protesters (Mauritania),Fishers (Mauritania),,,Mauritania,Dakhlet Nouadhibou,Dakhlet Nouadhibou,Nouadhibou,20.9434,-17.038,1,National,0
