event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
KGZ1806,2023-01-15,1,Protests,Peaceful protest,Protesters (Kyrgyzstan),,,,Kyrgyzstan,Jalal-Abad,Mayluu-Suu,Mayluu-Suu,41.2468,72.4482,1,New media,0
KGZ1810,2023-01-31,1,Protests,Peaceful protest,Protesters (Kyrgyzstan),,,,Kyrgyzstan,Talas,Talas,Kara-Oy,42.4586,72.7158,2,National,0
KGZ1801,2023-01-01,1,Violence against civilians,Attack,Police Forces of Kyrgyzstan (2021-) State Committee for National Security,,Civilians (Kyrgyzstan),,Kyrgyzstan,Osh City,Osh City,Osh,40.5295,72.8064,1,National,0
KGZ1817,2023-02-16,1,Protests,Peaceful protest,Protesters (Kyrgyzstan),,,,Kyrgyzstan,Osh City,Osh City,Osh,40.5295,72.8064,1,National,0
KGZ1821,2023-02-18,1,Protests,Peaceful protest,Protesters (Kyrgyzstan),Women (Kyrgyzstan),,,Kyrgyzstan,Batken,Batken,Kara-Bak,40.1599,70.8131,1,New media,0
KGZ1822,2023-02-20,1,Protests,Peaceful protest,Protesters (Kyrgyzstan),,,,Kyrgyzstan,Talas,Manas,Pokrovka,42.7296,71.6086,1,New media,0
KGZ1825,2023-02-25,1,Protests,Peaceful protest,Protesters (Kyrgyzstan),Butun Kyrgyzstan,,,Kyrgyzstan,Osh,Ozgon,Kurshab,40.6675,73.1368,1,International,0
KGZ1826,2023-02-28,1,Protests,Peaceful protest,Protesters (Kyrgyzstan),,,,Kyrgyzstan,Issyk-Kul,Tup,Tup,42.7292,78.3636,2,National,0
KGZ1827,2023-03-01,1,Violence against civilians,Attack,Police Forces of Kyrgyzstan (2021-),,Civilians (Kyrgyzstan),,Kyrgyzstan,Osh,Nookat,Nookat,40.1666,72.75,1,National,0
KGZ1830,2023-03-09,1,Protests,Peaceful protest,Protesters (Kyrgyzstan),Labor Group (Kyrgyzstan),,,Kyrgyzstan,Talas,Talas,Talas,42.5227,72.2332,1,National,0
KGZ1832,2023-03-10,1,Protests,Peaceful protest,Protesters (Kyrgyzstan),Labor Group (Kyrgyzstan),,,Kyrgyzstan,Talas,Talas,Talas,42.5227,72.2332,1,National,0
KGZ1833,2023-02-07,2,Violence against civilians,Attack,Police Forces of Kyrgyzstan (2021-) State Committee for National Security,,Civilians (Kyrgyzstan),,Kyrgyzstan,Osh City,Osh City,Osh,40.5295,72.8064,1,National,0
KGZ1834,2023-02-20,1,Protests,Peaceful protest,Protesters (Kyrgyzstan),,,,Kyrgyzstan,Talas,Talas,Talas,42.5227,72.2332,1,International,0
KGZ1836,2023-03-04,1,Protests,Peaceful protest,Protesters (Kyrgyzstan),,,,Kyrgyzstan,Talas,Talas,Talas,42.5227,72.2332,1,International,0
KGZ1837,2023-03-06,1,Protests,Peaceful protest,Protesters (Kyrgyzstan),,,,Kyrgyzstan,Naryn,Naryn,Ak-Talaa,41.4185,75.6611,2,National,0
KGZ1843,2023-03-11,1,Protests,Peaceful protest,Protesters (Kyrgyzstan),,,,Kyrgyzstan,Naryn,Naryn,Naryn,41.4273,75.9983,1,National,0
KGZ1846,2023-03-14,1,Protests,Peaceful protest,Protesters (Kyrgyzstan),,,,Kyrgyzstan,Talas,Talas,Talas,42.5227,72.2332,1,International,0
