event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
SVN136,2021-01-01,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0
SVN137,2021-01-08,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0
SVN138,2021-01-13,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0
SVN139,2021-01-15,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0
SVN140,2021-01-19,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0
SVN142,2021-01-29,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0
SVN149,2021-01-31,1,Protests,Peaceful protest,Protesters (Slovenia),Students (Slovenia),,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0
SVN150,2021-01-31,1,Protests,Peaceful protest,Protesters (Slovenia),Students (Slovenia),,,Slovenia,Maribor,,Maribor,46.5547,15.6466,1,National,0
SVN143,2021-02-05,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0
SVN146,2021-01-31,1,Protests,Peaceful protest,Protesters (Slovenia),Students (Slovenia),,,Slovenia,Hrpelje-Kozina,,Hrpelje,45.6072,13.9427,1,National,0
SVN152,2021-01-31,1,Protests,Peaceful protest,Protesters (Slovenia),Students (Slovenia),,,Slovenia,Trbovlje,,Trbovlje,46.155,15.0533,1,National,0
SVN155,2021-02-02,1,Protests,Peaceful protest,Protesters (Slovenia),Students (Slovenia),,,Slovenia,Nova Gorica,,Nova Gorica,45.956,13.6483,1,National,0
SVN151,2021-01-31,1,Protests,Peaceful protest,Protesters (Slovenia),Students (Slovenia),,,Slovenia,Piran,,Portoroz,45.5142,13.592,1,National,0
SVN145,2021-01-31,1,Protests,Peaceful protest,Protesters (Slovenia),Students (Slovenia),,,Slovenia,Hrastnik,,Hrastnik,46.1461,15.0813,1,National,0
SVN153,2021-01-31,1,Protests,Peaceful protest,Protesters (Slovenia),Students (Slovenia),,,Slovenia,Zagorje ob Savi,,Zagorje ob Savi,46.1317,14.9969,1,National,0
SVN156,2021-02-02,1,Protests,Peaceful protest,Protesters (Slovenia),Students (Slovenia),,,Slovenia,Trbovlje,,Trbovlje,46.155,15.0533,2,National,0
SVN157,2021-01-30,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Trbovlje,,Trbovlje,46.155,15.0533,1,National,0
SVN161,2021-02-12,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0
SVN158,2021-02-07,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Trbovlje,,Trbovlje,46.155,15.0533,2,National,0
SVN160,2021-02-09,1,Protests,Peaceful protest,Protesters (Slovenia),Students (Slovenia),,,Slovenia,Maribor,,Maribor,46.5547,15.6466,1,Subnational,0
SVN159,2021-02-08,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0
SVN165,2021-02-16,1,Protests,Peaceful protest,Protesters (Slovenia),Labor Group (Slovenia),,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0
SVN169,2021-02-19,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Maribor,,Maribor,46.5547,15.6466,1,Subnational,0
SVN167,2021-02-17,1,Protests,Peaceful protest,Protesters (Slovenia),Labor Group (Slovenia),,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0
SVN168,2021-02-19,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0
SVN164,2021-02-15,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0
SVN163,2021-02-15,1,Protests,Peaceful protest,Protesters (Slovenia),Labor Group (Slovenia),,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0
SVN172,2021-02-26,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0
SVN173,2021-02-26,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Maribor,,Maribor,46.5547,15.6466,1,National,0
SVN170,2021-02-23,1,Protests,Peaceful protest,Protesters (Slovenia),Labor Group (Slovenia),,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0
SVN175,2021-03-03,1,Protests,Peaceful protest,Protesters (Slovenia),Labor Group (Slovenia),,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0
SVN176,2021-03-11,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Maribor,,Maribor,46.5547,15.6466,1,Subnational,0
SVN177,2021-03-19,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0
SVN178,2021-03-26,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0
SVN180,2021-03-20,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Maribor,,Maribor,46.5547,15.6466,1,National,0
SVN179,2021-03-20,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Ljubljana,,Ljubljana,46.051,14.5051,1,National,0
SVN182,2021-03-27,1,Protests,Peaceful protest,Protesters (Slovenia),,,,Slovenia,Maribor,,Maribor,46.5547,15.6466,1,National,0
