event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
FIN880,2023-01-09,1,Protests,Peaceful protest,Protesters (Finland),NCDK: Kurdish Democratic Society Center Finland; Kurdish Ethnic Group (Finland),,,Finland,Uusimaa,Helsinki,Helsinki,60.1689,24.9445,1,New media,0
FIN884,2023-01-18,1,Protests,Peaceful protest,Protesters (Finland),Labor Group (Finland),,,Finland,Uusimaa,Helsinki,Helsinki,60.1689,24.9445,1,National,0
FIN885,2023-01-19,1,Protests,Peaceful protest,Protesters (Finland),Students (Finland),,,Finland,Pirkanmaa,Tampere,Tampere,61.4967,23.7634,1,National,0
FIN886,2023-01-14,1,Protests,Peaceful protest,Protesters (Finland),Women (Finland),,,Finland,Uusimaa,Helsinki,Helsinki,60.1689,24.9445,1,New media,0
FIN888,2023-01-21,1,Protests,Peaceful protest,Protesters (Finland),Russian Group (Finland),,,Finland,Uusimaa,Helsinki,Helsinki,60.1689,24.9445,1,National,0
FIN889,2023-01-21,1,Protests,Peaceful protest,Protesters (Finland),Russian Group (Finland),,,Finland,Etela-Karjala,Imatra,Imatra,61.1961,28.7763,1,National,0
FIN890,2023-01-21,1,Protests,Peaceful protest,Protesters (Finland),Russian Group (Finland),,,Finland,Pirkanmaa,Tampere,Tampere,61.4967,23.7634,1,National,0
FIN893,2023-01-25,1,Protests,Peaceful protest,Protesters (Finland),Labor Group (Finland),,,Finland,Keski-Suomi,Jyvaskyla,Jyvaskyla,62.242,25.7559,1,National,0
FIN894,2023-01-23,1,Protests,Peaceful protest,Protesters (Finland),Students (Finland),,,Finland,Varsinais-Suomi,Turku,Turku,60.4527,22.2665,1,National,0
FIN895,2023-01-16,1,Protests,Peaceful protest,Protesters (Finland),,,,Finland,Paijat-Hame,Padasjoki,Padasjoki,61.3512,25.2782,1,National,0
FIN897,2023-01-30,1,Protests,Peaceful protest,Protesters (Finland),Kurdish Ethnic Group (Finland),,,Finland,Uusimaa,Helsinki,Helsinki,60.1689,24.9445,1,New media,0
FIN898,2023-01-28,1,Protests,Peaceful protest,Protesters (Finland),Women (Finland),,,Finland,Uusimaa,Helsinki,Helsinki,60.1689,24.9445,1,New media,0
FIN899,2023-01-23,1,Protests,Peaceful protest,Protesters (Finland),,,,Finland,Lappi,Kolari,Kolari,67.3316,23.7899,1,National,0
FIN900,2023-01-25,1,Protests,Peaceful protest,Protesters (Finland),,,,Finland,Lappi,Kolari,Kolari,67.3316,23.7899,1,National,0
FIN901,2023-01-24,1,Protests,Protest with intervention,Protesters (Finland),,Police Forces of Finland (2019-),,Finland,Lappi,Kolari,Kolari,67.3316,23.7899,1,National,0
FIN902,2023-01-30,1,Protests,Protest with intervention,Protesters (Finland),Swedish Forest Rebellion; Protesters (Sweden),Police Forces of Finland (2019-),,Finland,Lappi,Kolari,Kolari,67.3316,23.7899,1,National,0
FIN905,2023-02-06,1,Protests,Peaceful protest,Protesters (Finland),Kurdish Ethnic Group (Finland),,,Finland,Pohjois-Pohjanmaa,Oulu,Oulu,65.0111,25.4773,1,National,0
FIN906,2023-02-06,1,Protests,Peaceful protest,Protesters (Finland),Labor Group (Finland),,,Finland,Varsinais-Suomi,Turku,Turku,60.4527,22.2665,1,National,0
FIN907,2023-02-07,1,Protests,Peaceful protest,Protesters (Finland),,,,Finland,Lappi,Rovaniemi,Rovaniemi,66.4983,25.7053,1,National,0
FIN909,2023-02-12,1,Protests,Protest with intervention,Protesters (Finland),Finnish Forest Movement; Swedish Forest Rebellion; Protesters (Sweden),Police Forces of Finland (2019-),,Finland,Lappi,Kolari,Kolari,67.3316,23.7899,1,National,0
FIN911,2023-02-13,1,Protests,Protest with intervention,Protesters (Finland),Finnish Forest Movement; Swedish Forest Rebellion; Protesters (Sweden),Police Forces of Finland (2019-),,Finland,Lappi,Kolari,Kolari,67.3316,23.7899,1,National,0
FIN913,2023-02-19,1,Protests,Peaceful protest,Protesters (Finland),Finnish Forest Movement,,,Finland,Lappi,Kolari,Kolari,67.3316,23.7899,1,National,0
FIN914,2023-02-20,1,Protests,Peaceful protest,Protesters (Finland),Finnish Forest Movement,,,Finland,Lappi,Kolari,Kolari,67.3316,23.7899,1,National,0
FIN923,2023-03-08,1,Protests,Peaceful protest,Protesters (Finland),Women (Finland),,,Finland,Uusimaa,Helsinki,Helsinki,60.1689,24.9445,1,New media,0
FIN942,2023-03-21,1,Protests,Peaceful protest,Protesters (Finland),,,,Finland,Pohjois-Karjala,Joensuu,Joensuu,62.6009,29.7771,1,National,0
FIN943,2023-03-25,1,Protests,Peaceful protest,Protesters (Finland),Kurdish Ethnic Group (Finland),,,Finland,Uusimaa,Helsinki,Helsinki,60.1689,24.9445,1,National,0
FIN944,2023-03-25,1,Protests,Peaceful protest,Protesters (Finland),Labor Group (Finland),,,Finland,Uusimaa,Helsinki,Helsinki,60.1689,24.9445,1,National,0
FIN945,2023-03-25,1,Protests,Peaceful protest,Protesters (Finland),,,,Finland,Uusimaa,Vantaa,Vantaa,60.3094,25.0352,1,National,0
FIN916,2023-02-24,1,Protests,Peaceful protest,Protesters (Finland),Ukrainian Group (Finland); Russian Group (Finland),,,Finland,Uusimaa,Helsinki,Helsinki,60.1689,24.9445,1,National,0
