event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
GNB292,2022-01-14,1,Protests,Peaceful protest,Protesters (Guinea-Bissau),Students (Guinea-Bissau),,,Guinea-Bissau,Bissau,SAB,Bissau,11.8726,-15.5885,1,Subnational,0
GNB295,2022-02-08,1,Violence against civilians,Attack,Unidentified Armed Group (Guinea-Bissau),,Civilians (Guinea-Bissau),Journalists (Guinea-Bissau),Guinea-Bissau,Bissau,SAB,Bissau,11.8726,-15.5885,1,National-International,0
GNB298,2022-03-23,1,Protests,Peaceful protest,Protesters (Guinea-Bissau),Women (Guinea-Bissau); PAIGC: African Party for the Independence of Guinea-Bissau and Cape Verde,,,Guinea-Bissau,Bissau,SAB,Bissau,11.8726,-15.5885,1,Subnational,0
GNB296,2022-03-18,1,Violence against civilians,Attack,Police Forces of Guinea-Bissau (2020-2025),,Civilians (Guinea-Bissau),Lawyers (Guinea-Bissau); MCCI: Movement of Conscious and Dissatisfied Citizens; PAIGC: African Party for the Independence of Guinea-Bissau and Cape Verde,Guinea-Bissau,Bissau,SAB,Bissau,11.8726,-15.5885,1,National-International,0
GNB299,2022-04-06,1,Protests,Peaceful protest,Protesters (Guinea-Bissau),Labor Group (Guinea-Bissau),,,Guinea-Bissau,Bissau,SAB,Bissau,11.8726,-15.5885,1,National,0
GNB301,2022-05-06,1,Violence against civilians,Abduction/forced disappearance,Military Forces of Guinea-Bissau (2020-2025),,Civilians (Guinea-Bissau),Former Military Forces of Guinea-Bissau (2020-2025); Prisoners (Guinea-Bissau),Guinea-Bissau,Bissau,SAB,Bissau,11.8726,-15.5885,3,National,0
GNB303,2022-05-13,1,Protests,Peaceful protest,Protesters (Guinea-Bissau),Women (Guinea-Bissau),,,Guinea-Bissau,Bissau,SAB,Bissau,11.8726,-15.5885,1,National,0
GNB304,2022-05-26,1,Protests,Peaceful protest,Protesters (Guinea-Bissau),Students (Guinea-Bissau),,,Guinea-Bissau,Bissau,SAB,Bissau,11.8726,-15.5885,1,Subnational,0
GNB306,2022-06-10,1,Battles,Armed clash,Elia Communal Militia (Guinea-Bissau),,Arame Communal Militia (Guinea-Bissau),,Guinea-Bissau,Cacheu,Sao Domingos,Susana,12.3064,-16.4744,1,National,1
GNB309,2022-07-14,1,Protests,Peaceful protest,Protesters (Guinea-Bissau),Women (Guinea-Bissau),,,Guinea-Bissau,Bissau,SAB,Bissau,11.8726,-15.5885,1,Subnational,0
GNB311,2022-08-03,1,Protests,Peaceful protest,Protesters (Guinea-Bissau),Labor Group (Guinea-Bissau); UNTG: National Union of Workers of Guinea-Bissau,,,Guinea-Bissau,Bissau,SAB,Bissau,11.8726,-15.5885,1,New media-International,0
GNB314,2022-08-19,1,Protests,Peaceful protest,Protesters (Guinea-Bissau),Labor Group (Guinea-Bissau),,,Guinea-Bissau,Bissau,SAB,Bissau,11.8726,-15.5885,1,National,0
GNB317,2022-10-10,1,Strategic developments,Other,Protesters (Guinea-Bissau),"Teachers (Guinea-Bissau); Health Workers (Guinea-Bissau); FRENAPROFE: National Front of Teachers and Educators; SINETSA: Union of Nurses, Health Care Technicians and Related fields",,,Guinea-Bissau,Bissau,SAB,Bissau,11.8726,-15.5885,3,Subnational-International,0
GNB318,2022-10-10,1,Riots,Mob violence,Rioters (Guinea-Bissau),,Civilians (Guinea-Bissau),,Guinea-Bissau,Biombo,Safim,Bissalanca,11.95,-15.6666,3,National,0
GNB319,2022-11-22,1,Protests,Peaceful protest,Protesters (Guinea-Bissau),,,,Guinea-Bissau,Bissau,SAB,Bissau,11.8726,-15.5885,1,National,0
