event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
NZL25,2021-01-19,1,Protests,Peaceful protest,Protesters (New Zealand),,,,New Zealand,Taranaki,New Plymouth,New Plymouth,-39.0568,174.0759,1,Subnational-National,0
NZL26,2021-01-22,1,Protests,Peaceful protest,Protesters (New Zealand),,,,New Zealand,Canterbury,Christchurch,Christchurch,-43.527,172.6169,1,National,0
NZL224,2021-04-19,1,Protests,Peaceful protest,Protesters (New Zealand),,,,New Zealand,Auckland,Auckland,Auckland - Central,-36.847,174.7642,1,National,0
NZL203,2021-06-09,1,Protests,Peaceful protest,Protesters (New Zealand),Health Workers (New Zealand),,,New Zealand,Auckland,Auckland,Auckland - Central,-36.847,174.7642,1,National,0
NZL176,2021-06-09,1,Protests,Peaceful protest,Protesters (New Zealand),Health Workers (New Zealand),,,New Zealand,Otago,Queenstown-Lakes,Queenstown,-45.0327,168.6634,1,National,0
NZL212,2021-06-10,1,Protests,Peaceful protest,Protesters (New Zealand),Maori Ethnic Group (New Zealand); Farmers (New Zealand),,,New Zealand,Northland,Far North,Cape Reinga,-34.5051,172.7974,1,National,0
NZL38,2021-07-23,1,Protests,Peaceful protest,Protesters (New Zealand),Protect Putiki; Maori Ethnic Group (New Zealand),,,New Zealand,Auckland,Auckland,Auckland - Central,-36.847,174.7642,1,National,0
NZL154,2021-05-21,1,Protests,Peaceful protest,Protesters (New Zealand),Labor Group (New Zealand),,,New Zealand,Auckland,Auckland,Auckland,-36.8638,174.7721,1,National,0
NZL153,2021-05-19,1,Protests,Peaceful protest,Protesters (New Zealand),Palestinian Group (New Zealand); Jewish Group (New Zealand),,,New Zealand,Wellington,Wellington,Wellington,-41.2876,174.7763,1,National,0
NZL152,2021-05-15,1,Protests,Peaceful protest,Protesters (New Zealand),,,,New Zealand,Auckland,Auckland,Auckland,-36.8638,174.7721,1,National,0
NZL187,2021-06-09,1,Protests,Peaceful protest,Protesters (New Zealand),Health Workers (New Zealand),,,New Zealand,Wellington,Wellington,Wellington,-41.2876,174.7763,1,National,0
NZL211,2021-06-11,1,Protests,Peaceful protest,Protesters (New Zealand),Maori Ethnic Group (New Zealand); Farmers (New Zealand),,,New Zealand,Northland,Far North,Kaikohe,-35.406,173.8046,1,National,0
NZL40,2021-07-27,1,Protests,Peaceful protest,Protesters (New Zealand),Farmers (New Zealand); Groundswell NZ,,,New Zealand,Auckland,Auckland,Auckland,-36.8638,174.7721,1,National,0
NZL218,2021-06-21,1,Protests,Peaceful protest,Protesters (New Zealand),,,,New Zealand,Auckland,Auckland,Auckland - Maungakiekie-Tamaki,-36.9142,174.8245,1,National,0
NZL44,2021-10-04,1,Protests,Peaceful protest,Protesters (New Zealand),,,,New Zealand,Bay of Plenty,Tauranga,Tauranga,-37.6871,176.1649,1,Subnational,0
