event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
COM35,2021-07-30,1,Riots,Mob violence,Rioters (Comoros),,Police Forces of Comoros (2016-),Civilians (Comoros),Comoros,Grande Comore,Oichili Dimani,Itsikoudi,-11.5863,43.3827,2,National,0
COM27,2021-03-26,2,Protests,Peaceful protest,Protesters (Comoros),,,,Comoros,Grande Comore,Oichili Dimani,Mtsamdu,-11.6069,43.3805,1,National,0
COM34,2021-07-30,1,Riots,Mob violence,Rioters (Comoros),,,,Comoros,Grande Comore,Oichili Dimani,Chomoni,-11.6464,43.3956,1,National,0
COM32,2021-07-12,2,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Comoros),Government of Comoros (2016-),Civilians (Comoros),,Comoros,Grande Comore,Oichili Dimani,Itsikoudi,-11.5863,43.3827,1,National,0
COM36,2021-08-10,1,Protests,Peaceful protest,Protesters (Comoros),,,,Comoros,Grande Comore,Hambou,Dzahadjou,-11.8529,43.3499,1,National,0
COM1,2021-08-27,1,Riots,Violent demonstration,Rioters (Comoros),,Police Forces of Comoros (2016-),,Comoros,Ngazidja ou Grande Comore,,Iconi,-11.7426,43.2499,1,National,0
COM2,2021-08-27,1,Protests,Protest with intervention,Protesters (Comoros),,Police Forces of Comoros (2016-),,Comoros,Grande Comore,Moroni Bambao,Moroni,-11.7021,43.255,1,National,0
COM28,2021-04-12,1,Protests,Peaceful protest,Protesters (Comoros),,,,Comoros,Anjouan,Mremani,Adda Doueni,-12.3,44.5,1,National,0
COM29,2021-05-09,1,Protests,Peaceful protest,Protesters (Comoros),,,,Comoros,Grande Comore,Moroni Bambao,Moroni,-11.7021,43.255,1,National,0
COM31,2021-05-25,2,Protests,Peaceful protest,Protesters (Comoros),Students (Comoros); Teachers (Comoros),,,Comoros,Grande Comore,Moroni Bambao,Moroni,-11.7021,43.255,2,National,0
COM33,2021-07-19,1,Strategic developments,Other,Police Forces of Comoros (2016-),,Civilians (Comoros),Former Government of Comoros (2016-),Comoros,Grande Comore,Moroni Bambao,Moroni,-11.7021,43.255,1,National,0
COM38,2021-09-13,1,Riots,Mob violence,Rioters (Comoros),,Civilians (Comoros),,Comoros,Ndzuwani ou Anjouan,,Domoni,-12.2587,44.5289,1,National,0
COM39,2021-09-20,1,Protests,Protest with intervention,Protesters (Comoros),Students (Comoros),Police Forces of Comoros (2016-) Gendarmerie,,Comoros,Grande Comore,Moroni Bambao,Moroni,-11.7021,43.255,1,National,0
COM42,2021-10-07,1,Violence against civilians,Attack,Police Forces of Comoros (2016-),,Civilians (Comoros),Labor Group (Comoros),Comoros,Anjouan,Mutsamudu,Mutsamudu,-12.1667,44.3994,1,National,0
COM43,2021-11-02,1,Protests,Peaceful protest,Protesters (Comoros),Labor Group (Comoros),,,Comoros,Grande Comore,Moroni Bambao,Moroni,-11.7021,43.255,1,National,0
COM44,2021-11-06,1,Protests,Peaceful protest,Protesters (Comoros),,,,Comoros,Grande Comore,Moroni Bambao,Moroni,-11.7021,43.255,1,National,0
COM46,2021-11-13,1,Violence against civilians,Attack,Police Forces of Comoros (2016-) Gendarmerie,,Civilians (Comoros),Journalists (Comoros); Women (Comoros),Comoros,Anjouan,Mutsamudu,Mutsamudu,-12.1667,44.3994,1,National,0
COM47,2021-12-11,1,Protests,Peaceful protest,Protesters (Comoros),Women (Comoros),,,Comoros,Grande Comore,Moroni Bambao,Moroni,-11.7021,43.255,1,National,0
COM87,2021-11-15,3,Violence against civilians,Attack,Police Forces of Comoros (2016-) Gendarmerie,,Civilians (Comoros),Prisoners (Comoros),Comoros,Ndzuwani ou Anjouan,,Koki,-12.1731,44.4419,1,National,0
COM3,2021-09-03,1,Protests,Protest with intervention,Protesters (Comoros),,Police Forces of Comoros (2016-),,Comoros,Grande Comore,Moroni Bambao,Moroni,-11.7021,43.255,1,National-International,0
COM37,2021-08-21,1,Protests,Peaceful protest,Protesters (Comoros),Muslim Group (Comoros),,,Comoros,Mwali ou Moheli,,Fomboni,-12.2826,43.7399,1,National,0
COM30,2021-05-16,1,Protests,Peaceful protest,Protesters (Comoros),Women (Comoros),,,Comoros,Grande Comore,Hamahamet Mboinkou,Mbeni,-11.5014,43.3775,1,National,0
COM40,2021-09-23,2,Protests,Peaceful protest,Protesters (Comoros),Students (Comoros),,,Comoros,Ngazidja ou Grande Comore,,Bambadjani,-11.4842,43.3878,1,National,0
COM41,2021-09-25,2,Strategic developments,Looting/property destruction,Mbeni Communal Militia (Comoros),,Civilians (Comoros),Mnungu Communal Group (Comoros),Comoros,Grande Comore,Hamahamet Mboinkou,Mbeni,-11.5014,43.3775,2,National,0
COM45,2021-11-10,1,Riots,Violent demonstration,Rioters (Comoros),,Police Forces of Comoros (2016-) Gendarmerie,,Comoros,Grande Comore,Mitsamiouli Mboude,Mitsamihouli,-11.3896,43.2933,1,National,0
