event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
PHL13863,2022-01-11,1,Explosions/Remote violence,Remote explosive/landmine/IED,ASG: Abu Sayyaf,,Civilians (Philippines),,Philippines,Bangsamoro Autonomous Region in Muslim Mindanao,Basilan,Benembengan Upper,6.5175,121.9714,1,National,1
PHL13872,2022-01-17,1,Protests,Peaceful protest,Protesters (Philippines),Labor Group (Philippines),,,Philippines,Western Visayas,Negros Occidental,Bacolod,10.6666,122.95,1,Subnational,0
PHL13905,2022-01-24,1,Violence against civilians,Attack,NPA: New People's Army,,Civilians (Philippines),Labor Group (Philippines),Philippines,Caraga,Agusan del Norte,Butuan,8.9491,125.5436,1,National,1
PHL13926,2022-01-28,1,Violence against civilians,Attack,Private Security Forces (Philippines),,Civilians (Philippines),KMP: Peasant Movement of the Philippines; Farmers (Philippines); Journalists (Philippines),Philippines,Central Luzon,Bulacan,San Jose del Monte,14.8138,121.0452,1,National,0
PHL13933,2022-01-26,1,Strategic developments,Looting/property destruction,Private Security Forces (Philippines),,Civilians (Philippines),Farmers (Philippines),Philippines,Central Luzon,Bulacan,San Jose del Monte,14.8138,121.0452,1,National,0
PHL13919,2022-01-31,1,Protests,Peaceful protest,Protesters (Philippines),Health Workers (Philippines),,,Philippines,National Capital Region,Metropolitan Manila,Manila,14.6042,120.9822,1,National,0
PHL13916,2022-01-29,1,Violence against civilians,Attack,NPA: New People's Army,,Civilians (Philippines),Lumad Ethnic Group (Philippines),Philippines,Caraga,Surigao del Sur,Tina,8.9422,126.0401,1,National,0
PHL13935,2022-02-07,1,Protests,Peaceful protest,Protesters (Philippines),PLM: Party of the Laboring Masses; Labor Group (Philippines),,,Philippines,National Capital Region,Metropolitan Manila,Quezon City,14.6488,121.0509,1,National,0
PHL13921,2022-02-02,1,Protests,Peaceful protest,Protesters (Philippines),Health Workers (Philippines),,,Philippines,National Capital Region,Metropolitan Manila,Manila,14.6042,120.9822,1,National,0
PHL13855,2022-01-06,1,Violence against civilians,Attack,Unidentified Armed Group (Philippines),,Civilians (Philippines),Partido Asenso Hinoban-on,Philippines,Western Visayas,Negros Occidental,Culipapa,9.4729,122.5618,1,National,1
PHL13852,2022-01-10,1,Riots,Mob violence,Rioters (Philippines),Prisoners (Philippines),Rioters (Philippines),Prisoners (Philippines),Philippines,National Capital Region,Metropolitan Manila,Caloocan,14.6495,120.9678,1,National,6
PHL13957,2022-02-14,1,Protests,Peaceful protest,Protesters (Philippines),AHW: Alliance of Health Workers; Health Workers (Philippines),,,Philippines,National Capital Region,Metropolitan Manila,Manila,14.6042,120.9822,1,National,0
PHL13962,2022-02-14,1,Protests,Peaceful protest,Protesters (Philippines),Gabriela Women's Party; Women (Philippines),,,Philippines,National Capital Region,Metropolitan Manila,Quezon City,14.6488,121.0509,1,National,0
PHL13961,2022-02-13,1,Protests,Peaceful protest,Protesters (Philippines),"Gabriela Women's Party; GABRIELA: General Assembly Binding Women for Reforms, Integrity, Equality, Leadership, and Action; Women (Philippines)",,,Philippines,National Capital Region,Metropolitan Manila,Quezon City,14.6488,121.0509,1,National,0
PHL13960,2022-02-14,1,Protests,Peaceful protest,Protesters (Philippines),Farmers (Philippines),,,Philippines,Cordillera Administrative Region,Benguet,La Trinidad,16.455,120.5875,1,National,0
PHL13994,2022-02-24,1,Protests,Peaceful protest,Protesters (Philippines),UMA: National Federation of Agricultural Workers Union; Farmers (Philippines),,,Philippines,National Capital Region,Metropolitan Manila,Quezon City,14.6488,121.0509,1,National,0
PHL14019,2022-03-01,1,Violence against civilians,Attack,Unidentified Armed Group (Philippines),,Civilians (Philippines),,Philippines,Central Visayas,Negros Oriental,Bayawan,9.3649,122.804,1,National,1
PHL14004,2022-02-25,1,Protests,Peaceful protest,Protesters (Philippines),Lawyers (Philippines),,,Philippines,Western Visayas,Negros Occidental,Bacolod,10.6666,122.95,1,National,0
PHL14022,2022-03-02,1,Violence against civilians,Attack,NPA: New People's Army,,Civilians (Philippines),,Philippines,Western Visayas,Negros Occidental,Macagahay,10.2573,123.1641,1,National,1
PHL14016,2022-02-19,1,Violence against civilians,Attack,NPA: New People's Army,,Civilians (Philippines),,Philippines,Western Visayas,Negros Occidental,Santol,10.133,123.0178,1,National,1
PHL14037,2022-03-11,1,Protests,Peaceful protest,Protesters (Philippines),Labor Group (Philippines),,,Philippines,National Capital Region,Metropolitan Manila,Manila,14.6042,120.9822,1,National,0
PHL14036,2022-03-08,1,Protests,Peaceful protest,Protesters (Philippines),Labor Group (Philippines),,,Philippines,Cordillera Administrative Region,Benguet,La Trinidad,16.455,120.5875,1,Subnational,0
PHL14027,2022-02-28,1,Violence against civilians,Attack,NPA: New People's Army,,Civilians (Philippines),,Philippines,Central Visayas,Negros Oriental,Guihulngan,10.1214,123.2742,1,National,1
PHL14035,2022-03-07,1,Protests,Peaceful protest,Protesters (Philippines),KARAPATAN: Alliance for the Advancement of People's Rights,,,Philippines,National Capital Region,Metropolitan Manila,Quezon City,14.6488,121.0509,1,National,0
PHL14074,2022-03-14,1,Protests,Peaceful protest,Protesters (Philippines),Anakpawis; PISTON: United Nationwide Association of Drivers and Operators; Labor Group (Philippines),,,Philippines,National Capital Region,Metropolitan Manila,Quezon City,14.6488,121.0509,1,National,0
PHL14075,2022-03-17,1,Protests,Peaceful protest,Protesters (Philippines),KMU: May First Labor Movement; Labor Group (Philippines),,,Philippines,National Capital Region,Metropolitan Manila,Quezon City,14.6488,121.0509,1,National,0
PHL14060,2022-03-15,1,Protests,Peaceful protest,Protesters (Philippines),Pamalakaya: National Federation of Small Fisherfolk Organization in the Philippines; Fishers (Philippines),,,Philippines,National Capital Region,Metropolitan Manila,Manila,14.6042,120.9822,2,National,0
PHL14061,2022-03-15,1,Protests,Peaceful protest,Protesters (Philippines),Pamalakaya: National Federation of Small Fisherfolk Organization in the Philippines; Fishers (Philippines),,,Philippines,Calabarzon,Laguna,Bay,14.1836,121.2855,2,National,0
PHL14057,2022-03-11,1,Protests,Peaceful protest,Protesters (Philippines),Greenpeace,,,Philippines,National Capital Region,Metropolitan Manila,Taguig,14.5333,121.0666,1,National,0
PHL14073,2022-03-06,1,Protests,Peaceful protest,Protesters (Philippines),Akbayan Citizens' Action Party; Women (Philippines),,,Philippines,National Capital Region,Metropolitan Manila,Quezon City,14.6488,121.0509,1,National,0
PHL14077,2022-03-21,1,Protests,Peaceful protest,Protesters (Philippines),AHW: Alliance of Health Workers; Health Workers (Philippines),,,Philippines,National Capital Region,Metropolitan Manila,Quezon City,14.6488,121.0509,1,National,0
