event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
BLZ22,2019-05-19,1,Violence against civilians,Attack,Unidentified Gang (Belize),,Civilians (Belize),,Belize,Belize,,Belize City,17.4995,-88.1976,1,National,0
BLZ26,2019-06-03,1,Protests,Peaceful protest,Protesters (Belize),Teachers (Belize),,,Belize,Cayo,,Belmopan,17.25,-88.7667,1,National,0
BLZ36,2019-08-08,1,Battles,Armed clash,Unidentified Armed Group (Belize),,Unidentified Gang (Belize),,Belize,Belize,,Belize City,17.4995,-88.1976,1,National,1
BLZ48,2019-11-11,1,Battles,Armed clash,Unidentified Armed Group (Belize),,Unidentified Gang (Belize),,Belize,Belize,,Belize City,17.4995,-88.1976,1,National,1
BLZ49,2019-11-20,1,Violence against civilians,Attack,Unidentified Armed Group (Belize),,Civilians (Belize),,Belize,Stann Creek,,Dangriga,16.9697,-88.2331,1,National,1
BLZ25,2019-05-23,1,Protests,Peaceful protest,Protesters (Belize),Students (Belize); Teachers (Belize); Labor Group (Belize),,,Belize,Belize,,Belize City,17.4995,-88.1976,1,National,0
BLZ47,2019-10-28,1,Violence against civilians,Attack,Unidentified Armed Group (Belize),,Civilians (Belize),,Belize,Cayo,,Belmopan,17.25,-88.7667,1,National,1
BLZ46,2019-10-22,2,Battles,Armed clash,Unidentified Armed Group (Belize),,Unidentified Gang (Belize),,Belize,Belize,,Belize City,17.4995,-88.1976,1,National,1
BLZ44,2019-10-08,1,Battles,Armed clash,Unidentified Gang (Belize),,Unidentified Gang (Belize),,Belize,Belize,,Belize City,17.4995,-88.1976,1,National,1
BLZ42,2019-09-19,1,Violence against civilians,Attack,Unidentified Armed Group (Belize),,Civilians (Belize),,Belize,Cayo,,Santa Elena,17.1614,-89.0546,1,National,1
BLZ50,2019-11-21,1,Battles,Armed clash,Unidentified Gang (Belize),,Unidentified Gang (Belize),,Belize,Belize,,Belize City,17.4995,-88.1976,1,National,1
BLZ4,2019-01-28,1,Violence against civilians,Attack,Unidentified Armed Group (Belize),,Civilians (Belize),,Belize,Belize,,Belize City,17.4995,-88.1976,1,National,1
BLZ10,2019-01-03,1,Violence against civilians,Attack,Unidentified Armed Group (Belize),,Civilians (Belize),,Belize,Belize,,Belize City,17.4995,-88.1976,1,National,0
BLZ13,2019-08-17,1,Violence against civilians,Attack,Unidentified Gang (Belize),,Civilians (Belize),,Belize,Belize,,Belize City,17.4995,-88.1976,1,National,1
BLZ1,2019-01-01,1,Violence against civilians,Attack,Unidentified Armed Group (Belize),,Civilians (Belize),,Belize,Belize,,Belize City,17.4995,-88.1976,1,National,1
BLZ3,2019-01-02,3,Violence against civilians,Attack,Unidentified Armed Group (Belize),,Civilians (Belize),,Belize,Belize,,Belize City,17.4995,-88.1976,1,National,1
BLZ17,2019-05-03,1,Protests,Peaceful protest,Protesters (Belize),,,,Belize,Belize,,Belize City,17.4995,-88.1976,1,National,0
BLZ57,2019-06-13,1,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Belize),,Civilians (Belize),,Belize,Corozal,,Corozal Town,18.4034,-88.3975,1,National,0
BLZ80,2019-12-21,1,Riots,Mob violence,Rioters (Belize),Vigilante Group (Belize),Civilians (Belize),,Belize,Belize,,Belize City,17.4995,-88.1976,2,National,0
BLZ79,2019-12-12,1,Protests,Peaceful protest,Protesters (Belize),,,,Belize,Stann Creek,,Dangriga,16.9697,-88.2331,2,National,0
BLZ72,2019-10-25,1,Battles,Armed clash,Unidentified Armed Group (Belize),,Unidentified Armed Group (Belize),,Belize,Belize,,Gales Point,17.1817,-88.3318,1,National,1
BLZ65,2019-08-31,1,Violence against civilians,Attack,Unidentified Armed Group (Belize),,Civilians (Belize),,Belize,Belize,,Belize City,17.4995,-88.1976,1,National,1
BLZ61,2019-08-07,1,Battles,Armed clash,Unidentified Armed Group (Belize),,Rocky Road Gang,,Belize,Belize,,Belize City,17.4995,-88.1976,1,National,1
BLZ41,2019-09-07,1,Violence against civilians,Attack,Unidentified Armed Group (Belize),,Civilians (Belize),,Belize,Orange Walk,,Orange Walk,18.0743,-88.5642,1,National,1
BLZ24,2019-05-21,1,Protests,Peaceful protest,Protesters (Belize),PSU: Public Service Union; Labor Group (Belize),,,Belize,Cayo,,Belmopan,17.25,-88.7667,1,National,0
BLZ14,2019-04-13,1,Battles,Armed clash,Unidentified Armed Group (Belize),,Police Forces of Belize (2008-2020),,Belize,Belize,,Ladyville,17.5551,-88.3087,1,National,0
BLZ58,2019-06-15,1,Battles,Armed clash,Unidentified Armed Group (Belize),,Police Forces of Belize (2008-2020),,Belize,Belize,,Belize City,17.4995,-88.1976,1,National,0
BLZ63,2019-08-14,2,Protests,Peaceful protest,Protesters (Belize),Health Workers (Belize),,,Belize,Stann Creek,,Dangriga,16.9697,-88.2331,1,National,0
BLZ29,2019-06-19,2,Violence against civilians,Attack,Unidentified Gang (Belize),,Civilians (Belize),Fishers (Belize),Belize,Belize,,Belize City,17.4995,-88.1976,2,National,5
BLZ62,2019-08-16,1,Protests,Peaceful protest,Protesters (Belize),Health Workers (Belize),,,Belize,Belize,,Belize City,17.4995,-88.1976,3,National,0
BLZ32,2019-07-15,2,Battles,Armed clash,Unidentified Armed Group (Belize),,Unidentified Armed Group (Belize),,Belize,Belize,,Belize City,17.4995,-88.1976,1,National,1
BLZ35,2019-08-01,1,Violence against civilians,Attack,Unidentified Armed Group (Belize),,Civilians (Belize),,Belize,Belize,,Belize City,17.4995,-88.1976,1,National,0
BLZ19,2019-05-01,1,Violence against civilians,Attack,Unidentified Armed Group (Belize),,Civilians (Belize),Military Forces of Belize (2008-2020),Belize,Belize,,Belize City,17.4995,-88.1976,1,National,1
BLZ18,2019-03-08,1,Violence against civilians,Attack,Military Forces of Guatemala (2016-2020),,Civilians (Belize),Government of Belize (2008-2020),Belize,Toledo,,Crique Sarco,15.9839,-89.1053,2,National,0
BLZ12,2019-07-26,1,Violence against civilians,Attack,Unidentified Gang (Belize),,Civilians (Belize),,Belize,Belize,,Belize City,17.4995,-88.1976,1,National,0
BLZ15,2019-09-18,1,Violence against civilians,Attack,Unidentified Armed Group (Belize),,Civilians (Belize),Women (Belize),Belize,Cayo,,Santa Elena,17.1614,-89.0546,1,National,1
BLZ28,2019-06-07,1,Protests,Protest with intervention,Protesters (Belize),PUP: People's United Party,Police Forces of Belize (2008-2020),,Belize,Belize,,Belize City,17.4995,-88.1976,1,National,0
BLZ30,2019-06-21,1,Violence against civilians,Attack,Unidentified Armed Group (Belize),,Civilians (Belize),,Belize,Corozal,,Corozal Town,18.4034,-88.3975,1,National,1
BLZ37,2019-08-07,1,Riots,Violent demonstration,Rioters (Belize),Prisoners (Belize),Police Forces of Belize (2008-2020) Prison Guards,,Belize,Belize,,Belize City,17.4995,-88.1976,1,National,0
BLZ38,2019-08-19,1,Violence against civilians,Attack,Unidentified Armed Group (Belize),,Civilians (Belize),Private Security Forces (Belize),Belize,Belize,,Hattieville,17.4478,-88.3936,1,National,1
BLZ40,2019-09-08,1,Battles,Armed clash,Police Forces of Belize (2008-2020),Military Forces of Belize (2008-2020),Unidentified Gang (Mexico),Unidentified Armed Group (Ecuador); Unidentified Gang (Honduras),Belize,Belize,,La Democracia,17.3419,-88.5508,1,National,0
BLZ43,2019-09-28,1,Battles,Armed clash,Unidentified Armed Group (Belize),,Unidentified Armed Group (Belize),,Belize,Belize,,Belize City,17.4995,-88.1976,1,National,1
BLZ45,2019-10-20,1,Strategic developments,Looting/property destruction,Military Forces of Belize (2008-2020),Police Forces of Belize (2008-2020),Unidentified Gang (Belize),,Belize,Orange Walk,,Blue Creek,17.883,-88.883,1,National,0
BLZ5,2019-03-08,1,Violence against civilians,Attack,Unidentified Armed Group (Belize),,Civilians (Belize),,Belize,Belize,,Belize City,17.4995,-88.1976,1,National,0
BLZ507,2019-01-01,1,Violence against civilians,Attack,Police Forces of Belize (2008-2020),,Civilians (Belize),,Belize,Belize,,San Pedro,17.9213,-87.9623,1,National,0
BLZ51,2019-11-23,1,Violence against civilians,Attack,Unidentified Armed Group (Belize),,Civilians (China),Labor Group (China),Belize,Belize,,Belize City,17.4995,-88.1976,1,National,1
BLZ512,2019-02-07,1,Violence against civilians,Attack,Unidentified Armed Group (Belize),,Civilians (Belize),,Belize,Belize,,Belize City,17.4995,-88.1976,1,National,1
BLZ513,2019-02-07,1,Violence against civilians,Attack,Unidentified Armed Group (Belize),,Civilians (Belize),,Belize,Cayo,,Buena Vista,17.2507,-88.9407,1,National,0
BLZ514,2019-02-13,1,Violence against civilians,Attack,Unidentified Gang (Belize),,Civilians (Belize),,Belize,Belize,,Belize City,17.4995,-88.1976,1,National,1
BLZ515,2019-02-19,1,Strategic developments,Looting/property destruction,Police Forces of Belize (2008-2020),,Unidentified Gang (Belize),,Belize,Orange Walk,,Blue Creek,17.883,-88.883,1,National,0
BLZ518,2019-03-07,2,Battles,Armed clash,Unidentified Armed Group (Guatemala),,Military Forces of Belize (2008-2020),,Belize,Toledo,,Crique Sarco,15.9839,-89.1053,2,National,0
BLZ519,2019-03-10,1,Violence against civilians,Attack,Unidentified Gang (Belize),,Civilians (Belize),,Belize,Belize,,Sand Hill,17.6404,-88.3683,1,National,1
BLZ52,2019-12-13,1,Violence against civilians,Attack,Unidentified Gang (Belize),,Civilians (Belize),,Belize,Belize,,Hattieville,17.4478,-88.3936,1,National,1
BLZ520,2019-03-12,1,Riots,Mob violence,Rioters (Belize),,Civilians (International),,Belize,Orange Walk,,Orange Walk,18.0743,-88.5642,1,National,0
BLZ521,2019-03-24,2,Violence against civilians,Attack,Unidentified Armed Group (Belize),,Civilians (Belize),,Belize,Cayo,,Belmopan,17.25,-88.7667,1,National,1
BLZ523,2019-05-18,1,Violence against civilians,Attack,Unidentified Armed Group (Belize),,Civilians (Belize),,Belize,Cayo,,Teakettle,17.2242,-88.8531,1,National,1
BLZ524,2019-06-08,2,Battles,Armed clash,Unidentified Armed Group (Belize),,Private Security Forces (Haiti),,Belize,Belize,,Belize City,17.4995,-88.1976,1,National,1
BLZ525,2019-06-09,2,Violence against civilians,Attack,Police Forces of Belize (2008-2020),,Civilians (Belize),,Belize,Belize,,Belize City,17.4995,-88.1976,1,National,1
BLZ526,2019-06-19,1,Strategic developments,Looting/property destruction,Police Forces of Belize (2008-2020),,Unidentified Gang (Belize),,Belize,Orange Walk,,Blue Creek,17.883,-88.883,1,National,0
BLZ528,2019-11-24,1,Violence against civilians,Attack,Unidentified Armed Group (Belize),,Civilians (Belize),Women (Belize),Belize,Belize,,Belize City,17.4995,-88.1976,1,National,1
BLZ529,2019-03-04,1,Violence against civilians,Attack,Unidentified Armed Group (Belize),,Civilians (Belize),,Belize,Belize,,Ladyville,17.5551,-88.3087,1,National,0
BLZ53,2019-12-13,1,Riots,Mob violence,Rioters (Belize),Vigilante Group (Belize),Unidentified Armed Group (Belize),,Belize,Orange Walk,,Guinea Grass,17.967,-88.5976,1,National,0
BLZ533,2019-08-01,1,Violence against civilians,Attack,Unidentified Armed Group (Belize),,Civilians (Belize),,Belize,Stann Creek,,Santa Cruz,16.6974,-88.4249,1,National,0
BLZ534,2019-04-07,1,Riots,Mob violence,Rioters (Belize),,Civilians (Belize),,Belize,Belize,,Crooked Tree,17.7791,-88.5383,1,National,0
BLZ536,2019-10-19,1,Violence against civilians,Attack,Unidentified Gang (Belize),,Civilians (Belize),,Belize,Belize,,Belize City,17.4995,-88.1976,1,National,1
BLZ537,2019-02-01,3,Violence against civilians,Attack,Unidentified Gang (Belize),,Civilians (Belize),,Belize,Belize,,Belize City,17.4995,-88.1976,1,National,0
BLZ539,2019-03-31,1,Violence against civilians,Attack,Unidentified Armed Group (Belize),,Civilians (Belize),,Belize,Belize,,Belize City,17.4995,-88.1976,1,National,0
BLZ540,2019-04-01,3,Violence against civilians,Attack,Unidentified Armed Group (Belize),,Civilians (Belize),,Belize,Belize,,Belize City,17.4995,-88.1976,1,National,1
