event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
VEN3575,2020-02-04,2,Protests,Peaceful protest,Protesters (Venezuela),Labor Group (Venezuela),,,Venezuela,Bolivar,Caroni,Ciudad Guayana,8.295,-62.7191,1,Subnational,0
VEN3565,2020-02-03,2,Protests,Peaceful protest,Protesters (Venezuela),,,,Venezuela,Bolivar,Caroni,Ciudad Guayana,8.295,-62.7191,1,Subnational,0
VEN3638,2020-02-16,2,Protests,Peaceful protest,Protesters (Venezuela),,,,Venezuela,Bolivar,Heres,Ciudad Bolivar,8.1292,-63.5409,1,Subnational,0
VEN3420,2020-01-09,2,Strategic developments,Other,Civilians (Venezuela),Refugees/IDPs (Venezuela),,,Venezuela,Tachira,Bolivar,San Antonio del Tachira,7.814,-72.4403,3,Regional,0
VEN3467,2020-01-16,2,Protests,Peaceful protest,Protesters (Venezuela),Teachers (Venezuela),,,Venezuela,Lara,Iribarren,Barquisimeto,10.0647,-69.357,1,National,0
VEN3500,2020-01-20,2,Protests,Peaceful protest,Protesters (Venezuela),,,,Venezuela,Sucre,Libertador,Tunapuy,10.5748,-63.1075,2,National,0
VEN3489,2020-01-20,2,Protests,Peaceful protest,Protesters (Venezuela),,,,Venezuela,Sucre,Ribero,Cariaco,10.4968,-63.5529,2,National,0
VEN3648,2020-02-18,1,Protests,Peaceful protest,Protesters (Venezuela),,,,Venezuela,Merida,Libertador,Merida,8.5897,-71.1561,1,National,0
VEN3510,2020-01-22,2,Protests,Peaceful protest,Protesters (Venezuela),,,,Venezuela,Barinas,Barinas,San Silvestre,8.2759,-70.1103,1,National,0
VEN3493,2020-01-20,2,Protests,Peaceful protest,Protesters (Venezuela),,,,Venezuela,Sucre,Benitez,El Pilar,10.5494,-63.1545,2,National,0
VEN3495,2020-01-20,2,Protests,Peaceful protest,Protesters (Venezuela),,,,Venezuela,Sucre,Valdez,Guiria,10.5772,-62.2984,2,National,0
VEN3642,2020-02-17,2,Riots,Violent demonstration,Rioters (Venezuela),,,,Venezuela,Merida,Libertador,Merida,8.5897,-71.1561,1,National,0
VEN3496,2020-01-20,2,Protests,Peaceful protest,Protesters (Venezuela),,,,Venezuela,Trujillo,San Rafael de Carvajal,La Cejita,9.3671,-70.58,1,National,0
VEN3499,2020-01-20,2,Protests,Peaceful protest,Protesters (Venezuela),,,,Venezuela,Trujillo,Trujillo,Trujillo,9.3658,-70.4369,1,National,0
VEN3539,2020-01-29,2,Protests,Peaceful protest,Protesters (Venezuela),,,,Venezuela,Lara,Iribarren,Barquisimeto,10.0647,-69.357,1,National,0
VEN3746,2020-03-03,1,Protests,Peaceful protest,Protesters (Venezuela),Teachers (Venezuela),,,Venezuela,Merida,Libertador,Merida,8.5897,-71.1561,1,National,0
VEN3762,2020-03-04,1,Protests,Peaceful protest,Protesters (Venezuela),Teachers (Venezuela),,,Venezuela,Merida,Libertador,Merida,8.5897,-71.1561,1,National,0
VEN3751,2020-03-03,1,Protests,Peaceful protest,Protesters (Venezuela),Teachers (Venezuela),,,Venezuela,Miranda,Los Salias,San Antonio de Los Altos,10.3885,-66.9518,1,National,0
VEN3748,2020-03-03,1,Protests,Peaceful protest,Protesters (Venezuela),Teachers (Venezuela),,,Venezuela,Miranda,Lander,Ocumare del Tuy,10.1182,-66.7751,2,National,0
VEN3769,2020-03-04,1,Protests,Peaceful protest,Protesters (Venezuela),Teachers (Venezuela),,,Venezuela,Guarico,Juan German Roscio,San Juan de los Morros,9.9115,-67.3538,1,National,0
VEN3815,2020-03-10,2,Protests,Peaceful protest,Protesters (Venezuela),,,,Venezuela,Bolivar,Caroni,Ciudad Guayana,8.295,-62.7191,1,Subnational,0
VEN3930,2020-03-23,2,Violence against civilians,Attack,Military Forces of Venezuela (1999-) DGCIM: Directorate General of Military Counterintelligence,,Civilians (Venezuela),Prisoners (Venezuela),Venezuela,Miranda,Guaicaipuro,Los Teques,10.3445,-67.0433,1,National,0
VEN3725,2020-02-15,2,Violence against civilians,Attack,Police Forces of Venezuela (1999-),,Civilians (Venezuela),Labor Group (Venezuela),Venezuela,Trujillo,Pampan,Monay,9.541,-70.4614,1,National,1
VEN4004,2020-04-08,1,Protests,Peaceful protest,Protesters (Venezuela),Pemon Indigenous Group (Venezuela),,,Venezuela,Bolivar,Gran Sabana,Canaima National Park,5.5463,-61.9982,1,National,0
VEN4005,2020-04-08,1,Strategic developments,Looting/property destruction,ELN: National Liberation Army,Military Forces of Venezuela (1999-),Civilians (Venezuela),Women (Venezuela); Catholic Christian Group (Venezuela),Venezuela,Tachira,Libertad,Capacho Viejo,7.8289,-72.3194,1,National,0
