event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
ZIM6544,2020-12-29,2,Violence against civilians,Attack,Police Forces of Zimbabwe (2017-),,Civilians (Zimbabwe),Prisoners (Zimbabwe),Zimbabwe,Matabeleland South,Beitbridge Urban,Beitbridge,-22.2167,29.9833,1,National,1
ZIM6543,2020-12-25,1,Violence against civilians,Attack,Police Forces of Zimbabwe (2017-),,Civilians (Zimbabwe),Women (Zimbabwe); Prisoners (Zimbabwe),Zimbabwe,Bulawayo,Bulawayo,Nkulumane,-20.185,28.5169,1,National,0
ZIM6542,2020-12-18,1,Protests,Peaceful protest,Protesters (Zimbabwe),Labor Group (Zimbabwe),,,Zimbabwe,Bulawayo,Bulawayo,Bulawayo,-20.15,28.58,1,National,0
ZIM6541,2020-12-17,1,Protests,Peaceful protest,Protesters (Zimbabwe),Labor Group (Zimbabwe),,,Zimbabwe,Bulawayo,Bulawayo,Bulawayo,-20.15,28.58,1,National,0
ZIM6539,2020-12-13,1,Violence against civilians,Sexual violence,Military Forces of Zimbabwe (2017-),,Civilians (Zimbabwe),Christian Group (Zimbabwe); Men (Zimbabwe),Zimbabwe,Harare,Harare Urban,Harare,-17.8277,31.0534,2,National,0
ZIM6535,2020-12-07,1,Riots,Violent demonstration,Rioters (Zimbabwe),ZANU-PF: Zimbabwe African National Union-Patriotic Front,Civilians (Zimbabwe),Journalists (Zimbabwe),Zimbabwe,Manicaland,Mutare Urban,Mutare,-18.9707,32.6709,2,National,0
ZIM6534,2020-12-05,1,Violence against civilians,Attack,Police Forces of Zimbabwe (2017-),,Civilians (Zimbabwe),Teachers (Zimbabwe),Zimbabwe,Masvingo,Zaka,Zaka,-20.35,31.45,1,National,0
ZIM6533,2020-12-05,1,Riots,Violent demonstration,Rioters (Zimbabwe),ZANU-PF: Zimbabwe African National Union-Patriotic Front,,,Zimbabwe,Manicaland,Mutare Urban,Mutare,-18.9707,32.6709,1,National,0
ZIM6538,2020-11-30,1,Protests,Peaceful protest,Protesters (Zimbabwe),,,,Zimbabwe,Bulawayo,Bulawayo,Bulawayo,-20.15,28.58,1,National,0
ZIM6532,2020-11-27,1,Protests,Peaceful protest,Protesters (Zimbabwe),ZANU-PF: Zimbabwe African National Union-Patriotic Front,,,Zimbabwe,Midlands,Kwekwe Urban,Kwekwe,-18.9166,29.8167,1,National,0
ZIM6531,2020-11-14,2,Violence against civilians,Attack,Military Forces of Zimbabwe (2017-),,Civilians (Zimbabwe),,Zimbabwe,Manicaland,Nyanga,Nyanga,-18.2166,32.75,1,National,1
ZIM6526,2020-11-02,1,Riots,Mob violence,Rioters (Zimbabwe),,Private Security Forces (Zimbabwe),,Zimbabwe,Mashonaland West,Chinhoyi Urban,Chinhoyi,-17.3666,30.2,1,National,1
ZIM6524,2020-10-30,2,Riots,Mob violence,Rioters (Zimbabwe),ZANU-PF: Zimbabwe African National Union-Patriotic Front,Police Forces of Zimbabwe (2017-),Civilians (Zimbabwe); ZANU-PF: Zimbabwe African National Union-Patriotic Front,Zimbabwe,Midlands,Gweru Urban,Gweru,-19.45,29.82,2,National,0
ZIM6525,2020-10-30,1,Protests,Peaceful protest,Protesters (Zimbabwe),Students (Zimbabwe),,,Zimbabwe,Harare,Harare Urban,Harare,-17.8277,31.0534,2,National,0
ZIM6523,2020-10-28,2,Violence against civilians,Attack,Unidentified Armed Group (Zimbabwe),,Civilians (Zimbabwe),ZANU-PF: Zimbabwe African National Union-Patriotic Front,Zimbabwe,Harare,Harare Urban,Harare,-17.8277,31.0534,2,National,0
ZIM6520,2020-10-18,2,Protests,Peaceful protest,Protesters (South Sudan),Students (South Sudan),,,Zimbabwe,Harare,Harare Urban,Harare,-17.8277,31.0534,1,International,0
ZIM6519,2020-10-17,1,Protests,Peaceful protest,Protesters (Zimbabwe),,,,Zimbabwe,Harare,Harare Urban,Harare,-17.8277,31.0534,1,National,0
ZIM6522,2020-10-15,1,Protests,Peaceful protest,Protesters (Zimbabwe),Students (Zimbabwe),,,Zimbabwe,Harare,Harare Urban,Harare,-17.8277,31.0534,1,National,0
ZIM6518,2020-10-12,1,Violence against civilians,Attack,Police Forces of Zimbabwe (2017-),,Civilians (Zimbabwe),,Zimbabwe,Harare,Harare Urban,Harare,-17.8277,31.0534,1,Subnational-National,0
ZIM6515,2020-10-04,1,Battles,Armed clash,ZANU-PF: Zimbabwe African National Union-Patriotic Front,,Police Forces of Zimbabwe (2017-),,Zimbabwe,Midlands,Kwekwe Urban,Kwekwe,-18.9166,29.8167,1,National,0
ZIM6511,2020-09-18,1,Riots,Mob violence,Rioters (Zimbabwe),ZANU-PF: Zimbabwe African National Union-Patriotic Front,Civilians (Zimbabwe),Students (Zimbabwe); ZINASU: Zimbabwe National Students Union; Journalists (Zimbabwe),Zimbabwe,Harare,Harare Urban,Harare,-17.8277,31.0534,1,National,0
