event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
JAM1142,2022-01-03,1,Protests,Peaceful protest,Protesters (Jamaica),Taxi/Bus Drivers (Jamaica),,,Jamaica,Saint Ann,,Saint Ann's Bay,18.4358,-77.201,1,National,0
JAM1150,2022-01-12,1,Violence against civilians,Attack,Unidentified Armed Group (Jamaica),,Civilians (Jamaica),,Jamaica,Kingston,,Kingston,17.9712,-76.7928,1,National,1
JAM1159,2022-01-20,1,Protests,Peaceful protest,Protesters (Jamaica),Labor Group (Jamaica),,,Jamaica,Kingston,,Kingston,17.9712,-76.7928,1,National,0
JAM1155,2022-01-19,1,Violence against civilians,Attack,Unidentified Armed Group (Jamaica),,Civilians (Jamaica),,Jamaica,Kingston,,Kingston,17.9712,-76.7928,1,National,0
JAM1161,2022-01-18,1,Protests,Peaceful protest,Protesters (Jamaica),,,,Jamaica,Kingston,,Kingston,17.9712,-76.7928,1,National,0
JAM1156,2022-01-20,1,Violence against civilians,Attack,Unidentified Armed Group (Jamaica),,Civilians (Jamaica),,Jamaica,Kingston,,Kingston,17.9712,-76.7928,1,National,1
JAM1166,2022-01-26,1,Protests,Peaceful protest,Protesters (Jamaica),Labor Group (Jamaica),,,Jamaica,Kingston,,Kingston,17.9712,-76.7928,1,National,0
JAM1169,2022-01-28,1,Violence against civilians,Attack,Unidentified Armed Group (Jamaica),,Civilians (Jamaica),Police Forces of Jamaica (2016-),Jamaica,Kingston,,Kingston,17.9712,-76.7928,1,National,0
JAM1178,2022-02-03,1,Protests,Peaceful protest,Protesters (Jamaica),JLP: Jamaica Labour Party,,,Jamaica,Saint Ann,,Saint Ann's Bay,18.4358,-77.201,1,National,0
JAM1176,2022-01-28,1,Violence against civilians,Attack,Unidentified Armed Group (Jamaica),,Civilians (Jamaica),Labor Group (Jamaica),Jamaica,Saint Catherine,,Old Harbour,17.9414,-77.109,1,National,1
JAM1173,2022-01-28,1,Battles,Armed clash,Unidentified Armed Group (Jamaica),,Police Forces of Jamaica (2016-),,Jamaica,Saint Elizabeth,,New Market,18.1492,-77.9039,1,National,3
JAM1180,2022-02-07,1,Riots,Mob violence,Rioters (Jamaica),Clansman Gang; Prisoners (Jamaica),Police Forces of Jamaica (2016-),,Jamaica,Kingston,,Kingston,17.9712,-76.7928,1,National,0
JAM1183,2022-02-09,1,Battles,Armed clash,Unidentified Armed Group (Jamaica),,Police Forces of Jamaica (2016-),,Jamaica,Kingston,,Kingston,17.9712,-76.7928,1,National,1
JAM1191,2022-02-14,1,Protests,Peaceful protest,Protesters (Jamaica),Taxi/Bus Drivers (Jamaica),,,Jamaica,Kingston,,Kingston,17.9712,-76.7928,1,National,0
JAM1190,2022-02-13,1,Violence against civilians,Attack,Police Forces of Jamaica (2016-),,Civilians (Jamaica),,Jamaica,Kingston,,Kingston,17.9712,-76.7928,1,National,0
JAM1187,2022-02-14,1,Battles,Armed clash,Unidentified Armed Group (Jamaica),,Police Forces of Jamaica (2016-),,Jamaica,Saint Catherine,,Portmore,17.9503,-76.8822,1,National,0
JAM1194,2022-02-24,1,Riots,Violent demonstration,Rioters (Jamaica),,,,Jamaica,Hanover,,Chester Castle,18.3225,-77.9708,1,National,0
JAM1199,2022-02-24,1,Riots,Violent demonstration,Rioters (Jamaica),,,,Jamaica,Westmoreland,,Bethel Town,18.2948,-77.9523,1,National,0
JAM1195,2022-02-25,1,Protests,Peaceful protest,Protesters (Jamaica),Rastafari Group (Jamaica),,,Jamaica,Kingston,,Kingston,17.9712,-76.7928,1,National,0
JAM1209,2022-02-27,1,Battles,Armed clash,Unidentified Armed Group (Jamaica),,Police Forces of Jamaica (2016-),,Jamaica,Saint Catherine,,Portmore,17.9503,-76.8822,1,National,0
JAM1208,2022-02-28,1,Protests,Peaceful protest,Protesters (Jamaica),,,,Jamaica,Hanover,,Chester Castle,18.3225,-77.9708,1,National,0
JAM1212,2022-03-03,1,Strategic developments,Arrests,Police Forces of Jamaica (2016-),,Unidentified Gang (Jamaica),,Jamaica,Kingston,,Kingston,17.9712,-76.7928,1,National,0
JAM1213,2022-03-04,1,Strategic developments,Disrupted weapons use,Police Forces of Jamaica (2016-),,Unidentified Armed Group (Jamaica),,Jamaica,Kingston,,Kingston,17.9712,-76.7928,1,National,0
JAM1207,2022-02-28,1,Battles,Armed clash,Police Forces of Jamaica (2016-),,Police Forces of Jamaica (2016-),,Jamaica,Kingston,,Kingston,17.9712,-76.7928,1,National,0
JAM1206,2022-02-27,1,Protests,Peaceful protest,Protesters (Jamaica),Protesters (Cuba),,,Jamaica,Kingston,,Kingston,17.9712,-76.7928,1,National,0
JAM1218,2022-03-09,1,Battles,Armed clash,Police Forces of Jamaica (2016-),,Top Burgher Gully Gang,,Jamaica,Saint Catherine,,Central Village,18.0011,-76.9168,1,National,4
JAM1223,2022-03-07,1,Violence against civilians,Attack,Unidentified Gang (Jamaica),,Civilians (Jamaica),,Jamaica,Kingston,,Kingston,17.9712,-76.7928,1,National,1
JAM1215,2022-02-12,1,Violence against civilians,Attack,Unidentified Armed Group (Jamaica),,Civilians (Jamaica),,Jamaica,Kingston,,Kingston,17.9712,-76.7928,1,National,2
JAM1219,2022-03-10,1,Protests,Peaceful protest,Protesters (Jamaica),Women (Jamaica); Students (Jamaica),,,Jamaica,Portland,,Port Antonio,18.1762,-76.4509,1,National,0
JAM1214,2022-02-16,1,Violence against civilians,Attack,Top Burgher Gully Gang,,Civilians (Jamaica),,Jamaica,Kingston,,Kingston,17.9712,-76.7928,1,National,1
JAM1226,2022-03-17,1,Battles,Armed clash,Police Forces of Jamaica (2016-),,William Road Gang,,Jamaica,Kingston,,Kingston,17.9712,-76.7928,1,National,1
JAM1228,2022-03-18,1,Protests,Peaceful protest,Protesters (Jamaica),,,,Jamaica,Kingston,,Kingston,17.9712,-76.7928,1,National,0
JAM1225,2022-03-14,1,Protests,Peaceful protest,Protesters (Jamaica),PNP: People's National Party,,,Jamaica,Kingston,,Kingston,17.9712,-76.7928,1,National,0
JAM1232,2022-03-18,1,Protests,Peaceful protest,Protesters (Jamaica),,,,Jamaica,Saint Catherine,,Portmore,17.9503,-76.8822,1,National,0
JAM1236,2022-03-24,1,Battles,Armed clash,Unidentified Gang (Jamaica),,Police Forces of Jamaica (2016-),,Jamaica,Kingston,,Kingston,17.9712,-76.7928,1,National,0
JAM1245,2022-03-24,1,Violence against civilians,Attack,Unidentified Gang (Jamaica),,Civilians (Jamaica),,Jamaica,Kingston,,Kingston,17.9712,-76.7928,1,National,3
JAM1249,2022-03-22,1,Protests,Peaceful protest,Protesters (Jamaica),,,,Jamaica,Kingston,,Kingston,17.9712,-76.7928,1,National,0
JAM1235,2022-03-20,1,Battles,Armed clash,Unidentified Armed Group (Jamaica),,Police Forces of Jamaica (2016-),,Jamaica,Saint Ann,,Runaway Bay,18.4596,-77.3357,1,National,1
