event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
MZM763,2017-09-04,1,Protests,Peaceful protest,Protesters (Mozambique),,,,Mozambique,Manica,Manica,Manica,-18.935,32.8759,2,International,0
MZM792,2017-12-15,1,Violence against civilians,Attack,Unidentified Armed Group (Mozambique),,Civilians (Mozambique),,Mozambique,Cabo Delgado,Palma,Palma,-10.7722,40.4756,1,National,2
MZM789,2017-11-26,1,Violence against civilians,Attack,Police Forces of Mozambique (1990-),,Civilians (Mozambique),,Mozambique,Manica,Macossa,Aldeia Nhocassaro,-18.3444,33.6706,1,National,0
MZM787,2017-11-18,2,Violence against civilians,Attack,RENAMO: Mozambican National Resistance,,Civilians (Mozambique),,Mozambique,Manica,Mossurize,Espungabera,-20.4516,32.7695,2,National,0
MZM761,2017-11-08,1,Battles,Armed clash,Police Forces of Mozambique (1990-),,Unidentified Armed Group (Mozambique),,Mozambique,Maputo,Cidade Da Matola,Matola,-25.9622,32.4589,1,National,7
MZM786,2017-11-06,1,Riots,Mob violence,Police Forces of Mozambique (1990-),,Rioters (Mozambique),,Mozambique,Niassa,Cuamba,Cuamba,-14.8031,36.5372,1,National,0
MZM784,2017-11-01,1,Violence against civilians,Attack,Unidentified Armed Group (Mozambique),,Civilians (Mozambique),,Mozambique,Cabo Delgado,Mocimboa da Praia,Mocimboa Da Praia,-11.346,40.3522,1,National,1
MZM783,2017-10-24,1,Riots,Violent demonstration,Rioters (Mozambique),,Police Forces of Mozambique (1990-),,Mozambique,Nampula,Malema,Muralelo,-15.0469,37.506,1,International,1
MZM782,2017-10-23,2,Riots,Mob violence,Rioters (Mozambique),,Police Forces of Mozambique (1990-),Civilians (Mozambique); Unidentified Communal Group (Mozambique),Mozambique,Zambezia,Gile,Morrua,-16.3172,37.9303,1,National,0
MZM781,2017-10-22,1,Violence against civilians,Attack,Unidentified Armed Group (Mozambique),,Civilians (Mozambique),,Mozambique,Cabo Delgado,Palma,Ulumbi,-10.7667,40.4833,1,International,0
MZM779,2017-10-22,1,Riots,Mob violence,Rioters (Mozambique),Vigilante Group (Mozambique),Civilians (Mozambique),,Mozambique,Tete,Macanga,Chidzolomondo,-15.0333,33.3961,1,National,3
MZM777,2017-10-19,1,Riots,Mob violence,Rioters (Mozambique),,Police Forces of Mozambique (1990-),Civilians (Mozambique); Unidentified Communal Group (Mozambique),Mozambique,Zambezia,Gile,Gile,-16.145,38.3711,1,National,0
MZM774,2017-10-12,1,Protests,Peaceful protest,Protesters (Mozambique),,,,Mozambique,Cabo Delgado,Mocimboa da Praia,Mocimboa Da Praia,-11.346,40.3522,1,National,0
