event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
BGD17418,2020-03-05,1,Protests,Peaceful protest,Protesters (Bangladesh),Labor Group (Bangladesh); Lawyers (Bangladesh),,,Bangladesh,Barisal,Pirojpur,Pirojpur,22.5796,89.9752,1,National,0
BGD17408,2020-03-03,1,Riots,Mob violence,Rioters (Bangladesh),Ghagtia Communal Group (Bangladesh),Rioters (Bangladesh),Ghagtia Communal Group (Bangladesh),Bangladesh,Sylhet,Sunamganj,Tahirpur,25.103,91.1975,2,National,1
BGD17419,2020-03-05,1,Riots,Mob violence,Rioters (Bangladesh),Vigilante Group (Bangladesh),Civilians (Bangladesh),,Bangladesh,Khulna,Jhenaidah,Jhenaidah,23.5425,89.1749,2,National,1
BGD17392,2020-03-01,1,Riots,Mob violence,Rioters (Bangladesh),,Civilians (Bangladesh),BCL: Bangladesh Chhatra League; Students (Bangladesh),Bangladesh,Khulna,Khulna,Koyra,22.3341,89.3016,2,National,1
BGD17401,2020-03-02,1,Protests,Peaceful protest,Protesters (Bangladesh),BNP: Bangladesh Nationalist Party,,,Bangladesh,Rangpur,Kurigram,Kurigram,25.8115,89.6428,2,National,0
BGD17397,2020-03-02,1,Protests,Peaceful protest,Protesters (Bangladesh),Sunni Muslim Group (Bangladesh),,,Bangladesh,Rangpur,Nilphamari Zila,Nilphamari,25.9666,88.95,1,National,0
BGD17441,2020-03-14,1,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Bangladesh),,Civilians (Bangladesh),PCJSS-MNL: Parbatya Chattagram Jana Samhati Samiti-MN Larma,Bangladesh,Chittagong,Rangamati,Baghaichhari,23.1613,92.2763,2,National,0
BGD17434,2020-03-12,1,Protests,Peaceful protest,Protesters (Bangladesh),Students (Bangladesh),,,Bangladesh,Rangpur,Rangpur,Rangpur,25.7466,89.2516,1,National,0
BGD17438,2020-03-13,1,Protests,Peaceful protest,Protesters (Bangladesh),Journalists (Bangladesh),,,Bangladesh,Rangpur,Kurigram,Kurigram,25.8115,89.6428,1,National,0
BGD17445,2020-03-14,1,Protests,Peaceful protest,Protesters (Bangladesh),AL: Bangladesh Awami League; BCL: Bangladesh Chhatra League; Jubo League; Students (Bangladesh),,,Bangladesh,Khulna,Chuadanga,Damurhuda,23.6101,88.7798,2,National,0
