event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
DNK1441,2022-01-02,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Denmark),,Police Forces of Denmark (2019-),,Denmark,Midtjylland,Silkeborg,Silkeborg,56.164,9.5443,1,Subnational,0
DNK1451,2022-01-08,1,Protests,Peaceful protest,Protesters (Denmark),Modstand Midtjylland,,,Denmark,Midtjylland,Aarhus,Aarhus,56.1496,10.2044,1,Subnational-National,0
DNK1452,2022-01-12,1,Protests,Peaceful protest,Protesters (Denmark),Students (Denmark),,,Denmark,Midtjylland,Aarhus,Aarhus,56.1496,10.2044,1,National,0
DNK1454,2022-01-12,1,Protests,Peaceful protest,Protesters (Denmark),Students (Denmark); RS: Revolutionary Socialists,,,Denmark,Hovedstaden,Kobenhavn,Copenhagen,55.6879,12.5697,1,New media-National,0
DNK1453,2022-01-12,1,Protests,Peaceful protest,Protesters (Denmark),Students (Denmark),,,Denmark,Syddanmark,Odense,Odense,55.4018,10.3862,1,Subnational,0
DNK1458,2022-01-17,1,Protests,Protest with intervention,Protesters (Denmark),,Police Forces of Denmark (2019-),,Denmark,Hovedstaden,Kobenhavn,Copenhagen,55.6879,12.5697,1,National,0
DNK1456,2022-01-14,1,Protests,Peaceful protest,Protesters (Denmark),,,,Denmark,Hovedstaden,Kobenhavn,Copenhagen,55.6879,12.5697,1,National,0
DNK1455,2022-01-21,1,Protests,Peaceful protest,Protesters (Denmark),Labor Group (Denmark),,,Denmark,Syddanmark,Odense,Odense,55.4018,10.3862,1,National,0
DNK1460,2022-01-18,1,Protests,Peaceful protest,Protesters (Denmark),,,,Denmark,Syddanmark,Vejen,Vejen,55.4743,9.1317,1,Subnational,0
DNK1464,2022-01-26,1,Protests,Peaceful protest,Protesters (Denmark),,,,Denmark,Sjaelland,Slagelse,Slagelse,55.4075,11.3486,1,National,0
DNK1468,2022-01-28,1,Protests,Peaceful protest,Protesters (Denmark),,,,Denmark,Syddanmark,Odense,Odense,55.4018,10.3862,1,National,0
DNK1472,2022-02-09,1,Protests,Peaceful protest,Protesters (Denmark),Students (Denmark); RS: Revolutionary Socialists,,,Denmark,Hovedstaden,Kobenhavn,Copenhagen,55.6879,12.5697,1,New media-National,0
