event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
SLV2297,2021-01-01,1,Violence against civilians,Attack,Unidentified Armed Group (El Salvador),,Civilians (El Salvador),,El Salvador,Chalatenango,Chalatenango,Chalatenango,14.0333,-88.9333,2,National,2
SLV2304,2021-01-03,1,Violence against civilians,Attack,Unidentified Armed Group (El Salvador),,Civilians (El Salvador),Labor Group (El Salvador),El Salvador,San Salvador,Mejicanos,Mejicanos,13.7332,-89.2171,1,National,1
SLV2301,2021-01-02,1,Battles,Armed clash,Unidentified Gang (El Salvador),,Police Forces of El Salvador (2019-),,El Salvador,Sonsonate,Izalco,Las Lajas,13.8158,-89.5769,1,National,1
SLV2309,2021-01-06,1,Violence against civilians,Attack,Unidentified Armed Group (El Salvador),,Civilians (El Salvador),,El Salvador,San Salvador,San Salvador,San Salvador,13.6894,-89.1872,2,National,1
SLV2299,2021-01-01,1,Violence against civilians,Attack,Unidentified Armed Group (El Salvador),,Civilians (El Salvador),,El Salvador,La Union,Conchagua,Conchagua,13.3078,-87.8647,2,National,1
SLV2300,2021-01-01,2,Battles,Armed clash,Unidentified Armed Group (El Salvador),,Unidentified Gang (El Salvador),,El Salvador,San Salvador,Apopa,Apopa,13.8072,-89.1792,1,National,1
SLV2310,2021-01-06,1,Protests,Peaceful protest,Protesters (El Salvador),Taxi/Bus Drivers (El Salvador); Labor Group (El Salvador),,,El Salvador,San Salvador,San Salvador,San Salvador,13.6894,-89.1872,2,National,0
SLV2315,2021-01-08,2,Violence against civilians,Attack,Unidentified Armed Group (El Salvador),,Civilians (El Salvador),,El Salvador,San Salvador,Delgado,Delgado,13.7242,-89.1703,2,National,1
SLV2317,2021-01-12,1,Battles,Armed clash,Unidentified Gang (El Salvador),,Police Forces of El Salvador (2019-),,El Salvador,Santa Ana,Chalchuapa,Chalchuapa,13.9867,-89.6811,1,National,3
SLV2318,2021-01-10,2,Violence against civilians,Attack,Unidentified Armed Group (El Salvador),,Civilians (El Salvador),Women (El Salvador),El Salvador,La Libertad,Quezaltepeque,Las Granadillas,13.7644,-89.3011,1,National,1
SLV2323,2021-01-13,1,Protests,Peaceful protest,Protesters (El Salvador),STISSS: Union for Workers from the Salvadoran Social Security Institute; Labor Group (El Salvador),,,El Salvador,San Salvador,San Salvador,San Salvador,13.6894,-89.1872,1,National,0
SLV2327,2021-01-14,1,Protests,Peaceful protest,Protesters (El Salvador),Catholic Christian Group (El Salvador),,,El Salvador,San Salvador,San Salvador,San Salvador,13.6894,-89.1872,1,National,0
SLV2322,2021-01-13,1,Protests,Peaceful protest,Protesters (El Salvador),,,,El Salvador,San Salvador,San Salvador,San Salvador,13.6894,-89.1872,1,National,0
SLV2326,2021-01-14,1,Protests,Peaceful protest,Protesters (El Salvador),Labor Group (El Salvador),,,El Salvador,San Salvador,San Salvador,San Salvador,13.6894,-89.1872,1,National,0
SLV2319,2021-01-11,1,Violence against civilians,Attack,Unidentified Armed Group (El Salvador),,Civilians (El Salvador),Former B-18: Barrio-18,El Salvador,La Union,La Union,La Union,13.3369,-87.8439,1,National,1
SLV2329,2021-01-14,2,Violence against civilians,Attack,Unidentified Armed Group (El Salvador),,Civilians (El Salvador),,El Salvador,La Libertad,Colon,Lourdes,13.7227,-89.366,2,National,1
SLV2330,2021-01-14,2,Violence against civilians,Attack,Unidentified Armed Group (El Salvador),,Civilians (El Salvador),Women (El Salvador),El Salvador,Usulutan,San Buenaventura,San Buenaventura,13.5333,-88.3833,1,National,1
SLV2320,2021-01-11,1,Battles,Armed clash,Unidentified Armed Group (El Salvador),,Police Forces of El Salvador (2019-),,El Salvador,La Libertad,Colon,Lourdes,13.7227,-89.366,1,National,0
SLV2346,2021-01-18,1,Battles,Armed clash,Unidentified Armed Group (El Salvador),,B-18 (R): Barrio-18 (Revolucionarios),,El Salvador,San Salvador,San Salvador,San Salvador,13.6894,-89.1872,1,National,1
SLV2339,2021-01-22,2,Violence against civilians,Attack,Unidentified Armed Group (El Salvador),,Civilians (El Salvador),,El Salvador,San Salvador,Guazapa,Guazapa,13.8769,-89.1731,1,National,1
SLV2347,2021-01-18,1,Protests,Peaceful protest,Protesters (El Salvador),Teachers (El Salvador),,,El Salvador,San Salvador,San Salvador,San Salvador,13.6894,-89.1872,1,National,0
SLV2338,2021-01-21,1,Battles,Armed clash,Unidentified Gang (El Salvador),,Police Forces of El Salvador (2019-),,El Salvador,Cabanas,Guacotecti,Guacotecti,13.8667,-88.65,2,National,0
SLV2350,2021-01-08,1,Protests,Peaceful protest,Protesters (El Salvador),Women (El Salvador),,,El Salvador,San Salvador,Soyapango,Soyapango,13.7102,-89.1399,1,National,0
SLV2349,2021-01-07,1,Strategic developments,Change to group/activity,Unidentified Gang (El Salvador),,,,El Salvador,San Salvador,Soyapango,Soyapango,13.7102,-89.1399,1,National,0
SLV2342,2021-01-19,1,Violence against civilians,Attack,B-18: Barrio-18,,Civilians (El Salvador),,El Salvador,San Salvador,Mejicanos,Mejicanos,13.7332,-89.2171,1,National,1
SLV2348,2021-01-21,1,Protests,Peaceful protest,Protesters (El Salvador),Women (El Salvador),,,El Salvador,San Salvador,San Salvador,San Salvador,13.6894,-89.1872,1,National,0
SLV2340,2021-01-19,1,Protests,Peaceful protest,Protesters (El Salvador),Labor Group (El Salvador),,,El Salvador,Sonsonate,Juayua,Juayua,13.8414,-89.7456,1,National,0
SLV2334,2021-01-21,2,Violence against civilians,Attack,Unidentified Armed Group (El Salvador),,Civilians (El Salvador),,El Salvador,La Union,Conchagua,Conchagua,13.3078,-87.8647,1,National,2
SLV2343,2021-01-19,1,Battles,Armed clash,B-18: Barrio-18,,Police Forces of El Salvador (2019-),,El Salvador,San Salvador,Mejicanos,Mejicanos,13.7332,-89.2171,1,National,0
SLV2333,2021-01-21,2,Violence against civilians,Attack,Unidentified Armed Group (El Salvador),,Civilians (El Salvador),,El Salvador,Cuscatlan,Cojutepeque,Cojutepeque,13.7167,-88.9333,2,National,1
SLV2335,2021-01-17,3,Violence against civilians,Attack,Unidentified Armed Group (El Salvador),,Civilians (El Salvador),,El Salvador,San Salvador,Delgado,Delgado,13.7242,-89.1703,1,National,1
SLV2341,2021-01-05,1,Violence against civilians,Attack,Police Forces of El Salvador (2019-),,Civilians (El Salvador),Women (El Salvador),El Salvador,San Salvador,Mejicanos,Mejicanos,13.7332,-89.2171,1,National,0
SLV2325,2021-01-10,1,Protests,Peaceful protest,Protesters (El Salvador),Labor Group (El Salvador),,,El Salvador,San Salvador,San Salvador,San Salvador,13.6894,-89.1872,1,National,0
SLV2354,2021-01-16,1,Protests,Peaceful protest,Protesters (El Salvador),Former Military Forces of El Salvador (2019-); Former FMLN: Farabundo Marti National Liberation Front,,,El Salvador,San Salvador,San Salvador,San Salvador,13.6894,-89.1872,1,National,0
SLV2358,2021-01-25,1,Protests,Peaceful protest,Protesters (El Salvador),,,,El Salvador,La Libertad,Colon,Lourdes,13.7227,-89.366,1,National,0
SLV2365,2021-01-28,1,Protests,Peaceful protest,Protesters (El Salvador),Teachers (El Salvador); Labor Group (El Salvador); SIMEDUCO: Union for Public Education Teachers from El Salvador; ATRAMEC: Education Ministry Workers' Union,,,El Salvador,San Salvador,San Salvador,San Salvador,13.6894,-89.1872,1,National,0
