event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
MNE1261,2024-01-24,1,Protests,Peaceful protest,Protesters (Montenegro),Protesters (Ukraine),,,Montenegro,Cetinje,,Cetinje,42.3922,18.9225,1,National,0
MNE1262,2024-01-28,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Niksic,,Niksic,42.7994,18.9203,1,National,0
MNE1263,2024-02-01,1,Protests,Peaceful protest,Protesters (Montenegro),Judges (Montenegro); Labor Group (Montenegro); Lawyers (Montenegro),,,Montenegro,Podgorica,,Podgorica,42.4411,19.2636,1,National,0
MNE1264,2024-02-24,1,Protests,Peaceful protest,Protesters (Montenegro),Government of Ukraine (2019-); Protesters (Ukraine),,,Montenegro,Cetinje,,Cetinje,42.3922,18.9225,1,National,0
MNE1267,2024-03-07,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Cetinje,,Cetinje,42.3922,18.9225,1,National,0
MNE1268,2024-03-09,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Mojkovac,,Mojkovac,42.9592,19.5883,1,National,0
MNE1271,2024-03-26,1,Protests,Peaceful protest,Protesters (Montenegro),Labor Group (Montenegro),,,Montenegro,Podgorica,,Podgorica,42.4411,19.2636,1,National,0
MNE1273,2024-03-24,1,Protests,Peaceful protest,Protesters (Montenegro),Protesters (Ukraine),,,Montenegro,Cetinje,,Cetinje,42.3922,18.9225,1,National,0
MNE1274,2024-03-28,1,Protests,Peaceful protest,Protesters (Montenegro),Romani Ethnic Group (Montenegro),,,Montenegro,Bar,,Bar,42.1667,19.1667,1,National,0
MNE1275,2024-03-24,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Budva,,Sveti Stefan,42.2555,18.8969,1,National,0
MNE1278,2024-04-12,1,Protests,Peaceful protest,Protesters (Montenegro),Labor Group (Montenegro),,,Montenegro,Pljevlja,,Pljevlja,43.3333,19.3333,1,National,0
MNE1280,2024-04-16,1,Protests,Peaceful protest,Protesters (Montenegro),LP: Liberal Party (Montenegro),,,Montenegro,Niksic,,Niksic,42.7994,18.9203,1,National,0
MNE1281,2024-04-18,1,Protests,Peaceful protest,Protesters (Montenegro),Women (Montenegro),,,Montenegro,Niksic,,Niksic,42.7994,18.9203,1,National,0
MNE1282,2024-04-19,1,Protests,Peaceful protest,Protesters (Montenegro),Labor Group (Montenegro),,,Montenegro,Podgorica,,Podgorica,42.4411,19.2636,1,National,0
MNE1284,2024-04-26,1,Protests,Peaceful protest,Protesters (Montenegro),Labor Group (Montenegro),,,Montenegro,Podgorica,,Podgorica,42.4411,19.2636,1,National,0
MNE1285,2024-04-24,1,Protests,Peaceful protest,Protesters (Montenegro),Protesters (Ukraine),,,Montenegro,Cetinje,,Cetinje,42.3922,18.9225,1,National,0
MNE1286,2024-04-22,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Podgorica,,Podgorica,42.4411,19.2636,1,National,0
MNE1288,2024-04-29,1,Protests,Peaceful protest,Protesters (Montenegro),LP: Liberal Party (Montenegro),,,Montenegro,Niksic,,Niksic,42.7994,18.9203,1,National,0
MNE1289,2024-05-07,1,Protests,Peaceful protest,Protesters (Montenegro),Labor Group (Montenegro),,,Montenegro,Berane,,Berane,42.8391,19.8707,1,National,0
MNE1290,2024-05-07,1,Protests,Peaceful protest,Protesters (Montenegro),Labor Group (Montenegro),,,Montenegro,Budva,,Budva,42.2857,18.8365,1,National,0
MNE1292,2024-05-09,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Podgorica,,Podgorica,42.4411,19.2636,1,National,0
MNE1293,2024-05-11,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Podgorica,,Podgorica,42.4411,19.2636,1,National,0
MNE1295,2024-05-17,1,Protests,Peaceful protest,Protesters (Montenegro),Judges (Montenegro); Labor Group (Montenegro); Lawyers (Montenegro),,,Montenegro,Berane,,Berane,42.8391,19.8707,1,National,0
MNE1296,2024-05-17,1,Protests,Peaceful protest,Protesters (Montenegro),Judges (Montenegro); Labor Group (Montenegro); Lawyers (Montenegro),,,Montenegro,Podgorica,,Podgorica,42.4411,19.2636,1,National,0
MNE1297,2024-05-17,1,Protests,Peaceful protest,Protesters (Montenegro),Judges (Montenegro); Labor Group (Montenegro); Lawyers (Montenegro),,,Montenegro,Ulcinj,,Ulcinj,41.9553,19.2683,1,National,0
MNE1299,2024-05-24,1,Protests,Peaceful protest,Protesters (Montenegro),Protesters (Ukraine),,,Montenegro,Cetinje,,Cetinje,42.3922,18.9225,1,National,0
MNE1305,2024-06-10,1,Protests,Peaceful protest,Protesters (Montenegro),Labor Group (Montenegro),,,Montenegro,Cetinje,,Cetinje,42.3922,18.9225,2,National,0
MNE1304,2024-06-07,1,Protests,Peaceful protest,Protesters (Montenegro),Labor Group (Montenegro),,,Montenegro,Cetinje,,Cetinje,42.3922,18.9225,2,National,0
MNE1303,2024-06-06,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Podgorica,,Podgorica,42.4411,19.2636,1,National,0
MNE1302,2024-05-27,1,Protests,Peaceful protest,Protesters (Montenegro),Labor Group (Montenegro),,,Montenegro,Cetinje,,Cetinje,42.3922,18.9225,1,National,0
MNE1269,2024-03-18,1,Protests,Peaceful protest,Protesters (Montenegro),Labor Group (Montenegro),,,Montenegro,Cetinje,,Cetinje,42.3922,18.9225,2,National,0
MNE1270,2024-03-25,1,Protests,Peaceful protest,Protesters (Montenegro),Labor Group (Montenegro),,,Montenegro,Cetinje,,Cetinje,42.3922,18.9225,2,National,0
MNE1272,2024-03-28,1,Protests,Peaceful protest,Protesters (Montenegro),Labor Group (Montenegro),,,Montenegro,Cetinje,,Cetinje,42.3922,18.9225,2,National,0
MNE1276,2024-04-01,1,Protests,Peaceful protest,Protesters (Montenegro),Labor Group (Montenegro),,,Montenegro,Cetinje,,Cetinje,42.3922,18.9225,2,National,0
MNE1277,2024-04-08,1,Protests,Peaceful protest,Protesters (Montenegro),Labor Group (Montenegro),,,Montenegro,Cetinje,,Cetinje,42.3922,18.9225,2,National,0
MNE1279,2024-04-15,1,Protests,Peaceful protest,Protesters (Montenegro),Labor Group (Montenegro),,,Montenegro,Cetinje,,Cetinje,42.3922,18.9225,2,National,0
MNE1283,2024-04-26,1,Protests,Peaceful protest,Protesters (Montenegro),Labor Group (Montenegro),,,Montenegro,Cetinje,,Cetinje,42.3922,18.9225,2,National,0
MNE1287,2024-04-29,1,Protests,Peaceful protest,Protesters (Montenegro),Labor Group (Montenegro),,,Montenegro,Cetinje,,Cetinje,42.3922,18.9225,2,National,0
MNE1291,2024-05-09,1,Protests,Peaceful protest,Protesters (Montenegro),Labor Group (Montenegro),,,Montenegro,Cetinje,,Cetinje,42.3922,18.9225,2,National,0
MNE1294,2024-05-13,1,Protests,Peaceful protest,Protesters (Montenegro),Labor Group (Montenegro),,,Montenegro,Cetinje,,Cetinje,42.3922,18.9225,2,National,0
MNE1298,2024-05-20,1,Protests,Peaceful protest,Protesters (Montenegro),Labor Group (Montenegro),,,Montenegro,Cetinje,,Cetinje,42.3922,18.9225,2,National,0
MNE1316,2024-06-24,1,Protests,Peaceful protest,Protesters (Montenegro),Protesters (Ukraine),,,Montenegro,Cetinje,,Cetinje,42.3922,18.9225,1,National,0
MNE1317,2024-06-24,1,Protests,Peaceful protest,Protesters (Montenegro),Labor Group (Montenegro),,,Montenegro,Cetinje,,Cetinje,42.3922,18.9225,2,National,0
MNE1318,2024-06-27,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Zabljak,,Zabljak,43.1572,19.1233,1,National,0
MNE1319,2024-06-30,1,Protests,Peaceful protest,Protesters (Montenegro),Labor Group (Montenegro),,,Montenegro,Cetinje,,Cetinje,42.3922,18.9225,2,National,0
MNE1320,2024-07-01,1,Protests,Peaceful protest,Protesters (Montenegro),Labor Group (Montenegro),,,Montenegro,Cetinje,,Cetinje,42.3922,18.9225,2,National,0
MNE1321,2024-07-06,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Tuzi,,Tuzi,42.3655,19.3313,1,National,0
MNE1322,2024-07-08,1,Protests,Peaceful protest,Protesters (Montenegro),Labor Group (Montenegro),,,Montenegro,Bar,,Bar,42.1667,19.1667,1,National,0
MNE1323,2024-07-08,1,Protests,Peaceful protest,Protesters (Montenegro),Labor Group (Montenegro),,,Montenegro,Cetinje,,Cetinje,42.3922,18.9225,2,National,0
MNE1314,2024-06-16,1,Protests,Peaceful protest,Protesters (Montenegro),Women (Montenegro); Government of Montenegro (2022-); LP: Liberal Party (Montenegro); DCG: Democratic Montenegro,,,Montenegro,Podgorica,,Podgorica,42.4411,19.2636,1,National,0
MNE1325,2024-07-17,1,Protests,Peaceful protest,Protesters (Montenegro),Labor Group (Montenegro),,,Montenegro,Tivat,,Tivat,42.4056,18.6531,1,Regional,0
MNE1324,2024-07-15,1,Protests,Peaceful protest,Protesters (Montenegro),Labor Group (Montenegro),,,Montenegro,Cetinje,,Cetinje,42.3922,18.9225,2,National,0
MNE1326,2024-07-24,1,Protests,Peaceful protest,Protesters (Montenegro),Protesters (Ukraine),,,Montenegro,Cetinje,,Cetinje,42.3922,18.9225,1,National,0
MNE1328,2024-07-28,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Bar,,Bar,42.1667,19.1667,2,National,0
MNE1329,2024-07-29,1,Protests,Peaceful protest,Protesters (Montenegro),Labor Group (Montenegro),,,Montenegro,Cetinje,,Cetinje,42.3922,18.9225,2,National,0
MNE1330,2024-07-31,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Montenegro),,Civilians (Montenegro),Government of Montenegro (2022-),Montenegro,Andrijevica,,Tresnjevo,42.7714,19.8082,1,National,0
MNE1331,2024-08-04,1,Protests,Peaceful protest,Protesters (Montenegro),,,,Montenegro,Bar,,Crmnica,42.25,19.1,1,National,0
MNE1332,2024-08-05,1,Protests,Peaceful protest,Protesters (Montenegro),Labor Group (Montenegro),,,Montenegro,Cetinje,,Cetinje,42.3922,18.9225,2,National,0
