event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
PAN1024,2018-08-08,1,Protests,Peaceful protest,Protesters (Panama),Farmers (Panama),,,Panama,Los Santos,Los Santos,La Villa de los Santos,7.9333,-80.4167,1,National,0
PAN1080,2018-09-05,1,Protests,Peaceful protest,Protesters (Panama),Journalists (Panama); Students (Panama); Teachers (Panama),,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN1089,2018-09-12,1,Riots,Violent demonstration,Rioters (Panama),Indigenous Group (Panama),Police Forces of Panama (2014-2019),,Panama,Chiriqui,San Lorenzo,San Juan,8.2642,-81.9752,2,National,0
PAN1145,2018-10-04,1,Protests,Peaceful protest,Protesters (Panama),,,,Panama,Herrera,Chitre,San Juan Bautista,7.9674,-80.4138,1,National,0
PAN1146,2018-10-04,1,Protests,Peaceful protest,Protesters (Panama),Labor Group (Panama),,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN1169,2018-10-18,1,Protests,Peaceful protest,Protesters (Panama),,,,Panama,Herrera,Ocu,Ocu,7.9405,-80.7794,2,National,0
PAN1173,2018-10-25,1,Protests,Peaceful protest,Protesters (Panama),MRP: Rescue Panama Movement,,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN1228,2018-11-30,1,Protests,Peaceful protest,Protesters (Panama),,,,Panama,Colon,Santa Isabel,Nombre de Dios,9.5333,-79.45,1,National,0
PAN726,2018-07-11,1,Riots,Violent demonstration,Rioters (Panama),Students (Panama); CONATO: National Council for Organized Workers,Police Forces of Panama (2014-2019),,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN727,2018-07-18,1,Riots,Violent demonstration,Rioters (Panama),FRENADESO: National Front for the Defence of Economic and Social Rights; SUNTRACS: Single Union of Construction and Associated Workers; Teachers (Panama); Students (Panama),,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National-International,0
PAN730,2018-09-27,1,Riots,Violent demonstration,Rioters (Panama),Students (Panama); SUNTRACS: Single Union of Construction and Associated Workers; Labor Group (El Salvador),,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN831,2018-04-09,1,Protests,Peaceful protest,Protesters (Panama),,,,Panama,Cocle,Penonome,Penonome,8.5189,-80.3573,1,National,0
PAN839,2018-04-12,1,Protests,Peaceful protest,Protesters (Panama),Labor Group (Panama),,,Panama,Panama Oeste,Arraijan,Cocoli,8.9845,-79.5978,1,International,0
PAN934,2018-06-21,1,Protests,Peaceful protest,Protesters (Panama),Farmers (Panama); ANAGAN: National Association for Livestock Farmers,,,Panama,Veraguas,Santiago,Divisa,8.1271,-80.6905,1,National,0
PAN940,2018-06-26,1,Protests,Peaceful protest,Protesters (Panama),Labor Group (Panama),,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN973,2018-07-16,1,Protests,Peaceful protest,Protesters (Panama),SUNTRACS: Single Union of Construction and Associated Workers; Labor Group (Panama); Teachers (Panama),,,Panama,Chiriqui,David,David,8.4273,-82.4309,1,National,0
PAN975,2018-07-16,1,Riots,Mob violence,Rioters (Panama),Farmers (Panama),Unidentified Indigenous Militia (Panama),,Panama,Darien,Pinogana,Morti,8.8527,-77.9169,2,National,1
PAN977,2018-07-16,1,Protests,Peaceful protest,Protesters (Panama),SUNTRACS: Single Union of Construction and Associated Workers; Labor Group (Panama); Students (Panama); Teachers (Panama),,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN791,2018-03-13,1,Riots,Violent demonstration,Rioters (Panama),,Police Forces of Panama (2014-2019),,Panama,Colon,Colon,Colon,9.3545,-79.9001,1,International,0
PAN1074,2018-09-03,1,Protests,Peaceful protest,Protesters (Panama),Journalists (Panama),,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,International,0
PAN942,2018-06-27,1,Protests,Peaceful protest,Protesters (Panama),Students (Panama),,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN1135,2018-10-02,1,Protests,Peaceful protest,Protesters (Panama),Teachers (Panama); AMIA: Association for Authentic Independent Teachers,,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN850,2018-04-19,1,Protests,Peaceful protest,Protesters (Panama),,,,Panama,Colon,Colon,Colon,9.3545,-79.9001,1,National,0
PAN1152,2018-10-11,1,Protests,Peaceful protest,Protesters (Panama),Farmers (Panama),,,Panama,Chiriqui,David,David,8.4273,-82.4309,3,National,0
PAN825,2018-04-05,1,Protests,Peaceful protest,Protesters (Panama),Teachers (Panama),,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN1153,2018-10-11,1,Protests,Peaceful protest,Protesters (Panama),Indigenous Group (Panama); COONAPIP: National Coordinating Committee for Indigenous Peoples,,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN843,2018-04-16,1,Protests,Peaceful protest,Protesters (Panama),SUNTRACS: Single Union of Construction and Associated Workers; Labor Group (Panama),,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN842,2018-04-16,1,Protests,Peaceful protest,Protesters (Panama),SUNTRACS: Single Union of Construction and Associated Workers; Labor Group (Panama),,,Panama,Herrera,Chitre,Chitre,7.9608,-80.4294,3,National,0
PAN861,2018-04-26,2,Protests,Peaceful protest,Protesters (Panama),Students (Panama),,,Panama,Cocle,Penonome,Rincon De Las Palmas,8.559,-80.2537,1,National,0
PAN898,2018-05-22,1,Protests,Peaceful protest,Protesters (Panama),,,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN1187,2018-10-31,1,Protests,Peaceful protest,Protesters (Panama),,,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN847,2018-04-17,1,Protests,Peaceful protest,Protesters (Panama),SUNTRACS: Single Union of Construction and Associated Workers; Labor Group (Panama),,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN916,2018-06-05,1,Protests,Peaceful protest,Protesters (Panama),Labor Group (Panama),,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN980,2018-07-17,1,Protests,Peaceful protest,Protesters (Panama),SUNTRACS: Single Union of Construction and Associated Workers; Labor Group (Panama),,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN998,2018-07-26,1,Protests,Peaceful protest,Protesters (Panama),Farmers (Panama),,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN1199,2018-11-13,1,Protests,Peaceful protest,Protesters (Panama),Labor Group (Panama),,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN986,2018-07-19,1,Protests,Peaceful protest,Protesters (Panama),Labor Group (Panama),,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN868,2018-05-01,1,Protests,Peaceful protest,Protesters (Panama),CONATO: National Council for Organized Workers; CNTP: National Confederation of Labour of Panama; CRTP: Confederation of Workers of the Republic of Panama; FENASEP: National Federation of Public Employees Associations and Organizations; SUNTRACS: Single Union of Construction and Associated Workers; CS: Convergence Union; Labor Group (Panama),,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN857,2018-04-24,1,Protests,Peaceful protest,Protesters (Panama),SUNTRACS: Single Union of Construction and Associated Workers; Labor Group (Panama),,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN923,2018-06-12,1,Protests,Peaceful protest,Protesters (Panama),Labor Group (Panama),,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN954,2018-07-09,1,Protests,Peaceful protest,Protesters (Panama),Guaymi Indigenous Group (Panama),,,Panama,Chiriqui,San Lorenzo,San Juan,8.2642,-81.9752,2,National,0
PAN974,2018-07-16,1,Protests,Peaceful protest,Protesters (Panama),SUNTRACS: Single Union of Construction and Associated Workers; Labor Group (Panama),,,Panama,Cocle,Aguadulce,Aguadulce,8.2418,-80.5461,2,National,0
PAN1251,2018-12-24,1,Protests,Peaceful protest,Protesters (Panama),Labor Group (Panama),,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN899,2018-05-23,1,Protests,Peaceful protest,Protesters (Panama),,,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN862,2018-04-27,1,Protests,Peaceful protest,Protesters (Panama),Students (Panama); Teachers (Panama); Labor Group (Panama),,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN943,2018-06-28,1,Protests,Protest with intervention,Protesters (Panama),Teachers (Panama); ASOPROF: Panamanian Association of Teachers,Police Forces of Panama (2014-2019),,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN1046,2018-08-14,1,Protests,Peaceful protest,Protesters (Panama),SUNTRACS: Single Union of Construction and Associated Workers; Labor Group (Panama),,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN837,2018-04-11,1,Protests,Peaceful protest,Protesters (Panama),SUNTRACS: Single Union of Construction and Associated Workers; FAD: Broad Front for Democracy; Labor Group (Panama),,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN997,2018-07-26,1,Protests,Peaceful protest,Protesters (Panama),Labor Group (Panama),,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN917,2018-06-06,1,Protests,Peaceful protest,Protesters (International),,,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN1009,2018-07-31,1,Protests,Peaceful protest,Protesters (Panama),Students (Panama),,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN845,2018-04-16,1,Protests,Peaceful protest,Protesters (Panama),SUNTRACS: Single Union of Construction and Associated Workers; Labor Group (Panama),,,Panama,Panama Oeste,Chame,Chame,8.5775,-79.886,1,National,0
PAN886,2018-05-10,1,Protests,Peaceful protest,Protesters (Panama),SUNTRACS: Single Union of Construction and Associated Workers; Labor Group (Panama),,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN993,2018-07-24,1,Protests,Peaceful protest,Protesters (Panama),Farmers (Panama),,,Panama,Herrera,Chitre,Chitre,7.9608,-80.4294,2,National,0
PAN1120,2018-09-24,1,Protests,Peaceful protest,Protesters (Panama),,,,Panama,Panama Oeste,Arraijan,Arraijan,8.9519,-79.6601,2,National,0
PAN906,2018-05-28,1,Protests,Peaceful protest,Protesters (Panama),Students (Panama); Teachers (Panama),,,Panama,Veraguas,Las Palmas,Vigui,8.36,-81.5055,1,National,0
PAN1220,2018-11-26,1,Protests,Peaceful protest,Protesters (Panama),,,,Panama,Panama Oeste,Arraijan,Santa Clara,9.0307,-79.7479,1,National,0
PAN1194,2018-11-12,1,Protests,Peaceful protest,Protesters (Panama),Taxi/Bus Drivers (Panama),,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,3,National,0
PAN1065,2018-08-28,1,Protests,Peaceful protest,Protesters (Panama),,,,Panama,Colon,Colon,Quebrada Bonita Adentro,9.3006,-79.7021,1,National,0
PAN1116,2018-09-21,1,Protests,Peaceful protest,Protesters (Panama),Labor Group (Panama),,,Panama,Herrera,Chitre,Chitre,7.9608,-80.4294,1,National,0
PAN1131,2018-10-02,1,Riots,Mob violence,Rioters (Panama),Prisoners (Panama),Rioters (Panama),Prisoners (Panama),Panama,Bocas del Toro,Changuinola,Deborah,9.5153,-82.5921,1,National,0
PAN1202,2018-11-14,1,Protests,Peaceful protest,Protesters (Panama),Labor Group (Panama),,,Panama,Chiriqui,David,David,8.4273,-82.4309,3,National,0
PAN1119,2018-09-24,1,Protests,Peaceful protest,Protesters (Panama),Indigenous Group (Panama),,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN918,2018-06-07,1,Protests,Peaceful protest,Protesters (Panama),Health Workers (Panama),,,Panama,Los Santos,Los Santos,La Villa de los Santos,7.9333,-80.4167,1,National,0
PAN1256,2018-12-28,1,Protests,Peaceful protest,Protesters (Panama),Students (Panama); Farmers (Panama),,,Panama,Panama Oeste,La Chorrera,La Chorrera,8.8803,-79.7833,1,National,0
PAN869,2018-05-01,1,Riots,Mob violence,Rioters (Panama),Unidentified Communal Militia (El Salvador),Rioters (Panama),Farmers (Panama); Veragauas Communal Militia (Panama),Panama,Veraguas,Santa Fe,Santa Fe,8.5106,-81.078,2,National,0
PAN844,2018-04-16,1,Protests,Peaceful protest,Protesters (Panama),,,,Panama,Panama Oeste,Arraijan,Arraijan,8.9519,-79.6601,1,National,0
