event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
SIE4730,2019-01-24,1,Battles,Armed clash,Police Forces of Sierra Leone (2018-),,Poro Sect Militia (Sierra Leone),,Sierra Leone,Eastern,Kenema,Lilema,7.486,-11.342,1,International,0
SIE4752,2019-05-15,2,Riots,Violent demonstration,Rioters (Sierra Leone),Students (Sierra Leone); Muslim Group (Sierra Leone),Police Forces of Sierra Leone (2018-),,Sierra Leone,Western,Western Area Urban,Freetown,8.4871,-13.2356,1,National,0
SIE4753,2019-05-24,1,Protests,Peaceful protest,Protesters (Sierra Leone),Students (Sierra Leone),,,Sierra Leone,Western,Western Area Urban,Freetown,8.4871,-13.2356,1,National,0
SIE4754,2019-05-29,1,Riots,Violent demonstration,Rioters (Sierra Leone),Students (Sierra Leone),Police Forces of Sierra Leone (2018-),,Sierra Leone,Western,Western Area Urban,Freetown,8.4871,-13.2356,1,National,0
SIE4760,2019-06-25,1,Riots,Violent demonstration,Rioters (Sierra Leone),Students (Sierra Leone),Rioters (Sierra Leone),Students (Sierra Leone),Sierra Leone,Western,Western Area Urban,Freetown,8.4871,-13.2356,1,National,0
SIE4761,2019-07-01,1,Protests,Peaceful protest,Protesters (Sierra Leone),Fishers (Sierra Leone),,,Sierra Leone,Western,Western Area Urban,Freetown,8.4871,-13.2356,1,National,0
SIE4789,2019-08-18,2,Strategic developments,Looting/property destruction,Unidentified Armed Group (Sierra Leone),,Civilians (Sierra Leone),Judges (Sierra Leone); Women (Sierra Leone),Sierra Leone,Western,Western Area Urban,Freetown,8.4871,-13.2356,1,National,0
SIE4748,2019-03-30,1,Battles,Armed clash,Military Forces of Sierra Leone (2018-),,Military Forces of Sierra Leone (2018-),,Sierra Leone,Western,Western Area Urban,Freetown,8.4871,-13.2356,1,Subnational,1
SIE4739,2019-01-25,1,Violence against civilians,Attack,Police Forces of Sierra Leone (2018-),,Civilians (Sierra Leone),,Sierra Leone,Northwestern,Kambia,Kambia,9.1228,-12.9169,1,National,1
SIE4795,2019-09-12,2,Violence against civilians,Attack,Taama Communal Militia (Sierra Leone),,Civilians (Sierra Leone),,Sierra Leone,Eastern,Kono,Koidu,8.63,-10.98,2,National,0
SIE4727,2019-01-21,1,Battles,Armed clash,Police Forces of Sierra Leone (2018-),,Poro Sect Militia (Sierra Leone),,Sierra Leone,Southern,Pujehun,Sahn,7.4328,-11.8408,1,New media-National,2
SIE4908,2019-01-28,1,Strategic developments,Arrests,Police Forces of Sierra Leone (2018-),,Civilians (Sierra Leone),Labor Group (Sierra Leone),Sierra Leone,Western,Western Area Urban,Freetown,8.4871,-13.2356,1,Local partner-New media,0
SIE4910,2019-02-02,1,Riots,Mob violence,Rioters (Sierra Leone),Students (Sierra Leone),Rioters (Sierra Leone),Students (Sierra Leone),Sierra Leone,Western,Western Area Urban,Freetown,8.4871,-13.2356,1,Local partner-New media,0
SIE4916,2019-03-04,2,Riots,Mob violence,Rioters (Sierra Leone),,Police Forces of Sierra Leone (2018-),,Sierra Leone,Eastern,Kailahun,Bunumbu,8.1744,-10.8644,2,Local partner-New media,1
SIE4919,2019-03-13,2,Riots,Mob violence,Rioters (Sierra Leone),,Rioters (Sierra Leone),Christian Group (Sierra Leone),Sierra Leone,Western,Western Area Rural,Newton,8.3386,-13.0047,2,Local partner-New media,4
SIE4929,2019-05-01,1,Protests,Peaceful protest,Protesters (Sierra Leone),Labor Group (Sierra Leone),,,Sierra Leone,Western,Western Area Urban,Freetown,8.4871,-13.2356,1,Local partner-New media,0
SIE4930,2019-05-01,1,Riots,Mob violence,Rioters (Sierra Leone),,Civilians (Sierra Leone),Government of Sierra Leone (2018-),Sierra Leone,Western,Western Area Rural,Regent,8.4358,-13.2186,2,Local partner-New media,0
SIE4933,2019-05-05,1,Violence against civilians,Attack,Unidentified Communal Militia (Sierra Leone),,Civilians (Sierra Leone),Farmers (Sierra Leone),Sierra Leone,Southern,Moyamba,Bometoke,7.8169,-12.6544,1,Local partner-New media,0
SIE4936,2019-05-12,1,Protests,Peaceful protest,Protesters (Sierra Leone),,,,Sierra Leone,Western,Western Area Urban,Freetown,8.4871,-13.2356,1,Local partner-New media,0
SIE4939,2019-05-16,1,Riots,Violent demonstration,Rioters (Sierra Leone),Students (Sierra Leone); Muslim Group (Sierra Leone),Police Forces of Sierra Leone (2018-),,Sierra Leone,Western,Western Area Urban,Freetown,8.4871,-13.2356,1,Local partner-Other,0
SIE4941,2019-05-24,1,Riots,Violent demonstration,Rioters (Sierra Leone),Students (Sierra Leone),Police Forces of Sierra Leone (2018-),,Sierra Leone,Western,Western Area Urban,Freetown,8.4871,-13.2356,1,Local partner-New media,0
SIE4971,2019-09-08,1,Violence against civilians,Attack,Military Forces of Sierra Leone (2018-),,Civilians (Sierra Leone),Journalists (Sierra Leone); Women (Sierra Leone),Sierra Leone,Western,Western Area Urban,Freetown,8.4871,-13.2356,1,Local partner-Other,0
SIE4977,2019-10-04,1,Battles,Armed clash,Bathhurst Communal Militia (Sierra Leone),,Police Forces of Sierra Leone (2018-),Military Forces of Sierra Leone (2018-),Sierra Leone,Western,Western Area Rural,Bathhurst,8.3333,-13.0667,1,National,0
SIE4945,2019-06-09,1,Riots,Mob violence,Rioters (Sierra Leone),,Rioters (Sierra Leone),,Sierra Leone,Northern,Tonkolili,Makali,8.6299,-11.6616,1,National,0
SIE4785,2019-06-15,3,Riots,Violent demonstration,Rioters (Sierra Leone),Students (Sierra Leone),Civilians (Sierra Leone),Labor Group (Sierra Leone),Sierra Leone,Western,Western Area Rural,Waterloo,8.3383,-13.0719,1,National,0
SIE4787,2019-03-02,1,Violence against civilians,Attack,Police Forces of Sierra Leone (2018-),,Civilians (Sierra Leone),,Sierra Leone,Western,Western Area Urban,Freetown,8.4871,-13.2356,2,New media,0
SIE4954,2019-06-29,1,Violence against civilians,Attack,Police Forces of Sierra Leone (2018-),,Civilians (Sierra Leone),Labor Group (Sierra Leone); Health Workers (Sierra Leone),Sierra Leone,Western,Western Area Urban,Freetown,8.4871,-13.2356,1,New media,0
SIE4915,2019-02-27,1,Riots,Mob violence,Rioters (Sierra Leone),,Rioters (Sierra Leone),,Sierra Leone,Northwestern,Port Loko,Laminaya,8.7347,-13.1461,1,Local partner-New media,0
SIE4917,2019-03-06,2,Violence against civilians,Abduction/forced disappearance,Poro Sect Militia (Sierra Leone),,Civilians (Sierra Leone),,Sierra Leone,Southern,Bonthe,Imperi,7.7,-12.3164,2,Local partner-New media,0
SIE4920,2019-03-19,1,Riots,Mob violence,Rioters (Sierra Leone),Vigilante Group (Sierra Leone),Civilians (India),Labor Group (India),Sierra Leone,Western,Western Area Rural,Hamilton,8.3819,-13.2597,2,Local partner-New media,0
SIE4925,2019-04-12,1,Riots,Mob violence,Rioters (Sierra Leone),Students (Sierra Leone),Rioters (Sierra Leone),Students (Sierra Leone),Sierra Leone,Western,Western Area Urban,Freetown,8.4871,-13.2356,1,Local partner-New media,0
SIE4943,2019-05-28,1,Protests,Peaceful protest,Protesters (Sierra Leone),Students (Sierra Leone),,,Sierra Leone,Western,Western Area Urban,Freetown,8.4871,-13.2356,1,Local partner-Other,0
SIE4965,2019-08-06,1,Strategic developments,Looting/property destruction,Government of Sierra Leone (2018-),,Civilians (Sierra Leone),,Sierra Leone,Eastern,Kenema,Kenema,7.8767,-11.1899,2,Local partner-Other,0
SIE4947,2019-06-19,1,Riots,Violent demonstration,Rioters (Sierra Leone),C4C: Coalition for Change,Police Forces of Sierra Leone (2018-),,Sierra Leone,Northwestern,Port Loko,Port Loko Town,8.7331,-12.7691,1,Local partner-Other,0
SIE4981,2019-10-23,2,Riots,Violent demonstration,Rioters (Sierra Leone),,,,Sierra Leone,Southern,Moyamba,Mokanji,7.8603,-12.2642,2,Local partner-Other,0
SIE4942,2019-05-27,1,Protests,Peaceful protest,Protesters (Sierra Leone),Sierra Leone Drivers Union; Labor Group (Sierra Leone),,,Sierra Leone,Western,Western Area Urban,Freetown,8.4871,-13.2356,1,Local partner-Other,0
SIE4980,2019-10-16,1,Protests,Peaceful protest,Protesters (Sierra Leone),Students (Sierra Leone),,,Sierra Leone,Western,Western Area Urban,Freetown,8.4871,-13.2356,1,Local partner-Other,0
SIE4984,2019-11-04,1,Protests,Peaceful protest,Protesters (Sierra Leone),Students (Sierra Leone),,,Sierra Leone,Western,Western Area Urban,Freetown,8.4871,-13.2356,1,Local partner-Other,0
SIE4961,2019-07-12,1,Protests,Peaceful protest,Protesters (Sierra Leone),,,,Sierra Leone,Western,Western Area Urban,Freetown,8.4871,-13.2356,1,Local partner-Other,0
SIE4967,2019-08-19,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Sierra Leone),,Civilians (Sierra Leone),Judges (Sierra Leone),Sierra Leone,Western,Western Area Urban,Freetown,8.4871,-13.2356,1,Local partner-Other,0
SIE4979,2019-10-13,1,Riots,Mob violence,Rioters (Sierra Leone),,Rioters (Sierra Leone),,Sierra Leone,Northwestern,Kambia,Konika,9.457,-12.622,2,Local partner-Other,0
SIE4962,2019-07-22,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Sierra Leone),,Civilians (Sierra Leone),Government of Sierra Leone (2018-),Sierra Leone,Western,Western Area Urban,Freetown,8.4871,-13.2356,1,Local partner-Other,0
SIE4956,2019-07-01,1,Protests,Peaceful protest,Protesters (Sierra Leone),Fishers (Sierra Leone); Labor Group (Sierra Leone),,,Sierra Leone,Western,Western Area Rural,Goderich,8.4319,-13.2897,1,Local partner-Other,0
SIE4959,2019-07-07,2,Riots,Mob violence,Rioters (Sierra Leone),Makali Communal Group (Sierra Leone),Rioters (Sierra Leone),Makali Communal Group (Sierra Leone),Sierra Leone,Northern,Tonkolili,Makali,8.6299,-11.6616,1,Local partner-Other,0
SIE4983,2019-10-24,1,Riots,Mob violence,Rioters (Sierra Leone),Kambia Communal Group (Sierra Leone),Rioters (Sierra Leone),,Sierra Leone,Northwestern,Kambia,Kambia,9.1228,-12.9169,1,Local partner-Other,0
SIE4729,2019-01-22,1,Violence against civilians,Abduction/forced disappearance,Poro Sect Militia (Sierra Leone),,Civilians (Sierra Leone),,Sierra Leone,Southern,Moyamba,Moriba Town,7.7876,-12.2973,1,New media,0
SIE4742,2019-01-30,1,Violence against civilians,Sexual violence,Police Forces of Sierra Leone (2018-),,Civilians (Sierra Leone),Women (Sierra Leone),Sierra Leone,Southern,Bo,Bo,7.9621,-11.7367,1,National,0
