event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
LBR1580,2021-01-28,1,Protests,Peaceful protest,Protesters (Liberia),Women (Liberia),,,Liberia,Maryland,Harper,Harper,4.3764,-7.7013,1,National,0
LBR1583,2021-02-17,1,Protests,Peaceful protest,Protesters (Liberia),Students (Liberia),,,Liberia,Maryland,Harper,Harper,4.3764,-7.7013,1,National,0
LBR1590,2021-03-30,1,Riots,Violent demonstration,Rioters (Liberia),Taxi Drivers (Liberia),Police Forces of Liberia (2018-),,Liberia,Maryland,Pleebo,Pleebo,4.5892,-7.6725,1,National-International,0
LBR1591,2021-03-31,1,Riots,Violent demonstration,Rioters (Liberia),Taxi Drivers (Liberia),Police Forces of Liberia (2018-),Civilians (Liberia); Government of Liberia (2018-),Liberia,Maryland,Pleebo,Pleebo,4.5892,-7.6725,1,National,0
LBR1588,2021-03-29,1,Protests,Peaceful protest,Protesters (Liberia),Taxi Drivers (Liberia),,,Liberia,Maryland,Harper,Harper,4.3764,-7.7013,1,National,0
LBR1589,2021-03-29,1,Protests,Peaceful protest,Protesters (Liberia),Taxi Drivers (Liberia),,,Liberia,Maryland,Pleebo,Pleebo,4.5892,-7.6725,1,National,0
LBR1592,2021-04-05,1,Protests,Peaceful protest,Protesters (Liberia),Labor Group (Liberia),,,Liberia,Nimba,Doe,Tapita,6.49,-8.86,1,National,0
LBR1596,2021-04-20,1,Protests,Peaceful protest,Protesters (Liberia),,,,Liberia,Nimba,Garr-Bain,Ganta,7.235,-8.984,1,National,0
LBR1601,2021-05-18,1,Riots,Violent demonstration,Rioters (Liberia),Taxi Drivers (Liberia),Police Forces of Liberia (2018-),Civilians (Liberia); Fulani Ethnic Group (Liberia); Pastoralists (Liberia),Liberia,Grand Gedeh,Tchien,Zwedru,5.9167,-8.0833,1,National,1
LBR1602,2021-05-31,1,Protests,Peaceful protest,Protesters (Liberia),,,,Liberia,Grand Cape Mount,Commonwealth,Robertsport,6.7533,-11.3686,2,National,0
LBR1603,2021-06-05,1,Riots,Violent demonstration,Rioters (Liberia),,Rioters (Liberia),Labor Group (Liberia),Liberia,Grand Gedeh,Konobo,Zia Town,5.7456,-7.855,1,National,0
LBR1604,2021-07-19,1,Protests,Peaceful protest,Protesters (Liberia),Health Workers (Liberia),,,Liberia,Margibi,Kakata,Kakata,6.5318,-10.3514,1,National,0
LBR1606,2021-07-21,2,Protests,Peaceful protest,Protesters (Liberia),CPP: Collaborating Political Parties,,,Liberia,Lofa,Foya,Foya,8.27,-10.31,1,National,0
LBR1607,2021-07-21,2,Protests,Peaceful protest,Protesters (Liberia),CPP: Collaborating Political Parties,,,Liberia,Lofa,Zorzor,Zorzor,7.78,-9.43,1,National,0
LBR1610,2021-07-29,1,Protests,Peaceful protest,Protesters (Liberia),CPP: Collaborating Political Parties,,,Liberia,Lofa,Foya,Foya,8.27,-10.31,1,National,0
LBR1611,2021-07-29,1,Riots,Violent demonstration,Rioters (Liberia),CPP: Collaborating Political Parties,Police Forces of Liberia (2018-),Civilians (Liberia); Government of Liberia (2018-),Liberia,Lofa,Voinjama,Voinjama,8.4226,-9.7524,1,National,0
LBR1612,2021-07-29,1,Protests,Peaceful protest,Protesters (Liberia),CPP: Collaborating Political Parties,,,Liberia,Lofa,Zorzor,Zorzor,7.78,-9.43,1,National,0
LBR1609,2021-03-15,3,Protests,Peaceful protest,Protesters (Liberia),,,,Liberia,Lofa,Zorzor,Zorzor,7.78,-9.43,1,National,0
