event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
BLR336,2020-03-09,1,Protests,Peaceful protest,Protesters (Belarus),,,,Belarus,Gomel,Gomel,Gomel,52.4345,30.9754,1,National,0
BLR338,2020-03-15,1,Protests,Peaceful protest,Protesters (Belarus),Journalists (Belarus),,,Belarus,Minsk,Slutskiy,Slutsk,53.0274,27.5597,1,Other-National,0
BLR340,2020-03-25,1,Protests,Peaceful protest,Protesters (Belarus),BPF: Conservative Christian Party of the Belarusian People's Front,,,Belarus,Grodno,Grodno,Grodno,53.6884,23.8258,1,National,0
BLR347,2020-04-05,1,Strategic developments,Other,Government of Belarus (1994-),,,,Belarus,Minsk city,Leninskiy,Minsk,53.9,27.5667,3,Other-National,0
BLR348,2020-04-11,1,Protests,Peaceful protest,Protesters (Belarus),Labor Group (Belarus),,,Belarus,Minsk,Borisovskiy,Barysaw,54.2279,28.505,1,National,0
BLR364,2020-05-05,1,Protests,Protest with intervention,Protesters (Belarus),Journalists (Belarus),Police Forces of Belarus (1994-),,Belarus,Mogilev,Mogilev,Mogilev,53.9168,30.3449,1,Other-National,0
BLR366,2020-05-06,1,Protests,Peaceful protest,Protesters (Belarus),,,,Belarus,Mogilev,Mogilev,Mogilev,53.9168,30.3449,1,Other-National,0
BLR367,2020-05-06,1,Protests,Peaceful protest,Protesters (Belarus),,,,Belarus,Gomel,Gomel,Gomel,52.4345,30.9754,1,Other-National,0
BLR368,2020-05-06,1,Protests,Peaceful protest,Protesters (Belarus),,,,Belarus,Grodno,Grodno,Grodno,53.6884,23.8258,1,Subnational-National,0
BLR369,2020-05-06,1,Strategic developments,Arrests,Police Forces of Belarus (1994-),,Civilians (Belarus),Journalists (Belarus),Belarus,Mogilev,Mogilev,Mogilev,53.9168,30.3449,1,Other-National,0
BLR372,2020-05-09,1,Protests,Protest with intervention,Protesters (Belarus),OGP: United Civic Party of Belarus; BCDTU: Belarusian Congress of Democratic Trade Unions; Labor Group (Belarus),Police Forces of Belarus (1994-),,Belarus,Mogilev,Bobruysk,Babruysk,53.1384,29.2214,1,National,0
BLR373,2020-05-09,1,Strategic developments,Arrests,Police Forces of Belarus (1994-),,Civilians (Belarus),OGP: United Civic Party of Belarus; BCDTU: Belarusian Congress of Democratic Trade Unions; Labor Group (Belarus); Viasna; Journalists (Belarus); Health Workers (Belarus),Belarus,Minsk city,Leninskiy,Minsk,53.9,27.5667,3,Other,0
BLR380,2020-05-25,1,Protests,Peaceful protest,Protesters (Belarus),Journalists (Belarus),,,Belarus,Minsk,Slutskiy,Slutsk,53.0274,27.5597,1,National,0
BLR381,2020-05-25,1,Protests,Peaceful protest,Protesters (Belarus),Journalists (Belarus),,,Belarus,Minsk,Slutskiy,Slutsk,53.0274,27.5597,1,Other-National,0
BLR383,2020-05-27,1,Protests,Peaceful protest,Protesters (Belarus),Journalists (Belarus),,,Belarus,Brest,Baranovichi,Baranovichi,53.1327,26.0139,1,National,0
BLR384,2020-05-28,1,Protests,Peaceful protest,Protesters (Belarus),BSDP-A: Belarusian Social Democratic Party-Assembly; Journalists (Belarus),,,Belarus,Gomel,Gomel,Gomel,52.4345,30.9754,1,Other-National,0
BLR385,2020-05-28,1,Protests,Peaceful protest,Protesters (Belarus),Journalists (Belarus),,,Belarus,Mogilev,Mogilev,Mogilev,53.9168,30.3449,1,Other-National,0
BLR386,2020-05-28,1,Protests,Peaceful protest,Protesters (Belarus),GP: Tell the Truth,,,Belarus,Mogilev,Bobruysk,Babruysk,53.1384,29.2214,1,Other-Subnational,0
BLR388,2020-05-29,1,Protests,Peaceful protest,Protesters (Belarus),,,,Belarus,Grodno,Grodno,Grodno,53.6884,23.8258,1,National,0
BLR382,2020-05-26,1,Protests,Peaceful protest,Protesters (Belarus),Independent Politicians (Belarus),,,Belarus,Minsk city,Leninskiy,Minsk,53.9,27.5667,1,National,0
BLR389,2020-05-31,1,Protests,Peaceful protest,Protesters (Belarus),BCD: Belarusian Christian Democracy; Journalists (Belarus),,,Belarus,Vitebsk,Vitebsk,Vitebsk,55.1904,30.2049,1,Other-National,0
BLR392,2020-05-31,1,Protests,Peaceful protest,Protesters (Belarus),,,,Belarus,Gomel,Gomel,Gomel,52.4345,30.9754,1,Other-National,0
BLR393,2020-05-31,1,Protests,Peaceful protest,Protesters (Belarus),,,,Belarus,Grodno,Grodno,Grodno,53.6884,23.8258,1,Other-National,0
BLR394,2020-05-30,1,Protests,Peaceful protest,Protesters (Belarus),,,,Belarus,Vitebsk,Vitebsk,Vitebsk,55.1904,30.2049,1,Other-National,0
BLR395,2020-06-03,1,Protests,Peaceful protest,Protesters (Belarus),BCD: Belarusian Christian Democracy; Labor Group (Belarus),,,Belarus,Minsk,Minskiy,Kurapaty,53.9679,27.6082,2,National,0
BLR398,2020-06-07,1,Protests,Peaceful protest,Protesters (Belarus),OGP: United Civic Party of Belarus,,,Belarus,Gomel,Gomel,Gomel,52.4345,30.9754,1,National,0
BLR399,2020-06-19,1,Protests,Peaceful protest,Protesters (Belarus),,,,Belarus,Minsk,Borisovskiy,Barysaw,54.2279,28.505,1,Subnational-National,0
BLR400,2020-06-19,1,Protests,Peaceful protest,Protesters (Belarus),,,,Belarus,Minsk,Zhodino,Zhodzina,54.0999,28.3392,1,Subnational-National,0
BLR402,2020-06-19,1,Protests,Peaceful protest,Protesters (Belarus),,,,Belarus,Gomel,Rechitskiy,Rechytsa,52.3617,30.3916,1,Local partner-New media,0
BLR406,2020-06-19,1,Protests,Protest with intervention,Protesters (Belarus),,Police Forces of Belarus (1994-),,Belarus,Grodno,Grodno,Grodno,53.6884,23.8258,1,National,0
BLR413,2020-06-19,1,Protests,Protest with intervention,Protesters (Belarus),,Police Forces of Belarus (1994-),,Belarus,Vitebsk,Vitebsk,Vitebsk,55.1904,30.2049,1,Other-National,0
BLR414,2020-06-19,1,Protests,Peaceful protest,Protesters (Belarus),,,,Belarus,Gomel,Svetlogorskiy,Svietlahorsk,52.6329,29.7389,1,Other-National,0
BLR415,2020-06-19,1,Protests,Protest with intervention,Protesters (Belarus),Civilians (Belarus); Journalists (Belarus),Police Forces of Belarus (1994-),,Belarus,Mogilev,Mogilev,Mogilev,53.9168,30.3449,1,Other-National,0
BLR426,2020-06-18,1,Protests,Protest with intervention,Protesters (Belarus),BCD: Belarusian Christian Democracy; BCDTU: Belarusian Congress of Democratic Trade Unions; BSDP-A: Belarusian Social Democratic Party-Assembly; BSDP-PA: Belarusian Social Democratic Party-People's Assembly; European Belarus; MFF: Movement 'For Freedom'; OGP: United Civic Party of Belarus,Police Forces of Belarus (1994-),,Belarus,Minsk city,Leninskiy,Minsk,53.9,27.5667,1,Other-National,0
BLR434,2020-06-15,1,Protests,Peaceful protest,Protesters (Belarus),Labor Group (Belarus),,,Belarus,Mogilev,Bobruysk,Babruysk,53.1384,29.2214,1,National,0
BLR401,2020-06-20,1,Protests,Peaceful protest,Protesters (Belarus),,,,Belarus,Grodno,Novogrudskiy,Navahrudak,53.5942,25.8191,1,National,0
BLR417,2020-06-19,1,Protests,Peaceful protest,Protesters (Belarus),,,,Belarus,Minsk,Soligorskiy,Salihorsk,52.7876,27.5415,1,National,0
BLR418,2020-06-19,1,Protests,Peaceful protest,Protesters (Belarus),,,,Belarus,Gomel,Kalinkovichskiy,Kalinkavichy,52.1323,29.3257,1,National,0
BLR419,2020-06-19,1,Protests,Peaceful protest,Protesters (Belarus),,,,Belarus,Gomel,Mozyrskiy,Mazyr,52.0495,29.2456,1,National,0
BLR420,2020-06-19,1,Protests,Peaceful protest,Protesters (Belarus),,,,Belarus,Gomel,Zhlobinskiy,Zhlobin,52.8926,30.024,1,National,0
BLR421,2020-06-19,1,Protests,Peaceful protest,Protesters (Belarus),,,,Belarus,Brest,Pruzhanskiy,Pruzhany,52.556,24.4573,1,National,0
BLR424,2020-06-19,1,Protests,Peaceful protest,Protesters (Belarus),,,,Belarus,Vitebsk,Orshanskiy,Orsha,54.5081,30.4172,1,National,0
BLR425,2020-06-19,1,Protests,Peaceful protest,Protesters (Belarus),,,,Belarus,Minsk,Stolbtsovskiy,Stowbtsy,53.4785,26.7434,1,National,0
BLR423,2020-06-19,1,Protests,Peaceful protest,Protesters (Belarus),,,,Belarus,Brest,Baranovichi,Baranovichi,53.1327,26.0139,1,National,0
BLR411,2020-06-20,1,Protests,Protest with intervention,Protesters (Belarus),Civilians (Belarus); Journalists (Belarus),Police Forces of Belarus (1994-),,Belarus,Brest,Gantsevichskiy,Hantsavichy,52.758,26.43,1,Other-Subnational,0
BLR436,2020-06-21,2,Strategic developments,Arrests,Police Forces of Belarus (1994-),,Civilians (Belarus),,Belarus,Minsk city,Leninskiy,Minsk,53.9,27.5667,1,Other-National,0
BLR438,2020-06-21,1,Protests,Protest with intervention,Protesters (Belarus),,Police Forces of Belarus (1994-),Police Forces of Belarus (1994-) State Security Committee,Belarus,Grodno,Novogrudskiy,Navahrudak,53.5942,25.8191,1,Other-National,0
BLR441,2020-06-23,1,Protests,Peaceful protest,Protesters (Belarus),,,,Belarus,Minsk city,Leninskiy,Minsk,53.9,27.5667,1,National,0
BLR444,2020-06-25,1,Protests,Peaceful protest,Protesters (Belarus),,,,Belarus,Minsk,Minskiy,Kopishche,53.9586,27.6704,1,National,0
BLR445,2020-06-25,1,Protests,Peaceful protest,Protesters (Belarus),,,,Belarus,Minsk,Stolbtsovskiy,Stowbtsy,53.4785,26.7434,1,National,0
BLR439,2020-06-23,1,Protests,Peaceful protest,Protesters (Belarus),,,,Belarus,Brest,Pinsk,Pinsk,52.1229,26.0951,1,National,0
