event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
AUS2418,2024-01-02,1,Protests,Peaceful protest,Protesters (Australia),,,,Australia,Western Australia,Bassendean,Perth - Inner East,-31.903,115.9467,1,Subnational,0
AUS2419,2024-01-04,1,Protests,Peaceful protest,Protesters (Australia),Health Workers (Australia),,,Australia,Western Australia,Perth,Perth - Central,-31.9537,115.8493,1,Subnational,0
AUS2426,2024-01-01,1,Protests,Peaceful protest,Protesters (Australia),Kurdish Ethnic Group (Australia),,,Australia,New South Wales,Blue Mountains,Sydney - Western,-33.7017,150.5165,1,National,0
AUS2427,2024-01-06,1,Protests,Peaceful protest,Protesters (Australia),,,,Australia,Australian Capital Territory,,Canberra,-35.3093,149.12,1,National,0
AUS2428,2024-01-06,1,Protests,Peaceful protest,Protesters (Australia),,,,Australia,Victoria,Greater Geelong,Geelong,-38.1491,144.3606,1,National,0
AUS2429,2024-01-06,1,Protests,Peaceful protest,Protesters (Australia),Journalists (Australia); Labor Group (Australia); Lebanese Group (Australia); Palestinian Group (Australia),,,Australia,New South Wales,Sydney,Sydney - Eastern,-33.9067,151.1825,1,National,0
AUS2431,2024-01-07,1,Riots,Mob violence,Rioters (Australia),Prisoners (Australia),Police Forces of Australia (2022-) Corrective Services,,Australia,Northern Territory,Alice Springs,Alice Springs,-23.6985,133.88,1,Subnational,0
AUS2432,2024-01-07,1,Protests,Peaceful protest,Protesters (Australia),Labor Group (Australia),,,Australia,Victoria,Melbourne,Melbourne - Central,-37.8175,144.9674,1,Other-National,0
AUS2433,2024-01-08,1,Protests,Peaceful protest,Protesters (Australia),,,,Australia,Queensland,Brisbane,Brisbane - Eastern,-27.4745,153.1291,1,Subnational,0
AUS2434,2024-01-12,1,Protests,Peaceful protest,Protesters (Australia),Students (Australia); Palestinian Group (Australia),,,Australia,Queensland,Brisbane,Brisbane - Central,-27.4748,153.0272,1,Subnational,0
AUS2435,2024-01-17,1,Protests,Peaceful protest,Protesters (Australia),Health Workers (Australia); HSU: Health Services Union; Labor Group (Australia),,,Australia,New South Wales,Sydney,Sydney - Eastern,-33.9067,151.1825,1,Subnational,0
AUS2437,2024-01-13,1,Protests,Peaceful protest,Protesters (Australia),,,,Australia,New South Wales,Sydney,Sydney,-33.8693,151.2092,1,National,0
AUS2438,2024-01-14,1,Protests,Peaceful protest,Protesters (Australia),LGBTQ+ (Australia),,,Australia,Victoria,Greater Geelong,Geelong,-38.1491,144.3606,1,National,0
AUS2439,2024-01-14,1,Protests,Peaceful protest,Protesters (Australia),Indigenous Group (Australia); Palestinian Group (Australia); South African Group (Australia),,,Australia,Victoria,Melbourne,Melbourne,-37.7966,144.9512,1,New media-National,0
AUS2440,2024-01-15,1,Protests,Peaceful protest,Protesters (Australia),,,,Australia,Australian Capital Territory,,Canberra,-35.3093,149.12,1,National,0
AUS2441,2024-01-14,1,Protests,Peaceful protest,Protesters (Australia),,,,Australia,New South Wales,Blue Mountains,Sydney - Western,-33.7017,150.5165,1,National,0
AUS2443,2024-01-18,1,Protests,Peaceful protest,Protesters (Australia),Labor Group (Australia); SA: Socialist Alliance,,,Australia,Victoria,Whittlesea,Melbourne - Northern,-37.6802,145.0138,1,National,0
AUS2445,2024-01-19,1,Protests,Peaceful protest,Protesters (Australia),Labor Group (Australia),,,Australia,Victoria,Melbourne,Melbourne - Central,-37.8175,144.9674,1,National,0
AUS2446,2024-01-13,1,Protests,Peaceful protest,Protesters (Australia),Australian Greens; CPA: Communist Party of Australia,,,Australia,New South Wales,Newcastle,Newcastle,-32.9257,151.7581,1,Subnational,0
AUS2447,2024-01-16,1,Protests,Peaceful protest,Protesters (Australia),,,,Australia,Tasmania,Northern Midlands,Cressy,-41.7105,147.0534,1,Subnational,0
AUS2448,2024-01-11,1,Protests,Peaceful protest,Protesters (Australia),,,,Australia,New South Wales,Sydney,Sydney - Eastern,-33.9067,151.1825,1,National,0
AUS2449,2024-01-13,1,Protests,Peaceful protest,Protesters (Australia),,,,Australia,South Australia,Adelaide,Adelaide,-34.9254,138.5994,1,Subnational,0
AUS2450,2024-01-21,1,Protests,Peaceful protest,Protesters (Australia),Extinction Rebellion,,,Australia,South Australia,Adelaide,Adelaide,-34.9254,138.5994,1,National,0
AUS2451,2024-01-26,1,Protests,Peaceful protest,Protesters (Australia),Gumbaynggirr Indigenous Group (Australia); Palestinian Group (Australia); Students (Australia); SA: Socialist Alliance; Wurundjeri Indigenous Group (Australia); Indigenous Group (Australia); Mutthi Mutthi Indigenous Group (Australia); Wamba Wamba Indigenous Group (Australia),,,Australia,Victoria,Melbourne,Melbourne - Central,-37.8175,144.9674,1,Subnational-National,0
AUS2453,2024-01-26,1,Protests,Peaceful protest,Protesters (Australia),Kulumbirigin Danggalaba Indigenous Group (Australia),,,Australia,Northern Territory,Darwin,Darwin,-12.4427,130.8447,1,Subnational,0
AUS2454,2024-01-21,1,Protests,Peaceful protest,Protesters (Australia),Labor Group (Australia),,,Australia,Victoria,Melbourne,Melbourne - Central,-37.8175,144.9674,1,National,0
AUS2455,2024-01-19,1,Protests,Peaceful protest,Protesters (Australia),Labor Group (Australia),,,Australia,Western Australia,Mosman Park,Perth - Inner West,-32.0097,115.7645,1,National,0
AUS2456,2024-01-26,1,Protests,Peaceful protest,Protesters (Australia),Narungga Indigenous Group (Australia),,,Australia,South Australia,Adelaide,Adelaide,-34.9254,138.5994,1,Subnational-National,0
AUS2458,2024-01-21,1,Protests,Peaceful protest,Protesters (Australia),Palestinian Group (Australia),,,Australia,New South Wales,Sydney,Sydney - Eastern,-33.9067,151.1825,1,National-International,0
AUS2459,2024-01-26,1,Protests,Peaceful protest,Protesters (Australia),ASU: Australian Service Union; Bundjalung Indigenous Group (Australia); Gomeroi Indigenous Group (Australia); Government of Australia (2022-); Kurdish Ethnic Group (Australia); Labor Group (Australia); Palestinian Group (Australia); SA: Socialist Alliance; Tamil Ethnic Group (Australia); Wiradjuri Indigenous Group (Australia),,,Australia,New South Wales,Sydney,Sydney - Eastern,-33.9067,151.1825,1,Subnational-National,0
AUS2461,2024-01-20,1,Protests,Peaceful protest,Protesters (Australia),,,,Australia,New South Wales,Sydney,Sydney,-33.8693,151.2092,1,National,0
AUS2462,2024-01-21,1,Protests,Peaceful protest,Protesters (Australia),,,,Australia,Western Australia,Perth,Perth,-31.9507,115.8616,1,National,0
AUS2463,2024-01-21,1,Protests,Peaceful protest,Protesters (Australia),,,,Australia,Queensland,Brisbane,Brisbane,-27.4556,153.0376,1,National,0
AUS2464,2024-01-20,1,Protests,Peaceful protest,Protesters (Australia),,,,Australia,New South Wales,Bellingen,Bellingen,-30.4534,152.8952,1,National,0
AUS2465,2024-01-17,1,Protests,Peaceful protest,Protesters (Australia),,,,Australia,Queensland,Brisbane,Brisbane - Eastern,-27.4745,153.1291,1,Subnational,0
AUS2466,2024-01-24,1,Protests,Peaceful protest,Protesters (Australia),,,,Australia,Queensland,Brisbane,Brisbane - Eastern,-27.4745,153.1291,1,National,0
AUS2467,2024-01-24,1,Protests,Peaceful protest,Protesters (Australia),,,,Australia,Victoria,Greater Dandenong,Melbourne - Southeastern,-37.9653,145.174,1,National,0
AUS2469,2024-01-26,1,Protests,Peaceful protest,Protesters (Australia),,,,Australia,Queensland,Cairns,Cairns,-16.9121,145.7589,1,National,0
AUS2470,2024-01-26,1,Protests,Peaceful protest,Protesters (Australia),,,,Australia,Australian Capital Territory,,Canberra,-35.3093,149.12,1,National,0
AUS2471,2024-01-26,1,Protests,Peaceful protest,Protesters (Australia),,,,Australia,Queensland,Sunshine Coast,Sunshine Coast,-26.6555,153.0907,1,Subnational,0
AUS2472,2024-01-22,1,Protests,Protest with intervention,Protesters (Australia),Labor Group (Australia),Police Forces of Australia (2022-),,Australia,Victoria,Melbourne,Melbourne - Central,-37.8175,144.9674,1,National,0
AUS2473,2024-01-20,1,Protests,Protest with intervention,Protesters (Australia),Labor Group (Australia),Police Forces of Australia (2022-),,Australia,Victoria,Melbourne,Melbourne - Central,-37.8175,144.9674,1,Subnational-National,0
AUS2475,2024-01-23,1,Protests,Protest with intervention,Protesters (Australia),,Police Forces of Australia (2022-),,Australia,New South Wales,Wollongong,Wollongong,-34.4251,150.8934,1,National,0
AUS2457,2024-01-26,1,Protests,Peaceful protest,Protesters (Australia),Noongar Indigenous Group (Australia); Australian Greens; Government of Australia (2022-),,,Australia,Western Australia,Perth,Perth - Central,-31.9537,115.8493,1,Subnational-National,0
