event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
SVK152,2021-01-08,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Bratislavsky,Bratislava I,Bratislava,48.1505,17.1085,1,National,0
SVK153,2021-02-01,1,Protests,Peaceful protest,Protesters (Slovakia),Women (Slovakia),,,Slovakia,Bratislavsky,Bratislava I,Bratislava,48.1505,17.1085,1,New media,0
SVK154,2021-02-02,1,Protests,Peaceful protest,Protesters (Slovakia),Labor Group (Slovakia),,,Slovakia,Bratislavsky,Bratislava I,Bratislava,48.1505,17.1085,1,National,0
SVK156,2021-02-24,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Bratislavsky,Bratislava I,Bratislava,48.1505,17.1085,1,National,0
SVK157,2021-03-08,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Nitriansky,Sala,Sala,48.1514,17.8744,1,National,0
SVK159,2021-03-30,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Bratislavsky,Bratislava I,Bratislava,48.1505,17.1085,1,National,0
SVK162,2021-05-21,1,Protests,Peaceful protest,Protesters (Slovakia),Uprising Is Continuing,,,Slovakia,Bratislavsky,Bratislava I,Bratislava,48.1505,17.1085,1,New media,0
SVK163,2021-05-19,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Bratislavsky,Bratislava I,Bratislava,48.1505,17.1085,1,National,0
SVK165,2021-05-29,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Bratislavsky,Bratislava I,Bratislava,48.1505,17.1085,1,National,0
SVK164,2021-05-28,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Zilinsky,Namestovo,Namestovo,49.4083,19.4798,1,National,0
SVK167,2021-06-10,1,Protests,Peaceful protest,Protesters (Slovakia),Labor Group (Slovakia),,,Slovakia,Trenciansky,Puchov,Belusa,49.0661,18.33,1,International,0
SVK168,2021-06-26,1,Protests,Peaceful protest,Protesters (Slovakia),Labor Group (Slovakia),,,Slovakia,Bratislavsky,Bratislava I,Bratislava,48.1505,17.1085,1,International,0
SVK169,2021-07-02,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Banskobystricky,Zvolen,Zvolen,48.578,19.1241,1,National,0
SVK178,2021-07-07,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Bratislavsky,Bratislava I,Bratislava,48.1505,17.1085,1,National,0
SVK179,2021-07-09,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Bratislavsky,Bratislava I,Bratislava,48.1505,17.1085,2,International,0
SVK177,2021-07-06,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Trenciansky,Myjava,Vrbovce,48.8003,17.4694,2,National,0
SVK171,2021-07-02,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Presovsky,Svidnik,Svidnik,49.3082,21.5727,2,National,0
SVK173,2021-07-04,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Trnavsky,Skalica,Brodske,48.6919,17.0137,2,National,0
SVK172,2021-07-04,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Bratislavsky,Bratislava I,Bratislava,48.1505,17.1085,2,National,0
SVK174,2021-07-04,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Trenciansky,Myjava,Vrbovce,48.8003,17.4694,2,National,0
SVK175,2021-07-05,1,Protests,Peaceful protest,Protesters (Slovakia),Labor Group (Slovakia),,,Slovakia,Presovsky,Kezmarok,Spisska Stara Ves,49.3831,20.3612,2,International,0
SVK180,2021-07-09,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Nitriansky,Komarno,Komarno,47.758,18.1295,2,National,0
SVK182,2021-07-09,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Zilinsky,Tvrdosin,Sucha Hora,49.367,19.7896,2,National,0
SVK183,2021-07-09,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Zilinsky,Cadca,Svrcinovec,49.4813,18.7935,2,National,0
SVK181,2021-07-09,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Nitriansky,Nove Zamky,Sturovo,47.7963,18.7154,2,National,0
SVK187,2021-07-14,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Bratislavsky,Bratislava I,Bratislava,48.1505,17.1085,1,National,0
