event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
NIG13348,2018-11-15,1,Protests,Peaceful protest,Protesters (Nigeria),IM: Islamic Movement,,,Nigeria,Federal Capital Territory,Abuja Municipal,Abuja,9.0833,7.5333,1,National,0
NIG13333,2018-11-13,1,Protests,Peaceful protest,Protesters (Nigeria),NANS: National Association of Nigerian Students,,,Nigeria,Bayelsa,Yenagoa,Yenagoa,4.9247,6.2642,1,National,0
NIG13332,2018-11-12,1,Violence against civilians,Attack,Bassa Kwomu Communal Militia (Nigeria),,Civilians (Nigeria),APC: All Progressives Congress; Egbura Ethnic Group (Nigeria),Nigeria,Kogi,Bassa,Oguma,7.8981,7.0524,2,National,2
NIG13097,2018-09-12,1,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,Civilians (Nigeria),,Nigeria,Zamfara,Shinkafi,Badarawa,13.0045,6.5234,1,National,6
NIG13032,2018-08-27,1,Protests,Peaceful protest,Protesters (Nigeria),,,,Nigeria,Lagos,Lagos Island,Lagos,6.4531,3.3958,1,National,0
NIG12976,2018-08-11,1,Protests,Peaceful protest,Protesters (Nigeria),,,,Nigeria,Delta,Bomadi,Bomadi,5.1593,5.9252,1,National,0
NIG12925,2018-07-31,1,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),Civilians (Nigeria),Farmers (Nigeria),Nigeria,Edo,Owan East,Afuze,6.9675,6.0432,2,National,0
NIG12869,2018-07-24,1,Protests,Peaceful protest,Protesters (Nigeria),,,,Nigeria,Osun,Osogbo,Oshogbo,7.7667,4.5667,1,National,0
NIG12860,2018-07-22,1,Protests,Peaceful protest,Protesters (Nigeria),,,,Nigeria,Delta,Ughelli North,Ughelli,5.4899,6.0074,1,National,0
NIG12761,2018-07-10,1,Protests,Peaceful protest,Protesters (Nigeria),,,,Nigeria,Delta,Isoko South,Irri,5.4411,6.214,1,National,0
NIG12773,2018-07-10,1,Riots,Violent demonstration,Rioters (Nigeria),APC: All Progressives Congress,Rioters (Nigeria),APC: All Progressives Congress,Nigeria,Federal Capital Territory,Abuja Municipal,Abuja,9.0833,7.5333,1,National,0
NIG12682,2018-07-04,1,Protests,Peaceful protest,Protesters (Nigeria),GR: Global Rights,,,Nigeria,Federal Capital Territory,Abuja Municipal,Abuja,9.0833,7.5333,1,National,0
NIG12676,2018-07-02,1,Protests,Peaceful protest,Protesters (Nigeria),Lawyers (Nigeria),,,Nigeria,Cross River,Calabar Municipal,Calabar,4.9667,8.3333,1,National,0
NIG12635,2018-06-27,1,Protests,Peaceful protest,Protesters (Nigeria),BZM: Biafra Zionist Movement,,,Nigeria,Enugu,Enugu North,Enugu,6.4426,7.5022,1,National,0
NIG12632,2018-06-26,1,Protests,Peaceful protest,Protesters (Nigeria),Lawyers (Nigeria),,,Nigeria,Federal Capital Territory,Abuja Municipal,Abuja,9.0833,7.5333,1,National,0
NIG12623,2018-06-25,1,Protests,Peaceful protest,Protesters (Nigeria),,,,Nigeria,Lagos,Ikeja,Alausa,6.6096,3.3566,1,National,0
NIG12571,2018-06-20,1,Protests,Peaceful protest,Protesters (Nigeria),IM: Islamic Movement,,,Nigeria,Kaduna,Kaduna North,Kaduna,10.5222,7.4383,1,National,0
NIG12540,2018-06-12,1,Riots,Mob violence,Rioters (Nigeria),Vigilante Group (Nigeria),Civilians (Nigeria),,Nigeria,Anambra,Ihiala,Orkija,5.9077,6.8432,1,National,0
NIG12528,2018-06-10,1,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),Civilians (Nigeria),Irigwe Ethnic Group (Nigeria),Nigeria,Plateau,Bassa,Kwal,9.8167,8.65,2,National,2
NIG12529,2018-06-10,1,Violence against civilians,Abduction/forced disappearance,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),Civilians (Nigeria),Protestant Christian Group (Nigeria),Nigeria,Osun,Iwo,Iwo,7.6333,4.1833,2,National,0
NIG12519,2018-06-09,1,Protests,Peaceful protest,Protesters (Nigeria),,,,Nigeria,Anambra,Onisha South,Fegge,6.1379,6.7782,1,National,0
NIG12516,2018-06-08,1,Protests,Peaceful protest,Protesters (Nigeria),IM: Islamic Movement,,,Nigeria,Kaduna,Kaduna North,Kaduna,10.5222,7.4383,1,National,0
NIG12283,2018-05-02,1,Riots,Violent demonstration,Rioters (Nigeria),Students (Nigeria),,,Nigeria,Delta,Ndokwa West,Ogume,5.7517,6.3262,1,National,0
NIG12097,2018-04-05,1,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),Civilians (Nigeria),,Nigeria,Kaduna,Jema'a,Jemaa,9.4667,8.3833,2,National,2
NIG11906,2018-02-21,1,Protests,Peaceful protest,Protesters (Nigeria),,,,Nigeria,Federal Capital Territory,Abuja Municipal,Abuja,9.0833,7.5333,1,National,0
NIG11885,2018-02-16,1,Riots,Violent demonstration,Rioters (Nigeria),,,,Nigeria,Rivers,Port Harcourt,Port Harcourt,4.7774,7.0134,1,National,0
NIG11887,2018-02-11,1,Strategic developments,Looting/property destruction,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),Civilians (Nigeria),Tiv Ethnic Group (Nigeria),Nigeria,Nassarawa,Keana,Keana,8.1333,8.8,2,National,0
NIG11781,2018-01-29,1,Protests,Peaceful protest,Protesters (Nigeria),NASU: Non-Academic Staff Union; ASURI: Academic Staff Union of Research Institutions,,,Nigeria,Edo,Ikpoba Okha,Iyanomo,6.1499,5.648,1,National,0
NIG14359,2018-08-06,1,Protests,Peaceful protest,Protesters (Nigeria),,,,Nigeria,Lagos,Amowo-Odofin,Satellite Town,6.4437,3.2522,1,National,0
NIG12584,2018-06-22,1,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),Civilians (Nigeria),,Nigeria,Adamawa,Demsa,Dowaya,9.45,12.0667,1,National,18
NIG12282,2018-05-02,1,Protests,Peaceful protest,Protesters (Nigeria),Women (Nigeria),,,Nigeria,Nassarawa,Lafia,Lafia,8.4833,8.5167,2,National,0
NIG11634,2018-01-01,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Nigeria),,Civilians (Nigeria),,Nigeria,Adamawa,Madagali,Madagali,10.8864,13.63,1,National,3
NIG11637,2018-01-01,1,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),Civilians (Nigeria),,Nigeria,Benue,Guma,Akor,7.8446,8.8092,2,National,6
NIG11638,2018-01-01,1,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),Civilians (Nigeria),,Nigeria,Benue,Logo,Ngambe-Tiev,7.537,9.371,2,National,6
NIG11643,2018-01-02,1,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),Civilians (Nigeria),,Nigeria,Benue,Guma,Akor,7.8446,8.8092,2,National,6
NIG11644,2018-01-02,1,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),Civilians (Nigeria),,Nigeria,Benue,Logo,Ngambe-Tiev,7.537,9.371,2,National,7
NIG11649,2018-01-03,2,Battles,Armed clash,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),Tiv Ethnic Militia (Nigeria),,Nigeria,Nassarawa,Keana,Keana,8.1333,8.8,2,National,0
NIG11660,2018-01-04,1,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),Civilians (Nigeria),Women (Nigeria),Nigeria,Ondo,Akure South,Akure,7.2526,5.1931,2,National,1
NIG11670,2018-01-05,1,Violence against civilians,Attack,Bachama Ethnic Militia (Nigeria),,Civilians (Nigeria),Fulani Ethnic Group (Nigeria),Nigeria,Taraba,Lau,Katibu,9.1614,11.2942,2,National,14
NIG11672,2018-01-06,1,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),Civilians (Nigeria),Bachama Ethnic Group (Nigeria),Nigeria,Taraba,Lau,Lau,9.2167,11.2833,2,National,14
NIG11676,2018-01-08,1,Protests,Peaceful protest,Protesters (Nigeria),Women (Nigeria),,,Nigeria,Benue,Makurdi,Makurdi,7.7411,8.5121,1,National,0
NIG11678,2018-01-08,2,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),Civilians (Nigeria),Hausa Ethnic Group (Nigeria),Nigeria,Edo,Akoko Edo,Oja,7.3833,6.25,1,National,0
NIG11688,2018-01-10,1,Protests,Peaceful protest,Protesters (Nigeria),Health Workers (Nigeria),,,Nigeria,Cross River,Calabar Municipal,Calabar,4.9667,8.3333,1,National,0
NIG11690,2018-01-12,1,Protests,Peaceful protest,Protesters (Nigeria),,,,Nigeria,Kaduna,Kaduna North,Kaduna,10.5222,7.4383,1,National,0
NIG11696,2018-01-13,2,Protests,Peaceful protest,Protesters (Nigeria),,,,Nigeria,Lagos,Agege,Dopemu,6.61,3.32,1,National,0
NIG11697,2018-01-05,1,Violence against civilians,Attack,Bachama Ethnic Militia (Nigeria),,Civilians (Nigeria),Fulani Ethnic Group (Nigeria),Nigeria,Taraba,Lau,Donadda,9.2834,11.4497,1,National,14
NIG11698,2018-01-11,1,Protests,Peaceful protest,Protesters (Nigeria),IPOB: Indigenous Peoples of Biafra,,,Nigeria,Enugu,Enugu North,Enugu,6.4426,7.5022,1,National,0
NIG11700,2018-01-14,1,Riots,Mob violence,Rioters (Nigeria),APC: All Progressives Congress (Kwankwasiyya Faction),Rioters (Nigeria),APC: All Progressives Congress (Gandujiyya Faction),Nigeria,Kano,Gwale,Gwale,11.9845,8.5082,2,National,0
NIG11703,2018-01-14,1,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,Civilians (Nigeria),,Nigeria,Plateau,Kanke,Kwal,9.3713,9.6192,1,National,1
NIG11712,2018-01-16,1,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),Civilians (Nigeria),,Nigeria,Taraba,Lau,Donadda,9.2834,11.4497,1,National,2
NIG11713,2018-01-16,2,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),Civilians (Nigeria),,Nigeria,Taraba,Wukari,Gishiri River,7.8333,9.6833,1,National,3
NIG11714,2018-01-16,2,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),Civilians (Nigeria),,Nigeria,Taraba,Ibi,Kauyen Danwaza,8.1279,9.7673,1,National,3
NIG11717,2018-01-16,1,Protests,Peaceful protest,Protesters (Nigeria),,,,Nigeria,Delta,Ethiope East,Isiokolo-Agbon,5.595,6.0005,2,National,0
NIG11718,2018-01-17,2,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),Civilians (Nigeria),,Nigeria,Taraba,Gassol,Gassol,8.5333,10.4667,1,National,6
