event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
AFG42346,2019-12-31,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Afghanistan),,Civilians (Afghanistan),,Afghanistan,Herat,Gulran,Gulran,35.1055,61.6873,2,International,1
AFG42350,2019-12-30,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Afghanistan),,Civilians (Afghanistan),,Afghanistan,Faryab,Khwaja Sabz Posh,Khwaja Sabz Posh,36.06,64.97,2,International,2
AFG42728,2019-12-30,1,Battles,Armed clash,HQN: Haqqani Network,,Taliban,,Afghanistan,Khost,Khost,Khost,33.3395,69.9204,3,National,1
AFG42996,2019-12-29,2,Protests,Peaceful protest,Protesters (Afghanistan),,,,Afghanistan,Nangarhar,Jalalabad,Jalalabad,34.4265,70.4515,1,Subnational,0
AFG42289,2019-12-28,1,Strategic developments,Disrupted weapons use,Taliban,,,,Afghanistan,Jowzjan,Qarqin,Qarqin,37.4185,66.0436,2,National,6
AFG42280,2019-12-27,2,Strategic developments,Looting/property destruction,Unidentified Armed Group (Afghanistan),,Civilians (Afghanistan),Muslim Group (Afghanistan),Afghanistan,Samangan,Ruyi Du Ab,Ruyi Du Ab,35.5635,67.8351,2,New media-National,0
AFG42264,2019-12-27,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Afghanistan),,Civilians (Afghanistan),,Afghanistan,Ghor,Lal Wa Sar Jangal,Delak,34.4119,65.9286,2,National,2
AFG42278,2019-12-27,2,Violence against civilians,Attack,Unidentified Armed Group (Afghanistan),,Civilians (Afghanistan),Former Unidentified Armed Group (Afghanistan),Afghanistan,Kabul,Qarabagh,Qarabagh,34.8529,69.1706,2,National,2
AFG42284,2019-12-27,1,Battles,Armed clash,Unidentified Armed Group (Afghanistan),,Private Security Forces (Afghanistan),,Afghanistan,Herat,Herat,Herat,34.3482,62.1997,3,National,2
AFG42995,2019-12-26,2,Protests,Peaceful protest,Protesters (Afghanistan),,,,Afghanistan,Nangarhar,Jalalabad,Jalalabad,34.4265,70.4515,1,Subnational,0
AFG42270,2019-12-25,1,Violence against civilians,Attack,Military Forces of Tajikistan (1994-) Border Service,,Civilians (Afghanistan),,Afghanistan,Takhar,Darqad,Darqad,37.3841,69.4529,2,National-International,3
AFG42720,2019-12-24,2,Violence against civilians,Abduction/forced disappearance,Taliban,,Civilians (Afghanistan),,Afghanistan,Farah,Farah,Farah,32.3745,62.1164,3,National,0
AFG42615,2019-12-23,1,Explosions/Remote violence,Remote explosive/landmine/IED,Taliban,,Civilians (Afghanistan),,Afghanistan,Laghman,Dawlat Shah,Dawlat Shah,34.9504,70.071,2,National,3
AFG42621,2019-12-21,1,Strategic developments,Disrupted weapons use,Taliban,,,,Afghanistan,Jowzjan,Khamyab,Khamyab,37.5275,65.7583,2,National,4
AFG42017,2019-12-19,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Afghanistan),,Civilians (Afghanistan),,Afghanistan,Kabul,Kabul,Kabul,34.5167,69.1833,1,National-International,1
AFG42085,2019-12-19,2,Protests,Peaceful protest,Protesters (Afghanistan),,,,Afghanistan,Herat,Herat,Herat,34.3482,62.1997,3,National,0
AFG42797,2019-12-17,1,Explosions/Remote violence,Remote explosive/landmine/IED,Taliban,,Civilians (Afghanistan),,Afghanistan,Khost,Tirzayee,Alisher,33.4362,70.0671,2,National,10
AFG42043,2019-12-17,1,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Afghanistan),,Civilians (Afghanistan),Muslim Group (Afghanistan),Afghanistan,Kunduz,Kunduz,Bagh-e Mir,36.6853,68.9547,1,National,0
AFG42206,2019-12-16,2,Protests,Peaceful protest,Protesters (Afghanistan),,,,Afghanistan,Laghman,Qarghayee,Lalkhanabad,34.547,70.2444,2,National,0
AFG42115,2019-12-15,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Afghanistan),,Civilians (Afghanistan),,Afghanistan,Parwan,Bagram,Bagram,34.9669,69.265,2,National,2
AFG42086,2019-12-15,2,Protests,Peaceful protest,Protesters (Afghanistan),Teachers (Afghanistan),,,Afghanistan,Helmand,Lashkargah,Lashkargah,31.5938,64.3716,1,Subnational,0
AFG41857,2019-12-11,1,Violence against civilians,Attack,Unidentified Armed Group (Afghanistan),,Civilians (Afghanistan),Muslim Group (Afghanistan),Afghanistan,Badakhshan,Argo,Argo,37.0635,70.4253,2,National-International,4
AFG41796,2019-12-10,2,Explosions/Remote violence,Air/drone strike,NATO: North Atlantic Treaty Organization,,Taliban,,Afghanistan,Farah,Pur Chaman,Pur Chaman,33.1422,63.8612,2,National,8
AFG41910,2019-12-10,2,Protests,Peaceful protest,Protesters (Afghanistan),,,,Afghanistan,Kunduz,Kunduz,Kunduz,36.729,68.857,3,National,0
AFG41751,2019-12-08,1,Protests,Peaceful protest,Protesters (Afghanistan),,,,Afghanistan,Herat,Herat,Herat,34.3482,62.1997,3,National,0
AFG42212,2019-12-08,2,Protests,Peaceful protest,Protesters (Afghanistan),,,,Afghanistan,Farah,Pur Chaman,Pur Chaman,33.1422,63.8612,2,National,0
AFG42584,2019-12-08,2,Protests,Peaceful protest,Protesters (Afghanistan),,,,Afghanistan,Herat,Herat,Herat,34.3482,62.1997,3,National,0
AFG42583,2019-12-08,2,Protests,Peaceful protest,Protesters (Afghanistan),Women (Afghanistan),,,Afghanistan,Nangarhar,Jalalabad,Jalalabad,34.4265,70.4515,1,Subnational,0
AFG29004,2019-12-06,1,Protests,Peaceful protest,Protesters (Afghanistan),,,,Afghanistan,Nangarhar,Jalalabad,Jalalabad,34.4265,70.4515,3,National,0
AFG29005,2019-12-06,1,Protests,Peaceful protest,Protesters (Afghanistan),,,,Afghanistan,Bamyan,Bamyan,Bamyan,34.8216,67.8273,3,National,0
AFG29011,2019-12-06,1,Protests,Peaceful protest,Protesters (Afghanistan),,,,Afghanistan,Kabul,Kabul,Kabul,34.5167,69.1833,3,National,0
AFG42210,2019-12-03,2,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Afghanistan),,Civilians (Afghanistan),,Afghanistan,Ghazni,Ghazni,Ghazni,33.5508,68.4225,1,Subnational,0
AFG28979,2019-12-01,1,Violence against civilians,Attack,Taliban,,Civilians (Afghanistan),,Afghanistan,Sar-e Pol,Kohistanat,Kohistanat,35.7666,65.7649,2,International,2
AFG28723,2019-11-29,1,Violence against civilians,Attack,Unidentified Armed Group (Afghanistan),,Civilians (Afghanistan),Teachers (Afghanistan),Afghanistan,Baghlan,Dushi,Kelagai,35.8045,68.8026,1,National,4
AFG28722,2019-11-29,1,Protests,Peaceful protest,Protesters (Afghanistan),,,,Afghanistan,Kabul,Kabul,Kabul,34.5167,69.1833,1,National,0
AFG28645,2019-11-27,1,Explosions/Remote violence,Remote explosive/landmine/IED,Taliban,,Civilians (Afghanistan),,Afghanistan,Kunduz,Hazrati Imam Sahib,Imam Sahib,37.189,68.9364,2,National,15
AFG28607,2019-11-26,2,Protests,Peaceful protest,Protesters (Afghanistan),Labor Group (Afghanistan),,,Afghanistan,Nangarhar,Jalalabad,Jalalabad,34.4265,70.4515,3,National,0
