event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
PAK72154,2022-01-03,1,Battles,Armed clash,Unidentified Armed Group (Pakistan),,Private Security Forces (Pakistan),JUI-F: Jamiat Ulema-e-Islam-Fazl,Pakistan,Balochistan,Kachhi,Kachhi,29.2295,67.6497,2,Regional,1
PAK72142,2022-01-02,1,Violence against civilians,Attack,Unidentified Armed Group (Pakistan),Muslim Group (Pakistan),Civilians (Pakistan),Hindu Group (Pakistan),Pakistan,Balochistan,Las Bela,Lasbela,25.8445,66.6741,1,Regional,1
PAK72151,2022-01-02,1,Protests,Protest with intervention,Protesters (Pakistan),LGBTQ+ (Pakistan),Rioters (Pakistan),,Pakistan,Punjab,Rahim Yar Khan,Rahim Yar Khan,28.4164,70.2998,1,National,0
PAK72167,2022-01-03,1,Riots,Violent demonstration,Rioters (Pakistan),IJT: Islami Jamiat-e-Talaba; Students (Pakistan),Rioters (Pakistan),Pashtun Ethnic Group (Pakistan); Students (Pakistan),Pakistan,Federal Capital Territory,Islamabad,Islamabad,33.7214,73.0432,1,National,0
PAK72134,2022-01-01,1,Protests,Peaceful protest,Protesters (Pakistan),,,,Pakistan,Sindh,Badin,Badin,24.6566,68.8386,1,National,0
PAK72181,2022-01-04,1,Protests,Peaceful protest,Protesters (Pakistan),Labor Group (Pakistan),,,Pakistan,Sindh,Tharparkar,Mithi,24.7406,69.7991,1,National,0
PAK72148,2022-01-02,1,Protests,Peaceful protest,Protesters (Pakistan),PTM: Pashtun Protection Movement; Pashtun Ethnic Group (Pakistan),,,Pakistan,Sindh,Karachi City,Karachi - Malir,24.8935,67.2004,1,National,0
PAK72139,2022-01-01,1,Protests,Peaceful protest,Protesters (Pakistan),Labor Group (Pakistan),,,Pakistan,Sindh,Larkana,Naudero,27.666,68.3425,1,National,0
PAK72180,2022-01-04,1,Protests,Peaceful protest,Protesters (Pakistan),Labor Group (Pakistan),,,Pakistan,Sindh,Mirpur Khas,Mirpur Khas,25.5316,69.003,1,National,0
PAK72149,2022-01-02,1,Protests,Peaceful protest,Protesters (Pakistan),Sunni Tehreek; Labor Group (Pakistan),,,Pakistan,Sindh,Karachi City,Karachi - Saddar,24.8542,67.016,1,National,0
PAK72143,2022-01-02,1,Violence against civilians,Attack,Unidentified Armed Group (Pakistan),Muslim Group (Pakistan),Civilians (Pakistan),Hindu Group (Pakistan),Pakistan,Sindh,Khairpur,Pirjo Goth,27.5935,68.6188,1,National,1
PAK72145,2022-01-02,1,Protests,Peaceful protest,Protesters (Pakistan),,,,Pakistan,Khyber Pakhtunkhwa,Hangu,Doaba,33.4247,70.7377,1,National,0
PAK72173,2022-01-04,1,Protests,Peaceful protest,Protesters (Pakistan),Farmers (Pakistan),,,Pakistan,Punjab,Bahawalnagar,Bahawalnagar,29.9999,73.2562,1,National,0
PAK72150,2022-01-02,1,Protests,Peaceful protest,Protesters (Pakistan),Hindu Group (Pakistan); Labor Group (Pakistan),,,Pakistan,Sindh,Khairpur,Khairpur,27.5271,68.7452,1,National,0
PAK72188,2022-01-05,1,Protests,Peaceful protest,Protesters (Pakistan),Teachers (Pakistan); Labor Group (Pakistan),,,Pakistan,Federal Capital Territory,Islamabad,Islamabad,33.7214,73.0432,1,National,0
PAK72209,2022-01-06,1,Protests,Peaceful protest,Protesters (Pakistan),Journalists (Pakistan),,,Pakistan,Khyber Pakhtunkhwa,Nowshera,Nowshera,34.0158,71.9812,1,National,0
PAK72140,2022-01-01,1,Protests,Peaceful protest,Protesters (Pakistan),,,,Pakistan,Sindh,Thatta,Thatta,24.7473,67.923,1,National,0
PAK72179,2022-01-04,1,Protests,Peaceful protest,Protesters (Pakistan),Labor Group (Pakistan),,,Pakistan,Sindh,Larkana,Larkana,27.5637,68.215,1,National,0
PAK72160,2022-01-03,1,Protests,Peaceful protest,Protesters (Pakistan),Labor Group (Pakistan),,,Pakistan,Punjab,Multan,Multan,30.1978,71.4697,1,National,0
PAK72156,2022-01-03,1,Protests,Peaceful protest,Protesters (Pakistan),Labor Group (Pakistan),,,Pakistan,Balochistan,Quetta,Quetta,30.1999,67.0097,1,National,0
PAK72158,2022-01-03,1,Protests,Peaceful protest,Protesters (Pakistan),,,,Pakistan,Balochistan,Sibi,Sibi,29.5511,67.8322,1,National,0
PAK72203,2022-01-05,1,Protests,Peaceful protest,Protesters (Pakistan),,,,Pakistan,Sindh,Khairpur,Khairpur,27.5271,68.7452,1,National,0
PAK72214,2022-01-07,1,Protests,Peaceful protest,Protesters (Pakistan),Labor Group (Pakistan),,,Pakistan,Khyber Pakhtunkhwa,Abbottabad,Abbottabad,34.1468,73.2144,1,National,0
PAK72215,2022-01-07,1,Protests,Peaceful protest,Protesters (Pakistan),,,,Pakistan,Sindh,Karachi City,Karachi - Shah Faisal,24.8814,67.1611,1,National,0
PAK72197,2022-01-05,1,Protests,Peaceful protest,Protesters (Pakistan),Labor Group (Pakistan),,,Pakistan,Punjab,Multan,Multan,30.1978,71.4697,1,National,0
PAK72157,2022-01-03,1,Protests,Peaceful protest,Protesters (Pakistan),Students (Pakistan),,,Pakistan,Balochistan,Quetta,Quetta,30.1999,67.0097,1,National,0
PAK72204,2022-01-05,1,Protests,Peaceful protest,Protesters (Pakistan),JSQM: Jeay Sindh Qaumi Movement,,,Pakistan,Sindh,Larkana,Larkana,27.5637,68.215,1,National,0
PAK72208,2022-01-06,1,Protests,Peaceful protest,Protesters (Pakistan),YDA: Young Doctors Association; Health Workers (Pakistan),,,Pakistan,Balochistan,Quetta,Quetta,30.1999,67.0097,1,National,0
PAK72137,2022-01-01,1,Protests,Peaceful protest,Protesters (Pakistan),,,,Pakistan,Sindh,Karachi City,Karachi - Saddar,24.8542,67.016,1,National,0
PAK72235,2022-01-11,1,Protests,Peaceful protest,Protesters (Pakistan),,,,Pakistan,Gilgit-Baltistan,Gilgit,Gilgit,35.9186,74.3124,1,International,0
PAK72217,2022-01-09,1,Protests,Peaceful protest,Protesters (Pakistan),Farmers (Pakistan),,,Pakistan,Balochistan,Jaffarabad,Dera Allah Yar,28.3747,68.3503,1,Subnational,0
PAK72220,2022-01-11,1,Protests,Peaceful protest,Protesters (Pakistan),Labor Group (Pakistan),,,Pakistan,Balochistan,Kachhi,Mach,29.8683,67.3224,1,Subnational,0
PAK72216,2022-01-08,1,Protests,Peaceful protest,Protesters (Pakistan),Labor Group (Pakistan),,,Pakistan,Balochistan,Gwadar,Pasni,25.2837,63.3639,1,Subnational,0
PAK72228,2022-01-10,1,Protests,Peaceful protest,Protesters (Pakistan),Students (Pakistan),,,Pakistan,Balochistan,Quetta,Quetta,30.1999,67.0097,1,Subnational,0
PAK72274,2022-01-13,1,Protests,Peaceful protest,Protesters (Pakistan),Farmers (Pakistan),,,Pakistan,Punjab,Mianwali,Wan Bhachran,32.4189,71.6982,1,National,0
PAK72322,2022-01-11,1,Protests,Peaceful protest,Protesters (Pakistan),,,,Pakistan,Sindh,Larkana,Larkana,27.5637,68.215,1,National,0
PAK72303,2022-01-11,1,Protests,Peaceful protest,Protesters (Pakistan),MQM-P: Muttahida Qaumi Movement-Pakistan,,,Pakistan,Sindh,Karachi City,Karachi - Cantonment,24.8546,67.0434,1,National,0
PAK72319,2022-01-07,1,Protests,Peaceful protest,Protesters (Pakistan),,,,Pakistan,Sindh,Larkana,Larkana,27.5637,68.215,1,National,0
PAK72332,2022-01-12,1,Protests,Peaceful protest,Protesters (Pakistan),,,,Pakistan,Sindh,Sanghar,Tando Adam,25.7673,68.6504,1,National,0
PAK72344,2022-01-07,1,Protests,Peaceful protest,Protesters (Pakistan),,,,Pakistan,Sindh,Thatta,Thatta,24.7473,67.923,1,National,0
PAK72269,2022-01-12,1,Protests,Peaceful protest,Protesters (Pakistan),Labor Group (Pakistan),,,Pakistan,Punjab,Bahawalnagar,Chishtian,29.8058,72.8568,1,National,0
PAK72254,2022-01-12,1,Protests,Peaceful protest,Protesters (Pakistan),,,,Pakistan,Khyber Pakhtunkhwa,Mansehra,Torghar,34.5869,73.4032,1,National,0
PAK72277,2022-01-08,1,Riots,Mob violence,Rioters (Pakistan),Sialkot Communal Group (Pakistan),Civilians (Pakistan),Sialkot Communal Group (Pakistan); Women (Pakistan),Pakistan,Punjab,Sialkot,Sialkot,32.4926,74.5313,1,National,0
PAK72218,2022-01-14,1,Protests,Peaceful protest,Protesters (Pakistan),NP: National Party,,,Pakistan,Balochistan,Jaffarabad,Dera Allah Yar,28.3747,68.3503,1,National,0
PAK72225,2022-01-14,1,Protests,Peaceful protest,Protesters (Pakistan),,,,Pakistan,Balochistan,Las Bela,Hub,25.0434,66.8187,1,National,0
PAK72234,2022-01-13,1,Protests,Peaceful protest,Protesters (Pakistan),PML-N: Pakistan Muslim League-Nawaz; JUI-F: Jamiat Ulema-e-Islam-Fazl; PPP: Pakistan Peoples Party,,,Pakistan,Federal Capital Territory,Islamabad,Islamabad,33.7214,73.0432,1,National,0
PAK72276,2022-01-10,1,Protests,Peaceful protest,Protesters (Pakistan),,,,Pakistan,Punjab,Rawalpindi,Rawalpindi,33.6007,73.0679,1,National,0
