event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
SWA203,2019-05-18,1,Protests,Peaceful protest,Protesters (eSwatini),,,,eSwatini,Manzini,Lobamba Lomdzala,Malkerns,-26.5667,31.1833,1,National,0
SWA211,2019-08-15,1,Riots,Violent demonstration,Rioters (eSwatini),Students (eSwatini),Police Forces of eSwatini (1986-),,eSwatini,Hhohho,Mbabane East,Mbabane,-26.3167,31.1333,1,National,0
SWA205,2019-05-24,1,Protests,Peaceful protest,Protesters (eSwatini),Students (eSwatini),,,eSwatini,Manzini,Mafutseni,Ngculwini,-26.547,31.4825,1,National,0
SWA204,2019-05-15,2,Protests,Protest with intervention,Protesters (eSwatini),Students (eSwatini),Police Forces of eSwatini (1986-),,eSwatini,Manzini,Mafutseni,Ngculwini,-26.547,31.4825,1,National,0
SWA207,2019-07-15,1,Riots,Violent demonstration,Rioters (eSwatini),Students (eSwatini),Police Forces of eSwatini (1986-),,eSwatini,Hhohho,Madlangemphisi,Dvokolwako,-26.1604,31.5888,1,National,0
SWA216,2019-09-27,1,Protests,Protest with intervention,Protesters (eSwatini),Taxi Drivers (eSwatini),Police Forces of eSwatini (1986-),,eSwatini,Manzini,Lobamba Lomdzala,Malkerns,-26.5667,31.1833,1,National,0
SWA213,2019-09-23,1,Protests,Peaceful protest,Protesters (eSwatini),,,,eSwatini,Hhohho,Mbabane East,Mbabane,-26.3167,31.1333,1,International,0
SWA214,2019-09-25,1,Riots,Violent demonstration,Rioters (eSwatini),Teachers (eSwatini),Police Forces of eSwatini (1986-),,eSwatini,Hhohho,Mbabane East,Mbabane,-26.3167,31.1333,1,International,0
SWA223,2019-11-07,1,Protests,Peaceful protest,Protesters (eSwatini),TUCOSWA: Trade Union Congress of Swaziland; Labor Group (eSwatini),,,eSwatini,Hhohho,Mbabane East,Mbabane,-26.3167,31.1333,1,International,0
SWA220,2019-11-04,1,Protests,Peaceful protest,Protesters (eSwatini),Students (eSwatini),,,eSwatini,Manzini,Lobamba Lomdzala,Luyengo,-26.5333,31.2333,1,National,0
SWA226,2019-11-06,2,Violence against civilians,Attack,Police Forces of eSwatini (1986-),,Civilians (eSwatini),Women (eSwatini),eSwatini,Lubombo,Lugongolweni,Siteki,-26.45,31.95,2,National,0
SWA225,2019-11-06,2,Violence against civilians,Attack,Police Forces of eSwatini (1986-),,Civilians (eSwatini),Women (eSwatini),eSwatini,Lubombo,Lugongolweni,Siteki,-26.45,31.95,2,National,0
SWA231,2019-06-22,1,Protests,Peaceful protest,Protesters (eSwatini),LGBTQ+ (eSwatini),,,eSwatini,Hhohho,Mbabane East,Mbabane,-26.3167,31.1333,1,International,0
SWA264,2019-10-31,2,Violence against civilians,Attack,Police Forces of eSwatini (1986-) Prison Guards,,Civilians (eSwatini),Prisoners (eSwatini),eSwatini,Hhohho,Mbabane East,Mbabane,-26.3167,31.1333,1,National,1
SWA265,2019-11-24,2,Violence against civilians,Sexual violence,Police Forces of eSwatini (1986-),,Civilians (eSwatini),Men (eSwatini),eSwatini,Lubombo,Lugongolweni,Mpolonjeni,-26.4039,31.8708,2,National,0
SWA228,2019-12-12,1,Protests,Protest with intervention,Protesters (eSwatini),SWADEPA: Swazi Democratic Party; NNLC: Ngwane National Liberatory Congress; PUDEMO: People's United Democratic Movement,Police Forces of eSwatini (1986-),,eSwatini,Manzini,Manzini North,Matsapha,-26.5167,31.3167,1,National,0
SWA212,2019-08-27,1,Protests,Peaceful protest,Protesters (eSwatini),Students (eSwatini),,,eSwatini,Manzini,Manzini North,Kwaluseni,-26.4833,31.3333,1,National,0
