event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
DOM763,2025-01-07,1,Protests,Peaceful protest,Protesters (Dominican Republic),Lawyers (Dominican Republic),,,Dominican Republic,Distrito Nacional,Santo Domingo de Guzman,Santo Domingo,18.4719,-69.8923,1,National,0
DOM764,2025-01-08,1,Protests,Peaceful protest,Protesters (Dominican Republic),Women (Dominican Republic),,,Dominican Republic,Distrito Nacional,Santo Domingo de Guzman,Santo Domingo,18.4719,-69.8923,1,National,0
DOM765,2025-01-08,1,Protests,Peaceful protest,Protesters (Dominican Republic),,,,Dominican Republic,Distrito Nacional,Santo Domingo de Guzman,Santo Domingo,18.4719,-69.8923,1,National,0
DOM766,2025-01-08,1,Protests,Protest with intervention,Protesters (Dominican Republic),Catholic Christian Group (Dominican Republic),Police Forces of the Dominican Republic (2020-),Military Forces of the Dominican Republic (2020-),Dominican Republic,Sanchez Ramirez,Cotui,Zambrana,18.969,-70.1264,1,National,0
DOM767,2025-01-09,1,Riots,Violent demonstration,Rioters (Dominican Republic),,,,Dominican Republic,Sanchez Ramirez,Cotui,Zambrana,18.969,-70.1264,1,National,0
DOM768,2025-01-12,2,Strategic developments,Arrests,Military Forces of the Dominican Republic (2020-),,Civilians (Haiti),Refugees/IDPs (Haiti),Dominican Republic,Monte Cristi,Guayubin,Guayubin,19.67,-71.3974,1,National-Regional,0
DOM769,2025-01-12,2,Strategic developments,Arrests,Military Forces of the Dominican Republic (2020-),,Civilians (Haiti),Refugees/IDPs (Haiti),Dominican Republic,Monte Cristi,Guayubin,Manga,19.6597,-71.3983,1,National-Regional,0
DOM770,2025-01-12,2,Strategic developments,Arrests,Military Forces of the Dominican Republic (2020-),,Civilians (Haiti),Refugees/IDPs (Haiti),Dominican Republic,San Juan,San Juan,San Juan de la Maguana,18.8088,-71.2291,1,National-Regional,0
DOM771,2025-01-12,2,Strategic developments,Arrests,Military Forces of the Dominican Republic (2020-),,Civilians (Haiti),Refugees/IDPs (Haiti),Dominican Republic,Santiago,San Jose de las Matas,San Jose de Las Matas,19.3392,-70.9382,1,National-Regional,0
DOM772,2025-01-13,2,Protests,Peaceful protest,Protesters (Dominican Republic),Labor Group (Dominican Republic),,,Dominican Republic,Barahona,Enriquillo,Enriquillo,17.899,-71.2343,1,National,0
DOM773,2025-01-16,1,Riots,Violent demonstration,Rioters (Dominican Republic),Labor Group (Dominican Republic),Police Forces of the Dominican Republic (2020-),,Dominican Republic,Santo Domingo,Boca Chica,Andres,18.4453,-69.6392,1,National,0
DOM775,2025-01-22,1,Protests,Peaceful protest,Protesters (Dominican Republic),Catholic Christian Group (Dominican Republic); Farmers (Dominican Republic),,,Dominican Republic,Sanchez Ramirez,Cotui,Zambrana,18.969,-70.1264,1,National,0
DOM774,2025-01-22,1,Violence against civilians,Attack,PRM: Modern Revolutionary Party,,Civilians (Dominican Republic),Government of the Dominican Republic (2020-); Women (Dominican Republic),Dominican Republic,Santiago,San Jose de las Matas,San Jose de Las Matas,19.3392,-70.9382,1,National,0
DOM777,2025-02-02,2,Strategic developments,Arrests,Military Forces of the Dominican Republic (2020-),,Civilians (Haiti),Refugees/IDPs (Haiti),Dominican Republic,Monte Cristi,Pepillo Salcedo,Pepillo Salcedo,19.6975,-71.7536,3,National,0
DOM778,2025-02-08,2,Strategic developments,Arrests,Military Forces of the Dominican Republic (2020-),,Civilians (Haiti),Refugees/IDPs (Haiti),Dominican Republic,Monte Cristi,Guayubin,Manga,19.6597,-71.3983,1,National,0
DOM779,2025-02-08,2,Protests,Peaceful protest,Protesters (Dominican Republic),,,,Dominican Republic,Pedernales,Pedernales,Pedernales,18.0384,-71.744,1,National,0
DOM780,2025-02-11,1,Protests,Peaceful protest,Protesters (Dominican Republic),,,,Dominican Republic,Distrito Nacional,Santo Domingo de Guzman,Santo Domingo,18.4719,-69.8923,1,National,0
DOM781,2025-02-18,2,Strategic developments,Arrests,Military Forces of the Dominican Republic (2020-),,Civilians (Haiti),Refugees/IDPs (Haiti),Dominican Republic,Dajabon,Dajabon,Dajabon,19.5488,-71.7083,1,National,0
DOM782,2025-02-17,1,Riots,Violent demonstration,Rioters (Dominican Republic),FALPO: Broad Front for People's Fight,Police Forces of the Dominican Republic (2020-),Military Forces of the Dominican Republic (2020-),Dominican Republic,Hermanas Mirabal,Salcedo,Salcedo,19.3776,-70.4176,1,National,0
DOM783,2025-02-18,1,Protests,Peaceful protest,Protesters (Dominican Republic),Taxi/Bus Drivers (Dominican Republic),,,Dominican Republic,Santiago,Santiago,Santiago de los Caballeros,19.4517,-70.697,1,National,0
DOM784,2025-02-22,1,Strategic developments,Arrests,Military Forces of the Dominican Republic (2020-),,Civilians (Haiti),Refugees/IDPs (Haiti),Dominican Republic,Monte Cristi,Guayubin,Guayubin,19.67,-71.3974,1,National,0
DOM785,2025-02-25,1,Protests,Peaceful protest,Protesters (Dominican Republic),ADP: Dominican Professors Association; Teachers (Dominican Republic),,,Dominican Republic,Sanchez Ramirez,Cotui,Cotui,19.0585,-70.1527,1,National,0
DOM786,2025-03-03,2,Protests,Peaceful protest,Protesters (Dominican Republic),,,,Dominican Republic,Elias Pina,El Llano,Media Luna,18.8371,-71.6318,1,National,0
DOM787,2025-03-08,1,Violence against civilians,Attack,Unidentified Armed Group (Dominican Republic),,Civilians (Dominican Republic),Government of the Dominican Republic (2020-),Dominican Republic,Santo Domingo,Pedro Brand,Pedro Brand,18.5335,-70.1044,1,National,0
DOM788,2025-03-08,1,Protests,Peaceful protest,Protesters (Dominican Republic),Women (Dominican Republic),,,Dominican Republic,Distrito Nacional,Santo Domingo de Guzman,Santo Domingo,18.4719,-69.8923,1,National,0
DOM789,2025-03-12,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Dominican Republic),,Civilians (Dominican Republic),Labor Group (Dominican Republic),Dominican Republic,Sanchez Ramirez,Cotui,Zambrana,18.969,-70.1264,2,National,0
DOM790,2025-03-16,2,Strategic developments,Arrests,Police Forces of the Dominican Republic (2020-),,Civilians (Haiti),Refugees/IDPs (Haiti),Dominican Republic,Santiago Rodriguez,San Ignacio de Sabaneta,San Jose,19.5208,-71.3681,1,National,0
DOM864,2025-02-10,1,Violence against civilians,Attack,Sinaloa Cartel,,Civilians (Dominican Republic),Former Military Forces of the Dominican Republic (2020-),Dominican Republic,Sanchez Ramirez,Cotui,Cotui,19.0585,-70.1527,1,National,2
DOM908,2025-01-07,2,Strategic developments,Arrests,Military Forces of the Dominican Republic (2020-),,Civilians (Haiti),Refugees/IDPs (Haiti),Dominican Republic,Monte Cristi,Pepillo Salcedo,Pepillo Salcedo,19.6975,-71.7536,3,Regional,0
