event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
KEN6054,2017-11-08,2,Battles,Armed clash,Unidentified Communal Militia (Kenya),,Unidentified Communal Militia (Kenya),,Kenya,Taita Taveta,Taveta,Taveta,-3.3988,37.6834,2,National,2
KEN5846,2017-10-26,1,Protests,Peaceful protest,Protesters (Kenya),,,,Kenya,Samburu,Samburu Central,Kisima,1.2402,36.6605,1,National,0
KEN5821,2017-10-25,1,Protests,Peaceful protest,Protesters (Kenya),NASA: National Super Alliance,,,Kenya,Kisumu,Kisumu Central,Kondele,-0.0789,34.7759,1,National,0
KEN5754,2017-10-09,1,Protests,Peaceful protest,Protesters (Kenya),NASA: National Super Alliance,,,Kenya,Vihiga,Vihiga,Vihiga,0.0802,34.7237,1,National,0
KEN5755,2017-10-09,1,Protests,Peaceful protest,Protesters (Kenya),NASA: National Super Alliance,,,Kenya,Taita Taveta,Voi,Voi,-3.3961,38.5561,1,National,0
KEN5753,2017-10-09,1,Protests,Peaceful protest,Protesters (Kenya),NASA: National Super Alliance,,,Kenya,Lamu,Lamu West,Lamu,-2.2717,40.902,1,National,0
KEN5731,2017-10-02,1,Protests,Peaceful protest,Protesters (Kenya),NASA: National Super Alliance,,,Kenya,Kitui,Kitui Central,Kitui,-1.3667,38.0167,1,International,0
KEN5733,2017-10-02,1,Riots,Violent demonstration,Rioters (Kenya),NASA: National Super Alliance,,,Kenya,Homa Bay,Homa Bay Town,Homa Bay,-0.5273,34.4571,1,National,0
KEN5699,2017-09-04,1,Protests,Peaceful protest,Protesters (Kenya),NASA: National Super Alliance,,,Kenya,Kisii,Nyaribari Chache,Kisii,-0.6833,34.7667,1,National,0
KEN5698,2017-09-04,1,Protests,Peaceful protest,Protesters (Kenya),,,,Kenya,Nyamira,Nyamira,Nyamira,-0.5666,34.9167,3,National,0
KEN5697,2017-09-03,1,Protests,Peaceful protest,Protesters (Kenya),NASA: National Super Alliance,,,Kenya,Kisii,Nyaribari Chache,Kisii,-0.6833,34.7667,1,National,0
KEN5691,2017-08-22,1,Protests,Peaceful protest,Protesters (Kenya),,,,Kenya,Kericho,Ainamoi,Kericho,-0.3677,35.2831,2,National,0
KEN6090,2017-08-10,1,Riots,Mob violence,Rioters (Kenya),,Rioters (Kenya),,Kenya,Lamu,Lamu West,Lamu,-2.2717,40.902,2,National,0
KEN5619,2017-08-07,1,Riots,Mob violence,Rioters (Kenya),,Civilians (Kenya),,Kenya,Kitui,Mwingi North,Tharaka,-0.3086,38.0269,1,National,0
KEN5601,2017-07-20,1,Violence against civilians,Attack,Unidentified Armed Group (Kenya),,Civilians (Kenya),,Kenya,Bungoma,Kimilili,Kimilili,0.783,34.7193,2,National,1
KEN5597,2017-07-19,2,Protests,Peaceful protest,Protesters (Kenya),Health Workers (Kenya),,,Kenya,Kisii,Nyaribari Chache,Kisii,-0.6833,34.7667,1,National,0
KEN6035,2017-07-10,1,Riots,Mob violence,Rioters (Kenya),Meru Ethnic Group (Kenya),Civilians (Kenya),Isiolo Communal Group (Kenya),Kenya,Meru,Igembe South,Maua,0.2321,37.9405,2,National,1
KEN6032,2017-07-09,1,Violence against civilians,Attack,Meru Ethnic Militia (Kenya),,Civilians (Kenya),Isiolo Communal Group (Kenya),Kenya,Isiolo,Garbatulla,Kinna,0.3167,38.2,2,National,3
KEN6033,2017-07-09,1,Strategic developments,Looting/property destruction,Unidentified Communal Militia (Kenya),,Civilians (Kenya),,Kenya,Meru,Igembe South,Maua,0.2321,37.9405,2,National,0
KEN6030,2017-07-08,1,Violence against civilians,Attack,Isiolo Communal Militia (Kenya),,Civilians (Kenya),Meru Ethnic Group (Kenya),Kenya,Meru,Igembe South,Maua,0.2321,37.9405,2,National,4
KEN6023,2017-06-06,2,Riots,Mob violence,Rioters (Kenya),Vigilante Group (Kenya),Civilians (Kenya),,Kenya,Baringo,Koibatek,Eldama Ravine,0.052,35.731,1,National,1
KEN5494,2017-05-22,1,Protests,Peaceful protest,Protesters (Kenya),Health Workers (Kenya),,,Kenya,Nyeri,Nyeri Central,Nyeri,-0.4167,36.95,1,National,0
KEN5486,2017-05-18,1,Violence against civilians,Attack,Unidentified Communal Militia (Kenya),,Civilians (Kenya),,Kenya,Turkana,Turkana Central,Turkwel,3.1048,36.0975,1,National,1
KEN6014,2017-05-15,3,Strategic developments,Looting/property destruction,Al Shabaab,,,,Kenya,Wajir,Wajir East,Wajir,1.75,40.06,2,National,0
KEN5469,2017-05-14,1,Violence against civilians,Attack,Unidentified Communal Militia (Kenya),,Civilians (Kenya),,Kenya,Kitui,Kitui Central,Kitui,-1.3667,38.0167,2,National,2
KEN5479,2017-05-14,2,Violence against civilians,Attack,Unidentified Armed Group (Kenya),,Civilians (Kenya),,Kenya,Uasin Gishu,Soy,Matunda,0.85,35.1333,1,National,3
KEN5456,2017-05-10,2,Violence against civilians,Attack,Unidentified Communal Militia (Kenya),,Civilians (Kenya),,Kenya,Kitui,Kitui Central,Kitui,-1.3667,38.0167,2,National,2
KEN5439,2017-05-03,1,Protests,Peaceful protest,Protesters (Kenya),,,,Kenya,Kisumu,Kisumu Central,Kisumu,-0.1,34.75,3,National,0
KEN6089,2017-05-02,1,Riots,Mob violence,Rioters (Kenya),Vigilante Group (Kenya),Civilians (Kenya),,Kenya,Nyeri,Nyeri Central,Nyeri,-0.4167,36.95,1,National,0
KEN5418,2017-04-24,1,Protests,Peaceful protest,Protesters (Kenya),FORD-Kenya: Forum for the Restoration of Democracy-Kenya,,,Kenya,Trans Nzoia,Kiminini,Kiminini,0.8931,34.9241,1,National,0
KEN5420,2017-04-24,1,Riots,Violent demonstration,Rioters (Kenya),,,,Kenya,Kirinyaga,Kirinyaga East,Kianyaga,-0.4927,37.3564,1,National,0
KEN5408,2017-04-21,1,Riots,Violent demonstration,Rioters (Kenya),,,,Kenya,Nakuru,Kuresoi North,Mau Summit,-0.1607,35.6932,1,National,0
KEN5397,2017-04-18,1,Protests,Peaceful protest,Protesters (Kenya),ODM: Orange Democratic Movement,,,Kenya,Nyamira,Nyamira,Nyamira,-0.5666,34.9167,1,National,0
KEN5388,2017-04-15,1,Protests,Peaceful protest,Protesters (Kenya),,,,Kenya,Kiambu,Kabete,Kabete,-1.2333,36.7167,1,National,0
KEN5389,2017-04-15,1,Protests,Peaceful protest,Protesters (Kenya),ODM: Orange Democratic Movement,,,Kenya,Kakamega,Khwisero,Khwisero,0.1672,34.5996,1,National,0
KEN5390,2017-04-15,1,Riots,Mob violence,Rioters (Kenya),ODM: Orange Democratic Movement,ODM: Orange Democratic Movement,,Kenya,Migori,Nyatike,Sori,-0.8409,34.1598,1,National,0
KEN5381,2017-04-12,2,Protests,Peaceful protest,Protesters (Kenya),,,,Kenya,Kisumu,Kisumu Central,Kisumu,-0.1,34.75,1,National,0
KEN5382,2017-04-12,1,Riots,Mob violence,Rioters (Kenya),ODM: Orange Democratic Movement,Civilians (Kenya),,Kenya,Busia,Matayos,Busia,0.46,34.112,1,National,0
KEN5373,2017-04-07,1,Violence against civilians,Attack,Unidentified Communal Militia (Kenya),,Civilians (Kenya),,Kenya,West Pokot,Pokot North,Alale,2.3333,35.0176,2,National,1
KEN5374,2017-04-07,1,Violence against civilians,Attack,Unidentified Communal Militia (Kenya),Pastoralists (Kenya),Civilians (Kenya),,Kenya,West Pokot,Pokot North,Kasei,1.9877,35.2281,2,National,4
KEN5359,2017-03-28,2,Violence against civilians,Attack,Unidentified Communal Militia (Kenya),,Civilians (Kenya),,Kenya,Laikipia,Laikipia North,Laikipia,0.4167,36.75,2,National,1
KEN5348,2017-03-20,1,Riots,Mob violence,Rioters (Kenya),Vigilante Group (Kenya),Civilians (Kenya),,Kenya,Nyeri,Nyeri Central,Nyeri,-0.4167,36.95,1,National,1
KEN5347,2017-03-19,1,Battles,Armed clash,Turkana Ethnic Militia (Kenya),,Samburu Ethnic Militia (Kenya),,Kenya,Samburu,Samburu North,Baragoi,1.7833,36.7833,1,National,3
KEN5343,2017-03-16,1,Riots,Mob violence,Rioters (Kenya),,Rioters (Kenya),,Kenya,Mandera,Mandera East,Mandera,3.9357,41.8542,1,National,0
KEN5334,2017-03-11,1,Violence against civilians,Attack,Auliyan Ethnic Militia (Kenya),,Civilians (Kenya),,Kenya,Isiolo,Isiolo,Isiolo,0.3546,37.5822,2,National,5
KEN5330,2017-03-08,1,Riots,Mob violence,Rioters (Kenya),,Rioters (Kenya),,Kenya,Homa Bay,Karachuonyo,Kendu Bay,-0.3589,34.6492,1,National,0
KEN5327,2017-03-07,1,Protests,Peaceful protest,Protesters (Kenya),,,,Kenya,Mandera,Mandera North,Rhamu,3.9208,41.2192,1,National,0
KEN5324,2017-03-06,1,Protests,Peaceful protest,Protesters (Kenya),,,,Kenya,Mandera,Mandera East,Mandera,3.9357,41.8542,2,National,0
KEN5325,2017-03-06,1,Protests,Peaceful protest,Protesters (Kenya),,,,Kenya,Mandera,Banissa,Banissa,3.9439,40.3445,1,National,0
KEN5326,2017-03-06,1,Protests,Peaceful protest,Protesters (Kenya),,,,Kenya,Mandera,Mandera West,Takaba,3.3553,40.2228,1,National,0
