event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
SOM38900,2023-01-01,1,Battles,Armed clash,Al Shabaab,,Al Shabaab,,Somalia,Mudug,Xarardheere,Xarardheere,4.6517,47.8584,1,National,10
SOM38920,2023-01-02,1,Violence against civilians,Abduction/forced disappearance,Al Shabaab,,Civilians (Somalia),Farmers (Somalia); Hawiye-Hawadle Sub-Clan Group (Somalia),Somalia,Hiraan,Belet Weyne,Beerxaano,4.5339,45.3421,1,National,0
SOM38921,2023-01-02,1,Violence against civilians,Abduction/forced disappearance,Al Shabaab,,Civilians (Somalia),Farmers (Somalia); Hawiye-Hawadle Sub-Clan Group (Somalia),Somalia,Hiraan,Belet Weyne,Dhoqor,4.5296,45.2884,1,National,0
SOM38937,2023-01-03,1,Strategic developments,Other,Al Shabaab,,,,Somalia,Galgaduud,Ceel Dheer,Ceel Dheer,3.8491,47.1803,1,National,0
SOM38947,2023-01-04,1,Violence against civilians,Attack,Unidentified Clan Militia (Somalia),,Civilians (Somalia),Labor Group (Somalia); Unidentified Clan Group (Somalia),Somalia,Mudug,Gaalkacyo,Israac,6.77,47.43,1,Local partner-Other,2
SOM38951,2023-01-03,1,Violence against civilians,Attack,Hawiye-Baadiade Sub-Clan Militia (Somalia),,Civilians (Somalia),Hawiye-Hawadle Sub-Clan Group (Somalia); Women (Somalia),Somalia,Hiraan,Bulo Burto,Bulo Burto,3.8519,45.5651,1,Local partner-Other,1
SOM38962,2023-01-04,1,Battles,Armed clash,Al Shabaab,,Hawiye-Hawadle Sub-Clan Militia (Somalia),,Somalia,Hiraan,Belet Weyne,Baarey,4.5502,45.2787,1,Local partner-Other,2
SOM39185,2023-01-12,1,Strategic developments,Non-violent transfer of territory,Military Forces of Somalia (2022-),Hawiye-Habar Gedir Sub-Clan Militia (Somalia),Al Shabaab,,Somalia,Mudug,Hobyo,Xinlabi,5.4058,47.6511,1,National,0
SOM39186,2023-01-12,1,Strategic developments,Non-violent transfer of territory,Military Forces of Somalia (2022-),Hawiye-Habar Gedir Sub-Clan Militia (Somalia),Al Shabaab,,Somalia,Mudug,Hobyo,Baragcise,5.5667,47.649,1,National,0
SOM39187,2023-01-12,1,Strategic developments,Non-violent transfer of territory,Military Forces of Somalia (2022-),Hawiye-Habar Gedir Sub-Clan Militia (Somalia),Al Shabaab,,Somalia,Galgaduud,Dhuusamarreeb,Galxagare,5.5181,47.4513,1,National,0
SOM39188,2023-01-12,1,Strategic developments,Non-violent transfer of territory,Military Forces of Somalia (2022-),Hawiye-Habar Gedir Sub-Clan Militia (Somalia),Al Shabaab,,Somalia,Galgaduud,Dhuusamarreeb,Dhuusamarreeb,5.5376,46.3867,2,National,0
SOM39189,2023-01-12,1,Strategic developments,Non-violent transfer of territory,Military Forces of Somalia (2022-),Hawiye-Habar Gedir Sub-Clan Militia (Somalia),Al Shabaab,,Somalia,Mudug,Hobyo,Hobyo,5.3505,48.5268,2,National,0
SOM39190,2023-01-10,1,Battles,Armed clash,Al Shabaab,Hawiye-Hawadle Sub-Clan Militia (Somalia),Al Shabaab,Hawiye-Gaaljecel Sub-Clan Militia (Somalia),Somalia,Hiraan,Bulo Burto,Buqda Caqable,4.0601,45.2577,1,National,8
SOM39215,2023-01-09,1,Battles,Armed clash,Hawiye-Hawadle Sub-Clan Militia (Somalia),,Al Shabaab,,Somalia,Hiraan,Belet Weyne,Baarey,4.5502,45.2787,2,Local partner-Other,2
SOM39226,2023-01-09,1,Explosions/Remote violence,Grenade,Unidentified Armed Group (Somalia),,,,Somalia,Bari,Bossaso,Bosaso,11.2842,49.1816,1,Local partner-Other,0
SOM39231,2023-01-10,1,Explosions/Remote violence,Shelling/artillery/missile attack,Al Shabaab,,Military Forces of Somalia (2022-) Jubaland Security Force,,Somalia,Lower Juba,Badhaadhe,Kolbiyow,-1.1369,41.2174,1,Local partner-Other,0
SOM39239,2023-01-12,1,Strategic developments,Looting/property destruction,Al Shabaab,,Civilians (Somalia),Hawiye-Hawadle Sub-Clan Group (Somalia); Pastoralists (Somalia),Somalia,Hiraan,Bulo Burto,Maxaas,4.3934,46.0882,2,National,0
SOM39253,2023-01-13,1,Battles,Armed clash,Hawiye-Hawadle Sub-Clan Militia (Somalia),,Al Shabaab,,Somalia,Hiraan,Belet Weyne,Tabantaab,4.55,45.3911,1,National,0
SOM39254,2023-01-13,1,Battles,Armed clash,Hawiye-Hawadle Sub-Clan Militia (Somalia),,Al Shabaab,,Somalia,Hiraan,Belet Weyne,Maxamed Hasan,4.577,45.3357,1,National,0
SOM39263,2023-01-14,1,Violence against civilians,Abduction/forced disappearance,Al Shabaab,,Civilians (Somalia),,Somalia,Bakool,Xudur,Hudur,4.1237,43.8915,2,Local partner-Other,0
SOM39264,2023-01-14,1,Strategic developments,Looting/property destruction,Al Shabaab,,Civilians (Somalia),Labor Group (Somalia),Somalia,Bay,Qansax Dheere,Miisra,2.5972,43.0838,2,Local partner-Other,0
SOM39271,2023-01-14,1,Strategic developments,Non-violent transfer of territory,Military Forces of Somalia (2022-),Hawiye-Habar Gedir Sub-Clan Militia (Somalia); Military Forces of Somalia (2022-) Galmudug Security Force,Al Shabaab,,Somalia,Galgaduud,Ceel Dheer,Ceel Dheer,3.8491,47.1803,2,Local partner-Other,0
SOM39280,2023-01-15,1,Violence against civilians,Attack,Darod-Majeerteen-Omar Mahmud Sub-Clan Militia (Somalia),,Civilians (Somalia),Darod-Majeerteen-Omar Mahmud Sub-Clan Group (Somalia),Somalia,Mudug,Galdogob,Bursaalax,7.1865,47.2426,1,Local partner-Other,2
SOM39284,2023-01-15,1,Explosions/Remote violence,Grenade,Unidentified Armed Group (Somalia),,Police Forces of Somalia (2022-) Puntland Police Force,,Somalia,Bari,Bossaso,Biyo Kulule,11.2777,49.1953,1,Local partner-Other,0
SOM39294,2023-01-17,1,Strategic developments,Non-violent transfer of territory,Military Forces of Somalia (2022-),Hawiye-Habar Gedir Sub-Clan Militia (Somalia); Military Forces of Somalia (2022-) Galmudug Security Force,Al Shabaab,,Somalia,Galgaduud,Ceel Dheer,Ceel Dheer,3.8491,47.1803,1,Local partner-Other,0
SOM39296,2023-01-17,1,Violence against civilians,Attack,Military Forces of Somalia (2022-) Jubaland Security Force,,Civilians (Somalia),,Somalia,Lower Juba,Afmadow,Dhobley,0.4063,41.0124,1,Local partner-Other,0
SOM39299,2023-01-17,1,Battles,Armed clash,Al Shabaab,,Hawiye-Hawadle Sub-Clan Militia (Somalia),,Somalia,Hiraan,Belet Weyne,Belet Weyne,4.736,45.2043,2,Local partner-Other,2
SOM39300,2023-01-17,1,Explosions/Remote violence,Remote explosive/landmine/IED,Al Shabaab,,Military Forces of Somalia (2022-),,Somalia,Galgaduud,Ceel Dheer,Ceel Dheer,3.8491,47.1803,1,Local partner-Other,0
SOM39307,2023-01-19,1,Battles,Armed clash,Al Shabaab,,Hawiye-Hawadle Sub-Clan Militia (Somalia),,Somalia,Hiraan,Belet Weyne,Beerxaano,4.5339,45.3421,1,National,0
SOM39310,2023-01-18,1,Violence against civilians,Attack,Police Forces of Somalia (2022-) Puntland Police Force,,Civilians (Somalia),,Somalia,Bari,Bossaso,Bosaso,11.2842,49.1816,1,Local partner-Other,2
SOM39311,2023-01-18,1,Violence against civilians,Attack,Al Shabaab,,Civilians (Somalia),Labor Group (Somalia),Somalia,Sanaag,Laasqoray,Ceelayo,11.2438,48.8931,1,Local partner-Other,1
SOM39324,2023-01-13,1,Battles,Armed clash,Hawiye-Habar Gedir-Saleban Sub-Clan Militia (Somalia),,Al Shabaab,,Somalia,Galgaduud,Cadaado,Cadaado,6.1457,46.6271,2,Local partner-Other,1
SOM39345,2023-01-20,1,Violence against civilians,Attack,Darod-Marehan Sub-Clan Militia (Somalia),,Civilians (Somalia),Darod-Marehan Sub-Clan Group (Somalia),Somalia,Galgaduud,Cabudwaaq,Dhabad,6.3062,46.5493,2,Local partner-Other,0
SOM39346,2023-01-19,1,Violence against civilians,Abduction/forced disappearance,Al Shabaab,,Civilians (Somalia),Aid Workers (Somalia),Somalia,Gedo,Baardheere,Bardera,2.3385,42.2843,1,Local partner-Other,0
SOM39351,2023-01-22,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Somalia),,Military Forces of Somalia (2022-),Civilians (Somalia),Somalia,Hiraan,Belet Weyne,Baardheere,4.6066,45.3261,1,Local partner-Other,0
SOM39361,2023-01-23,1,Battles,Armed clash,Al Shabaab,,Hawiye-Hawadle Sub-Clan Militia (Somalia),,Somalia,Hiraan,Belet Weyne,Baarey,4.5502,45.2787,2,Local partner-Other,0
SOM39367,2023-01-23,1,Strategic developments,Non-violent transfer of territory,Military Forces of Somalia (2022-),,Al Shabaab,,Somalia,Mudug,Xarardheere,Xarardheere,4.6517,47.8584,2,Local partner-Other,0
SOM39381,2023-01-24,1,Battles,Armed clash,Military Forces of Somalia (2022-),Hawiye-Habar Gedir Sub-Clan Militia (Somalia),Al Shabaab,,Somalia,Galgaduud,Ceel Buur,Wabxo,4.5135,46.2841,2,Local partner-Other,0
SOM39382,2023-01-24,1,Explosions/Remote violence,Remote explosive/landmine/IED,Al Shabaab,,Civilians (Somalia),,Somalia,Galgaduud,Ceel Buur,Wabxo,4.5135,46.2841,2,Local partner-Other,0
SOM39383,2023-01-24,1,Violence against civilians,Abduction/forced disappearance,Al Shabaab,,Civilians (Somalia),Farmers (Somalia); Hawiye-Hawadle-Ali Madaxweyne Sub-Clan Group (Somalia),Somalia,Hiraan,Belet Weyne,Buur Dacar,4.4507,45.3454,2,Local partner-Other,0
SOM39390,2023-01-25,1,Battles,Armed clash,Military Forces of Somalia (2022-),Hawiye-Habar Gedir Sub-Clan Militia (Somalia),Al Shabaab,,Somalia,Galgaduud,Ceel Dheer,Ceel Dheer,3.8491,47.1803,2,National,1
SOM39391,2023-01-25,1,Battles,Armed clash,Military Forces of Somalia (2022-),Hawiye-Habar Gedir Sub-Clan Militia (Somalia),Al Shabaab,,Somalia,Galgaduud,Ceel Dheer,Ceel Dheer,3.8491,47.1803,2,Local partner-Other,2
SOM39393,2023-01-25,1,Violence against civilians,Attack,Bantu-Jareer-Weyne Makane Sub-Clan Militia (Somalia),,Civilians (Somalia),Military Forces of Somalia (2022-) National Intelligence and Security Agency,Somalia,Hiraan,Bulo Burto,Bulo Burto,3.8519,45.5651,1,Local partner-Other,2
SOM39394,2023-01-25,1,Battles,Armed clash,Police Forces of Somalia (2022-) Hirshabelle Police Forces,,Bantu-Jareer-Weyne Makane Sub-Clan Militia (Somalia),,Somalia,Hiraan,Bulo Burto,Bulo Burto,3.8519,45.5651,1,Local partner-Other,1
SOM39398,2023-01-26,1,Violence against civilians,Abduction/forced disappearance,Al Shabaab,,Civilians (Somalia),Farmers (Somalia); Hawiye-Hawadle Sub-Clan Group (Somalia); Pastoralists (Somalia),Somalia,Hiraan,Belet Weyne,Hilo Bacaad,4.5785,45.2633,1,National,0
SOM39399,2023-01-26,1,Violence against civilians,Abduction/forced disappearance,Al Shabaab,,Civilians (Somalia),Farmers (Somalia); Hawiye-Hawadle Sub-Clan Group (Somalia); Pastoralists (Somalia),Somalia,Hiraan,Belet Weyne,Sugow,4.5564,45.2701,1,National,0
SOM39400,2023-01-26,1,Violence against civilians,Abduction/forced disappearance,Al Shabaab,,Civilians (Somalia),Farmers (Somalia); Hawiye-Hawadle Sub-Clan Group (Somalia); Pastoralists (Somalia),Somalia,Hiraan,Belet Weyne,Camalow,4.606,45.2506,1,National,0
SOM39403,2023-01-27,1,Strategic developments,Looting/property destruction,Al Shabaab,,Civilians (Somalia),Labor Group (Somalia),Somalia,Bakool,Waajid,Waajid,3.8096,43.2463,2,Local partner-Other,0
SOM39404,2023-01-30,1,Strategic developments,Looting/property destruction,Al Shabaab,,Civilians (Somalia),Hawiye-Hawadle-Cabdalla Sub-Clan Group (Somalia); Pastoralists (Somalia),Somalia,Hiraan,Belet Weyne,Taragente,4.3814,45.1946,1,Local partner-Other,0
SOM39405,2023-01-29,1,Strategic developments,Agreement,Al Shabaab,,Civilians (Somalia),Hawiye-Hawadle-Adam Yaber Madaxweyne Sub-Clan Militia (Somalia); Hawiye-Hawadle-Baana Yaber Madaxweyne Sub-Clan Militia (Somalia); Hawiye-Hawadle-Hussein Yaber Madaxweyne Sub-Clan Militia (Somalia); Hawiye-Hawadle-Iidle Yaber Madaxweyne Sub-Clan Militia (Somalia); Hawiye-Hawadle-Mohamed Yabar Madaxweyne Sub-Clan Militia (Somalia),Somalia,Hiraan,Bulo Burto,Buqda Caqable,4.0601,45.2577,1,Local partner-Other,0
SOM39408,2023-01-27,1,Violence against civilians,Attack,Al Shabaab,,Civilians (Somalia),Aid Workers (Somalia),Somalia,Lower Juba,Kismaayo,Qam Qam,-0.2582,42.6009,1,Local partner-Other,0
