event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
BUR10713,2022-01-01,1,Violence against civilians,Attack,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,Civilians (Burundi),Labor Group (Burundi),Burundi,Karuzi,Buhiga,Buhiga,-3.0302,30.1608,1,Local partner-Other,0
BUR10728,2022-01-09,2,Violence against civilians,Attack,Unidentified Armed Group (Burundi),,Civilians (Burundi),,Burundi,Rumonge,Bugarama,Gahuni,-3.6643,29.3923,2,New media,1
BUR10730,2022-01-10,1,Riots,Mob violence,Rioters (Burundi),CNDD-FDD: National Council for the Defence of Democracy-Forces for the Defence of Democracy; Hutu Ethnic Group (Burundi); Tutsi Ethnic Group (Burundi),Civilians (Burundi),CNDD-FDD: National Council for the Defence of Democracy-Forces for the Defence of Democracy; Hutu Ethnic Group (Burundi); Labor Group (Burundi),Burundi,Karuzi,Buhiga,Buhiga,-3.0302,30.1608,1,Local partner-Other,0
BUR10732,2022-01-11,1,Violence against civilians,Attack,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,Civilians (Burundi),CNL: National Congress for Liberation,Burundi,Karuzi,Bugenyuzi,Muyange,-3.0533,30.1316,1,Local partner-Other,0
BUR10733,2022-01-10,1,Violence against civilians,Abduction/forced disappearance,Police Forces of Burundi (2005-) National Intelligence Service,,Civilians (Burundi),CNDD-FDD: National Council for the Defence of Democracy-Forces for the Defence of Democracy; Teachers (Burundi),Burundi,Kirundo,Busoni,Busoni,-2.5286,30.2177,2,National,0
BUR10738,2022-01-10,1,Violence against civilians,Attack,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,Civilians (Burundi),,Burundi,Bujumbura Rural,Mugongomanga,Buhoro,-3.418,29.5714,1,National,0
BUR10743,2022-01-13,1,Violence against civilians,Sexual violence,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,Civilians (Burundi),Students (Burundi); Women (Burundi),Burundi,Karuzi,Bugenyuzi,Muyange,-3.0533,30.1316,1,National,0
BUR10742,2022-01-20,2,Violence against civilians,Attack,Unidentified Armed Group (Burundi),,Civilians (Burundi),Police Forces of Burundi (2005-),Burundi,Gitega,Itaba,Kibogoye,-3.5779,30.0575,1,New media,1
BUR10753,2022-01-25,1,Battles,Armed clash,Unidentified Armed Group (Burundi),,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,Burundi,Mwaro,Kayokwe,Saswe,-3.5429,29.7549,1,New media,0
BUR10750,2022-01-19,1,Violence against civilians,Attack,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,Civilians (Burundi),Labor Group (Burundi),Burundi,Bujumbura Rural,Mutimbuzi,Maramvya,-3.2887,29.3462,1,National,1
