event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
LBY9017,2019-12-17,1,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Libya),,Civilians (Libya),Journalists (Libya),Libya,East,Al Butnan,Tobruk,32.0836,23.9764,1,National,0
LBY9002,2019-12-15,1,Violence against civilians,Attack,Unidentified Armed Group (Libya),,Civilians (Libya),Labor Group (Libya),Libya,East,Benghazi,Al Hawary,32.0648,20.1493,1,National,1
LBY9030,2019-12-19,1,Violence against civilians,Abduction/forced disappearance,Military Forces of Libya (2014-) Libyan National Army (LNA),,Civilians (Libya),,Libya,East,Al Jabal Al Akhdar,Al Baydah,32.7627,21.7551,1,National,0
LBY9046,2019-12-21,1,Protests,Peaceful protest,Protesters (Libya),Labor Group (Libya),,,Libya,East,Al Jabal Al Akhdar,Al Jabal al Akhdar,32.2,21.75,1,National,0
LBY8737,2019-10-10,2,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Libya),,Civilians (Sudan),Women (Sudan),Libya,East,Benghazi,Benghazi,32.1177,20.1293,1,National,0
LBY8736,2019-10-10,2,Violence against civilians,Attack,Unidentified Armed Group (Libya),,Civilians (Sudan),Women (Sudan),Libya,East,Benghazi,As Salmani al Gharbi,32.1134,20.091,1,National,1
LBY8735,2019-10-10,2,Violence against civilians,Attack,Unidentified Armed Group (Libya),,Civilians (Sudan),Women (Sudan),Libya,East,Benghazi,As Sabiri al Gharbi,32.1358,20.0785,1,National,1
LBY8956,2019-12-04,1,Protests,Peaceful protest,Protesters (Libya),,,,Libya,East,Al Butnan,Tobruk,32.0836,23.9764,1,National,0
LBY8951,2019-12-02,1,Riots,Violent demonstration,Rioters (Libya),,,,Libya,South,Murzuq,Umm el Araneb,26.1339,14.7372,1,International,0
LBY8932,2019-11-29,1,Explosions/Remote violence,Air/drone strike,Military Forces of Libya (2014-) Libyan National Army (LNA),,,,Libya,West,Nalut,Kabaw,31.8472,11.3306,1,National,0
LBY8727,2019-10-12,1,Violence against civilians,Abduction/forced disappearance,Zintan Ethnic Militia (Libya),,Civilians (Libya),Health Workers (Libya),Libya,West,Nalut,Ghadamis,30.1337,9.5007,2,National,0
LBY9001,2019-12-14,1,Violence against civilians,Abduction/forced disappearance,Police Forces of Libya (2015-2021) Government of National Accord (GNA) - Internal Security Device,,Civilians (Libya),Journalists (Libya),Libya,West,Tripoli,Tripoli - Mitiga Airport,32.8941,13.276,1,National-Regional,0
