event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
SWA230,2020-02-09,2,Violence against civilians,Attack,Police Forces of eSwatini (1986-),,Civilians (eSwatini),Prisoners (eSwatini),eSwatini,Lubombo,Lugongolweni,Siteki,-26.45,31.95,1,National,0
SWA233,2020-03-11,1,Protests,Peaceful protest,Protesters (eSwatini),Students (eSwatini),,,eSwatini,Lubombo,Siphofaneni,Siphofaneni,-26.6833,31.6833,1,National,0
SWA234,2020-03-17,1,Protests,Peaceful protest,Protesters (eSwatini),SWADNU: Swaziland Democratic Nurses Union; Health Workers (eSwatini),,,eSwatini,Hhohho,Mbabane East,Mbabane,-26.3167,31.1333,1,National,0
SWA242,2020-05-11,2,Violence against civilians,Attack,Police Forces of eSwatini (1986-),,Civilians (eSwatini),,eSwatini,Hhohho,Mbabane East,Mbabane,-26.3167,31.1333,1,National,0
SWA238,2020-04-10,1,Violence against civilians,Attack,Police Forces of eSwatini (1986-),,Civilians (eSwatini),Women (eSwatini),eSwatini,Manzini,Ngwempisi,Mankayane,-26.6792,31.0481,2,National,0
SWA237,2020-03-15,3,Violence against civilians,Attack,Police Forces of eSwatini (1986-),,Civilians (eSwatini),Journalists (eSwatini); Prisoners (eSwatini),eSwatini,Hhohho,Mbabane East,Mbabane,-26.3167,31.1333,2,National,0
SWA243,2020-06-02,2,Violence against civilians,Attack,Police Forces of eSwatini (1986-),,Civilians (eSwatini),,eSwatini,Shiselweni,Gege,Gege,-26.95,31.0167,2,National,0
SWA245,2020-06-18,1,Protests,Protest with intervention,Protesters (eSwatini),Health Workers (eSwatini),Police Forces of eSwatini (1986-),,eSwatini,Lubombo,Lugongolweni,Siteki,-26.45,31.95,1,National,0
SWA247,2020-07-29,2,Riots,Mob violence,Rioters (eSwatini),Vigilante Group (eSwatini),Civilians (eSwatini),,eSwatini,Hhohho,Piggs Peak,Ndzingeni,-25.9736,31.294,2,National,0
SWA250,2020-08-08,1,Violence against civilians,Attack,Police Forces of eSwatini (1986-),,Civilians (eSwatini),Christian Group (eSwatini),eSwatini,Lubombo,Lugongolweni,Siteki,-26.45,31.95,1,National-Regional,0
SWA249,2020-08-04,2,Violence against civilians,Attack,Police Forces of eSwatini (1986-),,Civilians (eSwatini),,eSwatini,Hhohho,Mbabane East,Mbabane,-26.3167,31.1333,1,National,1
SWA253,2020-09-07,1,Battles,Armed clash,LaMgabhi Communal Militia (eSwatini),Former Government of eSwatini (1986-),Luyengweni Communal Militia (eSwatini),Former Police Forces of eSwatini (1986-),eSwatini,Manzini,Ngwempisi,Mankayane,-26.6792,31.0481,2,National,2
SWA256,2020-11-10,1,Protests,Peaceful protest,Protesters (eSwatini),Students (eSwatini),,,eSwatini,Hhohho,Mbabane East,Mbabane,-26.3167,31.1333,1,National,0
SWA260,2020-12-07,2,Violence against civilians,Sexual violence,Police Forces of eSwatini (1986-),,Civilians (eSwatini),Men (eSwatini),eSwatini,Manzini,Ngwempisi,Mankayane,-26.6792,31.0481,2,National,0
SWA267,2020-12-29,2,Riots,Mob violence,Rioters (eSwatini),Vigilante Group (eSwatini),Civilians (eSwatini),,eSwatini,Hhohho,Mbabane East,Mbabane,-26.3167,31.1333,2,National,1
SWA270,2020-12-31,1,Riots,Mob violence,Rioters (eSwatini),Vigilante Group (eSwatini),Civilians (eSwatini),,eSwatini,Shiselweni,Hosea,Hluti,-27.2166,31.6166,2,National,1
SWA239,2020-04-10,1,Violence against civilians,Attack,Police Forces of eSwatini (1986-),,Civilians (eSwatini),Women (eSwatini); Prisoners (eSwatini),eSwatini,Hhohho,Mbabane East,Mbabane,-26.3167,31.1333,1,National,0
SWA240,2020-04-12,1,Violence against civilians,Attack,Military Forces of eSwatini (1986-),,Civilians (eSwatini),Lawyers (eSwatini),eSwatini,Hhohho,Mbabane East,Mbabane,-26.3167,31.1333,1,National,0
SWA241,2020-04-23,1,Violence against civilians,Attack,Police Forces of eSwatini (1986-),,Civilians (eSwatini),Journalists (eSwatini),eSwatini,Shiselweni,Maseyisini,Nhlangano,-27.1166,31.1676,1,National,0
SWA646,2020-05-02,1,Strategic developments,Arrests,Police Forces of eSwatini (1986-),,Civilians (eSwatini),EFFSWA: Economic Freedom Fighters of Swaziland,eSwatini,Manzini,Mafutseni,Mafutseni,-26.4148,31.5833,1,National,0
SWA647,2020-08-21,2,Protests,Excessive force against protesters,Protesters (eSwatini),,Police Forces of eSwatini (1986-),,eSwatini,Hhohho,Mbabane East,Mbabane,-26.3167,31.1333,1,National,0
SWA648,2020-12-11,1,Violence against civilians,Attack,Police Forces of eSwatini (1986-),,Civilians (eSwatini),Private Security Forces (eSwatini); Prisoners (eSwatini),eSwatini,Lubombo,Mhlume,Simunye,-26.2084,31.9195,1,National,1
SWA246,2020-07-16,1,Violence against civilians,Attack,Police Forces of eSwatini (1986-),,Civilians (eSwatini),Government of eSwatini (1986-); Prisoners (eSwatini),eSwatini,Shiselweni,Maseyisini,Nhlangano,-27.1166,31.1676,1,National,0
SWA251,2020-08-15,1,Violence against civilians,Attack,Shiselweni Communal Militia (eSwatini),,Civilians (eSwatini),Shiselweni Communal Group (eSwatini),eSwatini,Shiselweni,Maseyisini,Nhlangano,-27.1166,31.1676,2,National,0
SWA244,2020-06-03,1,Riots,Violent demonstration,Rioters (eSwatini),Health Workers (eSwatini),,,eSwatini,Lubombo,Sithobela,Sithobela,-26.8816,31.5957,1,National,0
SWA232,2020-03-05,2,Protests,Peaceful protest,Protesters (eSwatini),Women (eSwatini),,,eSwatini,Manzini,Manzini North,Kwaluseni,-26.4833,31.3333,1,National,0
SWA235,2020-03-12,1,Violence against civilians,Attack,Police Forces of eSwatini (1986-),,Civilians (eSwatini),Journalists (eSwatini); Prisoners (eSwatini),eSwatini,Manzini,Manzini North,Kwaluseni,-26.4833,31.3333,1,National,0
