event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
ISR44645,2025-01-01,1,Explosions/Remote violence,Shelling/artillery/missile attack,Hamas Movement,,,,Israel,HaDarom,Beer Sheva,Netivot,31.4231,34.5891,2,National,0
ISR44646,2025-01-01,1,Strategic developments,Disrupted weapons use,Military Forces of Israel (2022-),,Hamas Movement,,Israel,HaDarom,Beer Sheva,Netivot,31.4231,34.5891,2,National,0
ISR44647,2025-01-01,1,Protests,Peaceful protest,Protesters (Israel),,,,Israel,Tel Aviv,Tel Aviv,Tel Aviv,32.0809,34.7806,1,National,0
ISR44648,2025-01-01,1,Protests,Peaceful protest,Protesters (Israel),,,,Israel,Tel Aviv,Tel Aviv,Tel Aviv,32.0809,34.7806,1,National,0
ISR44649,2025-01-02,1,Protests,Protest with intervention,Protesters (Israel),Settlers (Israel),Police Forces of Israel (2022-),,Israel,HaDarom,Ashqelon,Erez,31.5602,34.5666,2,National,0
ISR44650,2025-01-02,1,Strategic developments,Disrupted weapons use,Military Forces of Israel (2022-),,Hamas Movement,,Israel,HaDarom,Beer Sheva,Holit,31.23,34.326,2,National,0
ISR44651,2025-01-02,1,Protests,Peaceful protest,Protesters (Israel),Im Tirtzu,,,Israel,Tel Aviv,Tel Aviv,Tel Aviv,32.0809,34.7806,3,Other-National,0
ISR44652,2025-01-03,1,Explosions/Remote violence,Shelling/artillery/missile attack,Hamas Movement,,,,Israel,HaDarom,Ashqelon,Niram,31.5196,34.5801,2,National,0
ISR44653,2025-01-03,1,Explosions/Remote violence,Shelling/artillery/missile attack,Hamas Movement,,,,Israel,HaDarom,Ashqelon,Sderot,31.525,34.5969,2,National,0
ISR44654,2025-01-03,1,Strategic developments,Disrupted weapons use,Military Forces of Israel (2022-),,Hamas Movement,,Israel,HaDarom,Beer Sheva,Beeri,31.4243,34.4916,2,National,0
ISR44656,2025-01-03,1,Protests,Peaceful protest,Protesters (Israel),Shift 101; Women (Israel),,,Israel,Jerusalem,Jerusalem,Jerusalem,31.769,35.2163,1,National,0
ISR44731,2025-01-06,1,Strategic developments,Disrupted weapons use,Military Forces of Israel (2022-),,Hamas Movement,,Israel,HaDarom,Ashqelon,Sderot,31.525,34.5969,2,National,0
ISR44738,2025-01-04,1,Protests,Peaceful protest,Protesters (Israel),Refugees/IDPs (Israel),,,Israel,HaDarom,Ashqelon,Qiryat Gat,31.61,34.7642,1,National,0
ISR44739,2025-01-07,1,Protests,Peaceful protest,Protesters (Israel),,,,Israel,Tel Aviv,Tel Aviv,Tel Aviv - HaKirya,32.0745,34.7848,1,National,0
ISR44740,2025-01-08,1,Protests,Peaceful protest,Protesters (Israel),,,,Israel,Tel Aviv,Tel Aviv,Tel Aviv,32.0809,34.7806,1,National,0
ISR44741,2025-01-10,1,Protests,Peaceful protest,Protesters (Israel),,,,Israel,Jerusalem,Jerusalem,Jerusalem,31.769,35.2163,1,National,0
ISR44743,2025-01-05,1,Protests,Peaceful protest,Protesters (Israel),,,,Israel,Tel Aviv,Tel Aviv,Holon,32.0103,34.7792,1,National,0
ISR44744,2025-01-06,1,Protests,Peaceful protest,Protesters (Israel),,,,Israel,Tel Aviv,Tel Aviv,Tel Aviv - HaKirya,32.0745,34.7848,1,National,0
ISR44745,2025-01-04,1,Protests,Peaceful protest,Protesters (Israel),,,,Israel,Tel Aviv,Tel Aviv,Tel Aviv - HaKirya,32.0745,34.7848,1,National,0
ISR44746,2025-01-04,1,Protests,Peaceful protest,Protesters (Israel),,,,Israel,HaDarom,Ashqelon,Shaar Hanegev,31.492,34.6,2,National,0
ISR44747,2025-01-04,1,Protests,Peaceful protest,Protesters (Israel),,,,Israel,Haifa,Haifa,Haifa,32.8184,34.9885,1,National,0
ISR44748,2025-01-04,1,Protests,Peaceful protest,Protesters (Israel),,,,Israel,Haifa,Hadera,Pardes Hanna Karkur,32.4741,34.9778,2,National,0
ISR44749,2025-01-04,1,Protests,Peaceful protest,Protesters (Israel),,,,Israel,HaMerkaz,Rehovot,Rehovot,31.8942,34.812,1,National,0
ISR44750,2025-01-04,1,Protests,Peaceful protest,Protesters (Israel),,,,Israel,HaZafon,Akko,Elkosh,33.0335,35.3244,2,National,0
ISR44751,2025-01-04,1,Protests,Peaceful protest,Protesters (Israel),,,,Israel,HaZafon,Zefat,Zomet Gome,33.1698,35.5694,1,National,0
ISR44752,2025-01-04,1,Protests,Peaceful protest,Protesters (Israel),,,,Israel,HaZafon,Akko,Kabri,33.0209,35.1484,1,National,0
ISR44753,2025-01-04,1,Protests,Peaceful protest,Protesters (Israel),,,,Israel,HaZafon,Akko,Nahariyya,33.0089,35.0981,1,National,0
ISR44754,2025-01-04,1,Protests,Peaceful protest,Protesters (Israel),,,,Israel,HaDarom,Beer Sheva,Eilat,29.5581,34.9482,1,National,0
ISR44755,2025-01-04,1,Protests,Peaceful protest,Protesters (Israel),,,,Israel,Tel Aviv,Tel Aviv,Tel Aviv,32.0809,34.7806,1,National,0
ISR44756,2025-01-04,1,Protests,Peaceful protest,Protesters (Israel),,,,Israel,Tel Aviv,Tel Aviv,Herzliya,32.1663,34.8254,1,National,0
ISR44759,2025-01-04,1,Protests,Peaceful protest,Protesters (Israel),,,,Israel,HaZafon,Yizreel,Nahalal,32.6904,35.1965,1,National,0
ISR44762,2025-01-04,1,Protests,Peaceful protest,Protesters (Israel),,,,Israel,Jerusalem,Jerusalem,Neve Ilan,31.8086,35.0803,1,National,0
ISR44763,2025-01-04,1,Protests,Peaceful protest,Protesters (Israel),,,,Israel,HaMerkaz,Rehovot,Kefar Bilu,31.877,34.8211,1,National,0
ISR44764,2025-01-04,1,Protests,Peaceful protest,Protesters (Israel),,,,Israel,HaMerkaz,Rehovot,Gedera,31.8146,34.78,1,National,0
ISR44765,2025-01-04,1,Protests,Peaceful protest,Protesters (Israel),,,,Israel,HaMerkaz,Rehovot,Ness Ziona,31.9293,34.7987,1,National,0
ISR44766,2025-01-04,1,Protests,Peaceful protest,Protesters (Israel),,,,Israel,HaDarom,Beer Sheva,Gerofit,29.9412,35.0644,1,National,0
ISR44767,2025-01-04,1,Protests,Peaceful protest,Protesters (Israel),,,,Israel,HaMerkaz,Sharon,Bnei Dror,32.2605,34.899,2,National,0
ISR44768,2025-01-04,1,Protests,Peaceful protest,Protesters (Israel),,,,Israel,Jerusalem,Jerusalem,Bet Neqofa,31.8045,35.126,2,National,0
ISR44770,2025-01-06,1,Protests,Protest with intervention,Protesters (Israel),,Police Forces of Israel (2022-),,Israel,Tel Aviv,Tel Aviv,Tel Aviv,32.0809,34.7806,1,National,0
ISR44771,2025-01-04,1,Protests,Protest with intervention,Protesters (Israel),,Police Forces of Israel (2022-),,Israel,Jerusalem,Jerusalem,Jerusalem,31.769,35.2163,1,National,0
ISR44772,2025-01-04,1,Protests,Protest with intervention,Protesters (Israel),,Police Forces of Israel (2022-),,Israel,Jerusalem,Jerusalem,Jerusalem,31.769,35.2163,1,National,0
ISR44773,2025-01-04,1,Explosions/Remote violence,Shelling/artillery/missile attack,Hamas Movement,,,,Israel,HaDarom,Ashqelon,Erez Crossing,31.5584,34.5439,1,National,0
ISR44774,2025-01-06,1,Explosions/Remote violence,Shelling/artillery/missile attack,Hamas Movement,,,,Israel,HaDarom,Ashqelon,Sderot,31.525,34.5969,1,National,0
