event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
GRC1670,2020-02-24,1,Protests,Peaceful protest,Protesters (Greece),Government of Greece (2019-); Farmers (Greece),,,Greece,Aegean,North Aegean,Mytilene,39.11,26.5547,2,National,0
GRC1673,2020-02-24,1,Protests,Peaceful protest,Protesters (Greece),Government of Greece (2019-); Farmers (Greece),,,Greece,Aegean,North Aegean,Mesta,38.2601,25.9222,1,National,0
GRC1679,2020-02-25,1,Riots,Violent demonstration,Rioters (Greece),Government of Greece (2019-); Farmers (Greece),Police Forces of Greece (2019-),Police Forces of Greece (2019-) Units for the Reinstatement of Order,Greece,Aegean,North Aegean,Mytilene,39.11,26.5547,2,National,0
GRC1689,2020-02-26,1,Protests,Peaceful protest,Protesters (Greece),Government of Greece (2019-); Labor Group (Greece),,,Greece,Aegean,North Aegean,Chios,38.3686,26.1324,1,National-International,0
GRC1691,2020-02-26,1,Riots,Violent demonstration,Rioters (Greece),,Police Forces of Greece (2019-) Units for the Reinstatement of Order,,Greece,Aegean,North Aegean,Karfas,38.3205,26.1523,1,National,0
GRC1702,2020-02-27,1,Riots,Violent demonstration,Rioters (Greece),,Police Forces of Greece (2019-) Units for the Reinstatement of Order,,Greece,Aegean,North Aegean,Mesta,38.2601,25.9222,1,National-International,0
GRC1709,2020-02-28,1,Protests,Peaceful protest,Protesters (International),Refugees/IDPs (International),,,Greece,Aegean,North Aegean,Mytilene,39.11,26.5547,2,National,0
GRC1680,2020-02-25,1,Riots,Violent demonstration,Rioters (Greece),Government of Greece (2019-); Farmers (Greece); Orthodox Christian Group (Greece),Police Forces of Greece (2019-),Police Forces of Greece (2019-) Units for the Reinstatement of Order,Greece,Aegean,North Aegean,Mesta,38.2601,25.9222,1,National,0
GRC1693,2020-02-26,1,Protests,Peaceful protest,Protesters (Greece),Government of Greece (2019-); Labor Group (Greece),,,Greece,Peloponnese-Western Greece-Ionian Islands,Western Greece,Vouprasio,38.0822,21.3862,1,National,0
GRC1704,2020-02-27,1,Protests,Peaceful protest,Protesters (Greece),Government of Greece (2019-); Labor Group (Greece); ADEDY: Civil Servants Confederation,,,Greece,Aegean,North Aegean,Mytilene,39.11,26.5547,1,National,0
GRC1688,2020-02-26,1,Protests,Peaceful protest,Protesters (Greece),Government of Greece (2019-); Labor Group (Greece); ADEDY: Civil Servants Confederation,,,Greece,Aegean,North Aegean,Mytilene,39.11,26.5547,1,National,0
GRC1663,2020-02-13,1,Riots,Mob violence,Rioters (Greece),,Civilians (International),Refugees/IDPs (International),Greece,Aegean,South Aegean,Kos,36.8926,27.2876,1,National,0
GRC1751,2020-03-05,1,Protests,Peaceful protest,Protesters (Greece),Anarchist Group (Greece),,,Greece,Epirus-Western Macedonia,Epirus,Ioannina,39.6649,20.8519,1,National,0
GRC1758,2020-03-05,1,Protests,Peaceful protest,Protesters (Greece),,,,Greece,Thessaly-Central Greece,Thessaly,Volos,39.373,22.9427,1,National,0
GRC1762,2020-03-06,1,Riots,Mob violence,Rioters (International),Refugees/IDPs (International); Police Forces of Turkey (2016-),Police Forces of Greece (2019-) Border Guard,Military Forces of Greece (2019-); Police Forces of Greece (2019-) Special Anti-Terrorism Unit,Greece,Macedonia-Thrace,Eastern Macedonia and Thrace,Kastanies,41.6455,26.4767,1,National,0
GRC1765,2020-03-06,1,Strategic developments,Looting/property destruction,Night Insecurity,,Civilians (Greece),Labor Group (Greece),Greece,Macedonia-Thrace,Central Macedonia,Thessaloniki,40.6436,22.9309,1,Subnational-National,0
GRC1720,2020-03-01,1,Strategic developments,Change to group/activity,Government of Greece (2019-),,,,Greece,Aegean,North Aegean,Mytilene,39.11,26.5547,2,National,0
GRC1741,2020-03-04,1,Riots,Mob violence,Rioters (International),Refugees/IDPs (International),Police Forces of Greece (2019-) Units for the Reinstatement of Order,,Greece,Aegean,North Aegean,Mytilene,39.11,26.5547,2,National,0
GRC1729,2020-03-03,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Greece),,Civilians (International),Aid Workers (International),Greece,Aegean,North Aegean,Chios,38.3686,26.1324,1,National,0
GRC1731,2020-03-03,1,Protests,Peaceful protest,Protesters (Greece),,,,Greece,Aegean,North Aegean,Chios,38.3686,26.1324,1,National,0
GRC1772,2020-03-07,1,Protests,Peaceful protest,Protesters (Greece),,,,Greece,Macedonia-Thrace,Central Macedonia,Thessaloniki,40.6436,22.9309,1,Subnational,0
GRC1756,2020-03-05,1,Protests,Peaceful protest,Protesters (Greece),Government of Greece (2019-),,,Greece,Macedonia-Thrace,Central Macedonia,Rodopoli,41.2604,22.9992,1,National,0
GRC1750,2020-03-05,1,Protests,Peaceful protest,Protesters (Greece),,,,Greece,Epirus-Western Macedonia,Epirus,Igoumenitsa,39.5034,20.2673,1,National,0
GRC1740,2020-03-04,1,Riots,Mob violence,Rioters (Greece),,Civilians (Greece),Journalists (Greece); Civilians (International); Refugees/IDPs (International),Greece,Macedonia-Thrace,Eastern Macedonia and Thrace,Kastanies,41.6455,26.4767,2,National,0
GRC1759,2020-03-05,1,Protests,Peaceful protest,Protesters (Greece),,,,Greece,Macedonia-Thrace,Eastern Macedonia and Thrace,Xanthi,41.1349,24.888,1,National,0
