event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
JOR2229,2023-01-02,1,Battles,Armed clash,Police Forces of Jordan (1999-),,Unidentified Tribal Militia (Jordan),,Jordan,Al Aqabah,Qasabat al Aqaba,Wadi Rum,29.574,35.4212,1,National,0
JOR2230,2023-01-06,1,Protests,Peaceful protest,Protesters (Jordan),,,,Jordan,Al Balqa,Qasabat as Salt,As Salt,32.0392,35.7272,1,National,0
JOR2231,2023-01-06,1,Protests,Peaceful protest,Protesters (Jordan),,,,Jordan,Maan,Qasabat Maan,Maan,30.1962,35.7341,1,New media,0
JOR2232,2023-01-06,1,Protests,Peaceful protest,Protesters (Jordan),,,,Jordan,Madaba,Dieban,Dieban,31.4986,35.7839,1,New media,0
JOR2236,2023-01-22,1,Protests,Peaceful protest,Protesters (Jordan),Students (Jordan); Teachers (Jordan),,,Jordan,Irbid,Qasabat Irbid,Irbid,32.5556,35.85,1,National,0
JOR2237,2023-01-23,1,Protests,Peaceful protest,Protesters (Jordan),Students (Jordan); Teachers (Jordan),,,Jordan,Irbid,Qasabat Irbid,Irbid,32.5556,35.85,1,National,0
JOR2241,2023-01-29,1,Protests,Peaceful protest,Protesters (Jordan),Labor Group (Jordan),,,Jordan,Irbid,Qasabat Irbid,Irbid,32.5556,35.85,1,National,0
JOR2245,2023-02-05,1,Protests,Peaceful protest,Protesters (Jordan),Labor Group (Jordan); Students (Jordan); Teachers (Jordan),,,Jordan,Irbid,Qasabat Irbid,Irbid,32.5556,35.85,1,National,0
JOR2249,2023-02-22,1,Protests,Peaceful protest,Protesters (Jordan),Farmers (Jordan),,,Jordan,Al Mafraq,Qasabat al Mafraq,Mafraq,32.3429,36.208,1,National,0
JOR2251,2023-02-24,1,Protests,Peaceful protest,Protesters (Jordan),IMJ: Islamic Movement in Jordan,,,Jordan,Irbid,Qasabat Irbid,Irbid,32.5556,35.85,3,National,0
JOR2252,2023-02-25,1,Strategic developments,Looting/property destruction,Military Forces of Jordan (1999-),,Unidentified Armed Group (Syria),,Jordan,Al Mafraq,Qasabat al Mafraq,Mafraq,32.3429,36.208,3,National,0
JOR2255,2023-03-02,1,Strategic developments,Other,Police Forces of Jordan (1999-),,Unidentified Armed Group (Jordan),,Jordan,Al Mafraq,Al Ruwaishid,Ar Ruwayshid,32.5015,38.2041,2,National,0
JOR2256,2023-03-03,1,Protests,Peaceful protest,Protesters (Jordan),IMJ: Islamic Movement in Jordan; Muslim Group (Jordan),,,Jordan,Az Zarqa,Az Zarqa,Zarqa,32.0728,36.088,1,National,0
JOR2259,2023-03-10,1,Riots,Mob violence,Rioters (Jordan),,,,Jordan,Az Zarqa,Az Zarqa,Zarqa,32.0728,36.088,1,National,0
JOR2261,2023-03-12,2,Strategic developments,Other,Police Forces of Jordan (1999-),,Unidentified Armed Group (Jordan),,Jordan,Al Mafraq,Qasabat al Mafraq,Mafraq,32.3429,36.208,3,National,0
JOR2262,2023-03-12,2,Strategic developments,Other,Police Forces of Jordan (1999-),,Unidentified Armed Group (Jordan),,Jordan,Al Balqa,Qasabat as Salt,As Salt,32.0392,35.7272,3,National,0
JOR2264,2023-03-12,2,Strategic developments,Other,Police Forces of Jordan (1999-),,Unidentified Armed Group (Jordan),,Jordan,Al Aqabah,Qasabat al Aqaba,Aqaba,29.5267,35.0078,1,National,0
JOR2265,2023-03-14,1,Protests,Peaceful protest,Protesters (Jordan),Government of Jordan (1999-),,,Jordan,Az Zarqa,Az Zarqa,Zarqa,32.0728,36.088,1,National,0
JOR2268,2023-03-16,1,Strategic developments,Other,Police Forces of Jordan (1999-),,Unidentified Armed Group (Jordan),,Jordan,Irbid,Ar Ramtha,Ar Ramtha,32.5587,36.0082,3,National,0
