event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
LUX7,2020-05-09,1,Protests,Peaceful protest,Protesters (Luxembourg),,,,Luxembourg,Echternach,,Echternach,49.8116,6.4212,1,National,0
LUX10,2020-05-09,1,Protests,Peaceful protest,Protesters (Luxembourg),,,,Luxembourg,Remich,,Remich,49.5436,6.3683,1,National,0
LUX11,2020-05-09,1,Protests,Peaceful protest,Protesters (Luxembourg),,,,Luxembourg,Grevenmacher,,Wasserbillig,49.714,6.5027,1,National,0
LUX8,2020-05-09,1,Protests,Peaceful protest,Protesters (Luxembourg),,,,Luxembourg,Grevenmacher,,Grevenmacher,49.679,6.4426,1,National,0
LUX9,2020-05-09,1,Protests,Peaceful protest,Protesters (Luxembourg),,,,Luxembourg,Grevenmacher,,Wormeldange,49.6105,6.405,1,National,0
LUX18,2020-07-15,1,Protests,Peaceful protest,Protesters (Luxembourg),Labor Group (Luxembourg); OGBL: Independent Union Luxembourg,,,Luxembourg,Capellen,,Bascharage,49.5709,5.9136,1,New media,0
LUX24,2020-09-24,1,Protests,Peaceful protest,Protesters (Luxembourg),Labor Group (Luxembourg); OGBL: Independent Union Luxembourg,,,Luxembourg,Esch-sur-Alzette,,Dudelange,49.4784,6.0847,1,New media,0
LUX26,2020-10-06,1,Protests,Peaceful protest,Protesters (Luxembourg),Labor Group (Luxembourg); OGBL: Independent Union Luxembourg,,,Luxembourg,Esch-sur-Alzette,,Dudelange,49.4784,6.0847,1,New media,0
LUX6,2020-03-25,1,Riots,Violent demonstration,Rioters (Luxembourg),Prisoners (Luxembourg),,,Luxembourg,Luxembourg,,Schrassig,49.6096,6.2565,1,National,0
LUX16,2020-06-20,1,Protests,Peaceful protest,Protesters (Luxembourg),Labor Group (Luxembourg); OGBL: Independent Union Luxembourg,,,Luxembourg,Esch-sur-Alzette,,Esch-sur-Alzette,49.4965,5.9838,1,New media,0
LUX25,2020-09-26,1,Protests,Peaceful protest,Protesters (Luxembourg),,,,Luxembourg,Esch-sur-Alzette,,Esch-sur-Alzette,49.4965,5.9838,1,National,0
LUX1,2020-01-11,1,Protests,Peaceful protest,Protesters (Luxembourg),FFF: Fridays for Future; Students (Luxembourg); Students for Climate,,,Luxembourg,Luxembourg,,Luxembourg,49.6117,6.13,1,National,0
LUX12,2020-05-29,1,Protests,Peaceful protest,Protesters (Luxembourg),Labor Group (Luxembourg); OGBL: Independent Union Luxembourg; Private Security Forces (Luxembourg),,,Luxembourg,Luxembourg,,Luxembourg,49.6117,6.13,1,New media,0
LUX14,2020-06-05,1,Protests,Peaceful protest,Protesters (Luxembourg),BLM: Black Lives Matter,,,Luxembourg,Luxembourg,,Luxembourg,49.6117,6.13,1,National,0
LUX15,2020-06-10,1,Protests,Peaceful protest,Protesters (Luxembourg),Greenpeace,,,Luxembourg,Luxembourg,,Luxembourg,49.6117,6.13,1,Other,0
LUX17,2020-07-13,1,Protests,Peaceful protest,Protesters (Luxembourg),Greenpeace,,,Luxembourg,Luxembourg,,Luxembourg,49.6117,6.13,1,National,0
LUX19,2020-07-15,1,Protests,Peaceful protest,Protesters (Luxembourg),Christian Group (Luxembourg); LCGB: Christian Labor Union of Luxembourg,,,Luxembourg,Luxembourg,,Luxembourg,49.6117,6.13,1,National,0
LUX2,2020-01-27,1,Protests,Peaceful protest,Protesters (Luxembourg),Teachers (Luxembourg),,,Luxembourg,Luxembourg,,Luxembourg,49.6117,6.13,1,National,0
LUX20,2020-07-19,1,Protests,Peaceful protest,Protesters (Luxembourg),Protesters (Serbia),,,Luxembourg,Luxembourg,,Luxembourg,49.6117,6.13,1,Regional,0
LUX21,2020-09-04,2,Protests,Peaceful protest,Protesters (Luxembourg),,,,Luxembourg,Luxembourg,,Luxembourg,49.6117,6.13,1,National,0
LUX22,2020-09-17,2,Protests,Peaceful protest,Protesters (Luxembourg),Labor Group (Luxembourg); OGBL: Independent Union Luxembourg,,,Luxembourg,Luxembourg,,Luxembourg,49.6117,6.13,1,New media,0
LUX23,2020-09-20,1,Protests,Peaceful protest,Protesters (Luxembourg),LRU: Letz Rise Up,,,Luxembourg,Luxembourg,,Luxembourg,49.6117,6.13,1,National,0
LUX27,2020-10-08,1,Protests,Peaceful protest,Protesters (Luxembourg),Christian Group (Luxembourg); LCGB: Christian Labor Union of Luxembourg,,,Luxembourg,Luxembourg,,Luxembourg,49.6117,6.13,1,National,0
LUX28,2020-10-10,1,Protests,Peaceful protest,Protesters (Luxembourg),,,,Luxembourg,Luxembourg,,Luxembourg,49.6117,6.13,1,National,0
LUX29,2020-10-13,1,Protests,Peaceful protest,Protesters (Luxembourg),FFF: Fridays for Future; Students (Luxembourg),,,Luxembourg,Luxembourg,,Luxembourg,49.6117,6.13,1,Other,0
