event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
POR2072,2024-02-28,1,Protests,Peaceful protest,Protesters (Portugal),Teachers (Portugal),,,Portugal,Porto,Porto,Porto,41.1574,-8.6295,1,Regional,0
POR2102,2024-03-15,1,Protests,Peaceful protest,Protesters (Portugal),CGTP: General Confederation of Portuguese Workers; Labor Group (Portugal),,,Portugal,Castelo Branco,Covilha,Panasqueira,40.169,-7.7593,2,National,0
POR2103,2024-03-15,1,Protests,Peaceful protest,Protesters (Portugal),CGTP: General Confederation of Portuguese Workers; Labor Group (Portugal),,,Portugal,Portalegre,Campo Maior,Campo Maior,39.0125,-7.0694,1,National,0
POR2104,2024-03-21,1,Protests,Peaceful protest,Protesters (Portugal),CGTP: General Confederation of Portuguese Workers; Labor Group (Portugal),,,Portugal,Lisboa,Cascais,Cascais,38.6998,-9.4223,1,National,0
POR2114,2024-03-27,1,Protests,Peaceful protest,Protesters (Portugal),CGTP: General Confederation of Portuguese Workers; Labor Group (Portugal),,,Portugal,Porto,Porto,Porto,41.1574,-8.6295,1,National,0
POR2129,2024-04-16,1,Protests,Peaceful protest,Protesters (Portugal),CGTP: General Confederation of Portuguese Workers; Labor Group (Portugal),,,Portugal,Lisboa,Vila Franca de Xira,Alhandra,38.9291,-9.0078,1,National,0
POR2100,2024-03-10,1,Strategic developments,Other,Government of Portugal (2015-2024),Enough; PS: Socialist Party (Portugal); PSD: Social Democratic Party (Portugal),,,Portugal,Lisboa,Lisboa,Lisboa,38.7224,-9.1399,3,Regional,0
POR2149,2024-04-29,1,Protests,Peaceful protest,Protesters (Portugal),CGTP: General Confederation of Portuguese Workers; Labor Group (Portugal),,,Portugal,Lisboa,Lisboa,Lisboa,38.7224,-9.1399,1,National,0
POR2150,2024-04-27,1,Protests,Peaceful protest,Protesters (Portugal),CGTP: General Confederation of Portuguese Workers; Labor Group (Portugal),,,Portugal,Viana do Castelo,Viana do Castelo,Viana do Castelo,41.7016,-8.833,1,National,0
POR2160,2024-05-09,1,Protests,Peaceful protest,Protesters (Portugal),Labor Group (Portugal),,,Portugal,Faro,Faro,Faro,37.0132,-7.9328,1,Regional,0
POR2166,2024-05-06,1,Protests,Peaceful protest,Protesters (Portugal),"CESP: Portuguese Workers' Union of Offices, Services and Commerce; CGTP: General Confederation of Portuguese Workers; Labor Group (Portugal); PCP: Portuguese Communist Party",,,Portugal,Lisboa,Lisboa,Lisboa,38.7224,-9.1399,1,National,0
POR2220,2024-06-20,1,Protests,Peaceful protest,Protesters (Portugal),Labor Group (Portugal),,,Portugal,Porto,Porto,Porto,41.1574,-8.6295,1,National,0
POR2221,2024-06-20,1,Protests,Peaceful protest,Protesters (Portugal),CGTP: General Confederation of Portuguese Workers; Labor Group (Portugal),,,Portugal,Porto,Porto,Porto,41.1574,-8.6295,1,National,0
POR2209,2024-06-07,1,Protests,Peaceful protest,Protesters (Portugal),Labor Group (Portugal),,,Portugal,Azores,Angra do Heroismo,Angra do Heroismo,38.6564,-27.2177,1,National,0
POR2210,2024-06-07,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Portugal),,Civilians (Portugal),Government of Portugal (2024-),Portugal,Lisboa,Lisboa,Lisboa,38.7224,-9.1399,1,Regional,0
POR2202,2024-05-29,1,Protests,Peaceful protest,Protesters (Portugal),CGTP: General Confederation of Portuguese Workers; Labor Group (Portugal),,,Portugal,Aveiro,Oliveira de Azemeis,Oliveira de Azemeis,40.839,-8.4778,1,National,0
POR2256,2024-07-31,1,Protests,Peaceful protest,Protesters (Portugal),Labor Group (Portugal),,,Portugal,Faro,Faro,Faro,37.0132,-7.9328,1,National,0
POR2264,2024-08-16,1,Protests,Peaceful protest,Protesters (Portugal),CGTP: General Confederation of Portuguese Workers; Health Workers (Portugal); Labor Group (Portugal),,,Portugal,Coimbra,Coimbra,Coimbra,40.2105,-8.4286,1,National,0
POR2265,2024-08-16,1,Protests,Peaceful protest,Protesters (Portugal),CGTP: General Confederation of Portuguese Workers; Health Workers (Portugal); Labor Group (Portugal),,,Portugal,Leiria,Leiria,Leiria,39.7429,-8.8068,1,National,0
POR2266,2024-08-16,1,Protests,Peaceful protest,Protesters (Portugal),CGTP: General Confederation of Portuguese Workers; Health Workers (Portugal); Labor Group (Portugal),,,Portugal,Lisboa,Lisboa,Lisboa,38.7224,-9.1399,1,National,0
POR2267,2024-08-16,1,Protests,Peaceful protest,Protesters (Portugal),CGTP: General Confederation of Portuguese Workers; Health Workers (Portugal); Labor Group (Portugal),,,Portugal,Porto,Porto,Porto,41.1574,-8.6295,1,National,0
POR2268,2024-08-16,1,Protests,Peaceful protest,Protesters (Portugal),CGTP: General Confederation of Portuguese Workers; Health Workers (Portugal); Labor Group (Portugal),,,Portugal,Viseu,Viseu,Viseu,40.6588,-7.9156,1,National,0
POR2273,2024-08-17,1,Protests,Peaceful protest,Protesters (Portugal),Russian Group (Portugal),,,Portugal,Lisboa,Lisboa,Lisboa,38.7224,-9.1399,1,Other,0
POR2280,2024-08-28,1,Protests,Peaceful protest,Protesters (Portugal),Health Workers (Portugal),,,Portugal,Porto,Porto,Porto,41.1574,-8.6295,1,Regional,0
POR2282,2024-08-31,1,Protests,Peaceful protest,Protesters (Portugal),Russian Group (Portugal),,,Portugal,Lisboa,Lisboa,Lisboa,38.7224,-9.1399,1,Other,0
POR2286,2024-09-07,1,Protests,Peaceful protest,Protesters (Portugal),Russian Group (Portugal),,,Portugal,Lisboa,Lisboa,Lisboa,38.7224,-9.1399,1,Other,0
POR2306,2024-09-21,1,Protests,Peaceful protest,Protesters (Portugal),Russian Group (Portugal),,,Portugal,Lisboa,Lisboa,Lisboa,38.7224,-9.1399,1,Other,0
POR2325,2024-10-01,1,Protests,Peaceful protest,Protesters (Portugal),CGTP: General Confederation of Portuguese Workers; Labor Group (Portugal),,,Portugal,Lisboa,Sintra,Sintra,38.7985,-9.3881,1,National,0
POR2339,2024-09-28,1,Protests,Peaceful protest,Protesters (Portugal),Russian Group (Portugal),,,Portugal,Lisboa,Lisboa,Lisboa,38.7224,-9.1399,1,Other,0
POR2040,2024-02-10,1,Protests,Peaceful protest,Protesters (Portugal),BE: Left Bloc; Jewish Group (Portugal); PAN: People Animals Nature; PCP: Portuguese Communist Party; Protesters (Palestine),,,Portugal,Lisboa,Lisboa,Lisboa,38.7224,-9.1399,1,National,0
POR2037,2024-02-10,1,Protests,Peaceful protest,Protesters (Portugal),Guinean Group (Portugal),,,Portugal,Lisboa,Lisboa,Lisboa,38.7224,-9.1399,1,National,0
POR2048,2024-02-23,1,Protests,Peaceful protest,Protesters (Portugal),Climaximo,,,Portugal,Lisboa,Lisboa,Lisboa,38.7224,-9.1399,1,National,0
POR2063,2024-02-28,1,Protests,Protest with intervention,Protesters (Portugal),End Fossil: Occupy; PS: Socialist Party (Portugal),Police Forces of Portugal (2015-2024),,Portugal,Lisboa,Lisboa,Lisboa,38.7224,-9.1399,1,National,0
POR2095,2024-03-08,1,Riots,Violent demonstration,Rioters (Portugal),BE: Left Bloc; Climaximo; PAN: People Animals Nature; Women (Spain),,,Portugal,Lisboa,Lisboa,Lisboa,38.7224,-9.1399,1,National,0
POR2101,2024-03-13,1,Protests,Peaceful protest,Protesters (Portugal),Climaximo,,,Portugal,Lisboa,Oeiras,Oeiras,38.6935,-9.3119,1,National,0
POR2118,2024-04-05,1,Protests,Peaceful protest,Protesters (Portugal),Labor Group (Portugal),,,Portugal,Lisboa,Lisboa,Lisboa,38.7224,-9.1399,1,National,0
POR2121,2024-04-06,1,Protests,Peaceful protest,Protesters (Portugal),Scientist Rebellion,,,Portugal,Lisboa,Lisboa,Lisboa,38.7224,-9.1399,1,National,0
POR2122,2024-04-06,1,Protests,Peaceful protest,Protesters (Portugal),Women (Portugal),,,Portugal,Lisboa,Lisboa,Lisboa,38.7224,-9.1399,1,National,0
POR2130,2024-04-13,1,Protests,Peaceful protest,Protesters (Portugal),STOP: All Teachers Union; Teachers (Portugal),,,Portugal,Coimbra,Coimbra,Coimbra,40.2105,-8.4286,1,National,0
POR2140,2024-04-22,1,Protests,Peaceful protest,Protesters (Portugal),,,,Portugal,Setubal,Grandola,Melides,38.1474,-8.7291,1,National,0
POR2141,2024-04-25,1,Protests,Peaceful protest,Protesters (Portugal),,,,Portugal,Coimbra,Coimbra,Coimbra,40.2105,-8.4286,1,National,0
POR2158,2024-05-09,1,Protests,Peaceful protest,Protesters (Portugal),Labor Group (Portugal),,,Portugal,Lisboa,Lisboa,Lisboa,38.7224,-9.1399,1,National,0
POR2157,2024-05-10,1,Protests,Peaceful protest,Protesters (Portugal),Health Workers (Portugal); SEP: Portuguese Nurses Union,,,Portugal,Lisboa,Lisboa,Lisboa,38.7224,-9.1399,1,National,0
POR2175,2024-05-15,1,Protests,Peaceful protest,Protesters (Portugal),Military Forces of Spain (2020-); Police Forces of Portugal (2024-),,,Portugal,Lisboa,Lisboa,Lisboa,38.7224,-9.1399,1,National,0
POR2222,2024-06-21,1,Protests,Peaceful protest,Protesters (Portugal),BE: Left Bloc; Labor Group (Portugal); PCP: Portuguese Communist Party,,,Portugal,Lisboa,Lisboa,Lisboa,38.7224,-9.1399,1,National,0
POR2230,2024-07-03,1,Protests,Peaceful protest,Protesters (Portugal),CDU: Unitary Democratic Coalition; Government of Portugal (2024-),,,Portugal,Portalegre,Portalegre,Portalegre,39.3003,-7.4377,1,National,0
POR2240,2024-07-03,1,Protests,Peaceful protest,Protesters (Portugal),Labor Group (Portugal),,,Portugal,Setubal,Barreiro,Barreiro,38.6641,-9.0757,1,National,0
POR2238,2024-07-09,1,Protests,Peaceful protest,Protesters (Portugal),Health Workers (Portugal); SEP: Portuguese Nurses Union,,,Portugal,Lisboa,Lisboa,Lisboa,38.7224,-9.1399,1,National,0
POR2237,2024-07-12,1,Protests,Peaceful protest,Protesters (Portugal),FNSTFPS: National Federation of Public and Social Workers' Unions; Labor Group (Portugal); Teachers (Portugal),,,Portugal,Lisboa,Lisboa,Lisboa,38.7224,-9.1399,1,National,0
POR2245,2024-07-18,1,Protests,Peaceful protest,Protesters (Portugal),CGTP: General Confederation of Portuguese Workers; Labor Group (Portugal),,,Portugal,Lisboa,Lisboa,Lisboa,38.7224,-9.1399,1,National,0
POR2250,2024-07-24,1,Protests,Peaceful protest,Protesters (Portugal),,,,Portugal,Porto,Porto,Porto,41.1574,-8.6295,1,National,0
POR2271,2024-08-15,1,Protests,Peaceful protest,Protesters (Venezuela),Protesters (Portugal); Venezuelan Group (Portugal),,,Portugal,Madeira,Funchal,Funchal,32.6492,-16.9066,1,National,0
POR2287,2024-09-13,1,Protests,Peaceful protest,Protesters (Portugal),Labor Group (Portugal),,,Portugal,Lisboa,Lisboa,Lisboa,38.7224,-9.1399,1,National,0
POR2292,2024-09-17,1,Protests,Peaceful protest,Protesters (Portugal),Climaximo,,,Portugal,Aveiro,Aveiro,Aveiro,40.6405,-8.6538,1,National,0
POR2294,2024-09-19,1,Protests,Peaceful protest,Protesters (Portugal),STOP: All Teachers Union; Teachers (Portugal),,,Portugal,Lisboa,Lisboa,Lisboa,38.7224,-9.1399,1,National,0
POR2309,2024-09-24,1,Protests,Peaceful protest,Protesters (Portugal),Health Workers (Portugal),,,Portugal,Lisboa,Lisboa,Lisboa,38.7224,-9.1399,1,National,0
POR2317,2024-10-04,1,Protests,Peaceful protest,Protesters (Portugal),FNSTFPS: National Federation of Public and Social Workers' Unions; Labor Group (Portugal),,,Portugal,Lisboa,Lisboa,Lisboa,38.7224,-9.1399,1,National,0
POR1913,2024-01-01,1,Protests,Peaceful protest,Protesters (Portugal),Students (Portugal),,,Portugal,Lisboa,Oeiras,Oeiras,38.6935,-9.3119,1,National,0
POR1917,2024-01-09,1,Protests,Peaceful protest,Protesters (Portugal),Health Workers (Portugal),,,Portugal,Santarem,Santarem,Santarem,39.2364,-8.6867,1,National,0
POR1918,2024-01-10,1,Protests,Peaceful protest,Protesters (Portugal),Journalists (Portugal); Labor Group (Portugal),,,Portugal,Porto,Porto,Porto,41.1574,-8.6295,1,National,0
POR1919,2024-01-10,1,Protests,Peaceful protest,Protesters (Portugal),Former Government of Portugal (2015-2024); Journalists (Portugal); Labor Group (Portugal); Lawyers (Portugal); PCP: Portuguese Communist Party; Police Forces of Portugal (2015-2024); PS: Socialist Party (Portugal),,,Portugal,Lisboa,Lisboa,Lisboa,38.7224,-9.1399,1,National,0
POR1920,2024-01-07,1,Protests,Peaceful protest,Protesters (Portugal),Police Forces of Portugal (2015-2024),,,Portugal,Lisboa,Lisboa,Lisboa,38.7224,-9.1399,1,National,0
POR1921,2024-01-07,1,Protests,Peaceful protest,Protesters (Portugal),Police Forces of Portugal (2015-2024),,,Portugal,Porto,Porto,Porto,41.1574,-8.6295,1,National,0
POR1922,2024-01-11,1,Protests,Peaceful protest,Protesters (Portugal),Police Forces of Portugal (2015-2024),,,Portugal,Coimbra,Coimbra,Coimbra,40.2105,-8.4286,1,Subnational,0
POR1923,2024-01-12,1,Protests,Peaceful protest,Protesters (Portugal),Police Forces of Portugal (2015-2024),,,Portugal,Faro,Portimao,Portimao,37.1322,-8.539,1,National,0
POR1924,2024-01-09,1,Protests,Peaceful protest,Protesters (Portugal),Military Forces of Portugal (2015-2024); Police Forces of Portugal (2015-2024),,,Portugal,Leiria,Leiria,Leiria,39.7429,-8.8068,1,Subnational,0
POR1925,2024-01-09,1,Protests,Peaceful protest,Protesters (Portugal),Military Forces of Portugal (2015-2024); Police Forces of Portugal (2015-2024),,,Portugal,Coimbra,Coimbra,Coimbra,40.2105,-8.4286,1,Subnational,0
POR1926,2024-01-11,1,Protests,Peaceful protest,Protesters (Portugal),Military Forces of Portugal (2015-2024); Police Forces of Portugal (2015-2024),,,Portugal,Braga,Braga,Braga,41.5511,-8.428,1,National,0
POR1927,2024-01-11,1,Protests,Peaceful protest,Protesters (Portugal),Military Forces of Portugal (2015-2024); Police Forces of Portugal (2015-2024),,,Portugal,Lisboa,Lisboa,Lisboa,38.7224,-9.1399,1,National,0
POR1928,2024-01-11,1,Protests,Peaceful protest,Protesters (Portugal),Military Forces of Portugal (2015-2024); Police Forces of Portugal (2015-2024),,,Portugal,Porto,Porto,Porto,41.1574,-8.6295,1,National,0
POR1929,2024-01-11,1,Protests,Peaceful protest,Protesters (Portugal),Military Forces of Portugal (2015-2024); Police Forces of Portugal (2015-2024),,,Portugal,Porto,Matosinhos,Matosinhos,41.1833,-8.6837,1,National,0
POR1930,2024-01-11,1,Protests,Peaceful protest,Protesters (Portugal),Military Forces of Portugal (2015-2024); Police Forces of Portugal (2015-2024),,,Portugal,Porto,Vila Nova de Gaia,Vila Nova de Gaia,41.13,-8.6058,1,National,0
POR1932,2024-01-11,1,Protests,Peaceful protest,Protesters (Portugal),Military Forces of Portugal (2015-2024); Police Forces of Portugal (2015-2024),,,Portugal,Castelo Branco,Castelo Branco,Castelo Branco,39.8254,-7.4951,1,National,0
POR1933,2024-01-11,1,Protests,Peaceful protest,Protesters (Portugal),Military Forces of Portugal (2015-2024); Police Forces of Portugal (2015-2024),,,Portugal,Aveiro,Espinho,Espinho,41.0079,-8.6407,1,National,0
POR1934,2024-01-11,1,Protests,Peaceful protest,Protesters (Portugal),Military Forces of Portugal (2015-2024); Police Forces of Portugal (2015-2024),,,Portugal,Porto,Gondomar,Gondomar,41.1398,-8.5326,1,National,0
POR1935,2024-01-11,1,Protests,Peaceful protest,Protesters (Portugal),Military Forces of Portugal (2015-2024); Police Forces of Portugal (2015-2024),,,Portugal,Faro,Olhao,Olhao,37.027,-7.8412,1,National,0
POR1936,2024-01-11,1,Protests,Peaceful protest,Protesters (Portugal),Military Forces of Portugal (2015-2024); Police Forces of Portugal (2015-2024),,,Portugal,Faro,Tavira,Tavira,37.1263,-7.65,1,National,0
POR1937,2024-01-11,1,Protests,Peaceful protest,Protesters (Portugal),Military Forces of Portugal (2015-2024); Police Forces of Portugal (2015-2024),,,Portugal,Faro,Faro,Faro,37.0132,-7.9328,1,National,0
POR1938,2024-01-10,1,Protests,Peaceful protest,Protesters (Portugal),Military Forces of Portugal (2015-2024); Police Forces of Portugal (2015-2024),,,Portugal,Santarem,Santarem,Santarem,39.2364,-8.6867,1,Subnational,0
POR1939,2024-01-12,1,Protests,Peaceful protest,Protesters (Portugal),Military Forces of Portugal (2015-2024); Police Forces of Portugal (2015-2024),,,Portugal,Lisboa,Sintra,Queluz,38.7604,-9.256,1,National,0
