event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
SYR18279,2018-01-04,1,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-),,Civilians (Syria),,Syria,Rural Damascus,Duma,Duma,33.5706,36.4046,1,Other,10
SYR18305,2018-01-04,1,Explosions/Remote violence,Air/drone strike,Allied Syrian and/or Russian Forces,,,,Syria,Idleb,Al Mara,Tah,35.5407,36.7264,1,Local partner-New media,0
SYR18293,2018-01-04,1,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-),,Civilians (Syria),,Syria,Rural Damascus,Duma,Misraba,33.5503,36.4005,1,Other-National,20
SYR18282,2018-01-04,1,Violence against civilians,Attack,Opposition Rebels (Syria),,Civilians (Syria),Women (Syria),Syria,Idleb,Idleb,Foah,35.982,36.7036,1,Other,1
SYR42330,2018-01-04,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Syria),,,,Syria,Idleb,Harim,Dana,36.2125,36.77,1,Local partner-Other,0
SYR42336,2018-01-04,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Syria),,,,Syria,Idleb,Harim,Sarmada,36.1866,36.7239,1,Local partner-Other,0
SYR54989,2018-01-04,3,Battles,Armed clash,Unidentified Armed Group (Syria),,Al Sham Corps,,Syria,Aleppo,Jebel Saman,Atareb,36.1379,36.8284,1,Local partner-Other,1
SYR18234,2018-01-03,1,Explosions/Remote violence,Air/drone strike,Allied Syrian and/or Russian Forces,,Civilians (Syria),,Syria,Idleb,Idleb,Khan al-Sabeel,35.7552,36.756,1,Local partner-New media,7
SYR18266,2018-01-03,1,Explosions/Remote violence,Air/drone strike,Allied Syrian and/or Russian Forces,,,,Syria,Idleb,Al Mara,Wadi al-Dayf Army Base,35.6444,36.702,2,Other,0
SYR18227,2018-01-03,1,Battles,Armed clash,Khalid ibn al Walid Army,,Opposition Rebels (Syria),Islamist Militia (Syria),Syria,Dara,Dara,Jlein,32.7579,35.9943,1,Other,0
SYR54983,2018-01-03,1,Violence against civilians,Attack,QSD: Syrian Democratic Forces,,Civilians (Syria),Farmers (Syria),Syria,Ar Raqqa,Ath Thawrah,Hunaida,35.8383,38.7109,1,Local partner-Other,1
SYR18195,2018-01-03,1,Battles,Armed clash,Khalid ibn al Walid Army,,Opposition Rebels (Syria),Islamist Militia (Syria),Syria,Dara,Izra,Adwan,32.8212,35.9951,2,Other,0
SYR18221,2018-01-03,1,Explosions/Remote violence,Shelling/artillery/missile attack,Islamist Militia (Syria),,,,Syria,Dara,Dara,Hit,32.7531,35.9131,2,Other,0
SYR18198,2018-01-03,1,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Syria),,,,Syria,Aleppo,Jebel Saman,Aleppo - Al-Khaldiya,36.2294,37.1175,1,Other,0
SYR18258,2018-01-03,1,Battles,Armed clash,Khalid ibn al Walid Army,,Opposition Rebels (Syria),Islamist Militia (Syria),Syria,Dara,Izra,Sheikh Saed,32.8375,36.0359,1,Other,0
SYR18254,2018-01-03,1,Battles,Armed clash,Khalid ibn al Walid Army,,Opposition Rebels (Syria),Islamist Militia (Syria),Syria,Dara,Dara,Sahm El Golan,32.7826,35.9354,1,Other,0
SYR18207,2018-01-03,1,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Syria),,,,Syria,Damascus,Damascus,Damascus - Barzeh,33.5518,36.3148,1,Other-National,0
SYR18208,2018-01-03,1,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Syria),,,,Syria,Damascus,Damascus,Damascus - Dummar,33.5273,36.2467,1,Other-National,0
SYR18194,2018-01-03,1,Battles,Armed clash,Unidentified Armed Group (Syria),,QSD: Syrian Democratic Forces,,Syria,Deir ez Zor,Abu Kamal,Abu Hamam,34.8351,40.6682,2,Other,3
SYR18236,2018-01-03,1,Explosions/Remote violence,Air/drone strike,Allied Syrian and/or Russian Forces,,,,Syria,Idleb,Al Mara,Maar Shurin,35.6662,36.7263,2,Other,0
SYR18239,2018-01-03,1,Explosions/Remote violence,Air/drone strike,Allied Syrian and/or Russian Forces,,,,Syria,Idleb,Idleb,Maar Dibsi,35.7774,36.7694,1,Other,0
SYR18260,2018-01-03,1,Explosions/Remote violence,Air/drone strike,Allied Syrian and/or Russian Forces,,,,Syria,Idleb,Al Mara,Tah,35.5407,36.7264,1,Other,0
SYR18253,2018-01-03,1,Explosions/Remote violence,Air/drone strike,Allied Syrian and/or Russian Forces,,,,Syria,Aleppo,Jebel Saman,Rasm Eliss,35.9647,36.921,1,Other,0
SYR42325,2018-01-03,1,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-),,,,Syria,Idleb,Idleb,Maar Dibsi,35.7774,36.7694,1,Local partner-Other,0
