event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
GAB196,2018-12-27,1,Riots,Violent demonstration,Rioters (Gabon),SOGATRA: Gabonese Transport Society; Labor Group (Gabon),Civilians (Gabon),,Gabon,Estuaire,Libreville,Libreville,0.3901,9.4544,1,National,0
GAB203,2018-10-28,1,Protests,Peaceful protest,Protesters (Gabon),,,,Gabon,Estuaire,Libreville,Libreville,0.3901,9.4544,1,National,0
GAB181,2018-06-16,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Gabon),,Civilians (Gabon),MPR: Popular Radical Movement,Gabon,Ogooue-Maritime,Bendje,Port Gentil,-0.7167,8.7833,1,National,0
GAB163,2018-02-05,1,Protests,Peaceful protest,Protesters (Gabon),Taxi Drivers (Gabon),,,Gabon,Estuaire,Libreville,Libreville,0.3901,9.4544,1,International,0
GAB173,2018-05-01,1,Protests,Peaceful protest,Protesters (Gabon),Journalists (Gabon),,,Gabon,Estuaire,Libreville,Libreville,0.3901,9.4544,1,National,0
GAB188,2018-11-23,1,Protests,Peaceful protest,Protesters (Gabon),,,,Gabon,Estuaire,Libreville,Libreville,0.3901,9.4544,1,International,0
GAB170,2018-04-13,1,Protests,Peaceful protest,Protesters (Gabon),SNEC: National Union of Teachers and Researchers,,,Gabon,Estuaire,Libreville,Libreville,0.3901,9.4544,1,National,0
GAB187,2018-08-14,1,Violence against civilians,Abduction/forced disappearance,Pirates (Gabon),,Civilians (International),Civilians (Georgia),Gabon,Ogooue-Maritime,Bendje,Port Gentil,-0.7167,8.7833,3,International,0
GAB185,2018-07-27,1,Protests,Peaceful protest,Protesters (Gabon),SYNAPS: National Union of Health Personnel; SYNAGREF: National Union of Clerks; SENA: National Education Union; SYNAMONPS: National Union of Non-Permanent Health Workers; SYNACNAMGS: National Union of the National Health Insurance and Social Security Fund; Teachers (Gabon); Health Workers (Gabon),,,Gabon,Estuaire,Libreville,Libreville,0.3901,9.4544,1,National,0
GAB184,2018-07-23,1,Protests,Peaceful protest,Protesters (Gabon),Labor Group (Gabon),,,Gabon,Ogooue-Maritime,Ndougou,Gamba,-2.65,10.0,1,National,0
