event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
USA63447,2024-01-01,1,Protests,Peaceful protest,Protesters (International),Migrants (International),,,United States,Colorado,Denver,Denver,39.7392,-104.991,1,Subnational,0
USA63450,2024-01-01,1,Protests,Peaceful protest,Protesters (United States),,Protesters (United States),,United States,Colorado,El Paso,Colorado Springs,38.8342,-104.8214,1,Subnational,0
USA63466,2024-01-01,1,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter; African American Group (United States); NAACP: National Association for the Advancement of Colored People,,,United States,Indiana,St. Joseph,South Bend,41.6763,-86.2502,1,Subnational,0
USA63473,2024-01-02,1,Protests,Peaceful protest,Protesters (United States),LGBTQ+ (United States); Women (United States),,,United States,Illinois,Cook,Chicago - Central,41.8757,-87.6243,1,Subnational,0
USA63476,2024-01-03,1,Protests,Peaceful protest,Protesters (United States),,,,United States,Kentucky,Nelson,Bardstown,37.8092,-85.4669,1,Subnational,0
USA63477,2024-01-03,1,Protests,Peaceful protest,Protesters (United States),"AFSCME: American Federation of State, County and Municipal Employees; Labor Group (United States)",,,United States,Illinois,Sangamon,Springfield,39.7817,-89.6481,1,Subnational,0
USA63479,2024-01-04,1,Protests,Peaceful protest,Protesters (United States),Labor Group (United States),,,United States,Missouri,Jackson,Kansas City,39.1013,-94.5789,1,Subnational,0
USA63480,2024-01-03,1,Protests,Peaceful protest,Protesters (United States),,,,United States,Illinois,Cook,Wilmette,42.0722,-87.7228,1,Subnational,0
USA63483,2024-01-03,1,Protests,Peaceful protest,Protesters (United States),SDS: Students for a Democratic Society; Students (United States),,,United States,Texas,Travis,Austin,30.2747,-97.7405,1,Other,0
USA63485,2024-01-04,1,Protests,Peaceful protest,Protesters (United States),SJP: Students for Justice in Palestine; Students (United States),,,United States,Illinois,Cook,Chicago - West Side,41.8758,-87.6866,1,Subnational,0
USA63491,2024-01-03,1,Riots,Mob violence,Rioters (United States),,Civilians (United States),Palestinian Group (United States),United States,Illinois,Cook,Orland Park,41.6303,-87.8525,1,Subnational,0
USA63494,2024-01-04,1,Protests,Peaceful protest,Protesters (United States),CAIR: Council on American-Islamic Relations; Muslim Group (United States),,,United States,Illinois,Cook,Chicago - Central,41.8757,-87.6243,1,Subnational,0
USA63568,2024-01-02,1,Protests,Peaceful protest,Protesters (United States),,,,United States,Florida,Broward,Fort Lauderdale,26.1223,-80.1378,1,Subnational,0
USA63573,2024-01-03,1,Protests,Peaceful protest,Protesters (United States),Sierra Club,,,United States,Florida,Alachua,Gainesville,29.6524,-82.3266,1,Subnational,0
USA63594,2024-01-01,1,Protests,Peaceful protest,Protesters (United States),,,,United States,Kentucky,Jefferson,Louisville,38.2542,-85.7594,1,Subnational,0
USA63597,2024-01-01,1,Protests,Peaceful protest,Protesters (United States),,,,United States,Texas,Bexar,San Antonio,29.4278,-98.4875,1,Subnational,0
USA63668,2024-01-01,1,Protests,Peaceful protest,Protesters (United States),,,,United States,New York,New York,New York - Manhattan,40.7834,-73.9663,1,Subnational-Regional,0
USA63674,2024-01-02,1,Protests,Peaceful protest,Protesters (United States),,,,United States,Maine,Cumberland,Portland,43.6574,-70.2589,1,Subnational,0
USA63680,2024-01-02,1,Protests,Peaceful protest,Protesters (United States),,,,United States,Connecticut,Fairfield,Bridgeport,41.1796,-73.1912,1,Subnational,0
USA63686,2024-01-03,1,Protests,Peaceful protest,Protesters (United States),,,,United States,Maine,York,Saco,43.5009,-70.4428,1,Subnational,0
USA63698,2024-01-03,1,Protests,Peaceful protest,Protesters (United States),MGSC: Maine Gun Safety Coalition,,,United States,Maine,Kennebec,Augusta,44.3106,-69.7794,1,Subnational,0
USA63709,2024-01-03,1,Protests,Peaceful protest,Protesters (United States),,,,United States,Vermont,Washington,Montpelier,44.2626,-72.5806,1,Subnational,0
USA63712,2024-01-04,1,Protests,Peaceful protest,Protesters (United States),CASA; Latin American Group (United States),,,United States,New York,Bronx,New York - Bronx,40.8451,-73.8649,1,Subnational,0
USA63715,2024-01-04,1,Protests,Peaceful protest,Protesters (United States),Protestant Christian Group (United States),,,United States,New York,New York,New York - Manhattan,40.7834,-73.9663,1,Subnational,0
USA63731,2024-01-04,1,Protests,Peaceful protest,Protesters (United States),518 SNUG,,,United States,New York,Albany,Albany,42.6504,-73.7591,1,Subnational,0
USA63737,2024-01-04,1,Protests,Peaceful protest,Protesters (United States),UAW: United Automobile Workers; Labor Group (United States),,,United States,New York,Bronx,New York - Bronx,40.8451,-73.8649,1,Other,0
USA63740,2024-01-05,1,Protests,Peaceful protest,Protesters (United States),,,,United States,New York,Kings,New York - Brooklyn,40.6904,-73.9862,1,Subnational,0
USA63749,2024-01-02,1,Strategic developments,Looting/property destruction,Sole Perpetrator (United States),,Civilians (United States),LGBTQ+ (United States),United States,Vermont,Grand Isle,Isle La Motte,44.8765,-73.3389,1,Subnational,0
USA63752,2024-01-05,1,Protests,Peaceful protest,Protesters (United States),,,,United States,New York,Queens,New York - Queens,40.7308,-73.7958,1,Subnational,0
USA64107,2024-01-04,1,Protests,Peaceful protest,Protesters (United States),,,,United States,Virginia,Arlington,Arlington,38.8802,-77.1063,1,Subnational-International,0
USA64110,2024-01-02,1,Protests,Peaceful protest,Protesters (United States),LGBTQ+ (United States),,,United States,Maryland,Baltimore City,Baltimore,39.2903,-76.6121,1,Subnational-National,0
USA64119,2024-01-02,1,Protests,Peaceful protest,Protesters (United States),Muslim Group (United States); Christian Group (United States),,,United States,West Virginia,Kanawha,Charleston,38.3489,-81.6322,1,Subnational,0
USA64198,2024-01-04,1,Protests,Peaceful protest,Protesters (United States),,,,United States,New Mexico,Bernalillo,Albuquerque,35.0844,-106.6511,1,Subnational,0
USA64202,2024-01-05,1,Protests,Peaceful protest,Protesters (United States),African American Group (United States),,,United States,California,Sacramento,Sacramento,38.5799,-121.4962,1,Subnational,0
USA64206,2024-01-04,1,Protests,Peaceful protest,Protesters (United States),,,,United States,California,Riverside,Palm Springs,33.8306,-116.5471,1,Subnational,0
USA64212,2024-01-01,1,Protests,Peaceful protest,Protesters (United States),Latin American Group (United States); JVP: Jewish Voice for Peace; Jewish Group (United States); Muslim Group (United States); Protestant Christian Group (United States); Palestinian Group (United States); SJP: Students for Justice in Palestine; Students (United States),,,United States,California,Los Angeles,Pasadena,34.1416,-118.1502,1,Subnational,0
USA64216,2024-01-01,1,Protests,Peaceful protest,Protesters (United States),,,,United States,California,San Francisco,San Francisco,37.7793,-122.4193,1,Subnational,0
USA64220,2024-01-04,1,Protests,Peaceful protest,Protesters (United States),NNU: National Nurses United; Health Workers (United States),,,United States,California,Los Angeles,Lancaster,34.6866,-118.1536,1,Subnational,0
USA64228,2024-01-03,1,Protests,Peaceful protest,Protesters (United States),JVP: Jewish Voice for Peace; Jewish Group (United States); IfNotNow,,,United States,California,Sacramento,Sacramento,38.5799,-121.4962,1,Subnational-National,0
USA64232,2024-01-03,1,Protests,Peaceful protest,Protesters (United States),Students (United States),,,United States,California,Alameda,Berkeley,37.8715,-122.273,1,Subnational,0
USA64240,2024-01-01,1,Protests,Peaceful protest,Protesters (United States),African American Group (United States); Christian Group (United States); BLM: Black Lives Matter,,,United States,California,Los Angeles,Lancaster,34.6866,-118.1536,1,Subnational,0
USA64309,2024-01-07,1,Protests,Peaceful protest,Protesters (United States),Students (United States); Labor Group (United States); SWU: Starbucks Workers United; SEIU: Service Employees International Union,,,United States,Washington,King,Seattle,47.6056,-122.333,1,Subnational,0
USA64310,2024-01-06,1,Protests,Peaceful protest,Protesters (United States),GPUS: Green Party of the United States; JVP: Jewish Voice for Peace; Jewish Group (United States); Palestinian Group (United States),,,United States,Washington,King,Seattle,47.6056,-122.333,1,Other-Subnational,0
USA64313,2024-01-06,1,Protests,Peaceful protest,Protesters (United States),Palestinian Group (United States),,,United States,Idaho,Ada,Garden City,43.6221,-116.2382,1,Subnational,0
USA64315,2024-01-11,1,Protests,Peaceful protest,Protesters (United States),Students (United States); Labor Group (United States),,,United States,Oregon,Lane,Eugene,44.052,-123.0867,1,Subnational,0
USA64316,2024-01-12,1,Protests,Peaceful protest,Protesters (United States),Palestinian Group (United States); PSL: Party for Socialism and Liberation,,,United States,Washington,King,Seattle,47.6056,-122.333,1,Subnational-International,0
USA64322,2024-01-06,1,Protests,Peaceful protest,Protesters (United States),,,,United States,Michigan,Alcona,Harrisville,44.6564,-83.2947,1,Subnational,0
USA64323,2024-01-08,1,Protests,Peaceful protest,Protesters (United States),March for Our Lives; Students (United States),,,United States,Iowa,Johnson,Iowa City,41.6608,-91.5304,1,Subnational,0
USA64324,2024-01-08,1,Protests,Peaceful protest,Protesters (United States),,,,United States,Texas,Dallas,Dallas,32.7792,-96.8004,1,Other,0
USA64329,2024-01-10,1,Protests,Peaceful protest,Protesters (United States),Jewish Group (United States),,,United States,Missouri,St. Louis,Clayton,38.6425,-90.3233,1,Subnational,0
USA64331,2024-01-08,1,Protests,Peaceful protest,Protesters (United States),Students (United States),,,United States,Missouri,Greene,Springfield,37.208,-93.2903,1,Subnational,0
USA64332,2024-01-07,1,Protests,Peaceful protest,Protesters (United States),Native American Group (United States),,,United States,Texas,Travis,Austin,30.2747,-97.7405,1,Subnational,0
USA64333,2024-01-11,1,Protests,Peaceful protest,Protesters (United States),PSL: Party for Socialism and Liberation,,,United States,Texas,Bexar,San Antonio,29.4278,-98.4875,1,Subnational,0
USA64335,2024-01-10,1,Protests,Peaceful protest,Protesters (United States),,,,United States,Texas,Nueces,Corpus Christi,27.8006,-97.3964,1,Subnational,0
USA64336,2024-01-06,1,Protests,Peaceful protest,Protesters (United States),,,,United States,Kentucky,Madison,Berea,37.5687,-84.2963,1,Subnational,0
USA64337,2024-01-07,1,Protests,Peaceful protest,Protesters (United States),AWC: Anti-War Committee,,,United States,Wisconsin,Brown,Green Bay,44.5192,-88.0198,1,Other,0
USA64344,2024-01-10,1,Protests,Peaceful protest,Protesters (United States),IBT: International Brotherhood of Teamsters; Labor Group (United States),,,United States,Indiana,Marion,Indianapolis,39.7686,-86.158,1,Subnational,0
