event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
QAT17,2021-05-06,1,Protests,Peaceful protest,Protesters (International),Labor Group (International),,,Qatar,Al Khor,,Al Khor,25.6804,51.4972,1,National,0
QAT20,2021-05-07,1,Protests,Peaceful protest,Protesters (International),Labor Group (International),,,Qatar,Al Khor,,Al Khor,25.6804,51.4972,1,National,0
QAT14,2021-05-05,1,Protests,Peaceful protest,Protesters (International),Labor Group (International),,,Qatar,Al Khor,,Al Khor,25.6804,51.4972,1,National,0
QAT16,2021-05-05,1,Protests,Peaceful protest,Protesters (International),Labor Group (International),,,Qatar,Umm Salal,,Umm Salal Ali,25.4697,51.3975,2,National,0
QAT19,2021-05-06,1,Protests,Peaceful protest,Protesters (International),Labor Group (International),,,Qatar,Umm Salal,,Umm Salal Ali,25.4697,51.3975,2,National,0
QAT22,2021-05-07,1,Protests,Peaceful protest,Protesters (International),Labor Group (International),,,Qatar,Umm Salal,,Umm Salal Ali,25.4697,51.3975,2,National,0
QAT11,2021-05-12,1,Protests,Peaceful protest,Protesters (Qatar),Protesters (International),,,Qatar,Ad Dawnah,,Doha,25.2793,51.5225,1,Regional,0
QAT12,2021-03-26,1,Protests,Peaceful protest,Protesters (International),Labor Group (International),,,Qatar,Ad Dawnah,,Doha,25.2793,51.5225,1,National,0
QAT13,2021-04-26,1,Protests,Peaceful protest,Protesters (International),Labor Group (International),,,Qatar,Ad Dawnah,,Doha,25.2793,51.5225,1,National,0
QAT25,2021-05-05,1,Strategic developments,Arrests,Police Forces of Qatar (2013-),,Civilians (Kenya),Labor Group (Kenya),Qatar,Ad Dawnah,,Doha,25.2793,51.5225,1,Regional,0
QAT26,2021-05-15,1,Protests,Peaceful protest,Protesters (Qatar),Hamas Movement,,,Qatar,Ad Dawnah,,Doha,25.2793,51.5225,1,National,0
QAT27,2021-05-11,1,Protests,Peaceful protest,Protesters (Qatar),,,,Qatar,Ad Dawnah,,Doha,25.2793,51.5225,1,National,0
QAT30,2021-08-09,1,Strategic developments,Arrests,Police Forces of Qatar (2013-),,Civilians (Qatar),Al Murrah Tribal Group (Qatar),Qatar,Ad Dawnah,,Doha,25.2793,51.5225,3,New media-Regional,0
QAT31,2021-08-09,1,Protests,Peaceful protest,Protesters (Qatar),Al Murrah Tribal Group (Qatar),,,Qatar,Ad Dawnah,,Doha,25.2793,51.5225,1,New media-Regional,0
QAT32,2021-08-25,1,Strategic developments,Other,Military Forces of Qatar (2013-),,,,Qatar,Ad Dawnah,,Doha,25.2793,51.5225,3,Regional,0
QAT29,2021-06-15,3,Strategic developments,Change to group/activity,Military Forces of the United States (2021-2025),,,,Qatar,Ar Rayyan,,As Sailiyah,25.2136,51.3731,2,Regional,0
QAT15,2021-05-05,1,Protests,Peaceful protest,Protesters (International),Labor Group (International),,,Qatar,Ar Rayyan,,Abu Nakhla,25.1202,51.3262,1,National,0
QAT18,2021-05-06,1,Protests,Peaceful protest,Protesters (International),Labor Group (International),,,Qatar,Ar Rayyan,,Abu Nakhla,25.1202,51.3262,1,National,0
QAT21,2021-05-07,1,Protests,Peaceful protest,Protesters (International),Labor Group (International),,,Qatar,Ar Rayyan,,Abu Nakhla,25.1202,51.3262,1,National,0
