event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
JPN1827,2019-12-29,1,Protests,Peaceful protest,Protesters (Japan),,,,Japan,Kanagawa,Yokohama,Yokohama,35.4456,139.637,1,National,0
JPN1821,2019-12-27,1,Protests,Peaceful protest,Protesters (Japan),,,,Japan,Tokyo,Chiyoda,Tokyo - Chiyoda,35.6876,139.7547,1,National,0
JPN1802,2019-12-22,1,Protests,Peaceful protest,Protesters (Japan),Students (Japan),,,Japan,Tokyo,Shibuya,Tokyo - Shibuya,35.6668,139.6927,1,National,0
JPN1805,2019-12-22,1,Protests,Peaceful protest,Protesters (Japan),AEQUITAS; Labor Group (Japan),,,Japan,Tokyo,Shibuya,Tokyo - Shibuya,35.6668,139.6927,1,National,0
JPN1798,2019-12-21,1,Protests,Peaceful protest,Protesters (Japan),Labor Group (Japan),,,Japan,Iwate,Ichinoseki,Ichinoseki,38.9339,141.1852,1,National,0
JPN1797,2019-12-21,1,Protests,Peaceful protest,Protesters (Japan),,,,Japan,Tokyo,Shibuya,Tokyo - Shibuya,35.6668,139.6927,1,National,0
JPN1791,2019-12-20,1,Protests,Peaceful protest,Protesters (Japan),Nouminren: Japan Family Farmers Movement; Farmers (Japan),,,Japan,Tokyo,Chiyoda,Tokyo - Chiyoda,35.6876,139.7547,1,National,0
JPN1792,2019-12-20,1,Protests,Peaceful protest,Protesters (Japan),,,,Japan,Kanagawa,Yokohama,Yokohama,35.4456,139.637,1,National,0
JPN1789,2019-12-20,1,Protests,Peaceful protest,Protesters (Japan),,,,Japan,Tokyo,Chiyoda,Tokyo - Chiyoda,35.6876,139.7547,1,National,0
JPN1795,2019-12-20,1,Protests,Peaceful protest,Protesters (Japan),,,,Japan,Okinawa,Chatan,Chatan,26.3213,127.7645,1,Subnational,0
JPN1788,2019-12-20,1,Protests,Peaceful protest,Protesters (Japan),,,,Japan,Kagoshima,Kagoshima,Kagoshima,31.5667,130.55,1,National,0
JPN1784,2019-12-19,1,Protests,Peaceful protest,Protesters (Japan),,,,Japan,Tokyo,Shinjuku,Tokyo - Shinjuku,35.7011,139.709,1,National,0
JPN1777,2019-12-18,1,Protests,Peaceful protest,Protesters (Japan),,,,Japan,Kanagawa,Yokohama,Yokohama,35.4456,139.637,1,National,0
JPN1773,2019-12-17,1,Protests,Peaceful protest,Protesters (Japan),,,,Japan,Kanagawa,Yokohama,Yokohama,35.4456,139.637,1,National,0
JPN1770,2019-12-15,1,Protests,Peaceful protest,Protesters (Japan),,,,Japan,Tokyo,Chiyoda,Tokyo - Chiyoda,35.6876,139.7547,1,National,0
