event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
GUI959,2018-09-14,1,Protests,Excessive force against protesters,Protesters (Guinea),,Police Forces of Guinea (2010-2021),,Guinea,Kankan,Mandiana,Mandiana,10.6258,-8.6941,1,National,1
GUI909,2018-02-26,1,Protests,Protest with intervention,Protesters (Guinea),Women (Guinea),Police Forces of Guinea (2010-2021),,Guinea,Kankan,Siguiri,Siguiri,11.4167,-9.1665,1,National,0
GUI1002,2018-11-27,1,Protests,Peaceful protest,Protesters (Guinea),Students (Guinea),,,Guinea,Kindia,Dubreka,Dubreka,9.7911,-13.5233,1,National,0
GUI1004,2018-11-27,1,Protests,Peaceful protest,Protesters (Guinea),Students (Guinea),,,Guinea,Kindia,Coyah,Maneah,9.7333,-13.4167,1,National,0
GUI1005,2018-11-27,1,Riots,Mob violence,Rioters (Guinea),RPG: Rally of the Guinean People,Rioters (Guinea),RPG: Rally of the Guinean People,Guinea,Kankan,Siguiri,Siguirini,11.8166,-10.05,1,National,0
GUI1006,2018-11-28,1,Battles,Armed clash,Sonala Communal Militia (Guinea),,Sananfra Communal Militia (Guinea),,Guinea,Kankan,Siguiri,Siguiri,11.4167,-9.1665,3,National,0
GUI1007,2018-11-29,1,Protests,Peaceful protest,Protesters (Guinea),Students (Guinea),,,Guinea,Nzerekore,Nzerekore,Nzerekore,7.7472,-8.8238,1,National,0
GUI1009,2018-12-03,1,Riots,Mob violence,Rioters (Guinea),,Civilians (Guinea),Students (Guinea); Teachers (Guinea),Guinea,Labe,Labe,Labe,11.3182,-12.2833,1,National,0
GUI1012,2018-12-04,1,Protests,Peaceful protest,Protesters (Guinea),SLECG: Free Union of Teachers and Researchers of Guinea; Teachers (Guinea),,,Guinea,Mamou,Pita,Pita,11.0833,-12.4,1,National,0
GUI1016,2018-12-05,2,Violence against civilians,Attack,Unidentified Armed Group (Guinea),,Civilians (Guinea),,Guinea,Labe,Labe,Daralabe,11.2249,-12.3172,1,National,0
GUI1020,2018-12-15,1,Riots,Violent demonstration,Rioters (Guinea),SLECG: Free Union of Teachers and Researchers of Guinea; Teachers (Guinea),Police Forces of Guinea (2010-2021),,Guinea,Boke,Boke,Boke,10.9409,-14.2967,1,National,0
GUI1021,2018-12-17,2,Violence against civilians,Attack,Unidentified Armed Group (Guinea),,Civilians (Guinea),Women (Guinea),Guinea,Mamou,Pita,Pita,11.0833,-12.4,2,National,1
GUI1022,2018-12-17,1,Protests,Peaceful protest,Protesters (Guinea),Women (Guinea),,,Guinea,Kankan,Siguiri,Siguiri,11.4167,-9.1665,1,National,0
GUI1029,2018-12-26,1,Riots,Violent demonstration,Rioters (Guinea),,Police Forces of Guinea (2010-2021),,Guinea,Kankan,Siguiri,Kintinian,11.6,-9.3833,1,National,0
GUI1031,2018-12-31,1,Riots,Violent demonstration,Rioters (Guinea),SLECG: Free Union of Teachers and Researchers of Guinea; Teachers (Guinea),Police Forces of Guinea (2010-2021),,Guinea,Boke,Boffa,Boffa,10.1813,-14.0381,1,National,0
GUI1032,2018-12-31,1,Riots,Violent demonstration,Rioters (Guinea),,Police Forces of Guinea (2010-2021),,Guinea,Kankan,Siguiri,Doko,11.7812,-8.9683,2,National,0
GUI1033,2018-12-31,1,Riots,Violent demonstration,Rioters (Guinea),,Police Forces of Guinea (2010-2021),,Guinea,Kankan,Siguiri,Norassoba,11.2361,-9.6801,2,National,0
GUI1034,2018-12-31,1,Riots,Violent demonstration,Rioters (Guinea),,Police Forces of Guinea (2010-2021),,Guinea,Kankan,Siguiri,Siguirini,11.8166,-10.05,2,National,0
GUI1109,2018-06-15,3,Violence against civilians,Attack,Military Forces of Guinea (2010-2021),,Civilians (Guinea),,Guinea,Kankan,Siguiri,Siguiri,11.4167,-9.1665,1,Other,2
GUI1125,2018-06-30,1,Violence against civilians,Attack,Unidentified Armed Group (Guinea),,Civilians (Guinea),Aid Workers (Guinea); UN: United Nations,Guinea,Faranah,Kissidougou,Yende,8.9598,-10.0491,2,Local partner-Other,0
GUI892,2018-01-16,1,Violence against civilians,Attack,Unidentified Armed Group (Guinea),,Civilians (Saudi Arabia),Muslim Group (Saudi Arabia),Guinea,Kankan,Kankan,Kankan,10.3854,-9.3057,2,Regional,1
GUI893,2018-01-17,1,Protests,Peaceful protest,Protesters (Guinea),Islamist Group (Guinea),,,Guinea,Kankan,Siguiri,Siguiri,11.4167,-9.1665,1,National,0
GUI895,2018-01-30,1,Protests,Peaceful protest,Protesters (Guinea),RPG: Rally of the Guinean People,,,Guinea,Kankan,Siguiri,Siguiri,11.4167,-9.1665,1,National,0
GUI897,2018-02-05,1,Riots,Mob violence,Rioters (Guinea),UFDG: Union of Democratic Forces of Guinea,Police Forces of Guinea (2010-2021),,Guinea,Kindia,Kindia,Kindia,10.07,-12.85,1,International,1
GUI898,2018-02-05,1,Riots,Violent demonstration,Rioters (Guinea),UFDG: Union of Democratic Forces of Guinea,Civilians (Guinea),,Guinea,Faranah,Dinguiraye,Kalinko,11.1167,-11.1833,1,International,5
GUI904,2018-02-12,1,Riots,Violent demonstration,Rioters (Guinea),Teachers (Guinea),Police Forces of Guinea (2010-2021),,Guinea,Nzerekore,Gueckedou,Koloma,8.35,-10.5167,1,National,0
GUI905,2018-02-05,1,Riots,Violent demonstration,Rioters (Guinea),,,,Guinea,Kindia,Dubreka,Dubreka,9.7911,-13.5233,1,National,0
GUI906,2018-02-06,1,Riots,Violent demonstration,Rioters (Guinea),,,,Guinea,Kindia,Dubreka,Dubreka,9.7911,-13.5233,1,National,0
GUI908,2018-02-22,2,Protests,Protest with intervention,Protesters (Guinea),,Police Forces of Guinea (2010-2021),,Guinea,Kankan,Siguiri,Siguiri,11.4167,-9.1665,1,National,0
GUI920,2018-03-19,1,Violence against civilians,Attack,Unidentified Armed Group (Guinea),,Civilians (Guinea),UFDG: Union of Democratic Forces of Guinea,Guinea,Kindia,Telimele,Sinta,10.7167,-13.0,1,National,1
GUI927,2018-04-16,1,Riots,Mob violence,Rioters (Guinea),,Rioters (Guinea),,Guinea,Kankan,Siguiri,Siguiri,11.4167,-9.1665,1,National,0
GUI928,2018-04-16,1,Riots,Mob violence,Rioters (Guinea),Kinienkoura Communal Group (Guinea),Rioters (Guinea),Koundianakoro Communal Group (Guinea),Guinea,Kankan,Mandiana,Balandougouba,11.3167,-8.4167,1,National,0
GUI929,2018-04-18,1,Riots,Mob violence,Rioters (Guinea),,Police Forces of Guinea (2010-2021),,Guinea,Kankan,Siguiri,Siguiri,11.4167,-9.1665,1,National,0
GUI931,2018-04-25,1,Riots,Mob violence,Rioters (Guinea),Vigilante Group (Guinea),Civilians (Guinea),,Guinea,Kankan,Siguiri,Tonson,11.7,-9.0333,1,National,2
GUI932,2018-04-28,1,Riots,Mob violence,Rioters (Guinea),Vigilante Group (Guinea),Civilians (Guinea),,Guinea,Nzerekore,Gueckedou,Gueckedou,8.5616,-10.1328,1,National,1
