event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
GUY481,2024-01-27,1,Riots,Mob violence,Rioters (Guyana),,Civilians (Guyana),Labor Group (Guyana),Guyana,Upper Demerara-Berbice,,Linden,6.0081,-58.3135,1,National,0
GUY482,2024-02-05,1,Protests,Peaceful protest,Protesters (Guyana),GTU: Guyana Teachers Union; Teachers (Guyana),,,Guyana,Demerara-Mahaica,,Georgetown,6.8025,-58.1628,1,National,0
GUY483,2024-02-05,1,Protests,Peaceful protest,Protesters (Guyana),GTU: Guyana Teachers Union; Teachers (Guyana),,,Guyana,Upper Demerara-Berbice,,Linden,6.0081,-58.3135,1,National,0
GUY484,2024-02-05,1,Protests,Peaceful protest,Protesters (Guyana),GTU: Guyana Teachers Union; Teachers (Guyana),,,Guyana,Barima-Waini,,Mabaruma,8.2014,-59.7965,1,National,0
GUY485,2024-02-05,1,Protests,Peaceful protest,Protesters (Guyana),GTU: Guyana Teachers Union; Teachers (Guyana),,,Guyana,Barima-Waini,,Port Kaituma,7.7327,-59.8806,1,National,0
GUY486,2024-02-06,1,Protests,Peaceful protest,Protesters (Guyana),GTU: Guyana Teachers Union; Teachers (Guyana),,,Guyana,Demerara-Mahaica,,Georgetown,6.8025,-58.1628,1,National,0
GUY487,2024-02-06,1,Protests,Peaceful protest,Protesters (Guyana),GTU: Guyana Teachers Union; Teachers (Guyana),,,Guyana,Upper Demerara-Berbice,,Linden,6.0081,-58.3135,1,National,0
GUY488,2024-02-06,1,Protests,Peaceful protest,Protesters (Guyana),GTU: Guyana Teachers Union; Teachers (Guyana),,,Guyana,Barima-Waini,,Mabaruma,8.2014,-59.7965,1,National,0
GUY489,2024-02-06,1,Protests,Peaceful protest,Protesters (Guyana),GTU: Guyana Teachers Union; Teachers (Guyana),,,Guyana,Mahaica-Berbice,,No. 2,6.3001,-57.5485,1,National,0
GUY490,2024-02-06,1,Protests,Peaceful protest,Protesters (Guyana),GTU: Guyana Teachers Union; Teachers (Guyana),,,Guyana,Mahaica-Berbice,,No. 3,6.3079,-57.5531,1,National,0
GUY493,2024-02-07,1,Protests,Peaceful protest,Protesters (Guyana),GTU: Guyana Teachers Union; Teachers (Guyana),,,Guyana,Upper Demerara-Berbice,,Linden,6.0081,-58.3135,1,National,0
GUY494,2024-02-07,1,Protests,Peaceful protest,Protesters (Guyana),GTU: Guyana Teachers Union; Teachers (Guyana),,,Guyana,Barima-Waini,,Mabaruma,8.2014,-59.7965,1,National,0
GUY495,2024-02-07,1,Protests,Peaceful protest,Protesters (Guyana),GTU: Guyana Teachers Union; Teachers (Guyana),,,Guyana,East Berbice-Corentyne,,New Amsterdam,6.2479,-57.5171,1,National,0
GUY496,2024-02-07,1,Protests,Peaceful protest,Protesters (Guyana),GTU: Guyana Teachers Union; Teachers (Guyana),,,Guyana,Barima-Waini,,Port Kaituma,7.7327,-59.8806,1,National,0
GUY497,2024-02-07,1,Protests,Peaceful protest,Protesters (Guyana),GTU: Guyana Teachers Union; Teachers (Guyana),,,Guyana,Barima-Waini,,Santa Rosa,7.6482,-58.9471,1,National,0
GUY498,2024-02-08,1,Protests,Peaceful protest,Protesters (Guyana),GTU: Guyana Teachers Union; Teachers (Guyana),,,Guyana,Cuyuni-Mazaruni,,Bartica,6.403,-58.6325,1,National,0
GUY499,2024-02-08,1,Protests,Peaceful protest,Protesters (Guyana),GTU: Guyana Teachers Union; Teachers (Guyana),,,Guyana,Demerara-Mahaica,,Georgetown,6.8025,-58.1628,1,National,0
GUY500,2024-02-08,1,Protests,Peaceful protest,Protesters (Guyana),GTU: Guyana Teachers Union; Teachers (Guyana),,,Guyana,Upper Demerara-Berbice,,Linden,6.0081,-58.3135,1,National,0
GUY501,2024-02-08,1,Protests,Peaceful protest,Protesters (Guyana),GTU: Guyana Teachers Union; Teachers (Guyana),,,Guyana,Barima-Waini,,Mabaruma,8.2014,-59.7965,1,National,0
GUY503,2024-02-08,1,Protests,Peaceful protest,Protesters (Guyana),GTU: Guyana Teachers Union; Teachers (Guyana),,,Guyana,Mahaica-Berbice,,No. 2,6.3001,-57.5485,1,National,0
GUY504,2024-02-08,1,Protests,Peaceful protest,Protesters (Guyana),GTU: Guyana Teachers Union; Teachers (Guyana),,,Guyana,Barima-Waini,,Port Kaituma,7.7327,-59.8806,1,National,0
GUY505,2024-02-08,1,Protests,Peaceful protest,Protesters (Guyana),GTU: Guyana Teachers Union; Teachers (Guyana),,,Guyana,Barima-Waini,,Santa Rosa,7.6482,-58.9471,1,National,0
GUY492,2024-02-07,1,Protests,Peaceful protest,Protesters (Guyana),GTU: Guyana Teachers Union; Teachers (Guyana),,,Guyana,Demerara-Mahaica,,Georgetown,6.8025,-58.1628,1,National,0
GUY506,2024-02-09,1,Protests,Peaceful protest,Protesters (Guyana),GTU: Guyana Teachers Union; Teachers (Guyana),,,Guyana,Demerara-Mahaica,,Georgetown,6.8025,-58.1628,1,National,0
GUY507,2024-02-09,1,Protests,Peaceful protest,Protesters (Guyana),GTU: Guyana Teachers Union; Teachers (Guyana),,,Guyana,East Berbice-Corentyne,,New Amsterdam,6.2479,-57.5171,1,National,0
GUY509,2024-02-09,1,Protests,Peaceful protest,Protesters (Guyana),GTU: Guyana Teachers Union; Teachers (Guyana),,,Guyana,Mahaica-Berbice,,Fort Wellington,6.3927,-57.6062,1,National,0
GUY510,2024-02-09,1,Protests,Peaceful protest,Protesters (Guyana),GTU: Guyana Teachers Union; Teachers (Guyana),,,Guyana,Pomeroon-Supenaam,,Anna Regina,7.2616,-58.5193,1,National,0
GUY511,2024-02-12,2,Protests,Peaceful protest,Protesters (Guyana),GTU: Guyana Teachers Union; Teachers (Guyana),,,Guyana,Barima-Waini,,Mabaruma,8.2014,-59.7965,1,National,0
GUY512,2024-02-12,1,Protests,Peaceful protest,Protesters (Guyana),GTU: Guyana Teachers Union; Teachers (Guyana),,,Guyana,Demerara-Mahaica,,Georgetown,6.8025,-58.1628,1,National,0
GUY513,2024-02-12,1,Protests,Peaceful protest,Protesters (Guyana),GTU: Guyana Teachers Union; Teachers (Guyana),,,Guyana,Pomeroon-Supenaam,,Anna Regina,7.2616,-58.5193,2,National,0
GUY514,2024-02-13,1,Protests,Peaceful protest,Protesters (Guyana),GTU: Guyana Teachers Union; Teachers (Guyana),,,Guyana,Demerara-Mahaica,,Georgetown,6.8025,-58.1628,1,National,0
GUY515,2024-02-13,1,Protests,Peaceful protest,Protesters (Guyana),GTU: Guyana Teachers Union; Teachers (Guyana),,,Guyana,Essequibo Islands-West Demerara,,Vreed-en-Hoop,6.8092,-58.1848,1,National,0
GUY516,2024-02-13,1,Protests,Peaceful protest,Protesters (Guyana),GTU: Guyana Teachers Union; Teachers (Guyana),,,Guyana,Upper Demerara-Berbice,,Linden,6.0081,-58.3135,1,National,0
GUY517,2024-02-15,1,Protests,Peaceful protest,Protesters (Guyana),GTU: Guyana Teachers Union; Teachers (Guyana),,,Guyana,Demerara-Mahaica,,Georgetown,6.8025,-58.1628,1,National,0
