event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
CHA1161,2021-01-02,1,Battles,Armed clash,Unidentified Ethnic Militia (Chad),,Unidentified Ethnic Militia (Chad),,Chad,Salamat,Barh Azoum,Mouraye,11.3466,20.8396,2,National,3
CHA1172,2021-01-01,1,Battles,Armed clash,Unidentified Ethnic Militia (Chad),,Unidentified Ethnic Militia (Chad),,Chad,Salamat,Barh Azoum,Mouraye,11.3466,20.8396,2,National,4
CHA1162,2021-01-05,1,Battles,Armed clash,Unidentified Communal Militia (Chad),Pastoralists (Chad),Unidentified Communal Militia (Chad),Farmers (Chad),Chad,Mayo Kebbi Est,Mayo Boneye,Kim,9.7349,15.9192,1,National,3
CHA1173,2021-01-13,1,Battles,Armed clash,Arab Ethnic Militia (Chad),,Unidentified Ethnic Militia (Chad),,Chad,Chari Baguirmi,Baguirmi,Dourbali,11.8065,15.8703,2,National,2
CHA1174,2021-01-12,1,Protests,Peaceful protest,Protesters (Chad),,,,Chad,Guera,Abtouyour,Abtouyour,11.9799,18.0668,1,National,0
CHA1185,2021-02-15,1,Battles,Armed clash,Unidentified Communal Militia (Chad),Pastoralists (Chad),Unidentified Communal Militia (Chad),Farmers (Chad),Chad,Salamat,Barh Azoum,Mouraye,11.3466,20.8396,2,National-International,35
CHA1186,2021-02-15,1,Violence against civilians,Attack,Unidentified Communal Militia (Chad),Pastoralists (Chad),Civilians (Chad),Farmers (Chad),Chad,Salamat,Barh Azoum,Mouraye,11.3466,20.8396,2,National-International,1
CHA1200,2021-03-16,1,Protests,Peaceful protest,Protesters (Chad),Students (Chad),,,Chad,Guera,Guera,Mongo,12.1833,18.7,1,National,0
CHA1202,2021-03-15,2,Riots,Violent demonstration,Rioters (Chad),,,,Chad,Batha,Batha Ouest,Ati,13.2125,18.3397,2,National,0
CHA1213,2021-04-01,1,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Chad),,Civilians (Chad),,Chad,Lac,Fouli,Bohouma,13.8496,13.7949,2,Local partner-Other,0
CHA1215,2021-04-08,1,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Chad),,Civilians (Chad),Fishers (Chad),Chad,Lac,Fouli,Kaiga Kindjiria,13.9642,13.6965,2,Local partner-Other,0
CHA1220,2021-04-14,1,Battles,Armed clash,Kibets Ethnic Militia (Chad),Dagal Ethnic Militia (Chad),Arab Ethnic Militia (Chad),,Chad,Salamat,Barh Azoum,Ambarit,11.1041,20.3772,1,National,37
CHA1221,2021-04-14,1,Battles,Armed clash,Kibets Ethnic Militia (Chad),Dagal Ethnic Militia (Chad),Arab Ethnic Militia (Chad),,Chad,Salamat,Barh Azoum,Siheb,11.2369,20.5822,1,National,22
CHA1222,2021-04-12,1,Violence against civilians,Attack,Kibets Ethnic Militia (Chad),Dagal Ethnic Militia (Chad),Civilians (Chad),Arab Ethnic Group (Chad),Chad,Salamat,Barh Azoum,Am Timan,11.033,20.283,2,National,1
CHA1223,2021-04-15,1,Battles,Armed clash,Kibets Ethnic Militia (Chad),Dagal Ethnic Militia (Chad),Arab Ethnic Militia (Chad),,Chad,Salamat,Barh Azoum,Siheb,11.2369,20.5822,1,National,5
