event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
AFG43595,2020-01-29,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Afghanistan),,Civilians (Afghanistan),,Afghanistan,Paktia,Gardez,Gardez,33.5974,69.2259,1,National,0
AFG43420,2020-01-25,1,Explosions/Remote violence,Grenade,Unidentified Armed Group (Afghanistan),,Civilians (Afghanistan),,Afghanistan,Khost,Tirzayee,Alisher,33.4362,70.0671,2,National,0
AFG43343,2020-01-25,1,Explosions/Remote violence,Grenade,Unidentified Armed Group (Afghanistan),,Civilians (Afghanistan),,Afghanistan,Khost,Tirzayee,Alisher,33.4362,70.0671,2,National,0
AFG43299,2020-01-23,1,Violence against civilians,Abduction/forced disappearance,Taliban,,Civilians (Afghanistan),Labor Group (Afghanistan),Afghanistan,Daykundi,Kejran,Kajran,33.2036,65.4731,2,National,0
AFG43278,2020-01-22,1,Explosions/Remote violence,Grenade,Taliban,,Civilians (Afghanistan),,Afghanistan,Faryab,Dawlat Abad,Dawlat Abad,36.4326,64.9207,1,National-International,1
AFG43203,2020-01-18,1,Violence against civilians,Attack,Taliban,,Civilians (Afghanistan),,Afghanistan,Faryab,Andkhoy,Andkhoy,36.9529,65.1238,2,National-International,6
AFG43090,2020-01-12,1,Explosions/Remote violence,Shelling/artillery/missile attack,Taliban,,Civilians (Afghanistan),,Afghanistan,Takhar,Darqad,Darqad,37.3841,69.4529,2,International,1
AFG42994,2020-01-09,2,Strategic developments,Disrupted weapons use,Taliban,,,,Afghanistan,Balkh,Dawlat Abad,Dawlat Abad,36.9882,66.8207,2,National,1
AFG42906,2020-01-06,1,Violence against civilians,Attack,Taliban,,Civilians (Afghanistan),,Afghanistan,Samangan,Darah-e-Noor,Dara i Sufi Payan,35.9552,67.2692,2,National-International,2
AFG42481,2020-01-03,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Afghanistan),,Civilians (Afghanistan),,Afghanistan,Nimruz,Khashrod,Khash,31.5292,62.7905,2,National,2
AFG42949,2020-01-03,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Afghanistan),,Civilians (Afghanistan),,Afghanistan,Badghis,Qadis,Qadis,34.8085,63.43,2,International,1
AFG42338,2020-01-02,1,Violence against civilians,Attack,Unidentified Armed Group (Afghanistan),,Civilians (Afghanistan),Labor Group (Afghanistan),Afghanistan,Helmand,Lashkargah,Lashkargah,31.5938,64.3716,1,International,1
AFG43716,2020-02-05,2,Strategic developments,Disrupted weapons use,Taliban,,,,Afghanistan,Herat,Obe,Obe,34.3697,63.1764,2,National,2
AFG43717,2020-02-04,2,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Afghanistan),,Civilians (Afghanistan),,Afghanistan,Farah,Farah,Farah,32.3745,62.1164,1,National,2
AFG43669,2020-02-03,1,Violence against civilians,Attack,Taliban,,Civilians (Afghanistan),Muslim Group (Afghanistan),Afghanistan,Herat,Kohsan,Qudus Abad,34.6591,61.1044,1,National-International,1
AFG44053,2020-02-13,2,Explosions/Remote violence,Air/drone strike,NATO: North Atlantic Treaty Organization,,Taliban,,Afghanistan,Herat,Kohsan,Kohsan,34.6539,61.1978,2,National,6
AFG43987,2020-02-12,1,Explosions/Remote violence,Remote explosive/landmine/IED,Taliban,,Civilians (Afghanistan),Muslim Group (Afghanistan),Afghanistan,Kunduz,Dasht-e-Archi,Archi,37.0704,69.2984,2,National,5
AFG43989,2020-02-11,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Afghanistan),,Civilians (Afghanistan),,Afghanistan,Badghis,Qala-i-Now,Laman,34.7523,63.1042,1,International,1
AFG43994,2020-02-07,1,Violence against civilians,Attack,Taliban,,Civilians (Afghanistan),,Afghanistan,Kunduz,Kunduz,Kunduz,36.729,68.857,1,International,1
AFG43883,2020-02-09,1,Strategic developments,Disrupted weapons use,Taliban,,,,Afghanistan,Sar-e Pol,Sayyad,Darah Band,36.1026,65.7068,1,International,5
AFG44156,2020-02-17,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Afghanistan),,Civilians (Afghanistan),,Afghanistan,Badghis,Muqur,Muqur,35.0399,63.2926,2,National-International,1
AFG44157,2020-02-18,1,Explosions/Remote violence,Shelling/artillery/missile attack,Taliban,,Civilians (Afghanistan),,Afghanistan,Kunduz,Kunduz,Ortablaqi,36.6648,68.8827,1,International,1
AFG44277,2020-02-26,1,Strategic developments,Disrupted weapons use,Taliban,,,,Afghanistan,Balkh,Dawlat Abad,Dawlat Abad,36.9882,66.8207,2,National,7
AFG44390,2020-03-02,1,Battles,Armed clash,Unidentified Armed Group (Afghanistan),,Unidentified Tribal Militia (Afghanistan),,Afghanistan,Paktika,Yahya Khel,Yahya Khel,32.9374,68.6462,2,International,1
AFG44450,2020-03-03,1,Violence against civilians,Attack,Taliban,,Civilians (Afghanistan),,Afghanistan,Zabul,Qalat,Qalat,32.1058,66.9083,1,National,2
AFG44378,2020-03-05,1,Violence against civilians,Attack,Taliban,,Civilians (Afghanistan),Unidentified Tribal Group (Afghanistan),Afghanistan,Herat,Gulran,Gulran,35.1055,61.6873,2,International,1
