event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
PSE8293,2021-02-14,1,Violence against civilians,Attack,Police Forces of Palestine (1994-) West Bank,,Civilians (Palestine),Hamas Movement; Labor Group (Palestine),Palestine,West Bank,Qalqilya,Qalqilyah,32.1897,34.9706,1,Regional,0
PSE9458,2021-05-15,1,Protests,Peaceful protest,Protesters (Palestine),,,,Palestine,West Bank,Qalqilya,Qalqilyah,32.1897,34.9706,1,International,0
PSE9371,2021-05-16,1,Protests,Peaceful protest,Protesters (Palestine),Lawyers (Palestine),,,Palestine,West Bank,Qalqilya,Qalqilyah,32.1897,34.9706,1,National,0
PSE9358,2021-05-15,1,Riots,Violent demonstration,Rioters (Palestine),,Military Forces of Israel (2009-2021),,Palestine,West Bank,Qalqilya,Qalqilyah,32.1897,34.9706,2,National,0
PSE9258,2021-05-10,1,Riots,Violent demonstration,Rioters (Palestine),,Military Forces of Israel (2009-2021),,Palestine,West Bank,Qalqilya,Qalqilyah,32.1897,34.9706,1,National,0
PSE8159,2021-01-28,1,Strategic developments,Looting/property destruction,Military Forces of Israel (2009-2021),,Civilians (Palestine),Farmers (Palestine),Palestine,West Bank,Bethlehem,Khirbat an Nahlah,31.678,35.1829,1,National,0
PSE8160,2021-01-28,1,Riots,Violent demonstration,Rioters (Palestine),,Military Forces of Israel (2009-2021),,Palestine,West Bank,Qalqilya,Qalqilyah,32.1897,34.9706,2,National,0
PSE9775,2021-05-19,1,Riots,Mob violence,Rioters (Palestine),,Military Forces of Israel (2009-2021),,Palestine,West Bank,Qalqilya,Qalqilyah,32.1897,34.9706,2,National,0
PSE9774,2021-05-18,1,Protests,Excessive force against protesters,Protesters (Palestine),Civilians (Palestine); Journalists (Palestine),Military Forces of Israel (2009-2021),,Palestine,West Bank,Qalqilya,Qalqilyah,32.1897,34.9706,1,National,0
PSE11534,2021-06-27,1,Protests,Peaceful protest,Protesters (Palestine),Fatah Movement,,,Palestine,West Bank,Qalqilya,Qalqilyah,32.1897,34.9706,1,National,0
PSE11615,2021-07-06,1,Protests,Peaceful protest,Protesters (Palestine),Fatah Movement,,,Palestine,West Bank,Qalqilya,Qalqilyah,32.1897,34.9706,1,National,0
PSE11826,2021-08-08,1,Protests,Peaceful protest,Protesters (Palestine),Fatah Movement; Commission of Detainees and Ex-Detainees Affairs,,,Palestine,West Bank,Qalqilya,Qalqilyah,32.1897,34.9706,1,National,0
PSE11845,2021-08-10,1,Protests,Peaceful protest,Protesters (Palestine),Lawyers (Palestine),,,Palestine,West Bank,Qalqilya,Qalqilyah,32.1897,34.9706,1,National,0
PSE12033,2021-09-08,1,Protests,Peaceful protest,Protesters (Palestine),Fatah Movement,,,Palestine,West Bank,Qalqilya,Qalqilyah,32.1897,34.9706,1,National,0
PSE12214,2021-09-20,1,Protests,Peaceful protest,Protesters (Palestine),AWCSW: The Association of Women Committees for Social Work; Women (Palestine),,,Palestine,West Bank,Qalqilya,Qalqilyah,32.1897,34.9706,1,National,0
