event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
HUN354,2022-01-16,1,Protests,Peaceful protest,Protesters (Hungary),MHM: Our Homeland Movement; Government of Hungary (2010-),,,Hungary,Budapest,District 5,Budapest - V,47.5003,19.0508,1,Other-National,0
HUN355,2022-01-17,1,Protests,Peaceful protest,Protesters (Hungary),Labor Group (Hungary),,,Hungary,Baranya,Pecsi,Pecs,46.0741,18.2304,1,National,0
HUN353,2022-01-19,1,Protests,Peaceful protest,Protesters (Hungary),IG: Identitarian Movement Hungary,,,Hungary,Budapest,District 22,Budapest - XXII,47.4109,19.0125,1,Other,0
HUN356,2022-01-22,1,Protests,Peaceful protest,Protesters (Hungary),MHM: Our Homeland Movement; Government of Hungary (2010-),,,Hungary,Zala,Zalaegerszegi,Zalaegerszeg,46.8411,16.846,1,Subnational,0
HUN358,2022-02-02,1,Protests,Peaceful protest,Protesters (Hungary),Labor Group (Hungary),,,Hungary,Budapest,District 14,Budapest - XIV,47.518,19.1143,1,National,0
HUN359,2022-01-31,1,Protests,Peaceful protest,Protesters (Hungary),Labor Group (Hungary); PDSZ: Democratic Union of Teachers; Teachers (Hungary),,,Hungary,Budapest,District 13,Budapest - XIII,47.5338,19.0704,1,National,0
HUN361,2022-01-31,1,Strategic developments,Other,Protesters (Hungary),Teachers (Hungary),,,Hungary,Budapest,,Budapest,47.4954,19.0414,3,National,0
HUN357,2022-02-04,1,Protests,Peaceful protest,Protesters (Hungary),Farmers (Hungary),,,Hungary,Bacs-Kiskun,Janoshalmai,Melykut,46.2152,19.3792,1,National,0
HUN360,2022-01-29,1,Protests,Peaceful protest,Protesters (Hungary),,,,Hungary,Gyor-Moson-Sopron,Soproni,Sopron,47.6801,16.5976,1,National,0
HUN365,2022-02-14,1,Protests,Peaceful protest,Protesters (Hungary),Christian Group (Hungary),Protesters (Hungary),,Hungary,Budapest,District 11,Budapest - XI,47.4669,19.0276,1,National,0
HUN367,2022-02-11,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Hungary),,Civilians (Hungary),Fidesz: Hungarian Civic Alliance,Hungary,Bekes,Bekescsabai,Bekescsaba,46.68,21.0987,1,National,0
HUN369,2022-02-16,1,Protests,Peaceful protest,Protesters (Hungary),Greenpeace,,,Hungary,Gyor-Moson-Sopron,Soproni,Fertorakos,47.7172,16.6529,1,National,0
HUN371,2022-02-16,1,Protests,Peaceful protest,Protesters (Hungary),Labor Group (Hungary),,,Hungary,Budapest,District 5,Budapest - V,47.5003,19.0508,1,National,0
HUN373,2022-02-12,1,Protests,Peaceful protest,Protesters (Hungary),,,,Hungary,Budapest,District 14,Budapest - XIV,47.518,19.1143,1,National,0
HUN375,2022-02-13,1,Protests,Peaceful protest,Protesters (Hungary),,,,Hungary,Budapest,District 14,Budapest - XIV,47.518,19.1143,1,National,0
HUN374,2022-02-12,1,Protests,Peaceful protest,Protesters (Hungary),,,,Hungary,Komarom-Esztergom,Komaromi,Komarom,47.7417,18.1225,1,National,0
HUN376,2022-02-17,1,Protests,Peaceful protest,Protesters (Hungary),,,,Hungary,Budapest,,Budapest,47.4954,19.0414,1,National,0
HUN370,2022-02-07,1,Protests,Peaceful protest,Protesters (Hungary),Labor Group (Hungary),,,Hungary,Pest,Godolloi,Mogyorod,47.5985,19.2385,1,National,0
HUN382,2022-02-22,1,Protests,Peaceful protest,Protesters (Hungary),Teachers (Hungary),,,Hungary,Bacs-Kiskun,Kecskemeti,Kecskemet,46.9062,19.6916,1,National,0
HUN383,2022-02-22,1,Protests,Peaceful protest,Protesters (Hungary),Teachers (Hungary),,,Hungary,Borsod-Abauj-Zemplen,Miskolci,Miskolc,48.1033,20.7885,1,National,0
