event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
SVK112,2020-11-15,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Bratislavsky,Bratislava I,Bratislava,48.1505,17.1085,1,Subnational-National,0
SVK113,2020-11-17,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Kosicky,Kosice IV,Kosice,48.7154,21.2503,1,National,0
SVK114,2020-11-17,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Trenciansky,Prievidza,Prievidza,48.7711,18.6225,1,National,0
SVK115,2020-11-17,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Zilinsky,Zilina,Zilina,49.2198,18.7351,1,National,0
SVK25,2020-02-21,1,Protests,Peaceful protest,Protesters (Slovakia),For Decent Slovakia,,,Slovakia,Banskobystricky,Lucenec,Filakovo,48.2695,19.8224,1,Other-New media,0
SVK26,2020-02-21,1,Protests,Peaceful protest,Protesters (Slovakia),For Decent Slovakia,,,Slovakia,Banskobystricky,Rimavska Sobota,Hnusta,48.5787,19.9525,1,Other-New media,0
SVK33,2020-02-21,1,Protests,Peaceful protest,Protesters (Slovakia),For Decent Slovakia,,,Slovakia,Trenciansky,Nove Mesto nad Vahom,Nove Mesto nad Vahom,48.7632,17.8315,1,Other-New media,0
SVK40,2020-02-21,1,Protests,Peaceful protest,Protesters (Slovakia),For Decent Slovakia,,,Slovakia,Nitriansky,Topolcany,Topolcany,48.5589,18.1755,1,Other-New media,0
SVK65,2020-05-28,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Banskobystricky,Banska Bystrica,Banska Bystrica,48.7385,19.1567,1,Subnational-National,0
SVK104,2020-09-29,1,Protests,Peaceful protest,Protesters (Slovakia),Labor Group (Slovakia),,,Slovakia,Trnavsky,Trnava,Trnava,48.3765,17.5836,1,National,0
SVK110,2020-10-14,1,Protests,Peaceful protest,Protesters (Slovakia),Labor Group (Slovakia),,,Slovakia,Bratislavsky,Bratislava I,Bratislava,48.1505,17.1085,1,National,0
SVK109,2020-10-13,1,Protests,Peaceful protest,Protesters (Slovakia),Labor Group (Slovakia),,,Slovakia,Bratislavsky,Bratislava I,Bratislava,48.1505,17.1085,1,National,0
SVK51,2020-02-25,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Bratislavsky,Bratislava I,Bratislava,48.1505,17.1085,1,National,0
SVK93,2020-09-04,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Presovsky,Presov,Presov,48.9973,21.2421,1,National,0
SVK12,2020-01-28,1,Protests,Peaceful protest,Protesters (Slovakia),LSNS: People's Party Our Slovakia,Protesters (Slovakia),,Slovakia,Trnavsky,Senica,Senica,48.6787,17.367,1,International,0
SVK41,2020-02-21,1,Protests,Peaceful protest,Protesters (Slovakia),For Decent Slovakia,,,Slovakia,Trenciansky,Trencin,Trencin,48.8909,18.0396,1,National,0
SVK75,2020-06-15,1,Protests,Peaceful protest,Protesters (Slovakia),Labor Group (Slovakia),,,Slovakia,Bratislavsky,Bratislava I,Bratislava,48.1505,17.1085,2,National,0
SVK57,2020-04-26,1,Protests,Peaceful protest,Protesters (Slovakia),Health Workers (Slovakia); Labor Group (Slovakia),,,Slovakia,Bratislavsky,Bratislava I,Bratislava,48.1505,17.1085,2,National,0
SVK88,2020-08-20,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Nitriansky,Nitra,Nitra,48.3161,18.0876,1,National,0
SVK17,2020-02-04,1,Protests,Peaceful protest,Protesters (Slovakia),Romani Ethnic Group (Slovakia),,,Slovakia,Banskobystricky,Rimavska Sobota,Rimavska Sobota,48.385,20.014,1,National,0
SVK2,2020-01-15,1,Protests,Peaceful protest,Protesters (Slovakia),LSNS: People's Party Our Slovakia,Protesters (Slovakia),Romani Ethnic Group (Slovakia),Slovakia,Presovsky,Sabinov,Sabinov,49.1031,21.0968,1,National,0
SVK21,2020-02-21,1,Protests,Peaceful protest,Protesters (Slovakia),For Decent Slovakia,,,Slovakia,Banskobystricky,Banska Bystrica,Banska Bystrica,48.7385,19.1567,1,National,0
SVK70,2020-06-01,1,Protests,Peaceful protest,Protesters (Slovakia),BLM: Black Lives Matter,,,Slovakia,Bratislavsky,Bratislava I,Bratislava,48.1505,17.1085,1,New media,0
SVK68,2020-05-29,1,Protests,Protest with intervention,Protesters (Slovakia),BLM: Black Lives Matter,Private Security Forces (Slovakia),,Slovakia,Bratislavsky,Bratislava I,Bratislava,48.1505,17.1085,1,New media,0
SVK73,2020-06-11,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Bratislavsky,Bratislava I,Bratislava,48.1505,17.1085,1,Subnational,0
SVK94,2020-09-14,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Bratislavsky,Bratislava I,Bratislava,48.1505,17.1085,1,Subnational,0
SVK83,2020-07-07,1,Protests,Peaceful protest,Protesters (Slovakia),Women (Slovakia),,,Slovakia,Kosicky,Kosice IV,Kosice,48.7154,21.2503,1,National,0
SVK18,2020-02-09,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Kosicky,Roznava,Dobsina,48.821,20.3644,1,National,0
SVK81,2020-07-07,1,Protests,Peaceful protest,Protesters (Slovakia),Women (Slovakia),,,Slovakia,Banskobystricky,Banska Bystrica,Banska Bystrica,48.7385,19.1567,1,National,0
SVK61,2020-05-18,1,Protests,Peaceful protest,Protesters (Slovakia),Labor Group (Slovakia),,,Slovakia,Presovsky,Humenne,Humenne,48.9358,21.903,1,National,0
SVK11,2020-01-24,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Bratislavsky,Bratislava I,Bratislava,48.1505,17.1085,1,National,0
SVK63,2020-05-23,1,Protests,Peaceful protest,Protesters (Slovakia),Labor Group (Slovakia),,,Slovakia,Presovsky,Humenne,Humenne,48.9358,21.903,1,National,0
SVK82,2020-07-07,1,Protests,Peaceful protest,Protesters (Slovakia),Women (Slovakia),,,Slovakia,Zilinsky,Liptovsky Mikulas,Liptovsky Mikulas,49.0831,19.6168,1,National,0
SVK80,2020-07-07,1,Protests,Peaceful protest,Protesters (Slovakia),Women (Slovakia),,,Slovakia,Bratislavsky,Bratislava I,Bratislava,48.1505,17.1085,1,National,0
SVK71,2020-06-04,1,Protests,Peaceful protest,Protesters (Slovakia),Labor Group (Slovakia),,,Slovakia,Nitriansky,Levice,Tlmace,48.288,18.5305,1,National,0
SVK117,2020-11-17,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Trnavsky,Trnava,Trnava,48.3765,17.5836,1,National,0
SVK6,2020-01-21,1,Protests,Peaceful protest,Protesters (Slovakia),LSNS: People's Party Our Slovakia,Protesters (Slovakia),,Slovakia,Presovsky,Levoca,Levoca,49.0253,20.5877,1,International,0
SVK145,2020-11-28,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Banskobystricky,Lucenec,Lucenec,48.3298,19.6624,1,International,0
SVK144,2020-11-28,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Zilinsky,Zilina,Zilina,49.2198,18.7351,1,International,0
SVK146,2020-11-28,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Trenciansky,Prievidza,Prievidza,48.7711,18.6225,1,International,0
SVK87,2020-08-15,1,Protests,Peaceful protest,Protesters (Slovakia),Protesters (Belarus),,,Slovakia,Bratislavsky,Bratislava I,Bratislava,48.1505,17.1085,1,International,0
SVK14,2020-01-30,1,Protests,Peaceful protest,Protesters (Slovakia),LSNS: People's Party Our Slovakia,Protesters (Slovakia),,Slovakia,Nitriansky,Nove Zamky,Nove Zamky,47.9853,18.1638,1,International,0
SVK147,2020-11-28,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Nitriansky,Nitra,Nitra,48.3161,18.0876,1,International,0
SVK4,2020-01-16,1,Protests,Peaceful protest,Protesters (Slovakia),LSNS: People's Party Our Slovakia,Protesters (Slovakia),,Slovakia,Kosicky,Kosice IV,Kosice,48.7154,21.2503,1,International,0
SVK45,2020-02-21,1,Protests,Peaceful protest,Protesters (Slovakia),For Decent Slovakia,,,Slovakia,Nitriansky,Zlate Moravce,Zlate Moravce,48.382,18.3994,1,International,0
SVK13,2020-01-29,1,Protests,Peaceful protest,Protesters (Slovakia),LSNS: People's Party Our Slovakia,Protesters (Slovakia),,Slovakia,Nitriansky,Nitra,Nitra,48.3161,18.0876,1,International,0
SVK143,2020-11-28,1,Protests,Peaceful protest,Protesters (Slovakia),LSNS: People's Party Our Slovakia,,,Slovakia,Trnavsky,Trnava,Trnava,48.3765,17.5836,1,International,0
SVK8,2020-01-23,1,Protests,Peaceful protest,Protesters (Slovakia),LSNS: People's Party Our Slovakia,Protesters (Slovakia),,Slovakia,Trenciansky,Puchov,Belusa,49.0661,18.33,1,International,0
SVK49,2020-02-21,1,Protests,Peaceful protest,Protesters (Slovakia),For Decent Slovakia,,,Slovakia,Trenciansky,Banovce nad Bebravou,Banovce nad Bebravou,48.7218,18.26,1,Other,0
SVK19,2020-02-11,1,Protests,Peaceful protest,Protesters (Slovakia),Catholic Christian Group (Slovakia),,,Slovakia,Bratislavsky,Bratislava I,Bratislava,48.1505,17.1085,1,National,0
SVK102,2020-09-22,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Presovsky,Poprad,Poprad,49.0588,20.2952,1,National,0
SVK60,2020-05-14,1,Protests,Peaceful protest,Protesters (Slovakia),Labor Group (Slovakia),,,Slovakia,Bratislavsky,Bratislava I,Bratislava,48.1505,17.1085,1,National,0
