event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
GNB359,2024-01-08,1,Riots,Violent demonstration,Rioters (Guinea-Bissau),Government of Guinea-Bissau (2020-2025); PAI Terra Ranka: Inclusive Alliance Platform,Police Forces of Guinea-Bissau (2020-2025),,Guinea-Bissau,Bissau,SAB,Bissau,11.8726,-15.5885,1,National-International,0
GNB360,2024-01-15,1,Strategic developments,Other,Government of Guinea-Bissau (2020-2025),,,,Guinea-Bissau,Bissau,SAB,Bissau,11.8726,-15.5885,1,National-International,0
GNB361,2024-01-18,1,Strategic developments,Other,Police Forces of Guinea-Bissau (2020-2025),,Civilians (Guinea-Bissau),PAIGC: African Party for the Independence of Guinea-Bissau and Cape Verde,Guinea-Bissau,Bissau,SAB,Bissau,11.8726,-15.5885,1,National-International,0
GNB362,2024-01-10,2,Protests,Peaceful protest,Protesters (Guinea-Bissau),Students (Guinea-Bissau),,,Guinea-Bissau,Bissau,SAB,Bissau,11.8726,-15.5885,1,International,0
GNB363,2024-01-29,1,Riots,Violent demonstration,Rioters (Guinea-Bissau),Students (Guinea-Bissau),Police Forces of Guinea-Bissau (2020-2025),,Guinea-Bissau,Oio,Mansoa,Mansoa,12.0667,-15.3166,1,National,0
GNB366,2024-02-03,1,Strategic developments,Arrests,Police Forces of Guinea-Bissau (2020-2025),,Civilians (Guinea-Bissau),Government of Guinea-Bissau (2020-2025); MADEM G-15 (Movement for Democratic Alternation),Guinea-Bissau,Bissau,SAB,Bissau,11.8726,-15.5885,1,National,0
GNB367,2024-04-08,1,Strategic developments,Other,Protesters (Guinea-Bissau),Health Workers (Guinea-Bissau); Teachers (Guinea-Bissau),,,Guinea-Bissau,Bissau,SAB,Bissau,11.8726,-15.5885,2,National-International,0
GNB368,2024-04-12,2,Protests,Peaceful protest,Protesters (Guinea-Bissau),,,,Guinea-Bissau,Gabu,Gabu,Gabu,12.2833,-14.2167,1,National,0
GNB369,2024-02-15,3,Riots,Mob violence,Rioters (Guinea-Bissau),Vigilante Group (Guinea-Bissau),Civilians (Guinea-Bissau),,Guinea-Bissau,Cacheu,Sao Domingos,Colage,12.3461,-16.3242,1,Regional-International,8
GNB371,2024-05-18,1,Protests,Excessive force against protesters,Protesters (Guinea-Bissau),Health Workers (Guinea-Bissau); Journalists (Guinea-Bissau); Popular Front,Police Forces of Guinea-Bissau (2020-2025),,Guinea-Bissau,Gabu,Gabu,Gabu,12.2833,-14.2167,1,National,0
GNB372,2024-05-18,1,Protests,Excessive force against protesters,Protesters (Guinea-Bissau),Health Workers (Guinea-Bissau); Journalists (Guinea-Bissau); Popular Front,Police Forces of Guinea-Bissau (2020-2025),,Guinea-Bissau,Quinara,Buba,Buba,11.592,-14.9948,1,National,0
GNB373,2024-05-24,1,Protests,Protest with intervention,Protesters (Guinea-Bissau),,Police Forces of Guinea-Bissau (2020-2025),,Guinea-Bissau,Bissau,SAB,Bissau,11.8726,-15.5885,1,International,0
GNB374,2024-06-03,1,Strategic developments,Other,Police Forces of Guinea-Bissau (2020-2025),,Civilians (Guinea-Bissau),PRS: Party for Social Renewal,Guinea-Bissau,Bissau,SAB,Bissau,11.8726,-15.5885,1,National-International,0
GNB370,2024-05-18,1,Protests,Protest with intervention,Protesters (Guinea-Bissau),Health Workers (Guinea-Bissau); Journalists (Guinea-Bissau); Labor Group (Guinea-Bissau); Popular Front; Teachers (Guinea-Bissau),Police Forces of Guinea-Bissau (2020-2025),,Guinea-Bissau,Bissau,SAB,Bissau,11.8726,-15.5885,1,New media-National,0
