event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
GHA913,2020-01-12,1,Battles,Armed clash,Sakai Communal Militia (Ghana),,Sakai Communal Militia (Ghana),,Ghana,Upper West,Sissala East,Sakai,10.7455,-2.0351,1,National,0
GHA919,2020-01-18,1,Protests,Peaceful protest,Protesters (Ghana),,,,Ghana,Volta,South Tongu,Sogakope,6.0,0.6,1,National,0
GHA938,2020-02-04,1,Protests,Peaceful protest,Protesters (Ghana),NPP: New Patriotic Party,,,Ghana,Ashanti,Ejisu Juaben,Juaben,6.8156,-1.4215,1,National,0
GHA945,2020-02-07,2,Protests,Peaceful protest,Protesters (Ghana),,,,Ghana,Greater Accra,Ningo Prampram,Prampram,5.7152,0.1049,1,National,0
GHA951,2020-02-19,1,Riots,Mob violence,Rioters (Ghana),NPP: New Patriotic Party,Rioters (Ghana),NPP: New Patriotic Party,Ghana,Ashanti,Mampong,Mampong,7.0561,-1.4042,1,National,0
GHA949,2020-02-08,1,Riots,Mob violence,Rioters (Ghana),Vigilante Group (Ghana),Civilians (Ghana),,Ghana,Upper West,Wa,Wa,10.0607,-2.5019,2,National,1
GHA954,2020-02-18,1,Protests,Peaceful protest,Protesters (Ghana),,,,Ghana,Upper West,Sissala West,Tumu,10.8765,-1.9791,1,National,0
GHA958,2020-02-17,1,Riots,Violent demonstration,Rioters (Ghana),NPP: New Patriotic Party,,,Ghana,Ashanti,Asante Akim Central,Konongo,6.6167,-1.2167,1,National,0
GHA963,2020-03-01,1,Protests,Peaceful protest,Protesters (Ghana),,,,Ghana,Volta,South Tongu,Sogakope,6.0,0.6,1,National,0
GHA970,2020-03-07,2,Violence against civilians,Attack,Fulani Ethnic Militia (Ghana),Pastoralists (Ghana),Civilians (Ghana),,Ghana,Savannah,East Gonja,Abrumase,8.4674,-1.0196,1,National,1
GHA971,2020-03-07,2,Violence against civilians,Attack,Abrumase Communal Militia (Ghana),,Civilians (Ghana),Fulani Ethnic Group (Ghana); Pastoralists (Ghana),Ghana,Savannah,East Gonja,Abrumase,8.4674,-1.0196,1,National,4
GHA972,2020-03-15,2,Protests,Peaceful protest,Protesters (Ghana),NPP: New Patriotic Party,,,Ghana,Northern,Saboba,Saboba,9.7074,0.3184,1,National,0
GHA975,2020-03-20,1,Violence against civilians,Attack,Unidentified Armed Group (Ghana),,Civilians (Ghana),Journalists (Ghana),Ghana,Savannah,West Gonja,Damongo,9.0834,-1.8182,1,National,0
GHA979,2020-04-02,2,Riots,Mob violence,Rioters (Ghana),Vigilante Group (Ghana),Civilians (Ghana),,Ghana,Ahafo,Asunafo South,Abuom,6.6179,-2.7039,1,National,1
GHA986,2020-04-10,1,Riots,Violent demonstration,Rioters (Ghana),,,,Ghana,Eastern,Kwahu South,Kwahu Praso,6.6195,-0.9077,1,National,0
GHA985,2020-04-09,1,Violence against civilians,Attack,Kwahu Communal Militia (Ghana),,Civilians (China),Labor Group (China),Ghana,Eastern,Kwahu South,Kwahu Praso,6.6195,-0.9077,1,National,0
GHA993,2020-04-22,1,Protests,Peaceful protest,Protesters (Ghana),,,,Ghana,North East,Mamprusi East,Gambaga,10.5309,-0.4382,2,National,0
GHA994,2020-04-23,2,Riots,Mob violence,Rioters (Ghana),Taxi Drivers (Ghana),Rioters (Ghana),,Ghana,Eastern,West Akim,Akwadum,5.9965,-0.7363,1,National,1
GHA992,2020-04-22,1,Riots,Mob violence,Rioters (Ghana),Vigilante Group (Ghana),Civilians (Ghana),,Ghana,Savannah,North Gonja,Daboya,9.5311,-1.379,2,National,1
GHA1007,2020-05-02,1,Violence against civilians,Attack,Fulani Ethnic Militia (Ghana),Pastoralists (Ghana),Civilians (Ghana),Farmers (Ghana),Ghana,North East,Mamprugu Moagduri,Gordi,10.2,-1.2667,1,National,0
GHA1014,2020-05-07,1,Protests,Peaceful protest,Protesters (Ghana),,,,Ghana,North East,Mamprugu Moagduri,Kubori,10.1443,-1.2896,1,National,0
GHA1030,2020-05-14,1,Violence against civilians,Attack,Unidentified Armed Group (Ghana),,Civilians (Ghana),Labor Group (Ghana),Ghana,Greater Accra,Ningo Prampram,Prampram,5.7152,0.1049,1,National,1
GHA1040,2020-06-05,1,Protests,Peaceful protest,Protesters (Ghana),NPP: New Patriotic Party,,,Ghana,North East,Mamprusi East,Gambaga,10.5309,-0.4382,1,National,0
GHA1035,2020-06-03,2,Protests,Peaceful protest,Protesters (Ghana),NPP: New Patriotic Party,,,Ghana,Ashanti,Ahafo Ano South,Mankranso,6.9686,-1.8272,1,National,0
