event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
BUR8176,2018-10-07,1,Violence against civilians,Attack,Unidentified Armed Group (Rwanda),,Civilians (Burundi),,Burundi,Cibitoke,Mugina,Mugina,-2.756,29.11,1,National,3
BUR8122,2018-09-18,1,Violence against civilians,Attack,Unidentified Armed Group (Rwanda),,Civilians (Burundi),CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),Burundi,Kayanza,Kabarore,Kabarore,-2.8505,29.5374,1,National,2
BUR8129,2018-09-25,3,Violence against civilians,Attack,Unidentified Armed Group (Burundi),,Civilians (Burundi),Women (Burundi),Burundi,Cibitoke,Mugina,Mugina,-2.756,29.11,1,National,1
BUR7614,2018-01-31,1,Battles,Armed clash,Military Forces of Burundi (2005-),,FNL: National Forces of Liberation,,Burundi,Bubanza,Gihanga,Rukoko Natural Reserve,-3.1875,29.2933,1,National,2
BUR8245,2018-11-07,2,Violence against civilians,Attack,Unidentified Armed Group (Burundi),,Civilians (Burundi),,Burundi,Kirundo,Busoni,Busoni,-2.5286,30.2177,2,National,8
BUR8539,2018-09-14,1,Battles,Armed clash,Unidentified Armed Group (Democratic Republic of Congo),,Military Forces of Burundi (2005-),Police Forces of Burundi (2005-),Burundi,Bujumbura Rural,Mutimbuzi,Gatumba,-3.3333,29.25,1,Other-National,1
BUR7657,2018-02-12,2,Protests,Peaceful protest,Protesters (Burundi),,,,Burundi,Cibitoke,Murwi,Murwi,-2.8881,29.2047,1,National,0
BUR7586,2018-01-22,1,Explosions/Remote violence,Grenade,Unidentified Armed Group (Burundi),,Civilians (Burundi),,Burundi,Cibitoke,Rugombo,Rugombo,-2.8095,29.082,2,National,1
BUR7587,2018-01-23,1,Riots,Mob violence,Rioters (Burundi),Vigilante Group (Burundi),Civilians (Burundi),,Burundi,Bubanza,Gihanga,Gihanga,-3.194,29.3068,2,National,0
BUR7744,2018-03-30,1,Strategic developments,Disrupted weapons use,Police Forces of Burundi (2005-),,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,Burundi,Cankuzo,Mishiha,Mishiha,-3.0146,30.8108,1,National,0
BUR8013,2018-06-13,2,Violence against civilians,Attack,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,Civilians (Burundi),,Burundi,Rumonge,Rumonge,Kizuka,-3.8586,29.3887,1,National,0
BUR8106,2018-08-10,3,Strategic developments,Looting/property destruction,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),Police Forces of Burundi (2005-),Civilians (Burundi),,Burundi,Cibitoke,Rugombo,Cibitoke,-2.8869,29.1248,2,National,0
BUR7878,2018-05-03,2,Protests,Peaceful protest,Protesters (Burundi),,,,Burundi,Gitega,Giheta,Giheta,-3.3647,29.8622,1,National,0
BUR7877,2018-05-02,1,Riots,Violent demonstration,Rioters (Burundi),,,,Burundi,Ngozi,Ngozi,Ngozi,-2.9075,29.8306,1,National,0
BUR7902,2018-05-15,1,Strategic developments,Other,CNDD-FDD: National Council for the Defence of Democracy-Forces for the Defence of Democracy,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,,Burundi,Bujumbura Rural,Mutimbuzi,Gatumba,-3.3333,29.25,1,National,0
BUR7957,2018-06-01,1,Strategic developments,Other,Military Forces of Burundi (2005-),Police Forces of Burundi (2005-),,,Burundi,Gitega,Bugendana,Bugendana,-3.2333,29.9139,2,National,0
BUR7996,2018-04-15,3,Violence against civilians,Attack,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,Civilians (Burundi),,Burundi,Cibitoke,Mabayi,Ruhororo,-2.6333,29.2167,2,National,1
BUR7658,2018-02-15,3,Violence against civilians,Attack,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,Civilians (Burundi),,Burundi,Bubanza,Gihanga,Gihanga,-3.194,29.3068,2,National,0
BUR7615,2018-02-06,1,Violence against civilians,Attack,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,Civilians (Burundi),FNL-R: National Forces of Liberation (Rwasa Faction),Burundi,Kirundo,Ntega,Ntega,-2.6075,29.9917,2,National,1
BUR7910,2018-05-19,2,Violence against civilians,Attack,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,Civilians (Burundi),CNDD-FDD: National Council for the Defence of Democracy-Forces for the Defence of Democracy,Burundi,Kirundo,Bwambarangwe,Buhoro,-2.4661,30.3717,1,National,0
BUR7669,2018-02-20,1,Violence against civilians,Attack,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,Civilians (Burundi),,Burundi,Kirundo,Busoni,Munazi,-2.4595,30.2204,1,National,0
BUR7896,2018-05-07,2,Violence against civilians,Attack,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,Civilians (Burundi),Amizero yAbarundi,Burundi,Gitega,Gitega,Gitega,-3.4264,29.9308,3,National,1
BUR7738,2018-03-28,1,Violence against civilians,Sexual violence,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,Civilians (Burundi),Women (Burundi),Burundi,Ngozi,Ruhororo,Mubanga,-2.9869,29.9583,1,National,0
BUR7736,2018-03-20,1,Strategic developments,Change to group/activity,Interahamwe Militia,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,,Burundi,Cibitoke,Buganda,Buganda,-2.9653,29.193,1,National,0
BUR8004,2018-06-08,1,Violence against civilians,Attack,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,Civilians (Burundi),,Burundi,Ngozi,Ruhororo,Mubanga,-2.9869,29.9583,1,National,1
BUR7583,2018-01-10,1,Violence against civilians,Attack,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,Civilians (Burundi),FNL-R: National Forces of Liberation (Rwasa Faction); Teachers (Burundi),Burundi,Kirundo,Busoni,Busoni,-2.5286,30.2177,1,National,0
BUR8117,2018-09-07,1,Violence against civilians,Attack,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,Civilians (Burundi),FNL: National Forces of Liberation; FNL-A: National Forces of Liberation (Abarundi Faction),Burundi,Bururi,Bururi,Kiremba,-3.9438,29.6736,1,New media-National,0
BUR8128,2018-09-24,1,Explosions/Remote violence,Grenade,Unidentified Armed Group (Burundi),,Civilians (Burundi),,Burundi,Cibitoke,Mugina,Mugina,-2.756,29.11,1,New media-National,1
BUR9132,2018-10-21,1,Violence against civilians,Abduction/forced disappearance,Police Forces of Burundi (2005-) National Intelligence Service,,Civilians (Burundi),,Burundi,Cankuzo,Cendajuru,Cendajuru,-3.289,30.6011,1,Subnational,0
