event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
MLI2139,2018-07-10,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Mali),,Civilians (Mali),Journalists (Mali),Mali,Tombouctou,Tombouctou,Timbuktu,16.7705,-3.0056,1,National,0
MLI1880,2018-02-28,1,Violence against civilians,Attack,Unidentified Communal Militia (Mali),,Civilians (Mali),,Mali,Gao,Gao,Gao,16.2717,-0.0447,2,National,0
MLI2102,2018-06-22,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Mali),,Civilians (International),ICRC: International Committee of the Red Cross and Red Crescent,Mali,Tombouctou,Tombouctou,Timbuktu,16.7705,-3.0056,1,New media,0
MLI1879,2018-02-28,1,Riots,Violent demonstration,Rioters (Mali),,,,Mali,Gao,Gao,Gao,16.2717,-0.0447,2,International,0
MLI1802,2018-01-10,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Mali),,CMA: Coordination of Movements of the Azawad,,Mali,Kidal,Kidal,Kidal,18.44,1.41,1,Local partner-New media,1
MLI2209,2018-08-02,1,Strategic developments,Disrupted weapons use,Military Forces of France (2017-),,,,Mali,Kidal,Kidal,Kidal,18.44,1.41,1,Local partner-New media,0
MLI2014,2018-05-14,1,Riots,Mob violence,Rioters (Mali),Vigilante Group (Mali); Gandakoy Ethnic Group (Mali),Unidentified Armed Group (Mali),,Mali,Tombouctou,Tombouctou,Timbuktu,16.7705,-3.0056,1,Local partner-New media,0
MLI1877,2018-02-28,1,Battles,Armed clash,Unidentified Armed Group (Mali),,Military Forces of Mali (2013-2020),,Mali,Gao,Gao,Gao,16.2717,-0.0447,1,International,1
MLI1811,2018-01-17,1,Battles,Armed clash,Unidentified Armed Group (Mali),,Military Forces of Mali (2013-2020),,Mali,Gao,Gao,Gao,16.2717,-0.0447,1,Local partner-New media,0
MLI1818,2018-01-23,1,Battles,Armed clash,Unidentified Armed Group (Mali),,Military Forces of Mali (2013-2020),,Mali,Gao,Gao,Gao,16.2717,-0.0447,2,Local partner-New media,0
MLI2066,2018-06-08,1,Explosions/Remote violence,Remote explosive/landmine/IED,JNIM: Group for Support of Islam and Muslims,,Civilians (Mali),,Mali,Kidal,Kidal,Kidal,18.44,1.41,1,Other-New media,0
MLI2083,2018-06-14,1,Battles,Armed clash,Military Forces of France (2017-),,JNIM: Group for Support of Islam and Muslims,,Mali,Kidal,Kidal,Tin Bidene,18.8,1.95,2,Local partner-New media,1
MLI2548,2018-12-27,1,Strategic developments,Disrupted weapons use,CMA: Coordination of Movements of the Azawad,MNLA: National Movement for the Liberation of Azawad,JNIM: Group for Support of Islam and Muslims,,Mali,Kidal,Kidal,Kidal,18.44,1.41,1,Local partner-New media,0
