event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
CHN15860,2025-01-06,1,Riots,Violent demonstration,Rioters (China),Students (China),Police Forces of China (2012-),Civilians (China); Teachers (China),China,Shaanxi,Weinan,Pucheng,34.9556,109.5862,1,National-Regional,0
CHN15873,2025-01-16,1,Protests,Peaceful protest,Protesters (China),Former Government of China (2017-) Hong Kong Special Administrative Region,,,China,Hong Kong,Central and Western,Hong Kong - Central and Western,22.2811,114.1598,1,Subnational,0
CHN15874,2025-01-12,1,Protests,Peaceful protest,Protesters (China),Former Government of China (2017-) Hong Kong Special Administrative Region,,,China,Hong Kong,Central and Western,Hong Kong - Central and Western,22.2811,114.1598,1,Subnational,0
CHN15875,2025-01-16,1,Protests,Peaceful protest,Protesters (China),Labor Group (China),,,China,Hong Kong,Central and Western,Hong Kong - Central and Western,22.2811,114.1598,1,Subnational,0
CHN15876,2025-01-13,1,Protests,Peaceful protest,Protesters (China),Labor Group (China),,,China,Hong Kong,Islands,Hong Kong - Islands,22.2874,113.9425,1,Subnational,0
CHN15877,2025-01-11,1,Violence against civilians,Abduction/forced disappearance,Police Forces of China (2012-),,Civilians (China),Women (China),China,Jiangxi,Nanchang,Donghu,28.6851,115.8992,2,Other,0
CHN15878,2025-01-13,1,Violence against civilians,Abduction/forced disappearance,Police Forces of China (2012-),,Civilians (China),,China,Jiangxi,Nanchang,Xinjian,28.6929,115.8152,1,Other,0
CHN15880,2025-01-11,1,Violence against civilians,Attack,Police Forces of China (2012-),,Civilians (China),Women (China),China,Jiangxi,Nanchang,Donghu,28.6851,115.8992,2,Other,0
CHN15881,2025-01-13,1,Strategic developments,Change to group/activity,Government of China (2012-),,,,China,Tibet,Xigaze,Shelkar,28.6606,87.1246,1,Regional,0
CHN15882,2025-01-17,1,Protests,Protest with intervention,Protesters (China),Labor Group (China),Police Forces of China (2012-),,China,Shaanxi,Xianyang,Qindu,34.3296,108.7062,1,International,0
CHN15883,2025-01-20,1,Protests,Peaceful protest,Protesters (China),Labor Group (China),,,China,Hong Kong,Sham Shui Po,Hong Kong - Sham Shui Po,22.3289,114.1586,1,Subnational,0
CHN15885,2025-01-18,1,Riots,Violent demonstration,Rioters (China),Students (China),,,China,Jiangsu,Taizhou,Xinghua,32.9105,119.8525,1,International,0
CHN15886,2025-01-16,1,Violence against civilians,Abduction/forced disappearance,Police Forces of China (2012-),,Civilians (China),,China,Fujian,Fuzhou,Fuqing,25.7211,119.3844,1,International,0
