event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
PAR4193,2023-01-01,1,Riots,Mob violence,Rioters (Paraguay),Vigilante Group (Paraguay),Civilians (Paraguay),Women (Paraguay),Paraguay,San Pedro,Tacuati,Tacuati,-23.4573,-56.7384,1,National,1
PAR4194,2023-01-04,1,Protests,Peaceful protest,Protesters (Paraguay),Labor Group (Paraguay),,,Paraguay,Guaira,Villarrica,Villarrica,-25.7495,-56.4352,1,National,0
PAR4195,2023-01-05,1,Protests,Peaceful protest,Protesters (Paraguay),Labor Group (Paraguay),,,Paraguay,Alto Paraguay,Fuerte Olimpo,Fuerte Olimpo,-21.0467,-57.8764,1,National,0
PAR4196,2023-01-02,1,Protests,Peaceful protest,Protesters (Paraguay),Labor Group (Paraguay); Indigenous Group (Paraguay),,,Paraguay,Presidente Hayes,Villa Hayes,Maroma,-23.5327,-57.9057,1,National,0
PAR4197,2023-01-03,1,Protests,Peaceful protest,Protesters (Paraguay),Labor Group (Paraguay); Indigenous Group (Paraguay),,,Paraguay,Presidente Hayes,Villa Hayes,Maroma,-23.5327,-57.9057,1,National,0
PAR4198,2023-01-04,1,Protests,Peaceful protest,Protesters (Paraguay),Labor Group (Paraguay); Indigenous Group (Paraguay),,,Paraguay,Presidente Hayes,Villa Hayes,Maroma,-23.5327,-57.9057,1,National,0
PAR4199,2023-01-02,2,Protests,Peaceful protest,Protesters (Paraguay),,,,Paraguay,Guaira,Villarrica,Villarrica,-25.7495,-56.4352,1,National,0
PAR4201,2023-01-03,1,Protests,Peaceful protest,Protesters (Paraguay),,,,Paraguay,Itapua,General Delgado,Punta Pora,-27.1325,-56.4632,1,National,0
PAR4202,2023-01-05,1,Protests,Peaceful protest,Protesters (Paraguay),,,,Paraguay,Paraguari,Carapegua,Tajy Loma,-25.7688,-57.3089,1,National,0
PAR4203,2023-01-11,1,Protests,Peaceful protest,Protesters (Paraguay),,,,Paraguay,Alto Parana,Ciudad del Este,Ciudad del Este,-25.5097,-54.6111,1,National,0
PAR4204,2023-01-12,1,Protests,Peaceful protest,Protesters (Paraguay),,,,Paraguay,Alto Parana,Ciudad del Este,Ciudad del Este,-25.5097,-54.6111,1,National,0
PAR4205,2023-01-12,1,Protests,Peaceful protest,Protesters (Paraguay),,,,Paraguay,Alto Parana,Ciudad del Este,Ciudad del Este,-25.5097,-54.6111,1,National,0
PAR4210,2023-01-13,1,Violence against civilians,Attack,Unidentified Communal Militia (Paraguay),,Civilians (Paraguay),,Paraguay,Central,Limpio,Barcelona,-25.1655,-57.4234,1,National,1
PAR4211,2023-01-08,1,Riots,Mob violence,Rioters (Paraguay),,Police Forces of Paraguay (2013-),,Paraguay,Central,Nemby,Nemby,-25.3949,-57.5357,1,National,0
PAR4212,2023-01-09,1,Riots,Violent demonstration,Rioters (Paraguay),,,,Paraguay,San Pedro,San Pedro,San Pedro de Ycuamandiyu,-24.0853,-57.0875,1,National,0
